,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
1,clf,svc-rbf,min,all,ALL_NO_3_2_1,0_30,included,basic,0.73,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,0.00,957.00,335.00,"{'0': {'precision': 0.7407120743034056, 'recall': 1.0, 'f1-score': 0.8510449088483771, 'support': 957}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 335}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.3703560371517028, 'recall': 0.5, 'f1-score': 0.42552245442418857, 'support': 1292}, 'weighted avg': {'precision': 0.5486543770188538, 'recall': 0.7407120743034056, 'f1-score': 0.6303792397584341, 'support': 1292}}",6.22
2,clf,dtree,min,all,ALL_NO_3_2_1,0_30,included,basic,0.77,"{'max_depth': 5, 'min_samples_leaf': 50}",0.78,0.76,0.81,0.61,957.00,335.00,"{'0': {'precision': 0.8129092609915809, 'recall': 0.9080459770114943, 'f1-score': 0.8578479763079961, 'support': 957}, '1': {'precision': 0.6053811659192825, 'recall': 0.40298507462686567, 'f1-score': 0.48387096774193544, 'support': 335}, 'micro avg': {'precision': 0.7770897832817337, 'recall': 0.7770897832817337, 'f1-score': 0.7770897832817338, 'support': 1292}, 'macro avg': {'precision': 0.7091452134554317, 'recall': 0.6555155258191799, 'f1-score': 0.6708594720249658, 'support': 1292}, 'weighted avg': {'precision': 0.7590997316965189, 'recall': 0.7770897832817337, 'f1-score': 0.7608802534986848, 'support': 1292}}",0.40
3,clf,rforest,min,all,ALL_NO_3_2_1,0_30,included,basic,0.77,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.78,0.76,0.79,0.65,957.00,335.00,"{'0': {'precision': 0.7934973637961336, 'recall': 0.9435736677115988, 'f1-score': 0.8620525059665872, 'support': 957}, '1': {'precision': 0.6493506493506493, 'recall': 0.29850746268656714, 'f1-score': 0.40899795501022496, 'support': 335}, 'micro avg': {'precision': 0.7763157894736842, 'recall': 0.7763157894736842, 'f1-score': 0.7763157894736842, 'support': 1292}, 'macro avg': {'precision': 0.7214240065733915, 'recall': 0.6210405651990829, 'f1-score': 0.635525230488406, 'support': 1292}, 'weighted avg': {'precision': 0.7561218612115846, 'recall': 0.7763157894736842, 'f1-score': 0.7445809312217101, 'support': 1292}}",18.64
4,clf,xgb,min,all,ALL_NO_3_2_1,0_30,included,basic,0.78,{'n_estimators': 100},0.78,0.77,0.82,0.63,957.00,335.00,"{'0': {'precision': 0.816231343283582, 'recall': 0.9143155694879833, 'f1-score': 0.862493839329719, 'support': 957}, '1': {'precision': 0.6272727272727273, 'recall': 0.41194029850746267, 'f1-score': 0.4972972972972974, 'support': 335}, 'micro avg': {'precision': 0.7840557275541795, 'recall': 0.7840557275541795, 'f1-score': 0.7840557275541795, 'support': 1292}, 'macro avg': {'precision': 0.7217520352781547, 'recall': 0.663127933997723, 'f1-score': 0.6798955683135082, 'support': 1292}, 'weighted avg': {'precision': 0.7672366556956282, 'recall': 0.7840557275541795, 'f1-score': 0.7678027854745633, 'support': 1292}}",0.24
5,clf,gboosting,min,all,ALL_NO_3_2_1,0_30,included,basic,0.78,{'n_estimators': 100},0.78,0.76,0.81,0.62,957.00,335.00,"{'0': {'precision': 0.8126159554730983, 'recall': 0.9153605015673981, 'f1-score': 0.8609336609336607, 'support': 957}, '1': {'precision': 0.6214953271028038, 'recall': 0.3970149253731343, 'f1-score': 0.4845173041894354, 'support': 335}, 'micro avg': {'precision': 0.7809597523219814, 'recall': 0.7809597523219814, 'f1-score': 0.7809597523219814, 'support': 1292}, 'macro avg': {'precision': 0.717055641287951, 'recall': 0.6561877134702663, 'f1-score': 0.6727254825615481, 'support': 1292}, 'weighted avg': {'precision': 0.763060684185135, 'recall': 0.7809597523219814, 'f1-score': 0.7633334445951812, 'support': 1292}}",0.56
6,clf,ada,min,all,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 50},0.78,0.76,0.81,0.60,957.00,335.00,"{'0': {'precision': 0.8108108108108109, 'recall': 0.9090909090909091, 'f1-score': 0.8571428571428571, 'support': 957}, '1': {'precision': 0.6027397260273972, 'recall': 0.3940298507462687, 'f1-score': 0.4765342960288808, 'support': 335}, 'micro avg': {'precision': 0.7755417956656346, 'recall': 0.7755417956656346, 'f1-score': 0.7755417956656346, 'support': 1292}, 'macro avg': {'precision': 0.706775268419104, 'recall': 0.6515603799185888, 'f1-score': 0.666838576585869, 'support': 1292}, 'weighted avg': {'precision': 0.7568604908398793, 'recall': 0.7755417956656346, 'f1-score': 0.7584556528292488, 'support': 1292}}",0.59
0,reg,kn,min,all,ALL_NO_3_2_1,0_30,included,basic,12.14,{'n_neighbors': 21},,,,,,,11.96,2.09
1,reg,svr-rbf,min,all,ALL_NO_3_2_1,0_30,included,basic,14.41,"{'C': 5, 'gamma': 1}",,,,,,,13.63,5.43
2,reg,dtree,min,all,ALL_NO_3_2_1,0_30,included,basic,12.07,"{'max_depth': 5, 'min_samples_leaf': 50}",,,,,,,11.84,0.35
3,reg,rforest,min,all,ALL_NO_3_2_1,0_30,included,basic,11.63,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,11.50,32.95
4,reg,xgb,min,all,ALL_NO_3_2_1,0_30,included,basic,11.59,{'n_estimators': 100},,,,,,,11.69,0.24
5,reg,gboosting,min,all,ALL_NO_3_2_1,0_30,included,basic,11.66,{'n_estimators': 50},,,,,,,11.63,0.45
6,reg,ada,min,all,ALL_NO_3_2_1,0_30,included,basic,13.35,{'n_estimators': 10},,,,,,,13.33,0.23
0,clf,kn,max,basic,ALL_YES_1_1_1,0_30,included,basic,0.79,{'n_neighbors': 31},0.80,0.77,0.80,0.66,720.00,197.00,"{'0': {'precision': 0.8011299435028248, 'recall': 0.9847222222222223, 'f1-score': 0.8834890965732086, 'support': 720}, '1': {'precision': 0.65625, 'recall': 0.1065989847715736, 'f1-score': 0.18340611353711792, 'support': 197}, 'micro avg': {'precision': 0.7960741548527808, 'recall': 0.7960741548527808, 'f1-score': 0.7960741548527809, 'support': 917}, 'macro avg': {'precision': 0.7286899717514124, 'recall': 0.5456606034968979, 'f1-score': 0.5334476050551633, 'support': 917}, 'weighted avg': {'precision': 0.7700052446259912, 'recall': 0.7960741548527808, 'f1-score': 0.7330895898577126, 'support': 917}}",1.53
1,clf,svc-rbf,max,basic,ALL_YES_1_1_1,0_30,included,basic,0.77,"{'C': 1, 'gamma': 1}",0.79,0.62,0.79,0.00,720.00,197.00,"{'0': {'precision': 0.7851690294438386, 'recall': 1.0, 'f1-score': 0.8796579108124618, 'support': 720}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 197}, 'micro avg': {'precision': 0.7851690294438386, 'recall': 0.7851690294438386, 'f1-score': 0.7851690294438386, 'support': 917}, 'macro avg': {'precision': 0.3925845147219193, 'recall': 0.5, 'f1-score': 0.4398289554062309, 'support': 917}, 'weighted avg': {'precision': 0.6164904047977795, 'recall': 0.7851690294438386, 'f1-score': 0.6906801480752154, 'support': 917}}",3.11
2,clf,dtree,max,basic,ALL_YES_1_1_1,0_30,included,basic,0.78,"{'max_depth': 3, 'min_samples_leaf': 200}",0.79,0.75,0.81,0.55,720.00,197.00,"{'0': {'precision': 0.808634772462077, 'recall': 0.9625, 'f1-score': 0.8788839568801522, 'support': 720}, '1': {'precision': 0.55, 'recall': 0.16751269035532995, 'f1-score': 0.2568093385214008, 'support': 197}, 'micro avg': {'precision': 0.7917121046892039, 'recall': 0.7917121046892039, 'f1-score': 0.7917121046892039, 'support': 917}, 'macro avg': {'precision': 0.6793173862310385, 'recall': 0.565006345177665, 'f1-score': 0.5678466477007765, 'support': 917}, 'weighted avg': {'precision': 0.753072013274477, 'recall': 0.7917121046892039, 'f1-score': 0.7452430628597879, 'support': 917}}",0.25
3,clf,rforest,max,basic,ALL_YES_1_1_1,0_30,included,basic,0.79,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 200}",0.79,0.78,0.79,0.71,720.00,197.00,"{'0': {'precision': 0.7929125138427464, 'recall': 0.9944444444444445, 'f1-score': 0.8823166974738139, 'support': 720}, '1': {'precision': 0.7142857142857143, 'recall': 0.050761421319796954, 'f1-score': 0.0947867298578199, 'support': 197}, 'micro avg': {'precision': 0.7917121046892039, 'recall': 0.7917121046892039, 'f1-score': 0.7917121046892039, 'support': 917}, 'macro avg': {'precision': 0.7535991140642304, 'recall': 0.5226029328821207, 'f1-score': 0.4885517136658169, 'support': 917}, 'weighted avg': {'precision': 0.7760210421821845, 'recall': 0.7917121046892039, 'f1-score': 0.7131308701888075, 'support': 917}}",14.10
4,clf,xgb,max,basic,ALL_YES_1_1_1,0_30,included,basic,0.79,{'n_estimators': 100},0.81,0.79,0.82,0.69,720.00,197.00,"{'0': {'precision': 0.8172293364377182, 'recall': 0.975, 'f1-score': 0.8891703609879671, 'support': 720}, '1': {'precision': 0.6896551724137931, 'recall': 0.20304568527918782, 'f1-score': 0.3137254901960785, 'support': 197}, 'micro avg': {'precision': 0.8091603053435115, 'recall': 0.8091603053435115, 'f1-score': 0.8091603053435116, 'support': 917}, 'macro avg': {'precision': 0.7534422544257557, 'recall': 0.5890228426395939, 'f1-score': 0.6014479255920228, 'support': 917}, 'weighted avg': {'precision': 0.7898224549625674, 'recall': 0.8091603053435115, 'f1-score': 0.7655469808941808, 'support': 917}}",0.17
5,clf,gboosting,max,basic,ALL_YES_1_1_1,0_30,included,basic,0.79,{'n_estimators': 50},0.81,0.79,0.81,0.74,720.00,197.00,"{'0': {'precision': 0.8102857142857143, 'recall': 0.9847222222222223, 'f1-score': 0.8890282131661442, 'support': 720}, '1': {'precision': 0.7380952380952381, 'recall': 0.15736040609137056, 'f1-score': 0.2594142259414226, 'support': 197}, 'micro avg': {'precision': 0.806979280261723, 'recall': 0.806979280261723, 'f1-score': 0.806979280261723, 'support': 917}, 'macro avg': {'precision': 0.7741904761904762, 'recall': 0.5710413141567964, 'f1-score': 0.5742212195537835, 'support': 917}, 'weighted avg': {'precision': 0.7947769642208028, 'recall': 0.806979280261723, 'f1-score': 0.7537676292149227, 'support': 917}}",0.37
6,clf,ada,max,basic,ALL_YES_1_1_1,0_30,included,basic,0.78,{'n_estimators': 100},0.81,0.79,0.83,0.65,720.00,197.00,"{'0': {'precision': 0.82953181272509, 'recall': 0.9597222222222223, 'f1-score': 0.8898905344494528, 'support': 720}, '1': {'precision': 0.6547619047619048, 'recall': 0.27918781725888325, 'f1-score': 0.3914590747330961, 'support': 197}, 'micro avg': {'precision': 0.8135223555070883, 'recall': 0.8135223555070883, 'f1-score': 0.8135223555070883, 'support': 917}, 'macro avg': {'precision': 0.7421468587434974, 'recall': 0.6194550197405527, 'f1-score': 0.6406748045912745, 'support': 917}, 'weighted avg': {'precision': 0.791985823773348, 'recall': 0.8135223555070883, 'f1-score': 0.7828120202028636, 'support': 917}}",0.47
0,reg,kn,max,basic,ALL_YES_1_1_1,0_30,included,basic,10.88,{'n_neighbors': 21},,,,,,,9.89,1.40
1,reg,svr-rbf,max,basic,ALL_YES_1_1_1,0_30,included,basic,12.82,"{'C': 5, 'gamma': 1}",,,,,,,11.68,2.82
2,reg,dtree,max,basic,ALL_YES_1_1_1,0_30,included,basic,11.14,"{'max_depth': 5, 'min_samples_leaf': 30}",,,,,,,9.90,0.23
3,reg,rforest,max,basic,ALL_YES_1_1_1,0_30,included,basic,10.67,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,9.62,21.20
4,reg,xgb,max,basic,ALL_YES_1_1_1,0_30,included,basic,10.87,{'n_estimators': 100},,,,,,,9.67,0.17
5,reg,gboosting,max,basic,ALL_YES_1_1_1,0_30,included,basic,10.65,{'n_estimators': 100},,,,,,,9.60,0.30
6,reg,ada,max,basic,ALL_YES_1_1_1,0_30,included,basic,12.01,{'n_estimators': 10},,,,,,,11.12,0.32
0,clf,kn,min,basic,ALL_YES_1_1_1,0_30,included,basic,0.79,{'n_neighbors': 31},0.79,0.76,0.80,0.62,706.00,211.00,"{'0': {'precision': 0.7978971962616822, 'recall': 0.9674220963172805, 'f1-score': 0.8745198463508322, 'support': 706}, '1': {'precision': 0.6229508196721312, 'recall': 0.18009478672985782, 'f1-score': 0.27941176470588236, 'support': 211}, 'micro avg': {'precision': 0.7862595419847328, 'recall': 0.7862595419847328, 'f1-score': 0.7862595419847328, 'support': 917}, 'macro avg': {'precision': 0.7104240079669066, 'recall': 0.5737584415235691, 'f1-score': 0.5769658055283573, 'support': 917}, 'weighted avg': {'precision': 0.7576423593364965, 'recall': 0.7862595419847328, 'f1-score': 0.7375865800181338, 'support': 917}}",1.55
1,clf,svc-rbf,min,basic,ALL_YES_1_1_1,0_30,included,basic,0.77,"{'C': 1, 'gamma': 1}",0.77,0.59,0.77,0.00,706.00,211.00,"{'0': {'precision': 0.7699018538713195, 'recall': 1.0, 'f1-score': 0.8699938385705484, 'support': 706}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 211}, 'micro avg': {'precision': 0.7699018538713195, 'recall': 0.7699018538713195, 'f1-score': 0.7699018538713195, 'support': 917}, 'macro avg': {'precision': 0.38495092693565974, 'recall': 0.5, 'f1-score': 0.4349969192852742, 'support': 917}, 'weighted avg': {'precision': 0.5927488645944946, 'recall': 0.7699018538713195, 'f1-score': 0.6698098691720907, 'support': 917}}",3.07
2,clf,dtree,min,basic,ALL_YES_1_1_1,0_30,included,basic,0.80,"{'max_depth': 6, 'min_samples_leaf': 30}",0.79,0.77,0.82,0.60,706.00,211.00,"{'0': {'precision': 0.8203221809169765, 'recall': 0.9376770538243626, 'f1-score': 0.8750826173165895, 'support': 706}, '1': {'precision': 0.6, 'recall': 0.3127962085308057, 'f1-score': 0.411214953271028, 'support': 211}, 'micro avg': {'precision': 0.7938931297709924, 'recall': 0.7938931297709924, 'f1-score': 0.7938931297709924, 'support': 917}, 'macro avg': {'precision': 0.7101610904584883, 'recall': 0.6252366311775841, 'f1-score': 0.6431487852938088, 'support': 917}, 'weighted avg': {'precision': 0.7696264555369525, 'recall': 0.7938931297709924, 'f1-score': 0.7683475277706643, 'support': 917}}",0.25
3,clf,rforest,min,basic,ALL_YES_1_1_1,0_30,included,basic,0.79,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.79,0.76,0.80,0.61,706.00,211.00,"{'0': {'precision': 0.8, 'recall': 0.9631728045325779, 'f1-score': 0.8740359897172237, 'support': 706}, '1': {'precision': 0.6119402985074627, 'recall': 0.1943127962085308, 'f1-score': 0.2949640287769784, 'support': 211}, 'micro avg': {'precision': 0.7862595419847328, 'recall': 0.7862595419847328, 'f1-score': 0.7862595419847328, 'support': 917}, 'macro avg': {'precision': 0.7059701492537314, 'recall': 0.5787428003705544, 'f1-score': 0.5845000092471011, 'support': 917}, 'weighted avg': {'precision': 0.7567278113250542, 'recall': 0.7862595419847328, 'f1-score': 0.7407926050297736, 'support': 917}}",13.80
4,clf,xgb,min,basic,ALL_YES_1_1_1,0_30,included,basic,0.80,{'n_estimators': 100},0.79,0.77,0.81,0.62,706.00,211.00,"{'0': {'precision': 0.8140947752126367, 'recall': 0.9490084985835694, 'f1-score': 0.8763897972531066, 'support': 706}, '1': {'precision': 0.6170212765957447, 'recall': 0.27488151658767773, 'f1-score': 0.380327868852459, 'support': 211}, 'micro avg': {'precision': 0.7938931297709924, 'recall': 0.7938931297709924, 'f1-score': 0.7938931297709924, 'support': 917}, 'macro avg': {'precision': 0.7155580259041907, 'recall': 0.6119450075856235, 'f1-score': 0.6283588330527828, 'support': 917}, 'weighted avg': {'precision': 0.7687485285297968, 'recall': 0.7938931297709924, 'f1-score': 0.7622468671630993, 'support': 917}}",0.17
5,clf,gboosting,min,basic,ALL_YES_1_1_1,0_30,included,basic,0.80,{'n_estimators': 200},0.79,0.76,0.81,0.57,706.00,211.00,"{'0': {'precision': 0.8122699386503067, 'recall': 0.9376770538243626, 'f1-score': 0.8704799474030244, 'support': 706}, '1': {'precision': 0.5686274509803921, 'recall': 0.27488151658767773, 'f1-score': 0.37060702875399365, 'support': 211}, 'micro avg': {'precision': 0.7851690294438386, 'recall': 0.7851690294438386, 'f1-score': 0.7851690294438386, 'support': 917}, 'macro avg': {'precision': 0.6904486948153494, 'recall': 0.6062792852060201, 'f1-score': 0.620543488078509, 'support': 917}, 'weighted avg': {'precision': 0.7562082539192795, 'recall': 0.7851690294438386, 'f1-score': 0.7554601155219497, 'support': 917}}",0.41
6,clf,ada,min,basic,ALL_YES_1_1_1,0_30,included,basic,0.79,{'n_estimators': 50},0.80,0.77,0.82,0.63,706.00,211.00,"{'0': {'precision': 0.8170731707317073, 'recall': 0.9490084985835694, 'f1-score': 0.8781127129750982, 'support': 706}, '1': {'precision': 0.6288659793814433, 'recall': 0.2890995260663507, 'f1-score': 0.39610389610389607, 'support': 211}, 'micro avg': {'precision': 0.797164667393675, 'recall': 0.797164667393675, 'f1-score': 0.7971646673936749, 'support': 917}, 'macro avg': {'precision': 0.7229695750565752, 'recall': 0.61905401232496, 'f1-score': 0.6371083045394972, 'support': 917}, 'weighted avg': {'precision': 0.7737670449139258, 'recall': 0.797164667393675, 'f1-score': 0.767203377795356, 'support': 917}}",0.45
0,reg,kn,min,basic,ALL_YES_1_1_1,0_30,included,basic,11.39,{'n_neighbors': 31},,,,,,,10.19,1.39
1,reg,svr-rbf,min,basic,ALL_YES_1_1_1,0_30,included,basic,13.50,"{'C': 5, 'gamma': 1}",,,,,,,11.96,2.79
2,reg,dtree,min,basic,ALL_YES_1_1_1,0_30,included,basic,11.44,"{'max_depth': 5, 'min_samples_leaf': 20}",,,,,,,10.62,0.22
3,reg,rforest,min,basic,ALL_YES_1_1_1,0_30,included,basic,11.02,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,10.18,20.88
