,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
42,2007-02-15 13:00:00,44,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,7,3,1,8,-8,7,-10,4,-7,4,-7,6,-5,6,-4,15,-1,15,-6,26,-12,3,1
43,2007-02-16 10:00:00,58,-3.2,0,-1.1,0,0,0,1,0,0,1,1,0,0,2007,7,4,1,15,-7,7,-2,4,-3,4,-4,3,-4,4,-4,15,-5,17,-7,26,12,13,1
44,2007-02-21 10:00:00,7,-0.1,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,8,2,1,5,1,8,6,10,6,5,4,4,2,5,4,18,-2,20,3,13,5,12,1
45,2007-02-22 08:30:00,69,0.47,0,1.32,0,0,0,1,1,0,0,0,1,0,2007,8,3,1,7,-6,6,-4,4,-4,7,-11,6,-12,4,-10,15,-9,15,-6,18,13,22,2
46,2007-02-27 09:00:00,65,-0.4,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,4,-2,4,-2,4,-5,6,-4,7,-1,5,-5,13,-2,18,0,23,13,8,1
47,2007-02-28 09:45:00,10,-2.1,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,9,2,1,7,-6,5,-4,5,-4,6,1,6,-1,3,-2,19,0,30,-11,26,-12,14,1
48,2007-02-28 10:00:00,47,-143.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,9,2,1,6,5,6,3,3,2,6,3,5,2,14,-8,30,-14,30,-11,20,-1,9,1
49,2007-02-28 10:30:00,18,-0.33,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,14,-9,9,-1,5,-3,10,-1,8,3,13,11,27,6,33,15,30,-8,24,2
50,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,6,1,5,0,9,1,5,0,5,1,3,1,9,1,9,2,10,-1,15,1
51,2007-03-01 09:30:00,46,1.15,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,11,5,6,2,7,-3,4,0,7,2,13,-8,40,-21,60,-32,18,0,-52,0
