,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
2,clf,dtree,max,all,ALL_NO_1_1_1,60_180,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 250}",0.75,0.69,0.77,0.47,971.00,321.00,"{'0': {'precision': 0.7663088356729976, 'recall': 0.9557157569515963, 'f1-score': 0.8505957836846929, 'support': 971}, '1': {'precision': 0.4691358024691358, 'recall': 0.11838006230529595, 'f1-score': 0.1890547263681592, 'support': 321}, 'micro avg': {'precision': 0.7476780185758514, 'recall': 0.7476780185758514, 'f1-score': 0.7476780185758514, 'support': 1292}, 'macro avg': {'precision': 0.6177223190710667, 'recall': 0.5370479096284461, 'f1-score': 0.5198252550264261, 'support': 1292}, 'weighted avg': {'precision': 0.6924755975472704, 'recall': 0.7476780185758514, 'f1-score': 0.6862345767198266, 'support': 1292}}",0.62
3,clf,rforest,max,all,ALL_NO_1_1_1,60_180,included,basic,0.75,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 200}",0.76,0.71,0.76,0.58,971.00,321.00,"{'0': {'precision': 0.7601270849880858, 'recall': 0.9855818743563337, 'f1-score': 0.8582959641255605, 'support': 971}, '1': {'precision': 0.5757575757575758, 'recall': 0.059190031152647975, 'f1-score': 0.10734463276836158, 'support': 321}, 'micro avg': {'precision': 0.7554179566563467, 'recall': 0.7554179566563467, 'f1-score': 0.7554179566563468, 'support': 1292}, 'macro avg': {'precision': 0.6679423303728308, 'recall': 0.5223859527544908, 'f1-score': 0.48282029844696106, 'support': 1292}, 'weighted avg': {'precision': 0.7143201093975334, 'recall': 0.7554179566563467, 'f1-score': 0.6717205946474948, 'support': 1292}}",23.80
4,clf,xgb,max,all,ALL_NO_1_1_1,60_180,included,basic,0.75,{'n_estimators': 10},0.75,0.70,0.76,0.51,971.00,321.00,"{'0': {'precision': 0.7610264635124299, 'recall': 0.9773429454170958, 'f1-score': 0.8557258791704239, 'support': 971}, '1': {'precision': 0.5111111111111111, 'recall': 0.07165109034267912, 'f1-score': 0.12568306010928962, 'support': 321}, 'micro avg': {'precision': 0.7523219814241486, 'recall': 0.7523219814241486, 'f1-score': 0.7523219814241486, 'support': 1292}, 'macro avg': {'precision': 0.6360687873117705, 'recall': 0.5244970178798875, 'f1-score': 0.49070446963985676, 'support': 1292}, 'weighted avg': {'precision': 0.6989344912826905, 'recall': 0.7523219814241486, 'f1-score': 0.674345271648269, 'support': 1292}}",0.33
5,clf,gboosting,max,all,ALL_NO_1_1_1,60_180,included,basic,0.76,{'n_estimators': 50},0.75,0.71,0.77,0.51,971.00,321.00,"{'0': {'precision': 0.7716666666666666, 'recall': 0.9536560247167868, 'f1-score': 0.8530631045601106, 'support': 971}, '1': {'precision': 0.5108695652173914, 'recall': 0.14641744548286603, 'f1-score': 0.22760290556900725, 'support': 321}, 'micro avg': {'precision': 0.7530959752321982, 'recall': 0.7530959752321982, 'f1-score': 0.7530959752321982, 'support': 1292}, 'macro avg': {'precision': 0.641268115942029, 'recall': 0.5500367350998264, 'f1-score': 0.540333005064559, 'support': 1292}, 'weighted avg': {'precision': 0.7068711019877059, 'recall': 0.7530959752321982, 'f1-score': 0.6976662594547358, 'support': 1292}}",0.84
6,clf,ada,max,all,ALL_NO_1_1_1,60_180,included,basic,0.75,{'n_estimators': 50},0.75,0.71,0.78,0.50,971.00,321.00,"{'0': {'precision': 0.7756138865368332, 'recall': 0.9433573635427395, 'f1-score': 0.8513011152416357, 'support': 971}, '1': {'precision': 0.5045045045045045, 'recall': 0.17445482866043613, 'f1-score': 0.25925925925925924, 'support': 321}, 'micro avg': {'precision': 0.7523219814241486, 'recall': 0.7523219814241486, 'f1-score': 0.7523219814241486, 'support': 1292}, 'macro avg': {'precision': 0.6400591955206688, 'recall': 0.5589060961015878, 'f1-score': 0.5552801872504475, 'support': 1292}, 'weighted avg': {'precision': 0.7082562149947453, 'recall': 0.7523219814241486, 'f1-score': 0.7042071247073145, 'support': 1292}}",0.83
0,reg,kn,max,all,ALL_NO_1_1_1,60_180,included,basic,19.08,{'n_neighbors': 41},,,,,,,18.85,5.89
1,reg,svr-rbf,max,all,ALL_NO_1_1_1,60_180,included,basic,20.87,"{'C': 5, 'gamma': 1}",,,,,,,20.73,7.42
2,reg,dtree,max,all,ALL_NO_1_1_1,60_180,included,basic,18.70,"{'max_depth': 5, 'min_samples_leaf': 150}",,,,,,,18.78,0.60
3,reg,rforest,max,all,ALL_NO_1_1_1,60_180,included,basic,18.40,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,18.60,58.09
4,reg,xgb,max,all,ALL_NO_1_1_1,60_180,included,basic,18.58,{'n_estimators': 50},,,,,,,18.65,0.36
5,reg,gboosting,max,all,ALL_NO_1_1_1,60_180,included,basic,18.60,{'n_estimators': 50},,,,,,,18.60,0.77
6,reg,ada,max,all,ALL_NO_1_1_1,60_180,included,basic,20.53,{'n_estimators': 10},,,,,,,20.63,0.97
