,Unnamed: 0,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time,recall_above_TH,f1_above_TH,recall_below_TH,f1_below_TH
1386,0,clf,kn,min,all,ALL_NO_1_1_1,30_240,included,basic,0.77,{'n_neighbors': 121},0.76,0.82,0.76,1.0,981.0,311.0,"{'0': {'precision': 0.7604651162790698, 'recall': 1.0, 'f1-score': 0.8639365918097753, 'support': 981}, '1': {'precision': 1.0, 'recall': 0.006430868167202572, 'f1-score': 0.012779552715654953, 'support': 311}, 'micro avg': {'precision': 0.7608359133126935, 'recall': 0.7608359133126935, 'f1-score': 0.7608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.8802325581395349, 'recall': 0.5032154340836013, 'f1-score': 0.43835807226271517, 'support': 1292}, 'weighted avg': {'precision': 0.8181240550075598, 'recall': 0.7608359133126935, 'f1-score': 0.6590528153714849, 'support': 1292}}",5.33,0.01,0.01,1.0,0.86
1387,1,clf,svc-rbf,min,all,ALL_NO_1_1_1,30_240,included,basic,0.77,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,0.0,981.0,311.0,"{'0': {'precision': 0.7592879256965944, 'recall': 1.0, 'f1-score': 0.8631764188297404, 'support': 981}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.3796439628482972, 'recall': 0.5, 'f1-score': 0.4315882094148702, 'support': 1292}, 'weighted avg': {'precision': 0.576518154108637, 'recall': 0.7592879256965944, 'f1-score': 0.6553994325634483, 'support': 1292}}",7.6,0.0,0.0,1.0,0.86
1388,2,clf,dtree,min,all,ALL_NO_1_1_1,30_240,included,basic,0.77,"{'max_depth': 2, 'min_samples_leaf': 10}",0.76,0.58,0.76,0.0,981.0,311.0,"{'0': {'precision': 0.7592879256965944, 'recall': 1.0, 'f1-score': 0.8631764188297404, 'support': 981}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.3796439628482972, 'recall': 0.5, 'f1-score': 0.4315882094148702, 'support': 1292}, 'weighted avg': {'precision': 0.576518154108637, 'recall': 0.7592879256965944, 'f1-score': 0.6553994325634483, 'support': 1292}}",0.53,0.0,0.0,1.0,0.86
1389,3,clf,rforest,min,all,ALL_NO_1_1_1,30_240,included,basic,0.77,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 10}",0.76,0.72,0.77,0.55,981.0,311.0,"{'0': {'precision': 0.7691693290734825, 'recall': 0.981651376146789, 'f1-score': 0.8625167935512762, 'support': 981}, '1': {'precision': 0.55, 'recall': 0.0707395498392283, 'f1-score': 0.12535612535612536, 'support': 311}, 'micro avg': {'precision': 0.7623839009287926, 'recall': 0.7623839009287926, 'f1-score': 0.7623839009287926, 'support': 1292}, 'macro avg': {'precision': 0.6595846645367412, 'recall': 0.5261954629930087, 'f1-score': 0.4939364594537008, 'support': 1292}, 'weighted avg': {'precision': 0.7164126252485188, 'recall': 0.7623839009287926, 'f1-score': 0.6850733200151369, 'support': 1292}}",20.11,0.07,0.13,0.98,0.86
1390,4,clf,xgb,min,all,ALL_NO_1_1_1,30_240,included,basic,0.77,{'n_estimators': 100},0.76,0.7,0.77,0.48,981.0,311.0,"{'0': {'precision': 0.7744855967078189, 'recall': 0.9592252803261978, 'f1-score': 0.8570127504553734, 'support': 981}, '1': {'precision': 0.4805194805194805, 'recall': 0.1189710610932476, 'f1-score': 0.1907216494845361, 'support': 311}, 'micro avg': {'precision': 0.7569659442724458, 'recall': 0.7569659442724458, 'f1-score': 0.7569659442724458, 'support': 1292}, 'macro avg': {'precision': 0.6275025386136497, 'recall': 0.5390981707097227, 'f1-score': 0.5238671999699548, 'support': 1292}, 'weighted avg': {'precision': 0.703724403105208, 'recall': 0.7569659442724458, 'f1-score': 0.6966284374507834, 'support': 1292}}",0.36,0.12,0.19,0.96,0.86
1391,5,clf,gboosting,min,all,ALL_NO_1_1_1,30_240,included,basic,0.78,{'n_estimators': 200},0.75,0.7,0.78,0.46,981.0,311.0,"{'0': {'precision': 0.7795608108108109, 'recall': 0.9408766564729868, 'f1-score': 0.8526558891454966, 'support': 981}, '1': {'precision': 0.46296296296296297, 'recall': 0.1607717041800643, 'f1-score': 0.23866348448687352, 'support': 311}, 'micro avg': {'precision': 0.7530959752321982, 'recall': 0.7530959752321982, 'f1-score': 0.7530959752321982, 'support': 1292}, 'macro avg': {'precision': 0.6212618868868869, 'recall': 0.5508241803265256, 'f1-score': 0.545659686816185, 'support': 1292}, 'weighted avg': {'precision': 0.7033518861353614, 'recall': 0.7530959752321982, 'f1-score': 0.7048605038135834, 'support': 1292}}",0.88,0.16,0.24,0.94,0.85
1392,6,clf,ada,min,all,ALL_NO_1_1_1,30_240,included,basic,0.77,{'n_estimators': 50},0.75,0.7,0.78,0.44,981.0,311.0,"{'0': {'precision': 0.7772151898734178, 'recall': 0.9388379204892966, 'f1-score': 0.850415512465374, 'support': 981}, '1': {'precision': 0.4392523364485981, 'recall': 0.15112540192926044, 'f1-score': 0.22488038277511962, 'support': 311}, 'micro avg': {'precision': 0.7492260061919505, 'recall': 0.7492260061919505, 'f1-score': 0.7492260061919505, 'support': 1292}, 'macro avg': {'precision': 0.608233763161008, 'recall': 0.5449816612092785, 'f1-score': 0.5376479476202468, 'support': 1292}, 'weighted avg': {'precision': 0.6958634503880317, 'recall': 0.7492260061919505, 'f1-score': 0.699841653847983, 'support': 1292}}",0.84,0.15,0.22,0.94,0.85
1400,0,clf,kn,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_neighbors': 61},0.74,0.66,0.74,0.42,955.0,337.0,"{'0': {'precision': 0.740625, 'recall': 0.9926701570680628, 'f1-score': 0.8483221476510067, 'support': 955}, '1': {'precision': 0.4166666666666667, 'recall': 0.01483679525222552, 'f1-score': 0.028653295128939826, 'support': 337}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.5786458333333333, 'recall': 0.5037534761601442, 'f1-score': 0.4384877213899733, 'support': 1292}, 'weighted avg': {'precision': 0.6561250322497421, 'recall': 0.7376160990712074, 'f1-score': 0.634523073889446, 'support': 1292}}",5.41,0.01,0.03,0.99,0.85
1401,1,clf,svc-rbf,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,0.0,955.0,337.0,"{'0': {'precision': 0.7391640866873065, 'recall': 1.0, 'f1-score': 0.8500222518914108, 'support': 955}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 337}, 'micro avg': {'precision': 0.7391640866873065, 'recall': 0.7391640866873065, 'f1-score': 0.7391640866873065, 'support': 1292}, 'macro avg': {'precision': 0.36958204334365324, 'recall': 0.5, 'f1-score': 0.4250111259457054, 'support': 1292}, 'weighted avg': {'precision': 0.5463635470482799, 'recall': 0.7391640866873065, 'f1-score': 0.6283059214832023, 'support': 1292}}",7.35,0.0,0.0,1.0,0.85
1402,2,clf,dtree,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'max_depth': 3, 'min_samples_leaf': 20}",0.74,0.55,0.74,0.0,955.0,337.0,"{'0': {'precision': 0.7391640866873065, 'recall': 1.0, 'f1-score': 0.8500222518914108, 'support': 955}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 337}, 'micro avg': {'precision': 0.7391640866873065, 'recall': 0.7391640866873065, 'f1-score': 0.7391640866873065, 'support': 1292}, 'macro avg': {'precision': 0.36958204334365324, 'recall': 0.5, 'f1-score': 0.4250111259457054, 'support': 1292}, 'weighted avg': {'precision': 0.5463635470482799, 'recall': 0.7391640866873065, 'f1-score': 0.6283059214832023, 'support': 1292}}",0.54,0.0,0.0,1.0,0.85
1403,3,clf,rforest,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",0.74,0.69,0.75,0.54,955.0,337.0,"{'0': {'precision': 0.745253164556962, 'recall': 0.9863874345549738, 'f1-score': 0.8490310950878774, 'support': 955}, '1': {'precision': 0.5357142857142857, 'recall': 0.04451038575667656, 'f1-score': 0.08219178082191782, 'support': 337}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.6404837251356239, 'recall': 0.5154489101558252, 'f1-score': 0.4656114379548976, 'support': 1292}, 'weighted avg': {'precision': 0.6905978997195147, 'recall': 0.7407120743034056, 'f1-score': 0.6490118621872362, 'support': 1292}}",20.3,0.04,0.08,0.99,0.85
1404,4,clf,xgb,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_estimators': 100},0.74,0.69,0.75,0.49,955.0,337.0,"{'0': {'precision': 0.7547481420313791, 'recall': 0.9570680628272251, 'f1-score': 0.8439519852262235, 'support': 955}, '1': {'precision': 0.49382716049382713, 'recall': 0.11869436201780416, 'f1-score': 0.19138755980861247, 'support': 337}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.6242876512626031, 'recall': 0.5378812124225146, 'f1-score': 0.517669772517418, 'support': 1292}, 'weighted avg': {'precision': 0.6866905795095872, 'recall': 0.7383900928792569, 'f1-score': 0.6737397473270479, 'support': 1292}}",0.35,0.12,0.19,0.96,0.84
1405,5,clf,gboosting,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_estimators': 100},0.74,0.68,0.75,0.49,955.0,337.0,"{'0': {'precision': 0.7545454545454545, 'recall': 0.956020942408377, 'f1-score': 0.8434180138568128, 'support': 955}, '1': {'precision': 0.4878048780487805, 'recall': 0.11869436201780416, 'f1-score': 0.19093078758949883, 'support': 337}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.6211751662971174, 'recall': 0.5373576522130906, 'f1-score': 0.5171744007231558, 'support': 1292}, 'weighted avg': {'precision': 0.6849699326573901, 'recall': 0.7376160990712074, 'f1-score': 0.6732259122685119, 'support': 1292}}",0.81,0.12,0.19,0.96,0.84
1406,6,clf,ada,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_estimators': 10},0.73,0.67,0.75,0.45,955.0,337.0,"{'0': {'precision': 0.7508223684210527, 'recall': 0.956020942408377, 'f1-score': 0.841087056655919, 'support': 955}, '1': {'precision': 0.4473684210526316, 'recall': 0.10089020771513353, 'f1-score': 0.16464891041162227, 'support': 337}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.5990953947368421, 'recall': 0.5284555750617552, 'f1-score': 0.5028679835337706, 'support': 1292}, 'weighted avg': {'precision': 0.6716706809108686, 'recall': 0.7329721362229102, 'f1-score': 0.6646476949807425, 'support': 1292}}",0.8,0.1,0.16,0.96,0.84
1414,0,clf,kn,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,{'n_neighbors': 121},0.76,0.82,0.76,1.0,981.0,311.0,"{'0': {'precision': 0.7598760650658405, 'recall': 1.0, 'f1-score': 0.863556338028169, 'support': 981}, '1': {'precision': 1.0, 'recall': 0.003215434083601286, 'f1-score': 0.00641025641025641, 'support': 311}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.8799380325329202, 'recall': 0.5016077170418006, 'f1-score': 0.4349832972192127, 'support': 1292}, 'weighted avg': {'precision': 0.8176767955337381, 'recall': 0.760061919504644, 'f1-score': 0.6572309267408851, 'support': 1292}}",5.65,0.0,0.01,1.0,0.86
1415,1,clf,svc-rbf,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,0.0,981.0,311.0,"{'0': {'precision': 0.7592879256965944, 'recall': 1.0, 'f1-score': 0.8631764188297404, 'support': 981}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.3796439628482972, 'recall': 0.5, 'f1-score': 0.4315882094148702, 'support': 1292}, 'weighted avg': {'precision': 0.576518154108637, 'recall': 0.7592879256965944, 'f1-score': 0.6553994325634483, 'support': 1292}}",7.49,0.0,0.0,1.0,0.86
1416,2,clf,dtree,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'max_depth': 2, 'min_samples_leaf': 10}",0.76,0.58,0.76,0.0,981.0,311.0,"{'0': {'precision': 0.7592879256965944, 'recall': 1.0, 'f1-score': 0.8631764188297404, 'support': 981}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.3796439628482972, 'recall': 0.5, 'f1-score': 0.4315882094148702, 'support': 1292}, 'weighted avg': {'precision': 0.576518154108637, 'recall': 0.7592879256965944, 'f1-score': 0.6553994325634483, 'support': 1292}}",0.54,0.0,0.0,1.0,0.86
1417,3,clf,rforest,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.75,0.67,0.76,0.38,981.0,311.0,"{'0': {'precision': 0.7631160572337043, 'recall': 0.9785932721712538, 'f1-score': 0.8575256811076374, 'support': 981}, '1': {'precision': 0.38235294117647056, 'recall': 0.04180064308681672, 'f1-score': 0.07536231884057971, 'support': 311}, 'micro avg': {'precision': 0.7530959752321982, 'recall': 0.7530959752321982, 'f1-score': 0.7530959752321982, 'support': 1292}, 'macro avg': {'precision': 0.5727344992050875, 'recall': 0.5101969576290353, 'f1-score': 0.46644399997410857, 'support': 1292}, 'weighted avg': {'precision': 0.6714617777493392, 'recall': 0.7530959752321982, 'f1-score': 0.6692495157322079, 'support': 1292}}",20.26,0.04,0.08,0.98,0.86
1418,4,clf,xgb,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.78,{'n_estimators': 100},0.76,0.71,0.78,0.51,981.0,311.0,"{'0': {'precision': 0.7775020678246485, 'recall': 0.9582059123343527, 'f1-score': 0.8584474885844748, 'support': 981}, '1': {'precision': 0.5060240963855421, 'recall': 0.13504823151125403, 'f1-score': 0.21319796954314724, 'support': 311}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.6417630821050953, 'recall': 0.5466270719228034, 'f1-score': 0.535822729063811, 'support': 1292}, 'weighted avg': {'precision': 0.7121540421918606, 'recall': 0.760061919504644, 'f1-score': 0.7031281384127621, 'support': 1292}}",0.35,0.14,0.21,0.96,0.86
1419,5,clf,gboosting,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.78,{'n_estimators': 50},0.76,0.71,0.77,0.51,981.0,311.0,"{'0': {'precision': 0.7725426482534524, 'recall': 0.9694189602446484, 'f1-score': 0.8598553345388789, 'support': 981}, '1': {'precision': 0.5081967213114754, 'recall': 0.09967845659163987, 'f1-score': 0.16666666666666669, 'support': 311}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.6403696847824639, 'recall': 0.5345487084181442, 'f1-score': 0.5132610006027728, 'support': 1292}, 'weighted avg': {'precision': 0.7089113918455926, 'recall': 0.760061919504644, 'f1-score': 0.6929964524117442, 'support': 1292}}",0.8,0.1,0.17,0.97,0.86
1420,6,clf,ada,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,{'n_estimators': 100},0.74,0.69,0.78,0.42,981.0,311.0,"{'0': {'precision': 0.7770212765957447, 'recall': 0.9306829765545361, 'f1-score': 0.846938775510204, 'support': 981}, '1': {'precision': 0.4188034188034188, 'recall': 0.15755627009646303, 'f1-score': 0.22897196261682243, 'support': 311}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.5979123476995818, 'recall': 0.5441196233254996, 'f1-score': 0.5379553690635133, 'support': 1292}, 'weighted avg': {'precision': 0.6907939129940316, 'recall': 0.7445820433436533, 'f1-score': 0.6981867021279736, 'support': 1292}}",0.83,0.16,0.23,0.93,0.85
1428,0,clf,kn,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_neighbors': 61},0.74,0.66,0.74,0.42,955.0,337.0,"{'0': {'precision': 0.740625, 'recall': 0.9926701570680628, 'f1-score': 0.8483221476510067, 'support': 955}, '1': {'precision': 0.4166666666666667, 'recall': 0.01483679525222552, 'f1-score': 0.028653295128939826, 'support': 337}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.5786458333333333, 'recall': 0.5037534761601442, 'f1-score': 0.4384877213899733, 'support': 1292}, 'weighted avg': {'precision': 0.6561250322497421, 'recall': 0.7376160990712074, 'f1-score': 0.634523073889446, 'support': 1292}}",5.61,0.01,0.03,0.99,0.85
1429,1,clf,svc-rbf,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,0.0,955.0,337.0,"{'0': {'precision': 0.7391640866873065, 'recall': 1.0, 'f1-score': 0.8500222518914108, 'support': 955}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 337}, 'micro avg': {'precision': 0.7391640866873065, 'recall': 0.7391640866873065, 'f1-score': 0.7391640866873065, 'support': 1292}, 'macro avg': {'precision': 0.36958204334365324, 'recall': 0.5, 'f1-score': 0.4250111259457054, 'support': 1292}, 'weighted avg': {'precision': 0.5463635470482799, 'recall': 0.7391640866873065, 'f1-score': 0.6283059214832023, 'support': 1292}}",7.33,0.0,0.0,1.0,0.85
1430,2,clf,dtree,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'max_depth': 3, 'min_samples_leaf': 20}",0.74,0.55,0.74,0.0,955.0,337.0,"{'0': {'precision': 0.7391640866873065, 'recall': 1.0, 'f1-score': 0.8500222518914108, 'support': 955}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 337}, 'micro avg': {'precision': 0.7391640866873065, 'recall': 0.7391640866873065, 'f1-score': 0.7391640866873065, 'support': 1292}, 'macro avg': {'precision': 0.36958204334365324, 'recall': 0.5, 'f1-score': 0.4250111259457054, 'support': 1292}, 'weighted avg': {'precision': 0.5463635470482799, 'recall': 0.7391640866873065, 'f1-score': 0.6283059214832023, 'support': 1292}}",0.54,0.0,0.0,1.0,0.85
1431,3,clf,rforest,max,all,ALL_NO_3_2_1,30_240,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",0.74,0.69,0.75,0.54,955.0,337.0,"{'0': {'precision': 0.745253164556962, 'recall': 0.9863874345549738, 'f1-score': 0.8490310950878774, 'support': 955}, '1': {'precision': 0.5357142857142857, 'recall': 0.04451038575667656, 'f1-score': 0.08219178082191782, 'support': 337}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.6404837251356239, 'recall': 0.5154489101558252, 'f1-score': 0.4656114379548976, 'support': 1292}, 'weighted avg': {'precision': 0.6905978997195147, 'recall': 0.7407120743034056, 'f1-score': 0.6490118621872362, 'support': 1292}}",20.36,0.04,0.08,0.99,0.85
1432,4,clf,xgb,max,all,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_estimators': 100},0.74,0.69,0.75,0.49,955.0,337.0,"{'0': {'precision': 0.7547481420313791, 'recall': 0.9570680628272251, 'f1-score': 0.8439519852262235, 'support': 955}, '1': {'precision': 0.49382716049382713, 'recall': 0.11869436201780416, 'f1-score': 0.19138755980861247, 'support': 337}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.6242876512626031, 'recall': 0.5378812124225146, 'f1-score': 0.517669772517418, 'support': 1292}, 'weighted avg': {'precision': 0.6866905795095872, 'recall': 0.7383900928792569, 'f1-score': 0.6737397473270479, 'support': 1292}}",0.35,0.12,0.19,0.96,0.84
1433,5,clf,gboosting,max,all,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_estimators': 100},0.74,0.68,0.75,0.49,955.0,337.0,"{'0': {'precision': 0.7545454545454545, 'recall': 0.956020942408377, 'f1-score': 0.8434180138568128, 'support': 955}, '1': {'precision': 0.4878048780487805, 'recall': 0.11869436201780416, 'f1-score': 0.19093078758949883, 'support': 337}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.6211751662971174, 'recall': 0.5373576522130906, 'f1-score': 0.5171744007231558, 'support': 1292}, 'weighted avg': {'precision': 0.6849699326573901, 'recall': 0.7376160990712074, 'f1-score': 0.6732259122685119, 'support': 1292}}",0.82,0.12,0.19,0.96,0.84
1434,6,clf,ada,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_estimators': 10},0.73,0.67,0.75,0.45,955.0,337.0,"{'0': {'precision': 0.7508223684210527, 'recall': 0.956020942408377, 'f1-score': 0.841087056655919, 'support': 955}, '1': {'precision': 0.4473684210526316, 'recall': 0.10089020771513353, 'f1-score': 0.16464891041162227, 'support': 337}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.5990953947368421, 'recall': 0.5284555750617552, 'f1-score': 0.5028679835337706, 'support': 1292}, 'weighted avg': {'precision': 0.6716706809108686, 'recall': 0.7329721362229102, 'f1-score': 0.6646476949807425, 'support': 1292}}",0.79,0.1,0.16,0.96,0.84
1442,0,clf,kn,min,all,ALL_NO_3_2_1,30_240,included,basic,0.77,{'n_neighbors': 121},0.76,0.82,0.76,1.0,981.0,311.0,"{'0': {'precision': 0.7598760650658405, 'recall': 1.0, 'f1-score': 0.863556338028169, 'support': 981}, '1': {'precision': 1.0, 'recall': 0.003215434083601286, 'f1-score': 0.00641025641025641, 'support': 311}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.8799380325329202, 'recall': 0.5016077170418006, 'f1-score': 0.4349832972192127, 'support': 1292}, 'weighted avg': {'precision': 0.8176767955337381, 'recall': 0.760061919504644, 'f1-score': 0.6572309267408851, 'support': 1292}}",6.31,0.0,0.01,1.0,0.86
1443,1,clf,svc-rbf,min,all,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,0.0,981.0,311.0,"{'0': {'precision': 0.7592879256965944, 'recall': 1.0, 'f1-score': 0.8631764188297404, 'support': 981}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.3796439628482972, 'recall': 0.5, 'f1-score': 0.4315882094148702, 'support': 1292}, 'weighted avg': {'precision': 0.576518154108637, 'recall': 0.7592879256965944, 'f1-score': 0.6553994325634483, 'support': 1292}}",7.62,0.0,0.0,1.0,0.86
1444,2,clf,dtree,min,all,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'max_depth': 2, 'min_samples_leaf': 10}",0.76,0.58,0.76,0.0,981.0,311.0,"{'0': {'precision': 0.7592879256965944, 'recall': 1.0, 'f1-score': 0.8631764188297404, 'support': 981}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.3796439628482972, 'recall': 0.5, 'f1-score': 0.4315882094148702, 'support': 1292}, 'weighted avg': {'precision': 0.576518154108637, 'recall': 0.7592879256965944, 'f1-score': 0.6553994325634483, 'support': 1292}}",0.54,0.0,0.0,1.0,0.86
1445,3,clf,rforest,min,all,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.75,0.67,0.76,0.38,981.0,311.0,"{'0': {'precision': 0.7631160572337043, 'recall': 0.9785932721712538, 'f1-score': 0.8575256811076374, 'support': 981}, '1': {'precision': 0.38235294117647056, 'recall': 0.04180064308681672, 'f1-score': 0.07536231884057971, 'support': 311}, 'micro avg': {'precision': 0.7530959752321982, 'recall': 0.7530959752321982, 'f1-score': 0.7530959752321982, 'support': 1292}, 'macro avg': {'precision': 0.5727344992050875, 'recall': 0.5101969576290353, 'f1-score': 0.46644399997410857, 'support': 1292}, 'weighted avg': {'precision': 0.6714617777493392, 'recall': 0.7530959752321982, 'f1-score': 0.6692495157322079, 'support': 1292}}",20.48,0.04,0.08,0.98,0.86
1446,4,clf,xgb,min,all,ALL_NO_3_2_1,30_240,included,basic,0.78,{'n_estimators': 100},0.76,0.71,0.78,0.51,981.0,311.0,"{'0': {'precision': 0.7775020678246485, 'recall': 0.9582059123343527, 'f1-score': 0.8584474885844748, 'support': 981}, '1': {'precision': 0.5060240963855421, 'recall': 0.13504823151125403, 'f1-score': 0.21319796954314724, 'support': 311}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.6417630821050953, 'recall': 0.5466270719228034, 'f1-score': 0.535822729063811, 'support': 1292}, 'weighted avg': {'precision': 0.7121540421918606, 'recall': 0.760061919504644, 'f1-score': 0.7031281384127621, 'support': 1292}}",0.35,0.14,0.21,0.96,0.86
1447,5,clf,gboosting,min,all,ALL_NO_3_2_1,30_240,included,basic,0.78,{'n_estimators': 50},0.76,0.71,0.77,0.51,981.0,311.0,"{'0': {'precision': 0.7725426482534524, 'recall': 0.9694189602446484, 'f1-score': 0.8598553345388789, 'support': 981}, '1': {'precision': 0.5081967213114754, 'recall': 0.09967845659163987, 'f1-score': 0.16666666666666669, 'support': 311}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.6403696847824639, 'recall': 0.5345487084181442, 'f1-score': 0.5132610006027728, 'support': 1292}, 'weighted avg': {'precision': 0.7089113918455926, 'recall': 0.760061919504644, 'f1-score': 0.6929964524117442, 'support': 1292}}",0.81,0.1,0.17,0.97,0.86
