,Unnamed: 0,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time,recall_above_TH,f1_above_TH,recall_below_TH,f1_below_TH
734,6,clf,ada,max,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,{'n_estimators': 50},0.74,0.7,0.76,0.54,947.0,345.0,"{'0': {'precision': 0.7571669477234402, 'recall': 0.9482576557550159, 'f1-score': 0.8420065635255509, 'support': 947}, '1': {'precision': 0.5377358490566038, 'recall': 0.16521739130434782, 'f1-score': 0.2527716186252772, 'support': 345}, 'micro avg': {'precision': 0.7391640866873065, 'recall': 0.7391640866873065, 'f1-score': 0.7391640866873065, 'support': 1292}, 'macro avg': {'precision': 0.647451398390022, 'recall': 0.5567375235296819, 'f1-score': 0.547389091075414, 'support': 1292}, 'weighted avg': {'precision': 0.6985727302001751, 'recall': 0.7391640866873065, 'f1-score': 0.6846644149260196, 'support': 1292}}",0.81,0.17,0.25,0.95,0.84
742,0,clf,kn,min,basic,ALL_NO_3_2_1,30_120,included,basic,0.76,{'n_neighbors': 41},0.77,0.7,0.77,0.44,993.0,299.0,"{'0': {'precision': 0.7738095238095238, 'recall': 0.9818731117824774, 'f1-score': 0.8655126498002663, 'support': 993}, '1': {'precision': 0.4375, 'recall': 0.046822742474916385, 'f1-score': 0.08459214501510574, 'support': 299}, 'micro avg': {'precision': 0.7654798761609907, 'recall': 0.7654798761609907, 'f1-score': 0.7654798761609908, 'support': 1292}, 'macro avg': {'precision': 0.6056547619047619, 'recall': 0.5143479271286969, 'f1-score': 0.475052397407686, 'support': 1292}, 'weighted avg': {'precision': 0.6959793785935428, 'recall': 0.7654798761609907, 'f1-score': 0.6847887868507594, 'support': 1292}}",5.61,0.05,0.08,0.98,0.87
743,1,clf,svc-rbf,min,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.77,0.59,0.77,0.0,993.0,299.0,"{'0': {'precision': 0.7685758513931888, 'recall': 1.0, 'f1-score': 0.8691466083150985, 'support': 993}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 299}, 'micro avg': {'precision': 0.7685758513931888, 'recall': 0.7685758513931888, 'f1-score': 0.7685758513931888, 'support': 1292}, 'macro avg': {'precision': 0.3842879256965944, 'recall': 0.5, 'f1-score': 0.43457330415754925, 'support': 1292}, 'weighted avg': {'precision': 0.5907088393447651, 'recall': 0.7685758513931888, 'f1-score': 0.6680050944712792, 'support': 1292}}",7.42,0.0,0.0,1.0,0.87
744,2,clf,dtree,min,basic,ALL_NO_3_2_1,30_120,included,basic,0.76,"{'max_depth': 4, 'min_samples_leaf': 150}",0.76,0.71,0.79,0.44,993.0,299.0,"{'0': {'precision': 0.7868576242628476, 'recall': 0.9405840886203424, 'f1-score': 0.8568807339449541, 'support': 993}, '1': {'precision': 0.4380952380952381, 'recall': 0.15384615384615385, 'f1-score': 0.22772277227722776, 'support': 299}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.6124764311790428, 'recall': 0.5472151212332481, 'f1-score': 0.542301753111091, 'support': 1292}, 'weighted avg': {'precision': 0.7061455859779286, 'recall': 0.7585139318885449, 'f1-score': 0.7112783883268039, 'support': 1292}}",0.55,0.15,0.23,0.94,0.86
745,3,clf,rforest,min,basic,ALL_NO_3_2_1,30_120,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 50, 'n_estimators': 50}",0.77,0.72,0.78,0.52,993.0,299.0,"{'0': {'precision': 0.7810985460420032, 'recall': 0.973816717019134, 'f1-score': 0.8668758404303003, 'support': 993}, '1': {'precision': 0.5185185185185185, 'recall': 0.09364548494983277, 'f1-score': 0.15864022662889515, 'support': 299}, 'micro avg': {'precision': 0.7701238390092879, 'recall': 0.7701238390092879, 'f1-score': 0.770123839009288, 'support': 1292}, 'macro avg': {'precision': 0.6498085322802609, 'recall': 0.5337311009844834, 'f1-score': 0.5127580335295977, 'support': 1292}, 'weighted avg': {'precision': 0.7203311867312278, 'recall': 0.7701238390092879, 'f1-score': 0.7029730164932878, 'support': 1292}}",20.28,0.09,0.16,0.97,0.87
746,4,clf,xgb,min,basic,ALL_NO_3_2_1,30_120,included,basic,0.76,{'n_estimators': 100},0.77,0.73,0.79,0.52,993.0,299.0,"{'0': {'precision': 0.7927852348993288, 'recall': 0.9516616314199395, 'f1-score': 0.8649885583524027, 'support': 993}, '1': {'precision': 0.52, 'recall': 0.17391304347826086, 'f1-score': 0.2606516290726817, 'support': 299}, 'micro avg': {'precision': 0.771671826625387, 'recall': 0.771671826625387, 'f1-score': 0.771671826625387, 'support': 1292}, 'macro avg': {'precision': 0.6563926174496644, 'recall': 0.5627873374491001, 'f1-score': 0.5628200937125423, 'support': 1292}, 'weighted avg': {'precision': 0.7296561441602427, 'recall': 0.771671826625387, 'f1-score': 0.7251303990221887, 'support': 1292}}",0.35,0.17,0.26,0.95,0.86
747,5,clf,gboosting,min,basic,ALL_NO_3_2_1,30_120,included,basic,0.76,{'n_estimators': 100},0.76,0.72,0.79,0.47,993.0,299.0,"{'0': {'precision': 0.7920203735144312, 'recall': 0.9395770392749244, 'f1-score': 0.8595117457392907, 'support': 993}, '1': {'precision': 0.47368421052631576, 'recall': 0.1806020066889632, 'f1-score': 0.261501210653753, 'support': 299}, 'micro avg': {'precision': 0.7639318885448917, 'recall': 0.7639318885448917, 'f1-score': 0.7639318885448917, 'support': 1292}, 'macro avg': {'precision': 0.6328522920203735, 'recall': 0.5600895229819438, 'f1-score': 0.5605064781965219, 'support': 1292}, 'weighted avg': {'precision': 0.7183496980241475, 'recall': 0.7639318885448917, 'f1-score': 0.7211176667992165, 'support': 1292}}",0.83,0.18,0.26,0.94,0.86
748,6,clf,ada,min,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,{'n_estimators': 50},0.76,0.71,0.79,0.43,993.0,299.0,"{'0': {'precision': 0.7910576096302665, 'recall': 0.9264853977844915, 'f1-score': 0.8534322820037105, 'support': 993}, '1': {'precision': 0.43410852713178294, 'recall': 0.18729096989966554, 'f1-score': 0.2616822429906542, 'support': 299}, 'micro avg': {'precision': 0.7554179566563467, 'recall': 0.7554179566563467, 'f1-score': 0.7554179566563468, 'support': 1292}, 'macro avg': {'precision': 0.6125830683810247, 'recall': 0.5568881838420785, 'f1-score': 0.5575572624971823, 'support': 1292}, 'weighted avg': {'precision': 0.7084509721170726, 'recall': 0.7554179566563467, 'f1-score': 0.7164870330370666, 'support': 1292}}",0.81,0.19,0.26,0.93,0.85
756,0,clf,kn,max,all,ALL_NO_3_2_1,30_120,included,basic,0.75,{'n_neighbors': 61},0.74,0.75,0.74,0.78,947.0,345.0,"{'0': {'precision': 0.7365549493374902, 'recall': 0.9978880675818373, 'f1-score': 0.8475336322869955, 'support': 947}, '1': {'precision': 0.7777777777777778, 'recall': 0.020289855072463767, 'f1-score': 0.03954802259887006, 'support': 345}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.757166363557634, 'recall': 0.5090889613271505, 'f1-score': 0.4435408274429328, 'support': 1292}, 'weighted avg': {'precision': 0.7475625931547497, 'recall': 0.7368421052631579, 'f1-score': 0.6317789609693459, 'support': 1292}}",5.53,0.02,0.04,1.0,0.85
757,1,clf,svc-rbf,max,all,ALL_NO_3_2_1,30_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.54,0.73,0.0,947.0,345.0,"{'0': {'precision': 0.7329721362229102, 'recall': 1.0, 'f1-score': 0.8459133541759715, 'support': 947}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 345}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.3664860681114551, 'recall': 0.5, 'f1-score': 0.42295667708798573, 'support': 1292}, 'weighted avg': {'precision': 0.5372481524791765, 'recall': 0.7329721362229102, 'f1-score': 0.620030918269849, 'support': 1292}}",7.09,0.0,0.0,1.0,0.85
