,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after,direction_agg_0_120_after_predicted
52,2018-12-04 10:00:00,35,-1.88,1,0.0,0,0,0,1,1,0,0,0,1,0,2018,49,1,1,5,-2,4,-3,7,-3,4,-4,7,-11,7,-15,21,-11,42,-31,17,-4,-36,0,0
53,2018-12-06 08:15:00,0,-0.46,0,-0.24,0,0,0,1,1,0,0,0,0,1,2018,49,3,1,15,13,5,12,4,13,9,9,6,12,5,13,17,11,37,25,27,9,40,2,2
54,2018-12-06 08:30:00,66_67_59_60,-3.15,0,-5.32,1,2,0,2,4,0,0,0,4,0,2018,49,3,4,9,-4,6,-1,5,0,6,0,4,-1,5,-4,9,-1,37,21,23,19,40,2,2
55,2018-12-06 09:45:00,28,-0.8,0,-0.59,1,1,0,0,1,0,0,0,1,0,2018,49,3,1,5,-2,6,-1,9,4,9,4,6,0,10,8,14,0,24,6,38,28,-31,0,1
56,2018-12-06 10:00:00,22_38,-0.15999999999999992,1,-2.31,1,0,1,1,1,0,1,1,1,0,2018,49,3,2,9,0,6,-4,10,4,6,4,5,8,8,13,21,11,31,-1,40,32,-21,0,1
57,2018-12-06 11:00:00,16,-2.34,1,0.0,0,1,0,0,1,0,0,0,0,1,2018,49,3,1,8,-1,6,0,6,0,12,-12,4,-8,8,-12,16,-7,29,-10,36,-14,2,1,0
58,2018-12-07 08:30:00,46_68_1,-1.92,0,-2.2,1,1,0,2,1,0,2,3,0,0,2018,49,4,3,48,43,21,31,26,12,12,19,8,24,11,22,48,25,48,23,50,-3,18,2,2
59,2018-12-07 10:00:00,29_56,-1.1,0,-2.04,2,1,0,1,1,0,1,0,1,1,2018,49,4,2,7,-3,10,-9,9,-4,8,-2,5,-1,7,0,13,-1,16,-8,31,4,2,1,0
60,2018-12-07 10:30:00,44,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2018,49,4,1,9,-3,6,-2,4,-3,5,0,8,-8,14,5,14,-8,20,6,29,2,-1,1,1
61,2018-12-07 15:00:00,10,1.36,1,0.42,0,0,1,0,0,1,0,0,1,0,2018,49,4,1,10,-9,3,-12,2,-12,3,-11,2,-11,2,-12,13,-11,18,-17,15,14,-22,0,1
62,2018-12-10 10:00:00,41,-0.64,1,-1.05,0,0,0,1,1,0,0,0,1,0,2018,50,0,1,4,-2,8,-3,6,1,4,1,7,4,4,7,15,4,43,-10,17,-2,-43,0,0
63,2018-12-11 05:45:00,43,-3.19,2,0.0,0,0,0,1,1,0,0,0,1,0,2018,50,1,1,4,2,6,5,5,8,5,4,3,6,3,7,11,6,20,18,13,-2,9,1,2
64,2018-12-11 08:30:00,47_14,1.26,1,0.0,0,0,2,0,2,0,0,1,0,1,2018,50,1,2,6,-4,7,-5,6,-6,5,-8,4,-9,8,-12,17,-9,48,-37,18,-9,-52,0,1
65,2018-12-12 08:30:00,11_6,0.0,0,0.0,0,2,0,0,2,0,0,2,0,0,2018,50,2,2,10,5,9,11,8,11,10,16,6,17,3,18,22,17,22,3,39,17,29,2,2
66,2018-12-12 10:30:00,16,-0.85,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,50,2,1,8,3,5,-2,5,-6,3,-6,4,-5,9,-10,15,-3,20,-12,30,22,-9,1,1
67,2018-12-13 08:30:00,67_39,2.36,2,-0.96,0,0,1,1,2,0,0,0,2,0,2018,50,3,2,12,4,35,-28,20,-35,7,-36,7,-37,7,-36,49,-37,49,-22,32,4,-48,0,1
68,2018-12-13 10:30:00,44,-0.62,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,50,3,1,5,4,4,4,6,7,5,6,9,12,4,14,16,12,25,22,21,-10,24,2,2
69,2018-12-13 14:00:00,23,-1.19,1,0.0,0,0,0,1,1,0,0,0,1,0,2018,50,3,1,4,1,3,0,2,0,3,0,2,1,2,2,6,1,9,5,13,2,2,1,1
70,2018-12-14 08:30:00,15_58,0.25,0,1.96,2,1,1,0,0,2,0,2,0,0,2018,50,4,2,17,-12,7,-13,8,-16,3,-17,3,-18,4,-15,19,-17,19,-11,19,1,-2,1,1
71,2018-12-14 09:15:00,7_40,1.35,1,-4.52,3,1,1,0,0,0,2,0,2,0,2018,50,4,2,3,0,4,1,6,-3,6,1,5,1,5,5,9,1,17,11,20,-10,20,2,1
72,2018-12-14 09:45:00,30_31,-3.63,2,-1.9200000000000002,1,0,0,2,2,0,0,0,2,0,2018,50,4,2,8,4,5,5,5,2,5,3,4,6,3,4,8,6,12,4,19,9,14,2,1
73,2018-12-14 10:00:00,3,0.0,0,-2.83,1,1,0,0,0,0,1,0,1,0,2018,50,4,1,5,1,4,4,3,2,5,5,4,3,8,5,10,3,16,11,17,9,16,2,1
74,2018-12-17 08:30:00,19,-2.52,1,0.0,0,0,0,1,1,0,0,0,1,0,2018,51,0,1,6,5,7,4,5,9,5,5,4,7,5,8,10,7,17,-1,12,-2,-2,1,1
75,2018-12-17 10:00:00,42,-7.07,1,0.0,0,0,0,1,1,0,0,0,1,0,2018,51,0,1,5,-3,8,-10,6,-4,5,-6,3,-3,4,-2,11,-3,13,-7,15,-2,-5,1,1
76,2018-12-17 16:00:00,64,0.17,0,0.0,0,0,1,0,1,0,0,0,1,0,2018,51,0,1,1,1,2,0,1,-1,2,1,0,1,1,1,3,1,4,1,4,-3,3,1,1
77,2018-12-18 08:30:00,2_34,2.07,1,-2.02,0,0,2,0,2,0,0,0,1,1,2018,51,1,2,6,-2,4,-2,4,-1,6,4,5,7,7,1,13,8,18,-8,14,-7,-8,1,0
78,2018-12-19 08:30:00,17,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,51,2,1,4,-2,5,2,4,3,3,6,4,2,5,1,10,3,21,12,10,0,39,2,1
79,2018-12-19 10:00:00,21,2.41,1,0.0,0,0,1,0,1,0,0,0,1,0,2018,51,2,1,6,-2,4,1,4,-1,5,4,6,9,5,5,15,8,19,-5,29,25,-6,1,1
80,2018-12-19 10:30:00,16,-0.9,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,51,2,1,9,-4,6,-7,4,-5,5,-7,7,-9,6,-13,16,-9,16,-6,22,17,-14,0,1
81,2018-12-19 14:00:00,24,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2018,51,2,1,47,-37,21,-31,12,-41,13,-46,8,-43,10,-40,51,-43,66,-55,55,3,-54,0,0
82,2018-12-20 08:30:00,67_51,-0.9700000000000001,1,0.0,1,1,0,1,2,0,0,0,2,0,2018,51,3,2,6,6,7,7,4,7,6,6,10,-2,12,-8,19,-2,19,-7,12,-7,-16,0,1
83,2018-12-20 10:00:00,5,1.53,1,-3.27,1,0,1,0,0,0,1,0,1,0,2018,51,3,1,9,-6,8,-12,5,-9,2,-11,4,-11,10,-18,19,-11,47,-44,21,-5,-22,0,0
84,2018-12-20 10:30:00,44,-0.78,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,51,3,1,14,-10,5,-12,3,-13,6,-16,11,-26,19,-15,29,-26,29,-15,36,-16,25,2,0
85,2018-12-21 08:30:00,12_18_26_25,-7.5600000000000005,0,-5.24,0,1,0,3,4,0,0,2,1,1,2018,51,4,4,8,2,7,2,5,2,4,0,4,-2,3,0,11,-2,16,10,25,8,-23,0,0
86,2018-12-21 10:00:00,13_50_49_61,-0.009999999999999898,0,1.41,2,0,2,2,3,1,0,0,1,3,2018,51,4,4,8,5,8,-2,12,5,5,6,24,-14,11,-13,29,-14,34,1,24,-11,1,1,0
87,2018-12-26 09:00:00,63,1.2,0,-1.83,0,0,1,0,1,0,0,0,1,0,2018,52,2,1,5,2,6,-3,4,-4,7,2,6,2,3,1,10,2,12,-4,14,7,22,2,1
88,2018-12-26 09:59:00,62,-3.47,1,0.0,0,0,0,1,1,0,0,0,1,0,2018,52,2,1,10,9,7,14,3,17,6,22,7,18,3,20,23,18,29,26,13,-6,22,2,2
89,2018-12-27 08:30:00,67,-0.08,0,-1.45,0,1,0,0,1,0,0,0,1,0,2018,52,3,1,7,-4,7,0,13,9,5,12,11,16,10,14,28,16,28,14,29,-4,40,2,2
90,2018-12-27 09:00:00,33,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,52,3,1,6,-4,5,-1,5,0,4,-1,3,0,5,-5,7,0,44,9,37,20,16,2,1
91,2018-12-27 10:00:00,4,-1.7,1,1.39,0,0,0,1,0,1,0,1,0,0,2018,52,3,1,12,-9,4,-9,9,-16,8,-13,9,-11,10,-11,19,-11,37,-21,44,41,-28,0,1
92,2018-12-28 09:45:00,8,0.98,1,0.0,0,0,1,0,1,0,0,0,0,1,2018,52,4,1,10,2,8,9,10,3,8,0,8,-5,5,-2,17,-5,24,0,25,6,-6,1,1
93,2018-12-28 10:00:00,48,-0.97,0,0.0,0,0,0,1,1,0,0,0,1,0,2018,52,4,1,8,-3,8,-8,5,-5,11,-15,6,-12,3,-9,20,-12,24,-14,22,-10,-8,1,0
94,2018-12-28 10:30:00,44,-0.31,1,0.0,0,1,0,0,1,0,0,0,1,0,2018,52,4,1,6,1,7,6,13,-5,17,0,10,-5,8,-8,22,-5,25,2,29,-19,-5,1,1
95,2018-12-28 11:00:00,16,-1.72,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,52,4,1,14,6,5,8,5,5,4,5,6,10,3,9,18,10,18,9,25,-14,1,1,1
