,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
6,clf,ada,all,High_NO_1_1_1,60_120,included,basic,0.62,{'n_estimators': 10},0.63,"[66.86046511627907, 59.09090909090909, 65.67164179104478]","[172, 198, 134]",504,0.29
0,clf,kn,basic,High_YES_1_1_1,60_120,included,basic,0.65,{'n_neighbors': 41},0.63,"[49.107142857142854, 75.42857142857143, 55.88235294117647]","[112, 175, 102]",389,0.23
1,clf,svc-rbf,basic,High_YES_1_1_1,60_120,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.45,"[0.0, 100.0, 0.0]","[112, 175, 102]",389,0.44
2,clf,dtree,basic,High_YES_1_1_1,60_120,included,basic,0.63,"{'max_depth': 3, 'min_samples_leaf': 200}",0.62,"[61.607142857142854, 59.42857142857143, 67.6470588235294]","[112, 175, 102]",389,0.09
3,clf,rforest,basic,High_YES_1_1_1,60_120,included,basic,0.64,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 10}",0.62,"[58.035714285714285, 71.42857142857143, 51.96078431372549]","[112, 175, 102]",389,5.25
4,clf,xgb,basic,High_YES_1_1_1,60_120,included,basic,0.65,{'n_estimators': 10},0.63,"[63.392857142857146, 63.42857142857143, 61.76470588235294]","[112, 175, 102]",389,0.40
5,clf,gboosting,basic,High_YES_1_1_1,60_120,included,basic,0.64,{'n_estimators': 10},0.64,"[61.607142857142854, 69.14285714285714, 57.84313725490196]","[112, 175, 102]",389,0.61
6,clf,ada,basic,High_YES_1_1_1,60_120,included,basic,0.62,{'n_estimators': 10},0.62,"[57.142857142857146, 62.285714285714285, 67.6470588235294]","[112, 175, 102]",389,0.23
0,clf,kn,all,High_YES_1_1_1,60_120,included,basic,0.64,{'n_neighbors': 51},0.60,"[46.42857142857143, 73.14285714285714, 53.92156862745098]","[112, 175, 102]",389,0.28
1,clf,svc-rbf,all,High_YES_1_1_1,60_120,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.45,"[0.0, 100.0, 0.0]","[112, 175, 102]",389,0.49
2,clf,dtree,all,High_YES_1_1_1,60_120,included,basic,0.63,"{'max_depth': 3, 'min_samples_leaf': 200}",0.62,"[61.607142857142854, 59.42857142857143, 67.6470588235294]","[112, 175, 102]",389,0.11
3,clf,rforest,all,High_YES_1_1_1,60_120,included,basic,0.64,"{'max_depth': 3, 'min_samples_leaf': 100, 'n_estimators': 10}",0.63,"[56.25, 66.28571428571429, 65.68627450980392]","[112, 175, 102]",389,4.03
4,clf,xgb,all,High_YES_1_1_1,60_120,included,basic,0.64,{'n_estimators': 10},0.62,"[63.392857142857146, 62.285714285714285, 61.76470588235294]","[112, 175, 102]",389,0.29
5,clf,gboosting,all,High_YES_1_1_1,60_120,included,basic,0.64,{'n_estimators': 10},0.62,"[58.035714285714285, 66.85714285714286, 58.8235294117647]","[112, 175, 102]",389,0.43
6,clf,ada,all,High_YES_1_1_1,60_120,included,basic,0.62,{'n_estimators': 50},0.59,"[54.464285714285715, 58.285714285714285, 65.68627450980392]","[112, 175, 102]",389,0.16
