,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
24,24.4%,CNY,"Tuesday, December 27, 2011",,-,Medium,CNY Industrial Profits YTD (YoY) (NOV),25.3%,-,02:00
25,4.5%,JPY,"Tuesday, December 27, 2011",,-,Low,JPY Vehicle Production (YoY) (NOV),20.3%,-,04:00
26,21.0%,JPY,"Tuesday, December 27, 2011",,-,Low,JPY Construction Orders (YoY) (NOV),24.3%,-,05:00
27,0.845M,JPY,"Tuesday, December 27, 2011",0.802M,u,Low,JPY Annualized Housing Starts (NOV),0.774M,-,05:00
28,-0.3%,JPY,"Tuesday, December 27, 2011",-4.9%,u,Low,JPY Housing Starts (YoY) (NOV),-5.8%,-,05:00
29,45.6,JPY,"Tuesday, December 27, 2011",,-,Low,JPY Small Business Confidence (DEC),45.8,-,05:00
30,0.81,CHF,"Tuesday, December 27, 2011",,-,Medium,CHF UBS Consumption Indicator (NOV),0.90,u,07:00
31,-0.62%,USD,"Tuesday, December 27, 2011",-0.40%,d,Low,USD S&P/CS 20 City s.a. (MoM) (OCT),-0.66%,d,14:00
32,-3.40%,USD,"Tuesday, December 27, 2011",-3.20%,d,Low,USD S&P/Case-Shiller Composite-20 (YoY) (OCT),-3.54%,u,14:00
33,140.3,USD,"Tuesday, December 27, 2011",,-,Low,USD S&P/Case-Shiller Home Price Index (OCT),142.04,u,14:00
34,64.5,USD,"Tuesday, December 27, 2011",58.5,u,High,USD Consumer Confidence (DEC),55.2,d,15:00
35,3,USD,"Tuesday, December 27, 2011",5,d,Low,USD Richmond Fed Manufacturing Index (DEC),0,-,15:00
36,-3.0,USD,"Tuesday, December 27, 2011",4.5,d,Low,USD Dallas Fed Manufacturing Activity (DEC),3.2,-,15:30
37,0.69,JPY,"Tuesday, December 27, 2011",0.68,-,Low,JPY Job-To-Applicant Ratio (NOV),0.67,-,23:30
38,-3.2%,JPY,"Tuesday, December 27, 2011",-1.2%,d,Medium,JPY Household Spending (YoY) (NOV),-0.4%,-,23:30
39,4.5%,JPY,"Tuesday, December 27, 2011",4.5%,-,Medium,JPY Jobless Rate (NOV),4.5%,-,23:30
40,-0.4%,JPY,"Tuesday, December 27, 2011",-0.6%,u,Low,JPY Tokyo Consumer Price Index (YoY) (DEC),-0.9%,d,23:30
41,-0.3%,JPY,"Tuesday, December 27, 2011",-0.4%,u,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (DEC),-0.5%,-,23:30
42,-1.1%,JPY,"Tuesday, December 27, 2011",-1.0%,d,Low,"JPY Tokyo Consumer Price Index Ex Food, Energy (YoY) (DEC)",-1.2%,d,23:30
43,-0.5%,JPY,"Tuesday, December 27, 2011",-0.4%,d,Medium,JPY National Consumer Price Index (YoY) (NOV),-0.2%,-,23:30
44,-0.3%,JPY,"Tuesday, December 27, 2011",-0.2%,d,Medium,JPY National Consumer Price Index Ex-Fresh Food (YoY) (NOV),-0.1%,-,23:30
45,-1.1%,JPY,"Tuesday, December 27, 2011",-1.1%,-,Medium,"JPY National Consumer Price Index Ex Food, Energy (YoY) (NOV)",-1.0%,-,23:30
46,-2.3%,JPY,"Tuesday, December 27, 2011",0.0%,d,Medium,JPY Retail Trade (YoY) (NOV),1.9%,-,23:50
47,-2.1%,JPY,"Tuesday, December 27, 2011",-0.5%,d,Low,JPY Retail Trade s.a. (MoM) (NOV),1.4%,-,23:50
48,-2.5%,JPY,"Tuesday, December 27, 2011",-1.6%,d,Medium,JPY Large Retailers' Sales (NOV),-1.4%,-,23:50
49,-2.6%,JPY,"Tuesday, December 27, 2011",-0.8%,d,Low,JPY Industrial Production (MoM) (NOV P),2.2%,-,23:50
50,-4.0%,JPY,"Tuesday, December 27, 2011",-2.0%,d,Medium,JPY Industrial Production (YoY) (NOV P),0.1%,-,23:50
51,-0.2%,GBP,"Monday, December 26, 2011",,-,Low,GBP Hometrack Housing Survey (MoM) (DEC),-0.2%,-,00:01
52,-2.1%,GBP,"Monday, December 26, 2011",,-,Low,GBP Hometrack Housing Survey (YoY) (DEC),-2.3%,-,00:01
53,29.9K,EUR,"Monday, December 26, 2011",30.0K,-,Low,EUR French Total Jobseekers Change (NOV),34.4K,-,17:00
54,2844.8K,EUR,"Monday, December 26, 2011",,-,Low,EUR French Total Jobseekers (NOV),2814.9k,-,17:00
55,-0.2%,JPY,"Monday, December 26, 2011",0.0%,d,Low,JPY Corporate Service Price (YoY) (NOV),0.1%,-,23:50
56,,JPY,"Thursday, December 22, 2011",,-,Medium,JPY Bank of Japan Monthly Economic Report,,-,05:00
57,-2.3%,JPY,"Thursday, December 22, 2011",,-,Low,JPY Supermarket Sales (YoY) (NOV),-0.9%,-,05:00
58,0.1%,EUR,"Thursday, December 22, 2011",-0.2%,u,Low,EUR Italian Retail Sales s.a. (MoM) (OCT),-0.3%,u,09:00
59,-1.5%,EUR,"Thursday, December 22, 2011",-1.5%,-,Low,EUR Italian Retail Sales (YoY) (OCT),-1.6%,-,09:00
60,0.6%,GBP,"Thursday, December 22, 2011",0.5%,u,High,GBP Gross Domestic Product (QoQ) (3Q F),0.5%,-,09:30
61,0.5%,GBP,"Thursday, December 22, 2011",0.5%,-,High,GBP Gross Domestic Product (YoY) (3Q F),0.5%,-,09:30
62,-15.2B,GBP,"Thursday, December 22, 2011",-6.1B,d,Medium,GBP Current Account (Pounds) (3Q),-7.4B,u,09:30
63,0.3%,GBP,"Thursday, December 22, 2011",-1.4%,u,Low,GBP Total Business Investment (QoQ) (3Q F),-1.4%,-,09:30
64,4.3%,GBP,"Thursday, December 22, 2011",0.3%,u,Medium,GBP Total Business Investment (YoY) (3Q F),0.3%,-,09:30
65,-0.37,USD,"Thursday, December 22, 2011",-0.10,d,Low,USD Chicago Fed Nat Activity Index (NOV),-0.11,u,13:30
66,1.8%,USD,"Thursday, December 22, 2011",2.0%,d,High,USD Gross Domestic Product (Annualized) (3Q T),2.0%,-,13:30
67,1.7%,USD,"Thursday, December 22, 2011",2.3%,d,Medium,USD Personal Consumption (3Q T),2.3%,-,13:30
68,2.6%,USD,"Thursday, December 22, 2011",2.5%,u,High,USD Gross Domestic Product Price Index (3Q T),2.5%,-,13:30
69,2.1%,USD,"Thursday, December 22, 2011",2.0%,u,Medium,USD Core Personal Consumption Expenditure (QoQ) (3Q T),2.0%,d,13:30
70,364K,USD,"Thursday, December 22, 2011",378K,u,Low,USD Initial Jobless Claims (DEC 16),368K,d,13:30
71,3546K,USD,"Thursday, December 22, 2011",3600K,u,Low,USD Continuing Claims (DEC 9),3625K,d,13:30
72,69.9,USD,"Thursday, December 22, 2011",68.0,u,High,USD U. of Michigan Confidence (DEC F),67.7,-,14:55
73,0.5%,USD,"Thursday, December 22, 2011",0.3%,u,Medium,USD Leading Indicators (NOV),0.9%,-,15:00
74,-0.2%,USD,"Thursday, December 22, 2011",0.2%,d,Low,USD House Price Index (MoM) (OCT),0.4%,d,15:00
75,-100,USD,"Thursday, December 22, 2011",-105,u,Low,USD EIA Natural Gas Storage Change (DEC 16),-102,-,15:30
76,6.5%,NZD,"Thursday, December 22, 2011",,-,Low,NZD Money Supply M3 (YoY) (NOV),5.5%,-,23:00
77,,JPY,"Wednesday, December 21, 2011",,-,Medium,JPY Cabinet Office Monthly Economic Report,,-,
78,-33,GBP,"Wednesday, December 21, 2011",-32,d,Medium,GBP GfK Consumer Confidence Survey (DEC),-31,-,00:01
79,-3.4%,NZD,"Wednesday, December 21, 2011",,-,Low,NZD Credit Card Spending SA MoM (NOV),2.6%,-,02:00
80,3.2%,NZD,"Wednesday, December 21, 2011",,-,Medium,NZD Credit Card Spending (YoY) (NOV),7.8%,d,02:00
81,0.1%,JPY,"Wednesday, December 21, 2011",0.1%,-,High,JPY Bank of Japan Rate Decision (DEC 21),0.1%,-,03:16
82,0.4%,EUR,"Wednesday, December 21, 2011",,-,Low,EUR German Import Price Index (MoM) (NOV),-0.3%,-,07:00
83,6.0%,EUR,"Wednesday, December 21, 2011",5.3%,u,Medium,EUR German Import Price Index (YoY) (NOV),6.8%,-,07:00
84,8.1%,CHF,"Wednesday, December 21, 2011",,-,Low,CHF Money Supply M3 (YoY) (NOV),8.2%,-,08:00
85,-0.2%,EUR,"Wednesday, December 21, 2011",-0.2%,-,High,EUR Italian Gross Domestic Product s.a. and w.d.a. (QoQ) (3Q F),0.3%,-,09:00
86,0.2%,EUR,"Wednesday, December 21, 2011",0.4%,d,High,EUR Italian Gross Domestic Product s.a. and w.d.a. (YoY) (3Q F),0.7%,u,09:00
87,,GBP,"Wednesday, December 21, 2011",,-,High,GBP Bank of England Minutes,,-,09:30
88,10.6B,GBP,"Wednesday, December 21, 2011",10.3B,u,Medium,GBP Public Finances (PSNCR) (Pounds) (NOV),-0.6B,-,09:30
89,18.1B,GBP,"Wednesday, December 21, 2011",19.7B,-,Medium,GBP PSNB ex Interventions (NOV),5.8B,u,09:30
90,15.2B,GBP,"Wednesday, December 21, 2011",16.6B,-,Medium,GBP Public Sector Net Borrowing (Pounds) (NOV),3.0B,u,09:30
91,,EUR,"Wednesday, December 21, 2011",,-,Low,EUR ECB Announces Allotment in 3-Month Lending Facility,,-,10:15
92,,EUR,"Wednesday, December 21, 2011",,-,High,EUR ECB Announces Allotment in 3-Year Lending Facility,,-,10:15
93,-2.6%,USD,"Wednesday, December 21, 2011",,-,Low,USD MBA Mortgage Applications (DEC 16),4.1%,-,12:00
94,1.0%,CAD,"Wednesday, December 21, 2011",0.5%,u,Medium,CAD Retail Sales (MoM) (OCT),1.0%,-,13:30
95,0.7%,CAD,"Wednesday, December 21, 2011",0.2%,u,Low,CAD Retail Sales Less Autos (MoM) (OCT),0.4%,d,13:30
96,-21.2,EUR,"Wednesday, December 21, 2011",-21,d,Medium,EUR Euro-Zone Consumer Confidence (DEC A),-20.4,-,15:00
97,4.42M,USD,"Wednesday, December 21, 2011",5.05M,d,Medium,USD Existing Home Sales (NOV),4.25M,d,15:00
98,4.0%,USD,"Wednesday, December 21, 2011",2.2%,u,Low,USD Existing Home Sales (MoM) (NOV),1.4%,-,15:00
99,-10570K,USD,"Wednesday, December 21, 2011",-2125K,d,Low,USD DOE U.S. Crude Oil Inventories (DEC 16),-1932K,-,15:30
100,-990K,USD,"Wednesday, December 21, 2011",,-,Low,USD DOE Cushing OK Crude Inventory (DEC 16),83K,-,15:30
101,-2353K,USD,"Wednesday, December 21, 2011",-750K,d,Low,USD DOE U.S. Distillate Inventory (DEC 16),480K,-,15:30
102,-412K,USD,"Wednesday, December 21, 2011",1500K,d,Low,USD DOE U.S. Gasoline Inventories (DEC 16),3824K,-,15:30
103,0.8%,NZD,"Wednesday, December 21, 2011",0.6%,u,High,NZD Gross Domestic Product (QoQ) (3Q),0.1%,-,21:45
104,1.9%,NZD,"Wednesday, December 21, 2011",2.2%,d,High,NZD Gross Domestic Product (YoY) (3Q),1.1%,d,21:45
105,40,GBP,"Tuesday, December 20, 2011",36,u,Medium,GBP Nationwide Consumer Confidence (NOV),36,-,00:01
106,,AUD,"Tuesday, December 20, 2011",,-,High,AUD Reserve Bank's Board December Minutes,,-,00:30
107,0.8%,JPY,"Tuesday, December 20, 2011",1.0%,d,Medium,JPY All Industry Activity Index (MoM) (OCT),-0.7%,u,04:30
108,92.0,JPY,"Tuesday, December 20, 2011",,-,Medium,JPY Leading Index (OCT F),91.5,-,05:00
109,91.4,JPY,"Tuesday, December 20, 2011",,-,Low,JPY Coincident Index (OCT F),90.3,-,05:00
110,5.6,EUR,"Tuesday, December 20, 2011",5.5,u,Medium,EUR German GfK Consumer Confidence Survey (JAN),5.6,-,07:00
111,0.1%,EUR,"Tuesday, December 20, 2011",0.1%,-,Medium,EUR German Producer Prices (MoM) (NOV),0.2%,-,07:00
112,5.2%,EUR,"Tuesday, December 20, 2011",5.2%,-,High,EUR German Producer Prices (YoY) (NOV),5.3%,-,07:00
113,7.5%,JPY,"Tuesday, December 20, 2011",,-,Low,JPY Convenience Store Sales (YoY) (NOV),14.1%,-,07:00
114,3.00B,CHF,"Tuesday, December 20, 2011",2.00B,u,Medium,CHF Trade Balance (Swiss franc) (NOV),2.16B,u,07:00
115,-6.8%,CHF,"Tuesday, December 20, 2011",,-,Low,CHF Exports (MoM) (NOV),1.3%,-,07:00
116,-7.7%,CHF,"Tuesday, December 20, 2011",,-,Low,CHF Imports (MoM) (NOV),1.4%,-,07:00
117,107.2,EUR,"Tuesday, December 20, 2011",106,u,Medium,EUR German IFO - Business Climate (DEC),106.6,-,09:00
118,116.7,EUR,"Tuesday, December 20, 2011",116,u,Medium,EUR German IFO - Current Assessment (DEC),116.7,-,09:00
119,98.4,EUR,"Tuesday, December 20, 2011",97,-,Medium,EUR German IFO - Expectations (DEC),97.3,-,09:00
120,-1.6%,EUR,"Tuesday, December 20, 2011",-1.3%,d,Low,EUR Italian Industrial Orders s.a. (MoM) (OCT),-8.2%,-,09:00
121,-4.8%,EUR,"Tuesday, December 20, 2011",-1.2%,-,Low,EUR Italian Industrial Orders n.s.a. (YoY) (OCT),-3.6%,-,09:00
122,0.1%,EUR,"Tuesday, December 20, 2011",,-,Low,EUR Italian Industrial Sales s.a. (MoM) (OCT),-5.5%,-,09:00
123,1.1%,EUR,"Tuesday, December 20, 2011",,-,Low,EUR Italian Industrial Sales n.s.a. (YoY) (OCT),1.9%,-,09:00
124,9,GBP,"Tuesday, December 20, 2011",-12,u,Medium,GBP CBI Reported Sales (DEC),-19,-,11:00
125,0.1%,CAD,"Tuesday, December 20, 2011",0.1%,-,Medium,CAD Consumer Price Index (MoM) (NOV),0.2%,-,12:00
126,2.9%,CAD,"Tuesday, December 20, 2011",2.9%,-,High,CAD Consumer Price Index (YoY) (NOV),2.9%,-,12:00
127,0.1%,CAD,"Tuesday, December 20, 2011",0.1%,-,Medium,CAD Bank Canada Consumer Price Index Core (MoM) (NOV),0.3%,-,12:00
128,2.1%,CAD,"Tuesday, December 20, 2011",2.2%,-,High,CAD Bank Canada Consumer Price Index Core (YoY) (NOV),2.1%,-,12:00
129,120.9,CAD,"Tuesday, December 20, 2011",,-,Low,CAD Consumer Price Index (NOV),120.8,-,12:00
130,685K,USD,"Tuesday, December 20, 2011",635K,u,Medium,USD Housing Starts (NOV),627K,d,13:30
131,9.3%,USD,"Tuesday, December 20, 2011",1.1%,u,Low,USD Housing Starts (MoM) (NOV),-2.9%,d,13:30
132,681K,USD,"Tuesday, December 20, 2011",635K,u,Medium,USD Building Permits (NOV),644K,d,13:30
133,9.3%,USD,"Tuesday, December 20, 2011",-1.4%,u,Low,USD Building Permits (MoM) (NOV),-2.9%,d,13:30
134,-4.599B,NZD,"Tuesday, December 20, 2011",-3.750B,d,Medium,NZD Current Account Balance (3Q),-0.844B,u,21:45
135,-4.3%,NZD,"Tuesday, December 20, 2011",-3.9%,d,Low,NZD Current Account Deficit-GDP Ratio (3Q),-3.7%,-,21:45
136,-50,NZD,"Tuesday, December 20, 2011",,-,Low,NZD Net Migration s.a. (NOV),-650,-,21:45
137,0.1%,AUD,"Tuesday, December 20, 2011",,-,Low,AUD Westpac Leading Index (MoM) (OCT),-0.3%,-,23:30
138,-¥684.7B,JPY,"Tuesday, December 20, 2011",-¥484.7B,d,Medium,JPY Merchandise Trade Balance Total (Yen) (NOV),-¥280.2B,d,23:50
139,-¥537.9B,JPY,"Tuesday, December 20, 2011",-¥305.7B,d,Low,JPY Adjusted Merchandise Trade Balance (Yen) (NOV),-¥495.7B,d,23:50
140,-4.5%,JPY,"Tuesday, December 20, 2011",-4.3%,d,Low,JPY Merchandise Trade Exports (YoY) (NOV),-3.8%,d,23:50
141,11.4%,JPY,"Tuesday, December 20, 2011",8.3%,-,Low,JPY Merchandise Trade Imports (YoY) (NOV),17.9%,-,23:50
142,25.7,NZD,"Monday, December 19, 2011",,-,Medium,NZD NBNZ Activity Outlook (DEC),28.8,-,00:00
143,16.9,NZD,"Monday, December 19, 2011",,-,Medium,NZD NBNZ Business Confidence (DEC),18.3,-,00:00
144,-2.7%,GBP,"Monday, December 19, 2011",,-,Low,GBP Rightmove House Prices (MoM) (DEC),-3.1%,-,00:01
145,1.5%,GBP,"Monday, December 19, 2011",,-,Medium,GBP Rightmove House Prices (YoY) (DEC),1.2%,-,00:01
146,-1.9%,JPY,"Monday, December 19, 2011",,-,Low,JPY Nationwide Department Store Sales (YoY) (NOV),-0.5%,-,05:30
147,-3.0%,JPY,"Monday, December 19, 2011",,-,Low,JPY Tokyo Department Store Sales (YoY) (NOV),-1.9%,-,05:30
148,-1.7B,EUR,"Monday, December 19, 2011",,-,Low,EUR Euro-Zone Current Account n.s.a. (euros) (OCT),-0.7B,u,09:00
149,-7.5b,EUR,"Monday, December 19, 2011",,-,Low,EUR Euro-Zone Current Account s.a. (euros) (OCT),2.2B,-,09:00
150,-1077m,EUR,"Monday, December 19, 2011",,-,Low,EUR Italian Trade Balance (Total) (euros) (OCT),-1881M,u,09:00
151,-217m,EUR,"Monday, December 19, 2011",,-,Low,EUR Italian Trade Balance Eu (euros) (OCT),-49M,u,09:00
152,-1.4%,EUR,"Monday, December 19, 2011",,-,Low,EUR Euro-Zone Construction Output s.a. (MoM) (OCT),-1.5%,u,10:00
153,-2.8%,EUR,"Monday, December 19, 2011",,-,Low,EUR Euro-Zone Construction Output w.d.a. (YoY) (OCT),0.1%,-,10:00
154,0.9%,CAD,"Monday, December 19, 2011",0.1%,u,Low,CAD Wholesale Sales (MoM) (OCT),0.5%,u,13:30
155,21,USD,"Monday, December 19, 2011",20,-,Low,USD NAHB Housing Market Index (DEC),19,-,15:00
156,,USD,"Monday, December 19, 2011",,-,Low,"USD Fed's Lacker, Bank of America's Moynihan to Speak in Charlotte",,-,17:30
157,0.6%,AUD,"Monday, December 19, 2011",,-,Medium,AUD Conference Board Leading Index (OCT),0.6%,u,23:00
158,101.3,NZD,"Sunday, December 18, 2011",,-,Medium,NZD Westpac NZ Consumer Confidence (4Q),112.0,-,21:00
159,56.6,NZD,"Sunday, December 18, 2011",,-,Low,NZD Performance Services Index (NOV),51.0,u,21:30
160,2.4%,AUD,"Thursday, December 15, 2011",,-,Medium,AUD Consumer Inflation Expectation (DEC),2.5%,-,00:00
161,-0.7%,AUD,"Thursday, December 15, 2011",,-,Low,AUD New Motor Vehicle Sales (MoM) (NOV),1.0%,d,00:30
162,2.9%,AUD,"Thursday, December 15, 2011",,-,Low,AUD New Motor Vehicle Sales (YoY) (NOV),4.3%,d,00:30
163,A$330M,AUD,"Thursday, December 15, 2011",,-,Low,AUD RBA Foreign Exchange Transaction (Australian dollar) (NOV),A$401M,-,00:30
164,-9.8%,CNY,"Thursday, December 15, 2011",,-,Low,CNY Actual FDI (YoY) (NOV),8.8%,-,02:00
165,49.0,CNY,"Thursday, December 15, 2011",,-,Low,CNY HSBC Flash China Manufacturing PMI (DEC),48.0,-,02:30
166,31.0%,JPY,"Thursday, December 15, 2011",,-,Low,JPY Tokyo Condominium Sales (YoY) (NOV),-9.3%,-,04:00
167,15.8,JPY,"Thursday, December 15, 2011",,-,Medium,JPY Machine Tool Orders (YoY) (NOV F),15.9%,-,06:00
168,48.7,EUR,"Thursday, December 15, 2011",47.0,u,Low,EUR French Purchasing Manager Index Manufacturing (DEC P),47.3,-,08:00
169,50.2,EUR,"Thursday, December 15, 2011",49.0,u,Low,EUR French Purchasing Manager Index Services (DEC P),49.6,-,08:00
170,-1.4%,CHF,"Thursday, December 15, 2011",-0.9%,d,Medium,CHF Industrial Production (QoQ) (3Q),2.9%,u,08:15
171,-1.4%,CHF,"Thursday, December 15, 2011",0.0%,d,Medium,CHF Industrial Production (YoY) (3Q),1.6%,u,08:15
172,48.1,EUR,"Thursday, December 15, 2011",47.5,u,Medium,EUR German Purchasing Manager Index Manufacturing (DEC A),47.9,-,08:30
173,52.7,EUR,"Thursday, December 15, 2011","50,0",u,Medium,EUR German Purchasing Manager Index Services (DEC A),50.3,-,08:30
174,0.00%,CHF,"Thursday, December 15, 2011",0.00%,-,High,CHF Swiss National Bank Rate Decision (DEC 15),0.00%,-,08:30
175,,EUR,"Thursday, December 15, 2011",,-,High,EUR ECB Publishes Dec. Monthly Report,,-,09:00
176,47.9,EUR,"Thursday, December 15, 2011",46.5,u,Medium,EUR Euro-Zone Purchasing Manager Index Composite (DEC A),47.0,-,09:00
177,-0.1%,EUR,"Thursday, December 15, 2011",-0.1%,-,Low,EUR Italian Consumer Price Index - EU Harmonized (MoM) (NOV F),-0.1%,-,09:00
178,3.7%,EUR,"Thursday, December 15, 2011",3.7%,-,Low,EUR Italian Consumer Price Index - EU Harmonized (YoY) (NOV F),3.7%,-,09:00
179,-0.1%,EUR,"Thursday, December 15, 2011",-0.1%,-,Low,EUR Italian Consumer Price Index (NIC incl. tobacco) (MoM) (NOV F),-0.1%,-,09:00
180,3.3%,EUR,"Thursday, December 15, 2011",3.3%,-,Low,EUR Italian Consumer Price Index (NIC incl. tobacco) (YoY) (NOV F),3.3%,-,09:00
181,46.9,EUR,"Thursday, December 15, 2011",46.0,u,Medium,EUR Euro-Zone Purchasing Manager Index Manufacturing (DEC A),46.4,-,09:00
182,48.3,EUR,"Thursday, December 15, 2011",47.0,u,Medium,EUR Euro-Zone Purchasing Manager Index Services (DEC A),47.5,-,09:00
183,4.1%,GBP,"Thursday, December 15, 2011",,-,High,GBP BoE/GfK Inflation Next 12 Mths (NOV),4.2%,-,09:30
184,-0.7%,GBP,"Thursday, December 15, 2011",-0.4%,d,Low,GBP Retail Sales (MoM) (NOV),0.9%,u,09:30
185,0.5%,GBP,"Thursday, December 15, 2011",0.3%,u,Medium,GBP Retail Sales (YoY) (NOV),1.1%,u,09:30
186,-0.4%,GBP,"Thursday, December 15, 2011",-0.3%,d,Low,GBP Retail Sales w/Auto Fuel (MoM) (NOV),1.0%,u,09:30
187,0.7%,GBP,"Thursday, December 15, 2011",0.4%,u,Medium,GBP Retail Sales w/Auto Fuel (YoY) (NOV),1.1%,u,09:30
188,1.6%,EUR,"Thursday, December 15, 2011",1.6%,-,High,EUR Euro-Zone Consumer Price Index - Core (YoY) (NOV),1.6%,-,10:00
189,0.1%,EUR,"Thursday, December 15, 2011",0.1%,-,Medium,EUR Euro-Zone Consumer Price Index (MoM) (NOV),0.3%,-,10:00
190,3.0%,EUR,"Thursday, December 15, 2011",3.0%,-,High,EUR Euro-Zone Consumer Price Index (YoY) (NOV),3.0%,-,10:00
191,-0.1%,EUR,"Thursday, December 15, 2011",,-,Low,EUR Euro-Zone Employment (QoQ) (3Q),0.2%,u,10:00
192,0.2%,EUR,"Thursday, December 15, 2011",,-,Low,EUR Euro-Zone Employment (YoY) (3Q),0.5%,u,10:00
193,1909.2B,EUR,"Thursday, December 15, 2011",,-,Low,EUR Italian General Government Debt (OCT),1883.7B,-,10:00
194,-23,GBP,"Thursday, December 15, 2011",-20,d,Medium,GBP CBI Trends Total Orders (DEC),-19,-,11:00
195,7,GBP,"Thursday, December 15, 2011",-1,u,Low,GBP CBI Trends Selling Prices (DEC),2,-,11:00
196,81.3%,CAD,"Thursday, December 15, 2011",79.0%,u,Low,CAD Capacity Utilization Rate (3Q),79.9%,u,13:30
197,0.3%,USD,"Thursday, December 15, 2011",0.2%,-,Low,USD Producer Price Index (MoM) (NOV),-0.3%,-,13:30
198,0.1%,USD,"Thursday, December 15, 2011",0.2%,-,Low,USD Producer Price Index Ex Food & Energy (MoM) (NOV),0.0%,-,13:30
199,5.7%,USD,"Thursday, December 15, 2011",5.8%,-,Medium,USD Producer Price Index (YoY) (NOV),5.9%,-,13:30
200,2.9%,USD,"Thursday, December 15, 2011",2.9%,-,Medium,USD Producer Price Index Ex Food & Energy (YoY) (NOV),2.8%,-,13:30
201,-$110.3B,USD,"Thursday, December 15, 2011",-$108.5B,u,Low,USD Current Account Balance (3Q),-$124.7B,d,13:30
202,9.53,USD,"Thursday, December 15, 2011",3,-,Low,USD Empire Manufacturing (DEC),0.61,-,13:30
203,366K,USD,"Thursday, December 15, 2011",390K,u,Low,USD Initial Jobless Claims (DEC 10),385K,d,13:30
204,3603K,USD,"Thursday, December 15, 2011",3637K,u,Low,USD Continuing Claims (DEC 3),3599K,d,13:30
205,$4.8B,USD,"Thursday, December 15, 2011",$62.5B,-,Medium,USD Net Long-term TIC Flows (OCT),$68.3B,-,14:00
206,-$48.8B,USD,"Thursday, December 15, 2011",,d,Low,USD Total Net TIC Flows (OCT),$65.0B,u,14:00
207,-0.2%,USD,"Thursday, December 15, 2011",0.1%,d,Medium,USD Industrial Production (NOV),0.7%,-,14:15
