,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
18,-1593k,USD,"Thursday, December 29, 2016",1000k,d,Low,USD DOE U.S. Gasoline Inventories (DEC 23),-1309k,-,16:00
19,-1881k,USD,"Thursday, December 29, 2016",1000k,d,Low,USD DOE U.S. Distillate Inventory (DEC 23),-2420k,-,16:00
20,,USD,"Thursday, December 29, 2016",,-,Low,USD U.S. to Sell 7-Year Notes,,-,18:00
21,6.6%,JPY,"Wednesday, December 28, 2016",,-,Low,JPY Vehicle Production (YoY) (NOV),-3.9%,-,04:00
22,1.43,CHF,"Wednesday, December 28, 2016",1.5,d,Medium,CHF UBS Consumption Indicator (NOV),1.39,d,07:00
23,40659,GBP,"Wednesday, December 28, 2016",41400,d,Medium,GBP BBA Loans for House Purchase (NOV),40835,u,09:30
24,-2.5%,USD,"Wednesday, December 28, 2016",0.5%,d,Low,USD Pending Home Sales (MoM) (NOV),0.1%,-,15:00
25,1.4%,USD,"Wednesday, December 28, 2016",,-,Medium,USD Pending Home Sales (YoY) (NOV),0.2%,-,15:00
26,,USD,"Wednesday, December 28, 2016",,-,Low,USD U.S. to Sell 2-Year Floating Rate Notes Reopening,,-,16:30
27,,USD,"Wednesday, December 28, 2016",,-,Low,USD U.S. to Sell 5-Year Notes,,-,18:00
28,,JPY,"Wednesday, December 28, 2016",,-,Medium,JPY BOJ Summary of Opinions at Dec.19-20 Meeting,,-,23:50
29,,EUR,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,EUR German Retail Sales (MoM) (NOV),2.4%,-,
30,,EUR,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,EUR German Retail Sales (YoY) (NOV),-1.0%,-,
31,14.5%,CNY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,CNY Industrial Profits (YoY) (NOV),9.8%,-,01:30
32,6.7%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",9.6%,d,Medium,JPY Housing Starts (YoY) (NOV),13.7%,-,05:00
33,0.937M,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,JPY Annualized Housing Starts (NOV),0.983m,-,05:00
34,-6.0%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,JPY Construction Orders (YoY) (NOV),15.2%,-,05:00
35,0.2%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",0.2%,-,Medium,"JPY Natl CPI Ex Fresh Food, Energy (YoY) (NOV)",0.3%,-,05:00
36,48.8,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,JPY Small Business Confidence (DEC),48.3,-,05:00
37,528.4b,CHF,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,CHF Total Sight Deposits (DEC 23),527.9b,-,09:00
38,463.6b,CHF,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,CHF Domestic Sight Deposits (DEC 23),457.3b,-,09:00
39,0.85%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,USD S&P CoreLogic CS US HPI MoM SA (OCT),0.80%,d,14:00
40,191.79,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,USD S&P/Case-Shiller Home Price Index (OCT),191.68,d,14:00
41,0.63%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",0.51%,u,Low,USD S&P CoreLogic CS 20-City MoM SA (OCT),0.48%,u,14:00
42,5.10%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",5.03%,u,Medium,USD S&P/Case-Shiller Composite-20 (YoY) (OCT),5.03%,d,14:00
43,185.06,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,USD S&P/Case-Shiller US Home Price Index (OCT),184.65,d,14:00
44,5.61%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,USD S&P/Case-Shiller US Home Price Index (YoY) (OCT),5.39%,d,14:00
45,113.7,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",109.0,u,High,USD Consumer Confidence (DEC),109.4,u,15:00
46,8,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",5,u,Low,USD Richmond Fed Manufacturing Index (DEC),4,-,15:00
47,15.5,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",10.2,u,Low,USD Dallas Fed Manufacturing Activity (DEC),10.2,-,15:30
48,1.5%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",1.7%,d,Low,JPY Industrial Production (MoM) (NOV P),0.0%,-,23:50
49,4.6%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",4.7%,d,Medium,JPY Industrial Production (YoY) (NOV P),-1.4%,-,23:50
50,1.7%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",0.8%,u,Medium,JPY Retail Trade (YoY) (NOV),-0.2%,d,23:50
51,0.2%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",-0.5%,u,Low,JPY Retail Trade s.a. (MoM) (NOV),2.5%,-,23:50
52,-0.3%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",-0.5%,u,Medium,JPY Large Retailers' Sales (NOV),-1.0%,-,23:50
53,,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",,-,Low,JPY BOJ Kuroda speaks in Keidanren,,-,04:00
54,100.8,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",101.0,d,Low,JPY Leading Index (OCT F),100.0,-,05:00
55,113.5,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",113.9,d,Low,JPY Coincident Index (OCT F),112.5,-,05:00
56,3.1%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",3.0%,d,Medium,JPY Jobless Rate (NOV),3.0%,-,23:30
57,1.41,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",1.40,u,Low,JPY Job-To-Applicant Ratio (NOV),1.40,-,23:30
58,-1.5%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",0.2%,d,Medium,JPY Household Spending (YoY) (NOV),-0.4%,-,23:30
59,0.5%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",0.1%,u,High,JPY National Consumer Price Index (YoY) (NOV),0.1%,-,23:30
60,-0.4%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",-0.3%,d,Medium,JPY National Consumer Price Index Ex-Fresh Food (YoY) (NOV),-0.4%,-,23:30
61,0.1%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",0.2%,d,Medium,"JPY National Consumer Price Index Ex Food, Energy (YoY) (NOV)",0.2%,-,23:30
62,0.0%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",,-,Low,JPY Tokyo Consumer Price Index (YoY) (DEC),0.5%,-,23:30
63,-0.6%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",-0.4%,d,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (DEC),-0.4%,-,23:30
64,-0.2%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",,-,Low,"JPY Tokyo Consumer Price Index Ex Food, Energy (YoY) (DEC)",0.0%,-,23:30
65,0.3%,JPY,"Sunday, December 25, 2016",0.5%,d,Low,JPY Services PPI (YoY) (NOV),0.5%,-,23:50
66,,JPY,"Sunday, December 25, 2016",,-,Medium,JPY BOJ Minutes of Oct. 31-Nov.1 Meeting,,-,23:50
67,5.4%,AUD,"Friday, December 30, 2016",5.4%,-,Medium,AUD Private Sector Credit (YoY) (NOV),5.3%,-,00:30
68,0.5%,AUD,"Friday, December 30, 2016",0.5%,-,Low,AUD Private Sector Credit (MoM) (NOV),0.5%,-,00:30
69,$69.3b,CNY,"Friday, December 30, 2016",,-,Low,CNY BoP Current Account Balance (3Q F),$71.2b,-,07:13
70,54.6,USD,"Friday, December 30, 2016",56.8,d,Low,USD Chicago Purchasing Manager (DEC),57.6,-,14:45
71,658,USD,"Friday, December 30, 2016",,-,Medium,USD Baker Hughes U.S. Rig Count (DEC 30),653,-,18:00
72,0.8%,GBP,"Thursday, December 29, 2016",0.2%,u,Low,GBP Nationwide House Prices s.a. (MoM) (DEC),0.1%,-,07:00
73,4.5%,GBP,"Thursday, December 29, 2016",3.8%,u,Medium,GBP Nationwide House Prices n.s.a. (YoY) (DEC),4.4%,-,07:00
74,4.8%,EUR,"Thursday, December 29, 2016",4.4%,u,Low,EUR Euro-Zone M3 s.a. (YoY) (NOV),4.4%,-,09:00
75,60.7,CAD,"Thursday, December 29, 2016",,-,Low,CAD CFIB Business Barometer (DEC),59.4,-,11:52
76,-$65.3b,USD,"Thursday, December 29, 2016",-$61.6b,d,High,USD Advance Goods Trade Balance (NOV),-$61.9b,u,13:30
77,0.9%,USD,"Thursday, December 29, 2016",0.2%,d,Medium,USD Wholesale Inventories (NOV P),-0.1%,u,13:30
78,1.0%,USD,"Thursday, December 29, 2016",,-,Low,USD Retail Inventories (MoM) (NOV),-0.4%,-,13:30
79,265k,USD,"Thursday, December 29, 2016",265k,-,Medium,USD Initial Jobless Claims (DEC 24),275k,-,13:30
80,2102k,USD,"Thursday, December 29, 2016",2027k,d,Medium,USD Continuing Claims (DEC 17),2039k,u,13:30
81,-237,USD,"Thursday, December 29, 2016",-225,-,Low,USD EIA Natural Gas Storage Change (DEC 23),-209,-,15:30
82,-237,USD,"Thursday, December 29, 2016",-225,-,Low,USD EIA Working Natural Gas Implied Flow (DEC 23),-209,-,15:30
83,614k,USD,"Thursday, December 29, 2016",-1500k,u,Medium,USD DOE U.S. Crude Oil Inventories (DEC 23),2256k,-,16:00
84,172k,USD,"Thursday, December 29, 2016",0k,u,Low,USD DOE Cushing OK Crude Inventory (DEC 23),-245k,-,16:00
85,-1593k,USD,"Thursday, December 29, 2016",1000k,d,Low,USD DOE U.S. Gasoline Inventories (DEC 23),-1309k,-,16:00
86,-1881k,USD,"Thursday, December 29, 2016",1000k,d,Low,USD DOE U.S. Distillate Inventory (DEC 23),-2420k,-,16:00
87,,USD,"Thursday, December 29, 2016",,-,Low,USD U.S. to Sell 7-Year Notes,,-,18:00
88,6.6%,JPY,"Wednesday, December 28, 2016",,-,Low,JPY Vehicle Production (YoY) (NOV),-3.9%,-,04:00
89,1.43,CHF,"Wednesday, December 28, 2016",1.5,d,Medium,CHF UBS Consumption Indicator (NOV),1.39,d,07:00
90,40659,GBP,"Wednesday, December 28, 2016",41400,d,Medium,GBP BBA Loans for House Purchase (NOV),40835,u,09:30
91,-2.5%,USD,"Wednesday, December 28, 2016",0.5%,d,Low,USD Pending Home Sales (MoM) (NOV),0.1%,-,15:00
92,1.4%,USD,"Wednesday, December 28, 2016",,-,Medium,USD Pending Home Sales (YoY) (NOV),0.2%,-,15:00
93,,USD,"Wednesday, December 28, 2016",,-,Low,USD U.S. to Sell 2-Year Floating Rate Notes Reopening,,-,16:30
94,,USD,"Wednesday, December 28, 2016",,-,Low,USD U.S. to Sell 5-Year Notes,,-,18:00
95,,JPY,"Wednesday, December 28, 2016",,-,Medium,JPY BOJ Summary of Opinions at Dec.19-20 Meeting,,-,23:50
96,,EUR,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,EUR German Retail Sales (MoM) (NOV),2.4%,-,
97,,EUR,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,EUR German Retail Sales (YoY) (NOV),-1.0%,-,
98,14.5%,CNY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,CNY Industrial Profits (YoY) (NOV),9.8%,-,01:30
99,6.7%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",9.6%,d,Medium,JPY Housing Starts (YoY) (NOV),13.7%,-,05:00
100,0.937M,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,JPY Annualized Housing Starts (NOV),0.983m,-,05:00
101,-6.0%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,JPY Construction Orders (YoY) (NOV),15.2%,-,05:00
102,0.2%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",0.2%,-,Medium,"JPY Natl CPI Ex Fresh Food, Energy (YoY) (NOV)",0.3%,-,05:00
103,48.8,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,JPY Small Business Confidence (DEC),48.3,-,05:00
104,528.4b,CHF,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,CHF Total Sight Deposits (DEC 23),527.9b,-,09:00
105,463.6b,CHF,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,CHF Domestic Sight Deposits (DEC 23),457.3b,-,09:00
106,0.85%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,USD S&P CoreLogic CS US HPI MoM SA (OCT),0.80%,d,14:00
107,191.79,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,USD S&P/Case-Shiller Home Price Index (OCT),191.68,d,14:00
108,0.63%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",0.51%,u,Low,USD S&P CoreLogic CS 20-City MoM SA (OCT),0.48%,u,14:00
109,5.10%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",5.03%,u,Medium,USD S&P/Case-Shiller Composite-20 (YoY) (OCT),5.03%,d,14:00
110,185.06,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Low,USD S&P/Case-Shiller US Home Price Index (OCT),184.65,d,14:00
111,5.61%,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",,-,Medium,USD S&P/Case-Shiller US Home Price Index (YoY) (OCT),5.39%,d,14:00
112,113.7,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",109.0,u,High,USD Consumer Confidence (DEC),109.4,u,15:00
113,8,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",5,u,Low,USD Richmond Fed Manufacturing Index (DEC),4,-,15:00
114,15.5,USD,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",10.2,u,Low,USD Dallas Fed Manufacturing Activity (DEC),10.2,-,15:30
115,1.5%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",1.7%,d,Low,JPY Industrial Production (MoM) (NOV P),0.0%,-,23:50
116,4.6%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",4.7%,d,Medium,JPY Industrial Production (YoY) (NOV P),-1.4%,-,23:50
117,1.7%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",0.8%,u,Medium,JPY Retail Trade (YoY) (NOV),-0.2%,d,23:50
118,0.2%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",-0.5%,u,Low,JPY Retail Trade s.a. (MoM) (NOV),2.5%,-,23:50
119,-0.3%,JPY,"Tuesday, December 27, 2016
 AUD   CAD   GBP   HKD   NZD  HOLIDAYS",-0.5%,u,Medium,JPY Large Retailers' Sales (NOV),-1.0%,-,23:50
120,,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",,-,Low,JPY BOJ Kuroda speaks in Keidanren,,-,04:00
121,100.8,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",101.0,d,Low,JPY Leading Index (OCT F),100.0,-,05:00
122,113.5,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",113.9,d,Low,JPY Coincident Index (OCT F),112.5,-,05:00
123,3.1%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",3.0%,d,Medium,JPY Jobless Rate (NOV),3.0%,-,23:30
124,1.41,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",1.40,u,Low,JPY Job-To-Applicant Ratio (NOV),1.40,-,23:30
125,-1.5%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",0.2%,d,Medium,JPY Household Spending (YoY) (NOV),-0.4%,-,23:30
126,0.5%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",0.1%,u,High,JPY National Consumer Price Index (YoY) (NOV),0.1%,-,23:30
127,-0.4%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",-0.3%,d,Medium,JPY National Consumer Price Index Ex-Fresh Food (YoY) (NOV),-0.4%,-,23:30
128,0.1%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",0.2%,d,Medium,"JPY National Consumer Price Index Ex Food, Energy (YoY) (NOV)",0.2%,-,23:30
129,0.0%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",,-,Low,JPY Tokyo Consumer Price Index (YoY) (DEC),0.5%,-,23:30
130,-0.6%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",-0.4%,d,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (DEC),-0.4%,-,23:30
131,-0.2%,JPY,"Monday, December 26, 2016
 AUD   CAD   CHF   CZK   GBP   HKD   HUF   NOK   NZD   SEK   USD   ZAR   EUR  HOLIDAYS",,-,Low,"JPY Tokyo Consumer Price Index Ex Food, Energy (YoY) (DEC)",0.0%,-,23:30
132,0.3%,JPY,"Sunday, December 25, 2016",0.5%,d,Low,JPY Services PPI (YoY) (NOV),0.5%,-,23:50
133,,JPY,"Sunday, December 25, 2016",,-,Medium,JPY BOJ Minutes of Oct. 31-Nov.1 Meeting,,-,23:50
134,-7,GBP,"Thursday, December 22, 2016",-8,u,Medium,GBP GfK Consumer Confidence Survey (DEC),-8,-,00:01
135,5.9%,NZD,"Thursday, December 22, 2016",,-,Low,NZD Money Supply M3 (YoY) (NOV),7.1%,-,02:00
136,0.7%,EUR,"Thursday, December 22, 2016",0.2%,-,Low,EUR German Import Price Index (MoM) (NOV),0.9%,-,07:00
137,0.3%,EUR,"Thursday, December 22, 2016",-0.2%,-,Low,EUR German Import Price Index (YoY) (NOV),-0.6%,-,07:00
138,0.7%,EUR,"Thursday, December 22, 2016",0.2%,u,Low,EUR German Import Price Index (MoM) (NOV),0.9%,-,07:00
139,0.3%,EUR,"Thursday, December 22, 2016",-0.2%,u,Low,EUR German Import Price Index (YoY) (NOV),-0.6%,-,07:00
140,,EUR,"Thursday, December 22, 2016",,-,Medium,EUR ECB Publishes Economic Bulletin,,-,09:00
141,-0.27,USD,"Thursday, December 22, 2016",-0.10,d,Low,USD Chicago Fed Nat Activity Index (NOV),-0.05,u,13:30
142,3.5%,USD,"Thursday, December 22, 2016",3.3%,u,Medium,USD Gross Domestic Product (Annualized) (3Q T),3.2%,-,13:30
143,1.4%,USD,"Thursday, December 22, 2016",1.4%,-,Medium,USD Gross Domestic Product Price Index (3Q T),1.4%,-,13:30
144,3.0%,USD,"Thursday, December 22, 2016",2.8%,u,Medium,USD Personal Consumption (3Q T),2.8%,-,13:30
145,1.7%,USD,"Thursday, December 22, 2016",1.7%,-,Medium,USD Core Personal Consumption Expenditure (QoQ) (3Q T),1.7%,-,13:30
146,-4.6%,USD,"Thursday, December 22, 2016",-4.8%,d,High,USD Durable Goods Orders (NOV P),4.8%,u,13:30
147,0.5%,USD,"Thursday, December 22, 2016",0.2%,u,Medium,USD Durables Ex Transportation (NOV P),0.9%,u,13:30
148,0.9%,USD,"Thursday, December 22, 2016",0.4%,u,Low,USD Cap Goods Orders Nondef Ex Air (NOV P),0.2%,-,13:30
149,0.2%,USD,"Thursday, December 22, 2016",0.1%,u,Low,USD Cap Goods Ship Nondef Ex Air (NOV P),-0.3%,u,13:30
150,275k,USD,"Thursday, December 22, 2016",257k,d,Medium,USD Initial Jobless Claims (DEC 17),254k,-,13:30
151,2036k,USD,"Thursday, December 22, 2016",2010k,d,Medium,USD Continuing Claims (DEC 10),2021k,d,13:30
152,,CAD,"Thursday, December 22, 2016",,-,Medium,CAD Statistics Canada to Report New Measure of Core CPI,,-,13:30
153,1.1%,CAD,"Thursday, December 22, 2016",0.3%,u,Medium,CAD Retail Sales (MoM) (OCT),0.8%,u,13:30
154,1.4%,CAD,"Thursday, December 22, 2016",0.7%,u,Low,CAD Retail Sales Less Autos (MoM) (OCT),0.3%,u,13:30
155,-0.4%,CAD,"Thursday, December 22, 2016",-0.2%,d,Medium,CAD Consumer Price Index (MoM) (NOV),0.2%,-,13:30
156,1.2%,CAD,"Thursday, December 22, 2016",1.4%,d,High,CAD Consumer Price Index (YoY) (NOV),1.5%,-,13:30
157,-0.2%,CAD,"Thursday, December 22, 2016",0.2%,d,Low,CAD CPI SA (MoM) (NOV),0.2%,-,13:30
158,128.6,CAD,"Thursday, December 22, 2016",129,d,Low,CAD Consumer Price Index (NOV),129.1,-,13:30
159,-0.2%,CAD,"Thursday, December 22, 2016",0.2%,d,Low,CAD CPI s.a. (MoM) (NOV),0.2%,-,13:30
160,0.4%,USD,"Thursday, December 22, 2016",0.5%,d,Medium,USD FHFA House Price Index (MoM) (OCT),0.6%,-,14:00
161,0.0%,USD,"Thursday, December 22, 2016",0.3%,d,Medium,USD Personal Income (NOV),0.5%,d,15:00
162,0.2%,USD,"Thursday, December 22, 2016",0.3%,d,Medium,USD Personal Spending (NOV),0.4%,u,15:00
163,0.1%,USD,"Thursday, December 22, 2016",0.1%,-,Medium,USD Real Personal Spending (NOV),0.1%,-,15:00
164,0.0%,USD,"Thursday, December 22, 2016",0.1%,d,Medium,USD Leading Indicators (NOV),0.1%,-,15:00
165,0.0%,USD,"Thursday, December 22, 2016",0.2%,d,Medium,USD PCE Deflator (MoM) (NOV),0.2%,-,15:00
166,1.4%,USD,"Thursday, December 22, 2016",1.5%,d,High,USD Personal Consumption Expenditure Deflator (YoY) (NOV),1.4%,-,15:00
167,0.0%,USD,"Thursday, December 22, 2016",0.1%,d,Medium,USD Personal Consumption Expenditure Core (MoM) (NOV),0.1%,-,15:00
