,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_60_after,reaction_min_0_60_after
87,2007-07-02 10:00:00,17,0.43,0,0.0,0,0,1,0,1,0,0,1,2007,27,0,1,10,-3,-5,0
88,2007-07-03 10:00:00,24,-1.28,1,-0.58,1,0,0,1,0,0,1,1,2007,27,1,1,13,-1,-11,0
89,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,27,-19,-20,0
90,2007-07-06 08:30:00,22_33,0.22,0,1.88,1,1,1,0,1,1,0,2,2007,27,4,2,33,12,-2,0
91,2007-07-12 08:30:00,31,0.0,0,-0.25,0,1,0,0,1,0,0,1,2007,28,3,1,11,0,-36,1
92,2007-07-13 08:30:00,10_29,-3.0199999999999996,2,1.9300000000000002,0,0,0,2,0,2,0,2,2007,28,4,2,22,0,-15,0
93,2007-07-13 10:00:00,28,2.41,2,1.14,3,0,1,0,0,1,0,1,2007,28,4,1,23,0,-18,0
94,2007-07-17 08:30:00,23,-1.15,3,0.0,0,0,0,1,1,0,0,1,2007,29,1,1,14,0,-8,0
95,2007-07-17 09:00:00,30,1.55,2,-0.33,2,0,1,0,0,0,1,1,2007,29,1,1,21,9,-4,0
96,2007-07-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,29,2,1,19,3,-16,0
97,2007-07-25 10:00:00,14,-0.39,1,-0.31,0,0,0,1,1,0,0,1,2007,30,2,1,27,-10,-26,1
98,2007-07-26 08:30:00,8,-0.62,0,0.9,1,0,0,1,0,1,0,1,2007,30,3,1,41,30,-11,0
99,2007-07-26 10:00:00,21,-0.61,0,-0.86,0,0,0,1,0,0,1,1,2007,30,3,1,39,4,-19,0
100,2007-07-27 08:30:00,1,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,30,4,1,23,11,-10,0
101,2007-07-31 08:30:00,9,-1.0,0,0.0,0,0,0,1,1,0,0,1,2007,31,1,1,22,8,-19,0
102,2007-07-31 10:00:00,4,2.78,2,1.05,1,0,1,0,0,1,0,1,2007,31,1,1,20,-1,-20,0
103,2007-08-01 10:00:00,17_24,1.0299999999999998,4,-0.55,1,0,1,1,1,0,1,2,2007,31,2,2,14,7,-17,0
104,2007-08-03 08:30:00,22_33,-2.88,3,-0.3,1,0,0,2,2,0,0,2,2007,31,4,2,39,2,-23,0
105,2007-08-03 10:00:00,18,-1.11,1,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,39,26,-7,0
106,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,20,-3,-3,0
107,2007-08-13 08:30:00,10_29,0.2,0,2.1,0,1,1,0,0,2,0,2,2007,33,0,2,20,4,-14,0
108,2007-08-14 08:30:00,31_23,1.96,2,0.98,3,0,2,0,1,1,0,2,2007,33,1,2,22,4,-13,0
109,2007-08-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,19,8,-18,0
110,2007-08-15 09:00:00,30,1.66,1,-0.01,0,0,1,0,1,0,0,1,2007,33,2,1,25,-9,-4,0
111,2007-08-17 10:00:00,28,-1.2,1,-1.26,1,0,0,1,0,0,1,1,2007,33,4,1,36,-7,-14,0
112,2007-08-24 08:30:00,8,2.59,1,-0.71,1,0,1,0,0,0,1,1,2007,34,4,1,26,1,-6,0
113,2007-08-24 10:00:00,21,0.46,1,0.58,1,0,1,0,0,1,0,1,2007,34,4,1,37,-5,-15,0
114,2007-08-27 10:00:00,14,0.0,0,-0.48,0,1,0,0,1,0,0,1,2007,35,0,1,16,-1,-18,0
115,2007-08-28 10:00:00,4,-0.05,0,-0.52,1,1,0,0,0,0,1,1,2007,35,1,1,23,-14,-13,0
116,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,39,25,-12,0
117,2007-08-31 08:30:00,9,-1.12,0,2.24,3,0,0,1,0,1,0,1,2007,35,4,1,28,-1,-23,0
118,2007-09-04 10:00:00,17,-0.14,0,0.0,0,1,0,0,1,0,0,1,2007,36,1,1,27,20,-9,0
119,2007-09-05 10:00:00,24,-2.3,1,0.0,0,0,0,1,1,0,0,1,2007,36,2,1,25,11,-11,0
120,2007-09-06 10:00:00,18,0.37,0,0.0,0,0,1,0,1,0,0,1,2007,36,3,1,29,20,-6,0
121,2007-09-07 08:30:00,22_33,-3.31,2,-1.36,1,1,0,1,1,0,1,2,2007,36,4,2,88,12,-66,1
122,2007-09-11 08:30:00,31,-0.06,0,-1.55,2,1,0,0,0,0,1,1,2007,37,1,1,20,7,-2,0
123,2007-09-14 08:30:00,10_29,-1.67,1,3.55,0,0,0,2,0,2,0,2,2007,37,4,2,42,7,-25,1
124,2007-09-14 10:00:00,28,-0.06,0,-0.06,0,1,0,0,1,0,0,1,2007,37,4,1,22,1,-32,1
125,2007-09-18 08:30:00,23,-3.49,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,28,9,-11,0
126,2007-09-18 09:00:00,30,-2.23,1,-3.41,3,0,0,1,0,0,1,1,2007,38,1,1,35,15,-23,0
127,2007-09-18 14:15:00,15,-1.25,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,91,12,-39,1
128,2007-09-19 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,38,2,1,29,17,-22,0
129,2007-09-25 10:00:00,14_4,-1.22,1,0.54,0,1,0,1,1,1,0,2,2007,39,1,2,49,27,-20,0
130,2007-09-26 08:30:00,8,-0.46,0,-0.32,0,0,0,1,0,0,1,1,2007,39,2,1,29,14,-11,0
131,2007-09-27 10:00:00,21,-0.41,0,-0.13,0,0,0,1,0,0,1,1,2007,39,3,1,18,3,-22,0
132,2007-09-28 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,39,4,1,25,-5,-4,0
