,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
84,-26.6,EUR,"Thursday, December 20, 2012",-26.5,d,Medium,EUR Euro-zone Consumer Confidence (DEC A),-26.9,-,15:00
85,8.1,USD,"Thursday, December 20, 2012",-3,u,Medium,USD Philadelphia Fed. (DEC),-10.7,-,15:00
86,5.04M,USD,"Thursday, December 20, 2012",4.90M,u,Medium,USD Existing Home Sales (NOV),4.76M,d,15:00
87,0.5%,USD,"Thursday, December 20, 2012",0.3%,u,Low,USD House Price Index (MoM) (OCT),0.0%,d,15:00
88,5.9%,USD,"Thursday, December 20, 2012",2.3%,u,Low,USD Existing Home Sales (MoM) (NOV),1.5%,d,15:00
89,-0.2%,USD,"Thursday, December 20, 2012",-0.2%,-,Medium,USD Leading Indicators (NOV),0.3%,u,15:00
90,-82,USD,"Thursday, December 20, 2012",-76,d,Low,USD EIA Natural Gas Storage Change (DEC 14),2,-,15:30
91,590,NZD,"Thursday, December 20, 2012",,-,Low,NZD Net Migration s.a. (NOV),340,u,21:45
92,,JPY,"Wednesday, December 19, 2012",,-,Low,JPY BOJ Holds Monetary Policy Meeting,,-,
93,-3.5%,AUD,"Wednesday, December 19, 2012",,-,Low,AUD DEWR Internet Skilled Vacancies (MoM) (NOV),-3.1%,d,00:00
94,0.2%,JPY,"Wednesday, December 19, 2012",0.2%,-,Medium,JPY All Industry Activity Index (MoM) (OCT),-0.4%,d,04:30
95,92.8,JPY,"Wednesday, December 19, 2012",,-,Medium,JPY Leading Index (OCT F),91.8,d,05:00
96,90.7,JPY,"Wednesday, December 19, 2012",,-,Medium,JPY Coincident Index (OCT F),91.3,u,05:00
97,-0.1%,EUR,"Wednesday, December 19, 2012",,-,Low,EUR Italian Industrial Orders n.s.a. (YoY) (OCT),-12.8%,-,09:00
98,0.0%,EUR,"Wednesday, December 19, 2012",1.0%,-,Low,EUR Italian Industrial Orders s.a. (MoM) (OCT),-4.0%,-,09:00
99,-4.7%,EUR,"Wednesday, December 19, 2012",,-,Low,EUR Italian Industrial Sales n.s.a. (YoY) (OCT),-5.4%,-,09:00
100,-0.2%,EUR,"Wednesday, December 19, 2012",,-,Low,EUR Italian Industrial Sales s.a. (MoM) (OCT),-4.2%,-,09:00
101,7.2B,EUR,"Wednesday, December 19, 2012",,-,Low,EUR Euro-zone Current Account n.s.a. (OCT),5.0B,u,09:00
102,3.9B,EUR,"Wednesday, December 19, 2012",,-,Low,EUR Euro-zone Current Account s.a. (OCT),2.4B,u,09:00
103,102.4,EUR,"Wednesday, December 19, 2012",102.0,u,Medium,EUR German IFO - Business Climate (DEC),101.4,-,09:00
104,107.1,EUR,"Wednesday, December 19, 2012",108.0,d,Medium,EUR German IFO - Current Assessment (DEC),108.1,-,09:00
105,97.9,EUR,"Wednesday, December 19, 2012",96.4,u,Medium,EUR German IFO - Expectations (DEC),95.2,-,09:00
106,,GBP,"Wednesday, December 19, 2012",,-,High,GBP Bank of England Minutes (DEC),,-,09:30
107,-1.6%,EUR,"Wednesday, December 19, 2012",,-,Low,EUR Euro-zone Construction Output s.a. (MoM) (OCT),-1.3%,u,10:00
108,-4.1%,EUR,"Wednesday, December 19, 2012",,-,Low,EUR Euro-zone Construction Output w.d.a. (YoY) (OCT),-3.8%,d,10:00
109,19,GBP,"Wednesday, December 19, 2012",25,d,Low,GBP CBI Reported Sales (DEC),33,-,11:00
110,-12.3%,USD,"Wednesday, December 19, 2012",,-,Low,USD MBA Mortgage Applications (DEC 14),6.2%,-,12:00
111,-3.0%,Housing,"Wednesday, December 19, 2012",-2.5%,d,Medium,Housing Starts MoM,5.3%,u,13:30
112,0.9%,CAD,"Wednesday, December 19, 2012",0.5%,u,Low,CAD Wholesale Sales (MoM) (OCT),-1.5%,d,13:30
113,861K,USD,"Wednesday, December 19, 2012",871K,d,Medium,USD Housing Starts (NOV),888K,d,13:30
114,899K,USD,"Wednesday, December 19, 2012",875K,u,Medium,USD Building Permits (NOV),868K,u,13:30
115,3.6%,USD,"Wednesday, December 19, 2012",0.8%,u,Low,USD Building Permits (MoM) (NOV),-2.5%,u,13:30
116,154.02,CAD,"Wednesday, December 19, 2012",,-,Low,CAD Teranet/National Bank HP Index (NOV),154.59,-,14:00
117,-0.4%,CAD,"Wednesday, December 19, 2012",,-,Low,CAD Teranet/National Bank HPI (MoM) (NOV),-0.2%,-,14:00
118,3.4%,CAD,"Wednesday, December 19, 2012",,-,Low,CAD Teranet/National Bank HPI (YoY) (NOV),3.4%,-,14:00
119,-964K,USD,"Wednesday, December 19, 2012",-1750K,u,Low,USD DOE U.S. Crude Oil Inventories (DEC 14),843K,-,15:30
120,145K,USD,"Wednesday, December 19, 2012",,-,Low,USD DOE Cushing OK Crude Inventory (DEC 14),1187K,-,15:30
121,2207K,USD,"Wednesday, December 19, 2012",2000K,u,Low,USD DOE U.S. Gasoline Inventories (DEC 14),5000K,-,15:30
122,-1085K,USD,"Wednesday, December 19, 2012",1000K,d,Low,USD DOE U.S. Distillate Inventory (DEC 14),2986K,-,15:30
123,0.2%,NZD,"Wednesday, December 19, 2012",0.4%,d,High,NZD Gross Domestic Product (QoQ) (3Q),0.3%,d,21:45
124,2.0%,NZD,"Wednesday, December 19, 2012",2.5%,d,High,NZD Gross Domestic Product (YoY) (3Q),2.5%,d,21:45
125,918.0B,JPY,"Wednesday, December 19, 2012",,-,Low,JPY Japan Buying Foreign Bonds (Yen) (DEC 14),-637.2B,d,23:50
126,-104.3B,JPY,"Wednesday, December 19, 2012",,-,Low,JPY Japan Buying Foreign Stocks (Yen) (DEC 14),-62.7B,-,23:50
127,157.6B,JPY,"Wednesday, December 19, 2012",,-,Low,JPY Foreign Buying Japan Bonds (Yen) (DEC 14),-31.1B,-,23:50
128,398.6B,JPY,"Wednesday, December 19, 2012",,-,Low,JPY Foreign Buying Japan Stocks (Yen) (DEC 14),116.8B,u,23:50
129,,AUD,"Tuesday, December 18, 2012",,-,High,AUD RBA December Meeting Minutes,,-,00:30
130,,CNY,"Tuesday, December 18, 2012",,-,Medium,CNY China Property Prices (NOV),,-,01:30
131,-5.4%,CNY,"Tuesday, December 18, 2012",-3.1%,d,Medium,CNY Actual FDI (YoY) (NOV),-0.2%,-,02:00
132,2.2%,JPY,"Tuesday, December 18, 2012",,-,Low,JPY Nationwide Department Store Sales (YoY) (NOV),-2.4%,-,05:30
133,3.1%,JPY,"Tuesday, December 18, 2012",,-,Low,JPY Tokyo Department Store Sales (YoY) (NOV),-1.5%,-,05:30
134,1.5%,GBP,"Tuesday, December 18, 2012",,-,Low,GBP DCLG UK House Prices (YoY) (OCT),1.7%,-,09:30
135,0.1%,GBP,"Tuesday, December 18, 2012",0.1%,-,Low,GBP Producer Price Index Input n.s.a. (MoM) (NOV),0.1%,d,09:30
136,-0.3%,GBP,"Tuesday, December 18, 2012",-0.1%,-,Low,GBP Producer Price Index Input n.s.a. (YoY) (NOV),0.0%,d,09:30
137,-0.2%,GBP,"Tuesday, December 18, 2012",0.2%,-,Low,GBP Producer Price Index Output n.s.a. (MoM) (NOV),0.2%,u,09:30
138,2.2%,GBP,"Tuesday, December 18, 2012",2.5%,-,Medium,GBP Producer Price Index Output n.s.a. (YoY) (NOV),2.6%,u,09:30
139,0.0%,GBP,"Tuesday, December 18, 2012",0.1%,-,Low,GBP Producer Price Index Output Core n.s.a. (MoM) (NOV),0.1%,-,09:30
140,1.4%,GBP,"Tuesday, December 18, 2012",1.5%,-,Medium,GBP Producer Price Index Output Core n.s.a. (YoY) (NOV),1.4%,-,09:30
141,0.2%,GBP,"Tuesday, December 18, 2012",0.2%,-,Medium,GBP Consumer Price Index (MoM) (NOV),0.5%,-,09:30
142,2.7%,GBP,"Tuesday, December 18, 2012",2.7%,-,High,GBP Consumer Price Index (YoY) (NOV),2.7%,-,09:30
143,2.6%,GBP,"Tuesday, December 18, 2012",2.7%,-,High,GBP Core Consumer Price Index (YoY) (NOV),2.6%,-,09:30
144,245.6,GBP,"Tuesday, December 18, 2012",246.2,-,Low,GBP Retail Price Index (NOV),245.6,-,09:30
145,0.0%,GBP,"Tuesday, December 18, 2012",0.2%,-,Low,GBP Retail Price Index (MoM) (NOV),0.6%,-,09:30
146,3.0%,GBP,"Tuesday, December 18, 2012",3.2%,-,Medium,GBP Retail Price Index (YoY) (NOV),3.2%,-,09:30
147,2.9%,GBP,"Tuesday, December 18, 2012",3.1%,-,Low,GBP Retail Price Index Ex Mort Int.Payments (YoY) (NOV),3.1%,-,09:30
148,-245M,EUR,"Tuesday, December 18, 2012",,-,Low,EUR Italian Current Account (mln Euro) (OCT),-2581M,-,10:00
149,0.8%,EUR,"Tuesday, December 18, 2012",,-,Medium,EUR Ireland GDP (YoY) (3Q),-0.5%,u,11:00
150,0.2%,EUR,"Tuesday, December 18, 2012",0.7%,d,Medium,EUR Ireland GDP s.a. (QoQ) (3Q),0.4%,u,11:00
151,-$107.5B,USD,"Tuesday, December 18, 2012",-$103.0B,d,Low,USD Current Account Balance (3Q),-$118.1,d,13:30
152,47,USD,"Tuesday, December 18, 2012",47,-,Low,USD NAHB Housing Market Index (DEC),45,d,15:00
153,-4.418B,NZD,"Tuesday, December 18, 2012",-4.400B,d,Low,NZD Current Account Balance (3Q),-1.797B,-,21:45
154,-4.70%,NZD,"Tuesday, December 18, 2012",-4.80%,u,Low,NZD Current Account Deficit-GDP Ratio (3Q),-4.90%,-,21:45
155,0.1%,AUD,"Tuesday, December 18, 2012",,-,Low,AUD Westpac Leading Index (MoM) (OCT),0.6%,d,23:30
156,-¥953.4B,JPY,"Tuesday, December 18, 2012",-¥1035.1B,u,Medium,JPY Merchandise Trade Balance Total (Yen) (NOV),-¥551.1B,d,23:50
157,-¥868.5B,JPY,"Tuesday, December 18, 2012",-¥848.2B,d,Low,JPY Adjusted Merchandise Trade Balance (Yen) (NOV),-¥619.4B,u,23:50
158,-4.1,JPY,"Tuesday, December 18, 2012",-5.5,u,Low,JPY Merchandise Trade Exports (YoY) (NOV),-6.5,-,23:50
159,0.8,JPY,"Tuesday, December 18, 2012",0.6,u,Low,JPY Merchandise Trade Imports (YoY) (NOV),-1.5,u,23:50
160,-3.3%,GBP,"Monday, December 17, 2012",,-,Low,GBP Rightmove House Prices (MoM) (DEC),-2.6%,-,00:01
161,1.4%,GBP,"Monday, December 17, 2012",,-,Low,GBP Rightmove House Prices (YoY) (DEC),2.0%,-,00:01
162,-21.3%,Machine,"Monday, December 17, 2012",,-,Low,Machine Tool Orders (YoY) (NOV F),-20.7%,-,06:00
163,10.2B,EUR,"Monday, December 17, 2012",11.0B,d,Low,EUR Euro-zone Trade Balance (OCT),9.5B,d,10:00
164,€7.9B,EUR,"Monday, December 17, 2012",€11.0B,d,Low,EUR Euro-zone Trade Balance s.a. (OCT),€11.0B,d,10:00
165,,CAD,"Monday, December 17, 2012",,-,Low,CAD International Securities Transactions (OCT),C$13.90B,-,13:30
166,-8.10,USD,"Monday, December 17, 2012",-1.00,-,Low,USD Empire Manufacturing (DEC),-5.22,-,13:30
167,-$56.7B,USD,"Monday, December 17, 2012",,-,Medium,USD Total Net TIC Flows (OCT),$4.7B,-,14:00
168,$1.3B,USD,"Monday, December 17, 2012",$25.0B,-,Medium,USD Net Long-term TIC Flows (OCT),$3.3B,-,14:00
169,-1.7%,CAD,"Monday, December 17, 2012",,d,Medium,CAD Existing Home Sales (MoM) (NOV),-0.1%,-,14:00
170,,EUR,"Monday, December 17, 2012",,-,Medium,EUR ECB's Draghi Speaks to European Parliament Panel,,-,14:30
171,0.2%,AUD,"Monday, December 17, 2012",,-,Low,AUD Conference Board Leading Index (OCT),-0.4%,d,23:00
172,111.1,NZD,"Sunday, December 16, 2012",,-,Medium,NZD Westpac NZ Consumer Confidence (4Q),102.5,-,21:00
173,54.1,NZD,"Sunday, December 16, 2012",,-,Low,NZD Performance Services Index (NOV),58.1,u,21:30
174,,CNY,"Friday, December 14, 2012",-3.1%,-,Medium,CNY Actual FDI (YoY) (NOV),-0.2%,-,
175,50.9,CNY,"Friday, December 14, 2012",50.8,u,Medium,CNY HSBC Flash Manufacturing PMI (DEC),50.5,-,01:45
176,62.7%,NZD,"Friday, December 14, 2012",,-,Low,NZD Non Resident Bond Holdings (NOV),62.4%,-,02:00
177,1.6%,JPY,"Friday, December 14, 2012",,-,Low,JPY Industrial Production (MoM) (OCT F),1.8%,-,04:30
178,-4.5%,JPY,"Friday, December 14, 2012",,-,Medium,JPY Industrial Production (YoY) (OCT F),-4.3%,-,04:30
179,1.6%,JPY,"Friday, December 14, 2012",,-,Low,JPY Capacity Utilization (MoM) (OCT F),-5.5%,-,04:30
180,-10.3%,EUR,"Friday, December 14, 2012",,-,Low,EUR EU 25 New Car Registrations (NOV),-4.8%,-,07:00
181,44.6,EUR,"Friday, December 14, 2012",44.9,d,Medium,EUR France PMI Manufacturing (DEC P),44.5,-,08:00
182,46.0,EUR,"Friday, December 14, 2012",46.0,-,Medium,EUR France PMI Services (DEC P),45.8,-,08:00
183,46.3,EUR,"Friday, December 14, 2012",47.3,d,Medium,EUR Germany PMI Manufacturing (DEC A),46.8,-,08:30
184,52.1,EUR,"Friday, December 14, 2012",50.0,u,Medium,EUR Germany PMI Services (DEC A),49.7,-,08:30
185,46.3,EUR,"Friday, December 14, 2012",46.6,d,Medium,EUR Euro-Zone PMI Manufacturing (DEC A),46.2,-,09:00
186,47.8,EUR,"Friday, December 14, 2012",47.0,u,Medium,EUR Euro-Zone PMI Services (DEC A),46.7,-,09:00
187,47.3,EUR,"Friday, December 14, 2012",46.9,u,Medium,EUR Euro-Zone PMI Composite (DEC A),46.5,-,09:00
188,-0.2%,EUR,"Friday, December 14, 2012",,-,Low,EUR Euro-zone Employment (QoQ) (3Q),0.0%,-,10:00
189,-0.7%,EUR,"Friday, December 14, 2012",,-,Low,EUR Euro-zone Employment (YoY) (3Q),-0.7%,d,10:00
190,1.4%,EUR,"Friday, December 14, 2012",1.5%,-,High,EUR Euro-zone Consumer Price Index - Core (YoY) (NOV),1.5%,-,10:00
191,-0.2%,EUR,"Friday, December 14, 2012",-0.2%,-,Medium,EUR Euro-zone Consumer Price Index (MoM) (NOV),0.2%,-,10:00
192,2.2%,EUR,"Friday, December 14, 2012",2.2%,-,High,EUR Euro-zone Consumer Price Index (YoY) (NOV),2.2%,-,10:00
193,-1.4%,CAD,"Friday, December 14, 2012",-0.1%,d,Low,CAD Manufacturing Shipments (MoM) (OCT),0.0%,d,13:30
194,-0.3%,USD,"Friday, December 14, 2012",-0.2%,d,Medium,USD Consumer Price Index (MoM) (NOV),0.1%,-,13:30
195,0.1%,USD,"Friday, December 14, 2012",0.2%,d,Medium,USD Consumer Price Index Ex Food & Energy (MoM) (NOV),0.2%,-,13:30
196,1.8%,USD,"Friday, December 14, 2012",1.9%,d,High,USD Consumer Price Index (YoY) (NOV),2.2%,-,13:30
197,1.9%,USD,"Friday, December 14, 2012",2.0%,d,High,USD Consumer Price Index Ex Food & Energy (YoY) (NOV),2.0%,-,13:30
198,230.221,USD,"Friday, December 14, 2012",230.334,d,Low,USD Consumer Price Index n.s.a. (NOV),231.317,-,13:30
199,231.254,USD,"Friday, December 14, 2012",,-,Low,USD Consumer Price Index Core Index s.a. (NOV),230.994,-,13:30
200,52.4,USD,"Friday, December 14, 2012",51.8,u,Medium,USD Markit US PMI Preliminary (DEC),52.4,-,13:58
201,1.1%,USD,"Friday, December 14, 2012",0.3%,u,High,USD Industrial Production (NOV),-0.7%,d,14:15
202,78.4%,USD,"Friday, December 14, 2012",78.0%,u,Low,USD Capacity Utilization (NOV),77.7%,d,14:15
203,1.1%,USD,"Friday, December 14, 2012",0.5%,u,Medium,USD Manufacturing (SIC) Production (NOV),-1.0%,d,14:15
204,114.7,NZD,"Thursday, December 13, 2012",,-,Low,NZD ANZ Consumer Confidence Index (DEC),114.1,-,00:00
205,0.5%,NZD,"Thursday, December 13, 2012",,-,Low,NZD ANZ Consumer Confidence (MoM) (DEC),3.3%,-,00:00
206,1.8%,AUD,"Thursday, December 13, 2012",,-,Medium,AUD Consumer Inflation Expectation (DEC),2.2%,-,00:00
207,0.0%,AUD,"Thursday, December 13, 2012",,-,Low,AUD New Motor Vehicle Sales (MoM) (NOV),-2.5%,u,00:30
208,9.7%,AUD,"Thursday, December 13, 2012",,-,Low,AUD New Motor Vehicle Sales (YoY) (NOV),8.6%,-,00:30
209,-13.3%,JPY,"Thursday, December 13, 2012",,-,Low,JPY Tokyo Condominium Sales (YoY) (NOV),-14.4%,-,05:00
210,,CHF,"Thursday, December 13, 2012",,-,Medium,CHF SECO December 2012 Economic Forecasts (DEC),,-,06:45
