,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
35,2007-02-01 08:30:00,69_15_52_51,-0.09,-0.2,3,1,3,7,0,0,1,2,1,2007,5,3,4,7,6,4,0,0,6,1,-4,0,0,6,1,0,0,0,4,-1,0,0,0,8,-6,-4,0,0,4,-5,1,0,0,26,13,-2,0
36,2007-02-01 10:00:00,38_50_39,0.0,0.0,0,4,3,4,3,0,2,1,0,2007,5,3,3,18,3,-3,0,0,11,0,-3,0,0,7,7,4,0,0,13,-5,-11,-1,0,8,0,7,0,0,9,2,0,0,0,33,16,-10,-1
37,2007-02-01 10:30:00,46,-1.33,-1.33,1,0,0,1,0,0,0,1,0,2007,5,3,1,3,-1,-1,0,0,8,-7,-3,0,0,12,-2,6,0,0,9,-7,-5,0,0,8,-11,-5,0,-1,6,-8,2,0,0,33,9,-4,0
38,2007-02-02 08:30:00,48_70_3,0.0,0.0,0,0,8,3,3,2,2,0,1,2007,5,4,3,24,17,9,0,1,18,12,-7,0,1,16,9,-7,0,0,12,7,-2,0,0,5,11,2,0,1,9,8,-3,0,0,45,16,-73,-2
39,2007-02-02 10:00:00,24_63,0.0,0.0,0,2,2,2,2,0,0,0,2,2007,5,4,2,17,-11,-10,-1,-1,4,-13,-1,0,-1,6,-7,4,0,0,6,-10,-3,0,-1,3,-11,-2,0,-1,7,-9,4,0,0,48,-29,-26,-2
40,2007-02-05 10:00:00,40,0.0,0.0,0,3,0,3,0,0,1,0,0,2007,6,0,1,9,-9,-4,0,0,13,2,8,0,0,5,2,-1,0,0,5,8,4,0,0,7,5,-1,0,0,5,8,4,0,0,21,-14,8,0
41,2007-02-07 08:30:00,56_57,0.0,0.0,0,0,4,0,0,4,0,0,2,2007,6,2,2,13,6,6,0,0,8,0,-6,0,0,6,1,-2,0,0,6,-4,-3,0,0,6,0,4,0,0,4,-3,-3,0,0,19,6,23,2
42,2007-02-07 10:30:00,18,0.46,0.46,1,0,0,1,0,0,0,1,0,2007,6,2,1,5,0,0,0,0,4,1,1,0,0,9,-4,-6,0,0,5,-1,3,0,0,6,-1,1,0,0,8,5,6,0,0,22,8,-3,0
43,2007-02-07 15:00:00,12,-0.71,-0.71,0,0,1,0,1,0,0,1,0,2007,6,2,1,3,1,1,0,0,6,0,0,0,0,5,0,-2,0,0,4,0,2,0,0,5,-3,-3,0,0,5,0,0,0,0,15,-11,14,1
44,2007-02-08 08:30:00,69,-0.52,-0.57,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,0,1,0,0,18,-2,-5,0,0,12,9,12,1,0,5,8,0,0,0,12,-2,-11,-1,0,7,2,5,0,0,22,10,35,2
