,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
78,2007-06-14 08:30:00,23,-0.19,-0.19,0,1,0,1,0,0,1,2007,24,3,1,32,-11,-2,0
79,2007-06-15 08:30:00,7,-0.96,-1.1,0,0,1,1,0,0,1,2007,24,4,1,27,9,29,2
80,2007-06-15 09:00:00,30,0.2,-0.19,0,1,0,0,0,1,1,2007,24,4,1,31,22,-1,0
81,2007-06-15 10:00:00,28,-1.15,-0.74,0,0,1,1,0,0,1,2007,24,4,1,29,0,24,2
82,2007-06-25 10:00:00,14,0.09,-0.04,0,1,0,1,0,0,1,2007,26,0,1,8,-1,-10,-1
83,2007-06-26 10:00:00,21_4,-0.54,-0.59,0,0,2,0,1,1,2,2007,26,1,2,15,4,-9,0
84,2007-06-27 08:30:00,8,-0.32,-0.14,0,0,1,0,1,0,1,2007,26,2,1,22,3,-3,0
85,2007-06-28 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,26,3,1,17,-14,-10,-1
86,2007-06-29 08:30:00,9,0.15,0.28,1,0,0,1,0,0,1,2007,26,4,1,22,13,4,0
87,2007-07-02 10:00:00,17,-0.37,-0.37,0,1,0,1,0,0,1,2007,27,0,1,10,-3,23,2
88,2007-07-03 10:00:00,24,0.31,0.31,0,0,1,0,0,1,1,2007,27,1,1,13,-1,-10,-1
89,2007-07-05 10:00:00,18,0.47,0.47,0,1,0,1,0,0,1,2007,27,3,1,27,-19,-10,-1
90,2007-07-06 08:30:00,22_33,-0.8,-0.43000000000000005,1,1,0,1,1,0,2,2007,27,4,2,33,12,4,0
91,2007-07-12 08:30:00,31,-0.14,-0.13,1,0,0,1,0,0,1,2007,28,3,1,11,0,-10,-1
92,2007-07-13 08:30:00,10_29,-3.16,-2.6,0,0,2,0,2,0,2,2007,28,4,2,22,0,23,2
93,2007-07-13 10:00:00,28,1.46,1.42,0,1,0,0,1,0,1,2007,28,4,1,23,0,-21,-2
94,2007-07-17 08:30:00,23,-1.5,-1.5,0,0,1,1,0,0,1,2007,29,1,1,14,0,1,0
95,2007-07-17 09:00:00,30,0.78,0.72,0,1,0,0,0,1,1,2007,29,1,1,21,9,0,0
96,2007-07-18 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,29,2,1,19,3,-11,-1
97,2007-07-25 10:00:00,14,-0.23,-0.23,0,0,1,1,0,0,1,2007,30,2,1,27,-10,-20,-1
98,2007-07-26 08:30:00,8,-0.22,0.28,0,0,1,0,1,0,1,2007,30,3,1,41,30,-2,0
99,2007-07-26 10:00:00,21,-0.48,-0.35,0,0,1,0,0,1,1,2007,30,3,1,39,4,3,0
100,2007-07-27 08:30:00,1,0.36,-0.3,0,1,0,0,0,1,1,2007,30,4,1,23,11,9,0
101,2007-07-31 08:30:00,9,-0.35,-0.29,0,0,1,1,0,0,1,2007,31,1,1,22,8,-12,-1
102,2007-07-31 10:00:00,4,1.52,1.36,0,1,0,0,1,0,1,2007,31,1,1,20,-1,-9,0
103,2007-08-01 10:00:00,17_24,-0.26,-0.26,0,1,1,1,0,1,2,2007,31,2,2,14,7,-10,-1
104,2007-08-03 08:30:00,22_33,-2.3600000000000003,-2.23,0,0,2,2,0,0,2,2007,31,4,2,39,2,25,2
105,2007-08-03 10:00:00,18,-1.21,-1.21,0,0,1,1,0,0,1,2007,31,4,1,39,26,24,2
106,2007-08-07 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,32,1,1,20,-3,26,2
107,2007-08-13 08:30:00,10_29,0.99,0.16,1,1,0,0,2,0,2,2007,33,0,2,20,4,9,0
108,2007-08-14 08:30:00,31_23,2.1799999999999997,2.2,0,2,0,1,1,0,2,2007,33,1,2,22,4,-12,-1
109,2007-08-15 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,33,2,1,19,8,-13,-1
110,2007-08-15 09:00:00,30,1.13,1.2,0,1,0,1,0,0,1,2007,33,2,1,25,-9,18,1
111,2007-08-17 10:00:00,28,-0.9,-1.1,0,0,1,0,0,1,1,2007,33,4,1,36,-7,47,2
112,2007-08-24 08:30:00,8,1.25,1.32,0,1,0,0,0,1,1,2007,34,4,1,26,1,-6,0
113,2007-08-24 10:00:00,21,0.45,0.75,0,1,0,0,1,0,1,2007,34,4,1,37,-5,7,0
114,2007-08-27 10:00:00,14,0.76,0.72,1,0,0,1,0,0,1,2007,35,0,1,16,-1,-14,-1
115,2007-08-28 10:00:00,4,-0.48,-0.75,1,0,0,0,0,1,1,2007,35,1,1,23,-14,-5,0
116,2007-08-30 08:30:00,26,1.05,-1.15,1,0,0,1,0,0,1,2007,35,3,1,39,25,2,0
117,2007-08-31 08:30:00,9,0.0,1.4,0,0,1,0,1,0,1,2007,35,4,1,28,-1,-18,-1
118,2007-09-04 10:00:00,17,-0.28,-0.28,1,0,0,1,0,0,1,2007,36,1,1,27,20,7,0
119,2007-09-05 10:00:00,24,0.33,0.33,0,0,1,1,0,0,1,2007,36,2,1,25,11,59,2
120,2007-09-06 10:00:00,18,-0.07,-0.07,0,1,0,1,0,0,1,2007,36,3,1,29,20,13,1
121,2007-09-07 08:30:00,22_33,-1.19,-1.23,1,0,1,1,0,1,2,2007,36,4,2,88,12,67,2
122,2007-09-11 08:30:00,31,-0.17,-0.49,1,0,0,0,0,1,1,2007,37,1,1,20,7,3,0
123,2007-09-14 08:30:00,10_29,-0.67,-0.43,0,0,2,0,2,0,2,2007,37,4,2,42,7,-9,0
124,2007-09-14 10:00:00,28,-0.01,-0.09,1,0,0,1,0,0,1,2007,37,4,1,22,1,-17,-1
125,2007-09-18 08:30:00,23,-1.38,-1.38,0,0,1,1,0,0,1,2007,38,1,1,28,9,10,1
126,2007-09-18 09:00:00,30,-1.45,-1.45,0,0,1,0,0,1,1,2007,38,1,1,35,15,-4,0
127,2007-09-18 14:15:00,15,-1.79,-1.79,0,0,1,1,0,0,1,2007,38,1,1,91,12,84,2
128,2007-09-19 08:30:00,7,0.45,0.45,1,0,0,1,0,0,1,2007,38,2,1,29,17,1,0
129,2007-09-25 10:00:00,14_4,-0.59,-0.3500000000000001,1,0,1,1,1,0,2,2007,39,1,2,49,27,-16,-1
130,2007-09-26 08:30:00,8,-0.11,-0.12,0,0,1,0,0,1,1,2007,39,2,1,29,14,-11,-1
131,2007-09-27 10:00:00,21,-0.62,-0.42,0,0,1,0,0,1,1,2007,39,3,1,18,3,-21,-2
132,2007-09-28 08:30:00,9,1.1,0.24,1,0,0,1,0,0,1,2007,39,4,1,25,-5,12,1
133,2007-10-01 10:00:00,17,-0.6,-0.6,0,0,1,1,0,0,1,2007,40,0,1,19,0,15,1
134,2007-10-02 10:00:00,24,0.08,0.1,0,0,1,0,1,0,1,2007,40,1,1,29,20,-27,-2
135,2007-10-03 08:15:00,0,0.21,-0.14,1,0,0,0,0,1,1,2007,40,2,1,29,14,-8,0
136,2007-10-03 10:00:00,18,-0.27,-0.27,1,0,0,1,0,0,1,2007,40,2,1,18,1,-38,-2
137,2007-10-05 08:30:00,22_33,1.06,2.24,1,1,0,1,1,0,2,2007,40,4,2,82,-11,-43,-2
138,2007-10-11 08:30:00,31,-0.29,-0.27,0,1,0,1,0,0,1,2007,41,3,1,30,6,-36,-2
139,2007-10-12 08:30:00,10_29_23,1.5699999999999998,1.21,0,3,0,3,0,0,3,2007,41,4,3,24,6,4,0
140,2007-10-12 10:00:00,28,-0.2,-0.11,0,0,1,1,0,0,1,2007,41,4,1,48,-28,-10,-1
141,2007-10-16 09:00:00,30,-1.52,-1.44,0,0,1,1,0,0,1,2007,42,1,1,55,4,5,0
142,2007-10-17 08:30:00,7,0.45,0.45,1,0,0,1,0,0,1,2007,42,2,1,32,15,14,1
143,2007-10-24 10:00:00,14,-1.53,-1.55,0,0,1,1,0,0,1,2007,43,2,1,27,4,-26,-2
144,2007-10-25 08:30:00,8,0.07,0.34,0,0,1,0,1,0,1,2007,43,3,1,22,3,14,1
145,2007-10-25 10:00:00,21,0.27,-0.54,1,0,0,0,0,1,1,2007,43,3,1,27,-15,-11,-1
146,2007-10-30 10:00:00,4,-0.64,-0.61,0,0,1,1,0,0,1,2007,44,1,1,30,3,13,1
147,2007-10-31 08:30:00,1,0.85,1.06,0,1,0,0,1,0,1,2007,44,2,1,27,-8,4,0
148,2007-10-31 14:15:00,15,0.45,0.45,1,0,0,1,0,0,1,2007,44,2,1,41,-4,27,2
149,2007-11-01 08:30:00,9,0.73,0.0,1,0,0,1,0,0,1,2007,44,3,1,22,8,-7,0
150,2007-11-01 10:00:00,17,-0.36,-0.36,0,0,1,1,0,0,1,2007,44,3,1,28,-3,0,0
151,2007-11-02 08:30:00,22_33,1.8699999999999999,0.10000000000000003,1,1,0,1,0,1,2,2007,44,4,2,44,2,-6,0
152,2007-11-05 10:00:00,18,0.58,0.58,0,1,0,1,0,0,1,2007,45,0,1,18,0,-5,0
153,2007-11-09 08:30:00,31,0.9,0.93,0,1,0,0,1,0,1,2007,45,4,1,23,-9,6,0
154,2007-11-09 10:00:00,28,-0.86,-0.83,0,0,1,0,0,1,1,2007,45,4,1,31,-9,2,0
155,2007-11-13 15:00:00,24,0.21,0.21,0,1,0,1,0,0,1,2007,46,1,1,27,-1,9,0
156,2007-11-14 08:30:00,10_29_23,0.83,0.54,1,0,2,1,1,1,3,2007,46,2,3,34,12,14,1
157,2007-11-15 08:30:00,7,0.0,0.0,1,0,0,1,0,0,1,2007,46,3,1,21,8,-30,-2
158,2007-11-16 09:00:00,30,-0.2,-0.15,0,0,1,1,0,0,1,2007,46,4,1,30,8,19,1
159,2007-11-27 10:00:00,4,-0.7,-0.75,0,0,1,0,0,1,1,2007,48,1,1,19,-5,-10,-1
160,2007-11-28 08:30:00,8,-0.82,-0.25,0,0,1,0,1,0,1,2007,48,2,1,63,28,9,0
161,2007-11-28 10:00:00,14,0.43,0.53,0,0,1,1,0,0,1,2007,48,2,1,23,-8,5,0
162,2007-11-29 08:30:00,26,0.81,0.48,1,0,0,1,0,0,1,2007,48,3,1,39,22,-22,-2
163,2007-11-29 10:00:00,21,-0.26,-0.73,0,0,1,0,0,1,1,2007,48,3,1,25,1,29,2
