,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,pips_agg_0_60_after,direction_agg_0_60_after
51,2007-05-15 09:00:00,30,-0.04,-0.14,0,0,1,1,0,0,1,2007,20,1,1,13,-8,-9,8,-11,-2,3,-9,2,-9,0
52,2007-05-18 10:00:00,28,0.61,0.95,0,1,0,0,1,0,1,2007,20,4,1,9,-6,-7,6,-4,3,14,7,11,8,0
53,2007-05-24 08:30:00,8,0.54,0.56,0,1,0,0,0,1,1,2007,21,3,1,11,-9,-10,6,-14,-3,5,-10,5,3,0
54,2007-05-24 10:00:00,21,1.31,1.21,0,1,0,0,0,1,1,2007,21,3,1,22,-20,-19,9,-25,-5,9,-27,-2,-14,-1
55,2007-05-25 10:00:00,14,-0.49,-0.44,0,0,1,0,1,0,1,2007,21,4,1,8,6,4,23,22,17,6,18,-4,13,1
56,2007-05-29 10:00:00,4,1.08,1.33,0,1,0,0,1,0,1,2007,22,1,1,13,-14,-11,4,-15,-2,3,-12,3,-17,-1
57,2007-05-30 08:15:00,0,0.21,0.35,0,0,1,1,0,0,1,2007,22,2,1,5,4,4,6,2,-1,2,2,0,5,0
58,2007-05-31 08:30:00,26,-0.71,0.71,0,0,1,1,0,0,1,2007,22,3,1,8,5,2,6,6,2,5,5,0,0,0
59,2007-06-05 10:00:00,18,1.09,1.09,0,1,0,1,0,0,1,2007,23,1,1,10,-3,3,3,-2,1,4,-2,0,0,0
60,2007-06-08 08:30:00,31,1.4,1.48,0,1,0,0,1,0,1,2007,23,4,1,12,-10,-9,7,-10,0,11,-18,-9,-4,0
61,2007-06-14 08:30:00,23,-0.19,-0.19,0,1,0,1,0,0,1,2007,24,3,1,17,-17,-16,14,-1,13,17,10,12,-2,0
62,2007-06-15 08:30:00,7,-0.96,-1.1,0,0,1,1,0,0,1,2007,24,4,1,17,-2,-4,13,5,7,11,13,9,29,2
63,2007-06-15 09:00:00,30,0.2,-0.19,0,1,0,0,0,1,1,2007,24,4,1,9,1,2,4,-2,-2,4,1,2,-1,0
64,2007-06-15 10:00:00,28,-1.15,-0.74,0,0,1,1,0,0,1,2007,24,4,1,11,10,8,9,4,-6,5,8,5,24,2
65,2007-06-25 10:00:00,14,0.09,-0.04,0,1,0,1,0,0,1,2007,26,0,1,7,2,1,3,3,1,7,-4,-6,-10,-1
66,2007-06-27 08:30:00,8,-0.32,-0.14,0,0,1,0,1,0,1,2007,26,2,1,8,3,2,5,1,-2,5,-1,-1,-3,0
67,2007-06-28 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,26,3,1,12,2,4,8,7,4,5,7,1,-10,-1
68,2007-06-29 08:30:00,9,0.15,0.28,1,0,0,1,0,0,1,2007,26,4,1,9,-5,-6,6,-2,3,7,-6,-3,4,0
69,2007-07-02 10:00:00,17,-0.37,-0.37,0,1,0,1,0,0,1,2007,27,0,1,6,0,-1,2,-1,-1,13,10,10,23,2
70,2007-07-03 10:00:00,24,0.31,0.31,0,0,1,0,0,1,1,2007,27,1,1,8,-3,-5,7,-11,-6,7,-4,7,-10,-1
71,2007-07-05 10:00:00,18,0.47,0.47,0,1,0,1,0,0,1,2007,27,3,1,8,-10,-8,9,-7,4,5,-7,-1,-10,-1
72,2007-07-12 08:30:00,31,-0.14,-0.13,1,0,0,1,0,0,1,2007,28,3,1,9,7,7,5,9,2,17,-6,-14,-10,-1
73,2007-07-13 10:00:00,28,1.46,1.42,0,1,0,0,1,0,1,2007,28,4,1,9,-11,-9,10,-5,6,4,-5,2,-21,-2
74,2007-07-17 08:30:00,23,-1.5,-1.5,0,0,1,1,0,0,1,2007,29,1,1,11,1,0,3,0,1,14,13,13,1,0
75,2007-07-17 09:00:00,30,0.78,0.72,0,1,0,0,0,1,1,2007,29,1,1,4,-6,-3,5,-3,3,4,-6,-2,0,0
76,2007-07-18 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,29,2,1,11,-12,-11,12,-22,-9,10,-26,1,-11,-1
77,2007-07-25 10:00:00,14,-0.23,-0.23,0,0,1,1,0,0,1,2007,30,2,1,17,-3,-2,22,-15,-11,11,-10,5,-20,-1
78,2007-07-26 08:30:00,8,-0.22,0.28,0,0,1,0,1,0,1,2007,30,3,1,15,-3,-1,9,-5,0,9,-4,-1,-2,0
79,2007-07-26 10:00:00,21,-0.48,-0.35,0,0,1,0,0,1,1,2007,30,3,1,21,13,11,19,3,-10,13,2,0,3,0
80,2007-07-27 08:30:00,1,0.36,-0.3,0,1,0,0,0,1,1,2007,30,4,1,14,4,3,18,15,10,10,18,4,9,0
81,2007-07-31 08:30:00,9,-0.35,-0.29,0,0,1,1,0,0,1,2007,31,1,1,10,-3,-1,9,-5,-3,10,-10,-4,-12,-1
82,2007-07-31 10:00:00,4,1.52,1.36,0,1,0,0,1,0,1,2007,31,1,1,10,-3,-2,9,-7,-5,12,-14,-7,-9,0
83,2007-08-03 10:00:00,18,-1.21,-1.21,0,0,1,1,0,0,1,2007,31,4,1,11,1,-1,10,-2,-3,9,-3,0,24,2
84,2007-08-07 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,32,1,1,19,-3,-2,13,2,7,17,11,8,26,2
85,2007-08-15 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,33,2,1,11,-4,-4,9,-3,2,8,-6,-3,-13,-1
86,2007-08-15 09:00:00,30,1.13,1.2,0,1,0,1,0,0,1,2007,33,2,1,12,-5,-4,15,-2,2,16,7,9,18,1
87,2007-08-17 10:00:00,28,-0.9,-1.1,0,0,1,0,0,1,1,2007,33,4,1,14,10,11,10,13,4,8,14,3,47,2
88,2007-08-24 08:30:00,8,1.25,1.32,0,1,0,0,0,1,1,2007,34,4,1,12,-7,-7,24,2,9,14,2,-1,-6,0
89,2007-08-24 10:00:00,21,0.45,0.75,0,1,0,0,1,0,1,2007,34,4,1,15,11,11,16,15,3,13,4,-9,7,0
90,2007-08-27 10:00:00,14,0.76,0.72,1,0,0,1,0,0,1,2007,35,0,1,12,-3,-2,11,-4,0,8,-4,-3,-14,-1
91,2007-08-28 10:00:00,4,-0.48,-0.75,1,0,0,0,0,1,1,2007,35,1,1,10,1,2,16,-10,-11,11,-5,3,-5,0
92,2007-08-30 08:30:00,26,1.05,-1.15,1,0,0,1,0,0,1,2007,35,3,1,14,2,2,15,-6,-7,11,-3,3,2,0
93,2007-08-31 08:30:00,9,0.0,1.4,0,0,1,0,1,0,1,2007,35,4,1,8,1,0,11,-2,-3,9,-2,0,-18,-1
94,2007-09-04 10:00:00,17,-0.28,-0.28,1,0,0,1,0,0,1,2007,36,1,1,12,-1,-3,11,2,3,8,5,0,7,0
95,2007-09-05 10:00:00,24,0.33,0.33,0,0,1,1,0,0,1,2007,36,2,1,11,9,4,32,30,24,37,60,30,59,2
96,2007-09-06 10:00:00,18,-0.07,-0.07,0,1,0,1,0,0,1,2007,36,3,1,11,-6,-7,11,-5,1,16,1,6,13,1
97,2007-09-11 08:30:00,31,-0.17,-0.49,1,0,0,0,0,1,1,2007,37,1,1,15,-10,-10,8,-6,3,9,-4,2,3,0
