,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,pips_agg_0_60_after,direction_agg_0_60_after
101,2007-03-20 08:30:00,4_36,0.18000000000000016,0.5599999999999999,2,2,0,4,0,0,0,0,2,2007,12,1,2,-1,0
102,2007-03-21 10:30:00,18,-0.99,-0.99,1,0,0,1,0,0,0,1,0,2007,12,2,1,-3,0
103,2007-03-21 14:15:00,26,0.0,0.0,3,0,0,3,0,0,1,0,0,2007,12,2,1,71,2
104,2007-03-22 08:30:00,69,0.47,0.37,1,0,0,1,0,0,0,1,0,2007,12,3,1,0,0
105,2007-03-22 10:00:00,7,-0.7,-1.15,0,0,1,0,0,1,0,1,0,2007,12,3,1,3,0
106,2007-03-22 10:30:00,46,-1.79,-1.79,1,0,0,1,0,0,0,1,0,2007,12,3,1,-12,-1
107,2007-03-23 10:00:00,23,2.7,2.43,0,3,0,3,0,0,1,0,0,2007,12,4,1,-26,-2
108,2007-03-26 10:00:00,47,-1.83,-2.43,0,0,3,0,0,3,1,0,0,2007,13,0,1,33,2
109,2007-03-27 09:00:00,65,-1.13,-1.13,0,0,1,1,0,0,0,1,0,2007,13,1,1,4,0
110,2007-03-27 10:00:00,64_6,-2.48,-2.7199999999999998,0,0,4,1,0,3,1,1,0,2007,13,1,2,8,0
111,2007-03-28 08:30:00,14_20,1.93,1.71,0,0,5,0,0,5,1,0,1,2007,13,2,2,10,1
112,2007-03-28 10:30:00,18,0.34,0.34,1,0,0,1,0,0,0,1,0,2007,13,2,1,-7,0
113,2007-03-29 08:30:00,69_28_27,0.94,0.96,1,3,0,4,0,0,0,2,1,2007,13,3,3,-8,0
114,2007-03-29 10:30:00,46,0.47,0.47,1,0,0,1,0,0,0,1,0,2007,13,3,1,-1,0
115,2007-03-30 08:30:00,15_52_51,3.89,2.8100000000000005,0,6,0,3,0,3,1,1,1,2007,13,4,3,-7,0
116,2007-03-30 09:45:00,10,2.3,2.3,0,2,0,2,0,0,0,0,1,2007,13,4,1,-2,0
117,2007-03-30 10:00:00,11_63,2.94,2.8200000000000003,2,1,0,2,1,0,0,1,1,2007,13,4,2,-4,0
118,2007-04-02 10:00:00,38_39,-1.08,-1.08,0,1,3,4,0,0,1,1,0,2007,14,0,2,3,0
119,2007-04-03 01:00:00,67,-0.32,-0.32,1,0,0,1,0,0,0,1,0,2007,14,1,1,-10,-1
120,2007-04-03 10:00:00,50,2.67,2.67,0,3,0,3,0,0,1,0,0,2007,14,1,1,2,0
121,2007-04-04 08:15:00,0,0.0,1.2000000000000002,0,0,3,0,3,0,1,0,0,2007,14,2,1,8,0
122,2007-04-04 10:00:00,24_40,-2.99,-3.13,0,0,5,5,0,0,1,0,1,2007,14,2,2,16,1
123,2007-04-04 10:30:00,18,-1.51,-1.51,1,0,0,1,0,0,0,1,0,2007,14,2,1,-3,0
124,2007-04-05 08:30:00,69,-1.47,-1.55,0,0,1,1,0,0,0,1,0,2007,14,3,1,39,2
125,2007-04-05 10:30:00,46,0.43,0.43,1,0,0,1,0,0,0,1,0,2007,14,3,1,-3,0
126,2007-04-06 08:30:00,48_70_3,5.93,5.15,2,6,0,5,3,0,2,0,1,2007,14,4,3,-36,-2
127,2007-04-06 10:00:00,31,0.44,0.45,0,0,1,0,1,0,0,1,0,2007,14,4,1,1,0
128,2007-04-06 15:00:00,12,-0.78,-0.78,0,0,1,1,0,0,0,1,0,2007,14,4,1,-3,0
