,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
65,2007-05-15 09:00:00,30,-0.04,-0.14,0,0,1,1,0,0,1,2007,20,1,1,13,-8,-9,0,0,8,-11,-2,0,-1,3,-9,2,0,0,2,-9,1,0,0,3,-10,-2,0,-1,5,-14,-4,0,-1,30,22,38,2
66,2007-05-18 10:00:00,28,0.61,0.95,0,1,0,0,1,0,1,2007,20,4,1,9,-6,-7,0,0,6,-4,3,0,0,14,7,11,1,0,6,2,-4,0,0,7,5,4,0,0,9,12,7,0,1,10,4,28,2
67,2007-05-24 08:30:00,8,0.54,0.56,0,1,0,0,0,1,1,2007,21,3,1,11,-9,-10,-1,0,6,-14,-3,0,-1,5,-10,5,0,-1,4,-8,3,0,0,2,-8,-1,0,0,9,-4,4,0,0,19,11,-26,-2
68,2007-05-24 10:00:00,21,1.31,1.21,0,1,0,0,0,1,1,2007,21,3,1,22,-20,-19,-1,-1,9,-25,-5,0,-2,9,-27,-2,0,-2,5,-26,-1,0,-2,7,-24,3,0,-2,2,-24,0,0,-2,33,3,-21,-2
69,2007-05-25 10:00:00,14,-0.49,-0.44,0,0,1,0,1,0,1,2007,21,4,1,8,6,4,0,0,23,22,17,1,2,6,18,-4,0,1,8,22,4,0,2,3,22,0,0,2,6,21,-1,0,2,10,-4,0,0
70,2007-05-29 10:00:00,4,1.08,1.33,0,1,0,0,1,0,1,2007,22,1,1,13,-14,-11,-1,-1,4,-15,-2,0,-1,3,-12,3,0,-1,1,-11,0,0,-1,5,-15,-4,0,-1,6,-21,-5,0,-2,17,-2,-23,-2
71,2007-05-30 08:15:00,0,0.21,0.35,0,0,1,1,0,0,1,2007,22,2,1,5,4,4,0,0,6,2,-1,0,0,2,2,0,0,0,4,4,1,0,0,4,2,-2,0,0,3,1,-1,0,0,23,-12,17,1
72,2007-05-31 08:30:00,26,-0.71,0.71,0,0,1,1,0,0,1,2007,22,3,1,8,5,2,0,0,6,6,2,0,0,5,5,0,0,0,3,5,1,0,0,6,0,-4,0,0,4,2,2,0,0,29,19,-21,-2
73,2007-06-01 08:30:00,9_22_33,-0.19000000000000006,-0.8300000000000001,1,1,1,2,0,1,3,2007,22,4,3,35,22,24,2,2,17,9,-15,-1,0,9,-2,-9,0,0,15,-16,-11,-1,-1,8,-15,1,0,-1,7,-12,2,0,-1,35,-2,-35,-2
74,2007-06-01 10:00:00,17_24,0.04,0.03,0,1,1,1,1,0,2,2007,22,4,2,19,-8,-7,0,0,20,-25,-17,-1,-2,8,-31,-6,0,-2,11,-22,9,0,-2,6,-27,-5,0,-2,5,-29,-2,0,-2,23,-4,15,1
75,2007-06-05 10:00:00,18,1.09,1.09,0,1,0,1,0,0,1,2007,23,1,1,10,-3,3,0,0,3,-2,1,0,0,4,-2,0,0,0,6,-6,-3,0,0,12,-12,-5,0,-1,3,-14,-1,0,-1,24,-19,2,0
76,2007-06-08 08:30:00,31,1.4,1.48,0,1,0,0,1,0,1,2007,23,4,1,12,-10,-9,0,-1,7,-10,0,0,-1,11,-18,-9,0,-1,3,-15,2,0,-1,3,-16,-1,0,-1,6,-20,-5,0,-1,33,21,-7,0
77,2007-06-13 08:30:00,10_29,2.6799999999999997,0.76,0,2,0,0,2,0,2,2007,24,2,2,14,-14,-11,-1,-1,13,-2,12,1,0,18,10,11,1,1,14,-3,-11,-1,0,9,1,4,0,0,12,-9,-10,-1,0,23,2,19,1
78,2007-06-14 08:30:00,23,-0.19,-0.19,0,1,0,1,0,0,1,2007,24,3,1,17,-17,-16,-1,-1,14,-1,13,1,0,17,10,12,1,1,6,3,-5,0,0,6,-4,-6,0,0,5,-6,-3,0,0,32,-11,19,1
79,2007-06-15 08:30:00,7,-0.96,-1.1,0,0,1,1,0,0,1,2007,24,4,1,17,-2,-4,0,0,13,5,7,0,0,11,13,9,0,1,9,21,8,0,2,8,15,-4,0,1,7,16,1,0,1,27,9,20,1
80,2007-06-15 09:00:00,30,0.2,-0.19,0,1,0,0,0,1,1,2007,24,4,1,9,1,2,0,0,4,-2,-2,0,0,4,1,2,0,0,18,20,16,1,1,10,15,-7,0,1,3,14,-1,0,1,31,22,25,2
81,2007-06-15 10:00:00,28,-1.15,-0.74,0,0,1,1,0,0,1,2007,24,4,1,11,10,8,0,1,9,4,-6,0,0,5,8,5,0,0,3,8,0,0,0,6,9,0,0,0,5,12,4,0,1,29,0,28,2
82,2007-06-25 10:00:00,14,0.09,-0.04,0,1,0,1,0,0,1,2007,26,0,1,7,2,1,0,0,3,3,1,0,0,7,-4,-6,0,0,4,0,4,0,0,3,-1,0,0,0,3,0,1,0,0,8,-1,-19,-1
83,2007-06-26 10:00:00,21_4,-0.54,-0.59,0,0,2,0,1,1,2,2007,26,1,2,15,-8,-9,0,0,5,-6,1,0,0,4,-7,-2,0,0,4,-9,-2,0,0,4,-8,1,0,0,2,-9,-1,0,0,15,4,-2,0
84,2007-06-27 08:30:00,8,-0.32,-0.14,0,0,1,0,1,0,1,2007,26,2,1,8,3,2,0,0,5,1,-2,0,0,5,-1,-1,0,0,7,-8,-6,0,0,7,-2,5,0,0,6,-8,-6,0,0,22,3,-6,0
85,2007-06-28 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,26,3,1,12,2,4,0,0,8,7,4,0,0,5,7,1,0,0,7,2,-4,0,0,5,-2,-4,0,0,3,-2,0,0,0,17,-14,-7,0
86,2007-06-29 08:30:00,9,0.15,0.28,1,0,0,1,0,0,1,2007,26,4,1,9,-5,-6,0,0,6,-2,3,0,0,7,-6,-3,0,0,3,-5,1,0,0,4,-2,3,0,0,2,0,1,0,0,22,13,-3,0
87,2007-07-02 10:00:00,17,-0.37,-0.37,0,1,0,1,0,0,1,2007,27,0,1,6,0,-1,0,0,2,-1,-1,0,0,13,10,10,1,1,8,14,4,0,1,5,13,-1,0,1,8,21,8,0,2,10,-3,27,2
88,2007-07-03 10:00:00,24,0.31,0.31,0,0,1,0,0,1,1,2007,27,1,1,8,-3,-5,0,0,7,-11,-6,0,-1,7,-4,7,0,0,4,-7,-3,0,0,2,-7,1,0,0,7,-12,-5,0,-1,13,-1,-1,0
89,2007-07-05 10:00:00,18,0.47,0.47,0,1,0,1,0,0,1,2007,27,3,1,8,-10,-8,0,-1,9,-7,4,0,0,5,-7,-1,0,0,12,-18,-10,-1,-1,11,-15,5,0,-1,6,-19,-4,0,-1,27,-19,-15,-1
90,2007-07-06 08:30:00,22_33,-0.8,-0.43000000000000005,1,1,0,1,1,0,2,2007,27,4,2,28,-26,-27,-2,-2,15,-15,12,1,-1,9,-19,-4,0,-1,6,-21,-1,0,-2,5,-17,3,0,-1,19,0,18,1,0,33,12,42,2
91,2007-07-12 08:30:00,31,-0.14,-0.13,1,0,0,1,0,0,1,2007,28,3,1,9,7,7,0,0,5,9,2,0,0,17,-6,-14,-1,0,6,-2,5,0,0,17,-20,-16,-1,-1,6,-17,3,0,-1,11,0,-12,-1
92,2007-07-13 08:30:00,10_29,-3.16,-2.6,0,0,2,0,2,0,2,2007,28,4,2,17,18,15,1,1,17,33,13,1,2,13,21,-10,-1,2,6,17,-3,0,1,8,23,5,0,2,4,22,0,0,2,22,0,20,1
93,2007-07-13 10:00:00,28,1.46,1.42,0,1,0,0,1,0,1,2007,28,4,1,9,-11,-9,0,-1,10,-5,6,0,0,4,-5,2,0,0,3,-2,3,0,0,3,-2,0,0,0,2,-3,-1,0,0,23,0,-10,-1
94,2007-07-17 08:30:00,23,-1.5,-1.5,0,0,1,1,0,0,1,2007,29,1,1,11,1,0,0,0,3,0,1,0,0,14,13,13,1,1,4,10,-3,0,1,3,9,-2,0,0,2,8,-1,0,0,14,0,6,0
95,2007-07-17 09:00:00,30,0.78,0.72,0,1,0,0,0,1,1,2007,29,1,1,4,-6,-3,0,0,5,-3,3,0,0,4,-6,-2,0,0,3,-7,-1,0,0,3,-5,2,0,0,4,-10,-4,0,-1,21,9,3,0
96,2007-07-18 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,29,2,1,11,-12,-11,-1,-1,12,-22,-9,0,-2,10,-26,1,0,-2,9,-26,2,0,-2,7,-19,6,0,-1,7,-22,-3,0,-2,19,3,12,1
97,2007-07-25 10:00:00,14,-0.23,-0.23,0,0,1,1,0,0,1,2007,30,2,1,17,-3,-2,0,0,22,-15,-11,-1,-1,11,-10,5,0,-1,10,-14,-3,0,-1,10,-15,0,0,-1,11,-15,0,0,-1,27,-10,-21,-2
98,2007-07-26 08:30:00,8,-0.22,0.28,0,0,1,0,1,0,1,2007,30,3,1,15,-3,-1,0,0,9,-5,0,0,0,9,-4,-1,0,0,9,-5,-2,0,0,9,-9,-4,0,0,9,-6,2,0,0,41,30,6,0
