,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
135,2007-05-25 10:00:00,23,-0.49,-0.44,0,0,1,0,1,0,1,0,0,2007,21,4,1,10,-4,13,1
136,2007-05-29 09:00:00,65,0.44,0.75,0,0,1,0,1,0,0,1,0,2007,22,1,1,20,7,-2,0
137,2007-05-29 10:00:00,6,1.08,1.33,0,1,0,0,1,0,1,0,0,2007,22,1,1,17,-2,-17,-1
138,2007-05-30 08:15:00,0,0.21,0.35,0,0,1,1,0,0,1,0,0,2007,22,2,1,23,-12,5,0
139,2007-05-31 09:45:00,10,0.65,0.65,0,1,0,1,0,0,0,0,1,2007,22,3,1,14,-10,-14,-1
140,2007-05-31 10:00:00,11,-0.67,-0.43,1,0,0,0,1,0,0,1,0,2007,22,3,1,25,-18,3,0
141,2007-06-01 01:00:00,67,-0.41,-0.41,1,0,0,1,0,0,0,1,0,2007,22,4,1,5,3,-4,0
142,2007-06-04 10:00:00,24,-0.92,-0.59,0,0,1,0,1,0,0,0,1,2007,23,0,1,16,7,-5,0
143,2007-06-05 10:00:00,40,1.09,1.09,0,1,0,1,0,0,1,0,0,2007,23,1,1,24,-19,0,0
144,2007-06-06 10:30:00,18,0.21,0.21,1,0,0,1,0,0,0,1,0,2007,23,2,1,13,5,-10,-1
145,2007-06-07 08:30:00,69,-0.27,-0.12,0,1,0,1,0,0,0,0,1,2007,23,3,1,16,-10,1,0
146,2007-06-07 10:00:00,31,0.3,0.19,1,0,0,0,0,1,0,1,0,2007,23,3,1,14,3,-21,-2
147,2007-06-07 10:30:00,46,-0.53,-0.53,1,0,0,1,0,0,0,1,0,2007,23,3,1,18,0,-5,0
148,2007-06-07 15:00:00,12,-0.66,-0.58,0,0,1,0,1,0,0,1,0,2007,23,3,1,11,5,-2,0
149,2007-06-08 08:30:00,68,1.4,1.48,0,1,0,0,1,0,1,0,0,2007,23,4,1,33,21,-4,0
150,2007-06-12 10:00:00,37,0.55,0.55,0,1,0,1,0,0,0,1,0,2007,24,1,1,24,-20,7,0
151,2007-06-12 14:00:00,25,-0.62,-0.62,1,0,0,1,0,0,0,0,1,2007,24,1,1,14,10,-10,-1
