,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
38,2007-03-26 10:00:00,21,-0.61,-0.81,0,0,1,0,0,1,1,2007,13,0,1,21,22,17,14,33,12,4,32,-1,10,38,6,6,47,6,7,49,2,53,28,33,2
39,2007-03-27 10:00:00,4,-0.91,-0.99,0,0,1,0,0,1,1,2007,13,1,1,11,-4,-6,6,-6,-1,8,1,6,16,14,12,8,17,3,3,15,-2,17,-1,8,0
40,2007-03-28 08:30:00,8,0.31,0.29,0,0,1,0,0,1,1,2007,13,2,1,20,12,11,6,11,-1,3,10,-1,6,15,5,3,14,-2,10,8,-7,22,-1,10,1
41,2007-03-30 08:30:00,9,0.58,0.22,0,1,0,0,0,1,1,2007,13,4,1,7,-4,-4,29,-34,-28,11,-24,9,7,-20,3,8,-16,4,5,-12,4,20,16,-7,0
42,2007-04-02 10:00:00,17,-0.12,-0.12,0,0,1,1,0,0,1,2007,14,0,1,12,8,7,5,9,1,4,8,0,10,1,-8,3,3,3,2,1,-2,15,-7,3,0
43,2007-04-03 10:00:00,24,0.89,0.89,0,1,0,1,0,0,1,2007,14,1,1,5,-4,-3,10,5,8,4,4,0,8,-1,-6,2,-1,0,3,0,1,12,0,2,0
44,2007-04-04 08:15:00,0,0.0,0.4,0,0,1,0,1,0,1,2007,14,2,1,7,6,6,3,8,2,3,8,0,2,7,-1,9,-3,-9,6,-5,-2,12,4,8,0
45,2007-04-04 10:00:00,18,-0.51,-0.51,0,0,1,1,0,0,1,2007,14,2,1,13,9,9,10,7,-2,5,7,0,8,14,7,5,14,-1,5,14,0,20,-5,16,1
46,2007-04-06 08:30:00,22_33,1.8900000000000001,1.63,0,2,0,1,1,0,2,2007,14,4,2,41,-39,-34,19,-26,13,22,-42,-16,9,-41,1,7,-37,4,4,-36,1,53,-5,-36,-2
47,2007-04-13 08:30:00,31_23,0.44999999999999996,0.36,0,2,0,2,0,0,2,2007,15,4,2,17,4,5,9,-4,-8,8,1,4,2,1,1,6,4,3,4,6,1,20,-9,10,1
48,2007-04-13 10:00:00,28,-0.52,-0.22,0,0,1,1,0,0,1,2007,15,4,1,16,-4,-1,5,-9,-4,5,-9,0,8,-3,6,8,-8,-5,7,-4,4,20,8,-23,-2
49,2007-04-16 08:30:00,10_29,1.14,2.8499999999999996,1,1,0,0,2,0,2,2007,16,0,2,10,5,4,6,2,-3,5,5,3,3,5,0,3,6,1,3,6,-1,15,-9,3,0
50,2007-04-16 09:00:00,30,-0.32,-0.46,0,0,1,1,0,0,1,2007,16,0,1,17,-2,-3,3,-3,-1,6,0,3,2,0,0,3,-2,-2,9,-9,-7,21,2,-4,0
51,2007-04-17 08:30:00,7,-1.22,-1.5,0,0,1,1,0,0,1,2007,16,1,1,23,16,16,8,17,0,16,32,15,18,47,15,11,40,-7,4,39,-1,27,3,36,2
52,2007-04-24 10:00:00,14_4,-1.86,-1.3800000000000001,0,0,2,1,1,0,2,2007,17,1,2,20,15,16,9,19,5,6,17,-2,11,26,8,11,34,8,7,36,1,29,6,35,2
53,2007-04-25 08:30:00,8,0.41,0.14,0,1,0,0,0,1,1,2007,17,2,1,12,-8,-8,13,-16,-8,11,-13,3,3,-13,0,5,-8,5,3,-7,1,21,-9,-5,0
54,2007-04-25 10:00:00,21,0.25,0.24,0,0,1,0,0,1,1,2007,17,2,1,16,16,16,6,14,-1,13,23,9,9,18,-5,11,17,-1,5,16,-1,24,0,17,1
55,2007-04-27 08:30:00,1,-0.71,-0.71,0,0,1,0,0,1,1,2007,17,4,1,34,29,29,14,20,-9,11,19,-1,12,12,-6,9,14,4,8,15,1,43,8,20,1
56,2007-04-30 08:30:00,9,-1.17,-1.18,0,0,1,1,0,0,1,2007,18,0,1,9,1,-2,6,-1,-2,8,7,7,8,13,7,3,10,-3,4,9,-1,22,5,14,1
57,2007-05-01 10:00:00,17_24,-0.43999999999999995,-0.43999999999999995,0,1,1,1,1,0,2,2007,18,1,2,15,-2,1,21,-19,-14,4,-21,-1,9,-28,-8,11,-32,-2,10,-34,-3,28,-1,-50,-2
58,2007-05-02 08:15:00,0,-0.72,-0.63,0,0,1,0,0,1,1,2007,18,2,1,7,7,4,5,6,0,3,5,-2,4,4,-1,4,6,3,3,6,-1,25,17,10,1
59,2007-05-03 10:00:00,18,0.99,0.99,0,1,0,1,0,0,1,2007,18,3,1,16,-15,-12,7,-12,4,6,-11,1,4,-14,-3,12,-24,-9,6,-19,4,36,-15,-6,0
60,2007-05-04 08:30:00,22_33,-1.02,-1.12,1,0,1,2,0,0,2,2007,18,4,2,30,4,9,17,10,10,11,15,5,10,16,2,6,18,1,18,31,13,30,-5,34,2
61,2007-05-09 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,-27,9,-24,3,8,-22,2,8,-25,-1,6,-27,-3,6,-30,-3,29,6,-26,-2
62,2007-05-10 08:30:00,31,-1.41,-1.48,0,0,1,1,0,0,1,2007,19,3,1,14,11,12,16,0,-12,7,4,5,7,-1,-4,21,-26,-20,5,-25,1,19,4,-26,-2
63,2007-05-11 08:30:00,10_29_23,-2.45,-1.7700000000000002,0,1,2,1,2,0,3,2007,19,4,3,11,2,0,17,-13,-16,5,-11,1,5,-8,4,9,-3,4,5,1,4,18,11,4,0
64,2007-05-15 08:30:00,7,0.0,0.45,1,0,0,1,0,0,1,2007,20,1,1,22,20,18,9,14,-7,6,20,5,4,18,-2,5,16,-2,3,16,0,32,7,4,0
65,2007-05-15 09:00:00,30,-0.04,-0.14,0,0,1,1,0,0,1,2007,20,1,1,13,-8,-9,8,-11,-2,3,-9,2,2,-9,1,3,-10,-2,5,-14,-4,30,22,-9,0
66,2007-05-18 10:00:00,28,0.61,0.95,0,1,0,0,1,0,1,2007,20,4,1,9,-6,-7,6,-4,3,14,7,11,6,2,-4,7,5,4,9,12,7,10,4,8,0
67,2007-05-24 08:30:00,8,0.54,0.56,0,1,0,0,0,1,1,2007,21,3,1,11,-9,-10,6,-14,-3,5,-10,5,4,-8,3,2,-8,-1,9,-4,4,19,11,3,0
68,2007-05-24 10:00:00,21,1.31,1.21,0,1,0,0,0,1,1,2007,21,3,1,22,-20,-19,9,-25,-5,9,-27,-2,5,-26,-1,7,-24,3,2,-24,0,33,3,-14,-1
69,2007-05-25 10:00:00,14,-0.49,-0.44,0,0,1,0,1,0,1,2007,21,4,1,8,6,4,23,22,17,6,18,-4,8,22,4,3,22,0,6,21,-1,10,-4,13,1
