,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
3,clf,rforest,basic,ALL_NO_3_2_1,60_120,included,basic,0.67,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 50}",0.68,0.70,0.75,0.65,0.73,332.00,618.00,342.00,"{'0': {'precision': 0.7543103448275862, 'recall': 0.5271084337349398, 'f1-score': 0.6205673758865249, 'support': 332}, '1': {'precision': 0.645320197044335, 'recall': 0.8478964401294499, 'f1-score': 0.7328671328671329, 'support': 618}, '2': {'precision': 0.7298387096774194, 'recall': 0.5292397660818714, 'f1-score': 0.6135593220338983, 'support': 342}, 'micro avg': {'precision': 0.6811145510835913, 'recall': 0.6811145510835913, 'f1-score': 0.6811145510835913, 'support': 1292}, 'macro avg': {'precision': 0.7098230838497802, 'recall': 0.6347482133154204, 'f1-score': 0.6556646102625187, 'support': 1292}, 'weighted avg': {'precision': 0.6956995007475504, 'recall': 0.6811145510835913, 'f1-score': 0.6724284404348356, 'support': 1292}}",27.79
4,clf,xgb,basic,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.70,0.71,0.75,0.66,0.74,332.00,618.00,342.00,"{'0': {'precision': 0.7549407114624506, 'recall': 0.5753012048192772, 'f1-score': 0.652991452991453, 'support': 332}, '1': {'precision': 0.6611039794608472, 'recall': 0.8333333333333334, 'f1-score': 0.7372942018611309, 'support': 618}, '2': {'precision': 0.7423076923076923, 'recall': 0.564327485380117, 'f1-score': 0.6411960132890365, 'support': 342}, 'micro avg': {'precision': 0.6958204334365325, 'recall': 0.6958204334365325, 'f1-score': 0.6958204334365325, 'support': 1292}, 'macro avg': {'precision': 0.71945079441033, 'recall': 0.6576540078442425, 'f1-score': 0.6771605560472068, 'support': 1292}, 'weighted avg': {'precision': 0.7067119243665386, 'recall': 0.6958204334365325, 'f1-score': 0.6901935105945757, 'support': 1292}}",1.20
5,clf,gboosting,basic,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.70,0.70,0.73,0.67,0.73,332.00,618.00,342.00,"{'0': {'precision': 0.7313432835820896, 'recall': 0.5903614457831325, 'f1-score': 0.6533333333333333, 'support': 332}, '1': {'precision': 0.6706827309236948, 'recall': 0.8106796116504854, 'f1-score': 0.7340659340659341, 'support': 618}, '2': {'precision': 0.7256317689530686, 'recall': 0.5877192982456141, 'f1-score': 0.6494345718901455, 'support': 342}, 'micro avg': {'precision': 0.695046439628483, 'recall': 0.695046439628483, 'f1-score': 0.695046439628483, 'support': 1292}, 'macro avg': {'precision': 0.709219261152951, 'recall': 0.6629201185597441, 'f1-score': 0.6789446130964709, 'support': 1292}, 'weighted avg': {'precision': 0.7008157607136584, 'recall': 0.695046439628483, 'f1-score': 0.6909179856856376, 'support': 1292}}",3.56
6,clf,ada,basic,ALL_NO_3_2_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.73,0.68,0.66,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.6837349397590361, 'recall': 0.7346278317152104, 'f1-score': 0.7082683307332295, 'support': 618}, '2': {'precision': 0.6638176638176638, 'recall': 0.6812865497076024, 'f1-score': 0.6724386724386725, 'support': 342}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6934681963787556, 'recall': 0.6757867215184477, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6910841277109144, 'recall': 0.6888544891640866, 'f1-score': 0.6880937985297951, 'support': 1292}}",1.08
0,reg,kn,basic,ALL_NO_3_2_1,60_120,included,basic,25.77,{'n_neighbors': 11},,,,,,,,,25.95,8.23
1,reg,svr-rbf,basic,ALL_NO_3_2_1,60_120,included,basic,34.20,"{'C': 1, 'gamma': 1}",,,,,,,,,34.77,8.25
2,reg,dtree,basic,ALL_NO_3_2_1,60_120,included,basic,22.29,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,22.15,0.70
3,reg,rforest,basic,ALL_NO_3_2_1,60_120,included,basic,22.10,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,21.67,73.36
4,reg,xgb,basic,ALL_NO_3_2_1,60_120,included,basic,22.05,{'n_estimators': 50},,,,,,,,,22.20,0.42
5,reg,gboosting,basic,ALL_NO_3_2_1,60_120,included,basic,22.07,{'n_estimators': 50},,,,,,,,,22.49,0.98
6,reg,ada,basic,ALL_NO_3_2_1,60_120,included,basic,23.23,{'n_estimators': 10},,,,,,,,,23.28,1.52
0,clf,kn,all,ALL_NO_3_2_1,60_120,included,basic,0.63,{'n_neighbors': 11},0.65,0.66,0.64,0.63,0.75,332.00,618.00,342.00,"{'0': {'precision': 0.6380597014925373, 'recall': 0.5150602409638554, 'f1-score': 0.5700000000000001, 'support': 332}, '1': {'precision': 0.6330845771144279, 'recall': 0.8236245954692557, 'f1-score': 0.7158931082981717, 'support': 618}, '2': {'precision': 0.7454545454545455, 'recall': 0.47953216374269003, 'f1-score': 0.5836298932384342, 'support': 342}, 'micro avg': {'precision': 0.653250773993808, 'recall': 0.653250773993808, 'f1-score': 0.653250773993808, 'support': 1292}, 'macro avg': {'precision': 0.6721996080205036, 'recall': 0.6060723333919337, 'f1-score': 0.6231743338455353, 'support': 1292}, 'weighted avg': {'precision': 0.6641080062675646, 'recall': 0.653250773993808, 'f1-score': 0.6433926969162651, 'support': 1292}}",10.17
1,clf,svc-rbf,all,ALL_NO_3_2_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,332.00,618.00,342.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 332}, '1': {'precision': 0.47832817337461303, 'recall': 1.0, 'f1-score': 0.6471204188481676, 'support': 618}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 342}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.15944272445820434, 'recall': 0.3333333333333333, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 0.22879784144389384, 'recall': 0.47832817337461303, 'f1-score': 0.3095359279010585, 'support': 1292}}",12.96
2,clf,dtree,all,ALL_NO_3_2_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 10}",0.69,0.71,0.73,0.64,0.81,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.644361833952912, 'recall': 0.8414239482200647, 'f1-score': 0.7298245614035087, 'support': 618}, '2': {'precision': 0.8125, 'recall': 0.49415204678362573, 'f1-score': 0.6145454545454545, 'support': 342}, 'micro avg': {'precision': 0.6904024767801857, 'recall': 0.6904024767801857, 'f1-score': 0.6904024767801857, 'support': 1292}, 'macro avg': {'precision': 0.7299046065041596, 'recall': 0.6490072593787403, 'f1-score': 0.6703455608718766, 'support': 1292}, 'weighted avg': {'precision': 0.7116079509200277, 'recall': 0.6904024767801857, 'f1-score': 0.6830800756464761, 'support': 1292}}",0.86
3,clf,rforest,all,ALL_NO_3_2_1,60_120,included,basic,0.67,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.69,0.70,0.76,0.65,0.74,332.00,618.00,342.00,"{'0': {'precision': 0.7629310344827587, 'recall': 0.5331325301204819, 'f1-score': 0.6276595744680851, 'support': 332}, '1': {'precision': 0.6501854140914709, 'recall': 0.8511326860841424, 'f1-score': 0.7372109320252277, 'support': 618}, '2': {'precision': 0.7370517928286853, 'recall': 0.5409356725146199, 'f1-score': 0.6239460370994941, 'support': 342}, 'micro avg': {'precision': 0.6873065015479877, 'recall': 0.6873065015479877, 'f1-score': 0.6873065015479877, 'support': 1292}, 'macro avg': {'precision': 0.716722747134305, 'recall': 0.6417336295730814, 'f1-score': 0.662938847864269, 'support': 1292}, 'weighted avg': {'precision': 0.70215124032834, 'recall': 0.6873065015479877, 'f1-score': 0.6790780800332987, 'support': 1292}}",28.54
4,clf,xgb,all,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.70,0.74,0.66,0.72,332.00,618.00,342.00,"{'0': {'precision': 0.7430830039525692, 'recall': 0.5662650602409639, 'f1-score': 0.6427350427350428, 'support': 332}, '1': {'precision': 0.6605504587155964, 'recall': 0.8155339805825242, 'f1-score': 0.7299058653149891, 'support': 618}, '2': {'precision': 0.7210144927536232, 'recall': 0.5818713450292398, 'f1-score': 0.6440129449838188, 'support': 342}, 'micro avg': {'precision': 0.6896284829721362, 'recall': 0.6896284829721362, 'f1-score': 0.6896284829721362, 'support': 1292}, 'macro avg': {'precision': 0.7082159851405962, 'recall': 0.6545567952842427, 'f1-score': 0.6722179510112835, 'support': 1292}, 'weighted avg': {'precision': 0.6977636976162775, 'recall': 0.6896284829721362, 'f1-score': 0.684769571313594, 'support': 1292}}",1.36
