,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
4003,2014-07-29 10:00:00,6,7.38,3,3.24,3,0,3,0,0,3,0,1,0,0,2014,31,1,1,11,-3,-2,0
4004,2014-07-30 08:15:00,0,-1.1099999999999999,0,0.0,0,0,0,3,3,0,0,1,0,0,2014,31,2,1,9,-3,-32,1
4005,2014-07-30 08:30:00,2_1,4.6899999999999995,5,-10.23,6,0,5,0,2,0,3,1,0,1,2014,31,2,2,35,5,-4,0
4006,2014-07-30 10:30:00,18,-3.38,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,31,2,1,11,0,-8,0
4007,2014-07-30 14:00:00,26,0.0,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,31,2,1,22,-2,-15,0
4008,2014-07-31 08:30:00,69_22,2.37,4,21.21,9,3,2,0,2,3,0,1,0,1,2014,31,3,2,13,0,-1,0
4009,2014-07-31 09:45:00,10,-5.42,4,0.0,0,0,0,2,2,0,0,0,0,1,2014,31,3,1,22,14,-14,0
4010,2014-07-31 10:30:00,46,-0.99,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,31,3,1,15,3,-14,0
4011,2014-08-01 01:00:00,67,-0.71,0,0.0,0,0,0,1,1,0,0,0,1,0,2014,31,4,1,5,-2,-1,0
4012,2014-08-01 08:30:00,15_52_51_48_70_3,-11.120000000000001,2,3.7699999999999996,0,1,0,12,8,5,0,2,1,3,2014,31,4,6,43,4,-22,1
4013,2014-08-01 09:45:00,29,-1.52,1,-0.92,0,0,0,1,1,0,0,0,1,0,2014,31,4,1,37,19,-3,0
4014,2014-08-01 09:55:00,63,-0.84,0,-2.2,2,2,0,0,2,0,0,0,0,1,2014,31,4,1,20,-1,-10,0
4015,2014-08-01 10:00:00,11_38_39,-5.239999999999998,2,0.99,1,0,4,1,4,1,0,1,2,0,2014,31,4,3,22,-7,-2,0
4016,2014-08-05 09:45:00,30,-0.4,0,0.0,1,1,0,0,1,0,0,0,1,0,2014,32,1,1,5,-1,-19,1
4017,2014-08-05 10:00:00,37_24_40,8.030000000000001,5,-0.6,0,0,5,1,6,0,0,1,1,1,2014,32,1,3,17,-7,-9,0
4018,2014-08-06 08:30:00,68,2.88,3,-0.5700000000000001,0,0,3,0,3,0,0,1,0,0,2014,32,2,1,18,7,-13,0
4019,2014-08-06 10:30:00,18,-0.72,2,0.0,0,2,0,0,2,0,0,0,0,1,2014,32,2,1,13,4,-4,0
4020,2014-08-07 08:30:00,69,4.29,3,-1.1400000000000001,3,0,3,0,3,0,0,1,0,0,2014,32,3,1,28,-9,-18,1
4021,2014-08-07 10:30:00,46,-2.18,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,32,3,1,29,-20,-6,0
4022,2014-08-07 15:00:00,12,-0.19,0,0.0,0,0,0,1,1,0,0,0,1,0,2014,32,3,1,10,3,-6,0
4023,2014-08-08 08:30:00,56_57,-3.84,2,3.9800000000000004,4,0,0,4,0,4,0,0,0,2,2014,32,4,2,10,1,-8,0
4024,2014-08-08 10:00:00,31,0.96,0,1.53,0,0,1,0,0,1,0,0,1,0,2014,32,4,1,18,6,-8,0
4025,2014-08-12 07:30:00,45,-0.31,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,33,1,1,13,4,-4,0
4026,2014-08-12 10:00:00,43,-0.6,0,-1.16,2,0,0,2,2,0,0,0,0,1,2014,33,1,1,9,5,-9,0
4027,2014-08-12 13:55:00,25,0.16,0,0.0,0,0,1,0,1,0,0,0,1,0,2014,33,1,1,9,5,-4,0
4028,2014-08-13 08:30:00,17_60,-4.800000000000001,0,0.0,0,0,0,6,6,0,0,2,0,0,2014,33,2,2,33,1,-26,1
4029,2014-08-13 10:00:00,5,0.0,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,33,2,1,25,-20,-14,0
4030,2014-08-13 10:30:00,18,-2.22,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,33,2,1,19,-10,-3,0
4031,2014-08-14 08:30:00,69_41,-1.2000000000000002,0,-1.1400000000000001,3,5,0,0,5,0,0,1,0,1,2014,33,3,2,16,-1,-9,0
4032,2014-08-14 10:30:00,46,-1.1,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,33,3,1,18,0,-13,0
4033,2014-08-15 08:30:00,21_49_16,-1.4,0,0.0,0,5,0,2,7,0,0,1,0,2,2014,33,4,3,15,9,-7,0
4034,2014-08-15 09:00:00,66,-2.12,2,-0.2,0,0,0,2,2,0,0,0,0,1,2014,33,4,1,28,10,-13,0
4035,2014-08-15 09:15:00,9_42,0.38,0,1.54,2,2,2,0,2,2,0,0,0,2,2014,33,4,2,28,-1,-8,0
4036,2014-08-15 09:55:00,58,-6.24,0,-1.6800000000000002,3,0,0,3,3,0,0,1,0,0,2014,33,4,1,18,-5,-8,0
4037,2014-08-18 10:00:00,44,1.36,2,0.0,0,0,2,0,2,0,0,0,0,1,2014,34,0,1,21,-20,-10,0
4038,2014-08-19 08:30:00,13_4_8_36,1.8299999999999996,7,9.43,4,3,5,3,9,2,0,3,0,1,2014,34,1,4,31,4,-12,0
4039,2014-08-20 10:30:00,18,-3.64,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,34,2,1,8,-5,-3,0
4040,2014-08-21 08:30:00,69,-0.96,0,-1.1099999999999999,3,3,0,0,3,0,0,1,0,0,2014,34,3,1,13,1,-10,0
4041,2014-08-21 09:45:00,32,3.98,2,-4.08,2,0,2,0,0,0,2,0,0,1,2014,34,3,1,11,1,-8,0
4042,2014-08-21 10:00:00,53_7_23,13.99,6,-0.3400000000000001,1,0,6,0,5,1,0,1,1,1,2014,34,3,3,13,5,-5,0
4043,2014-08-21 10:30:00,46,-2.41,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,34,3,1,19,3,-2,0
4044,2014-08-25 09:45:00,33,-0.32,0,-0.41,0,0,0,1,1,0,0,0,1,0,2014,35,0,1,12,4,-4,0
4045,2014-08-25 10:00:00,47,-0.72,0,1.5,3,0,0,3,0,3,0,1,0,0,2014,35,0,1,13,1,-6,0
4046,2014-08-26 08:30:00,14_20,28.669999999999998,9,21.92,5,0,2,3,0,5,0,1,0,1,2014,35,1,2,15,-4,-14,0
4047,2014-08-26 09:00:00,65_35,0.14,0,-3.49,0,1,1,0,1,0,1,0,2,0,2014,35,1,2,18,9,0,0
4048,2014-08-26 09:59:00,64,0.8,0,0.0,0,0,1,0,1,0,0,0,1,0,2014,35,1,1,11,4,-6,0
4049,2014-08-26 10:00:00,6,3.9000000000000004,0,-1.6500000000000001,3,0,3,0,0,0,3,1,0,0,2014,35,1,1,11,4,-6,0
4050,2014-08-27 10:30:00,18,-6.14,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,35,2,1,33,11,-5,0
4051,2014-08-28 08:30:00,69_55_54,1.4299999999999997,3,-17.549999999999997,6,4,3,0,7,0,0,2,1,0,2014,35,3,3,19,-6,-8,0
4052,2014-08-28 10:00:00,50,3.18,0,-2.73,0,0,3,0,0,0,3,1,0,0,2014,35,3,1,19,-5,-9,0
4053,2014-08-28 10:30:00,46,-2.7,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,35,3,1,16,10,-10,0
4054,2014-08-29 08:30:00,15_52_51,-4.32,2,2.24,0,2,0,3,4,1,0,0,1,2,2014,35,4,3,12,0,-11,0
4055,2014-08-29 09:45:00,10,3.3000000000000003,3,0.0,0,0,3,0,3,0,0,1,0,0,2014,35,4,1,15,-6,-4,0
4056,2014-08-29 09:55:00,63,6.48,2,-6.68,0,0,2,0,2,0,0,0,0,1,2014,35,4,1,15,-10,-3,0
4057,2014-09-02 09:45:00,29,-0.75,0,-4.04,1,1,0,0,1,0,0,0,1,0,2014,36,1,1,8,6,-7,0
4058,2014-09-02 10:00:00,37_11_38_39,9.27,4,1.85,1,0,4,2,5,1,0,1,3,0,2014,36,1,4,9,1,-11,0
4059,2014-09-03 01:00:00,67,2.01,1,0.0,0,0,1,0,1,0,0,0,1,0,2014,36,2,1,4,2,-1,0
4060,2014-09-03 10:00:00,24,-2.24,0,3.06,0,0,0,2,0,2,0,0,0,1,2014,36,2,1,10,-6,-6,0
4061,2014-09-04 08:15:00,0,-0.99,0,-0.99,0,0,0,3,3,0,0,1,0,0,2014,36,3,1,121,-117,-36,1
4062,2014-09-04 08:30:00,68_69_61_62,0.55,1,-10.89,9,3,5,1,9,0,0,2,1,1,2014,36,3,4,134,-91,-9,0
