,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
1,clf,svc-rbf,max,all,ALL_NO_1_1_1,0_60,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.53,0.73,0.00,943.00,349.00,"{'0': {'precision': 0.7298761609907121, 'recall': 1.0, 'f1-score': 0.8438478747203579, 'support': 943}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 349}, 'micro avg': {'precision': 0.7298761609907121, 'recall': 0.7298761609907121, 'f1-score': 0.7298761609907122, 'support': 1292}, 'macro avg': {'precision': 0.36493808049535603, 'recall': 0.5, 'f1-score': 0.42192393736017897, 'support': 1292}, 'weighted avg': {'precision': 0.5327192103825398, 'recall': 0.7298761609907121, 'f1-score': 0.6159044472610662, 'support': 1292}}",5.54
2,clf,dtree,max,all,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 5, 'min_samples_leaf': 10}",0.75,0.72,0.76,0.62,943.00,349.00,"{'0': {'precision': 0.7596638655462185, 'recall': 0.95864262990456, 'f1-score': 0.8476324425691515, 'support': 943}, '1': {'precision': 0.6176470588235294, 'recall': 0.18051575931232092, 'f1-score': 0.27937915742793795, 'support': 349}, 'micro avg': {'precision': 0.7484520123839009, 'recall': 0.7484520123839009, 'f1-score': 0.7484520123839009, 'support': 1292}, 'macro avg': {'precision': 0.688655462184874, 'recall': 0.5695791946084404, 'f1-score': 0.5635057999985447, 'support': 1292}, 'weighted avg': {'precision': 0.7213017405104456, 'recall': 0.7484520123839009, 'f1-score': 0.6941336836571673, 'support': 1292}}",0.36
3,clf,rforest,max,all,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.75,0.75,0.75,0.75,943.00,349.00,"{'0': {'precision': 0.7538586515028433, 'recall': 0.9840933191940615, 'f1-score': 0.8537258509659613, 'support': 943}, '1': {'precision': 0.7540983606557377, 'recall': 0.1318051575931232, 'f1-score': 0.224390243902439, 'support': 349}, 'micro avg': {'precision': 0.7538699690402477, 'recall': 0.7538699690402477, 'f1-score': 0.7538699690402476, 'support': 1292}, 'macro avg': {'precision': 0.7539785060792905, 'recall': 0.5579492383935923, 'f1-score': 0.5390580474342002, 'support': 1292}, 'weighted avg': {'precision': 0.7539234026594687, 'recall': 0.7538699690402477, 'f1-score': 0.6837273007607219, 'support': 1292}}",21.70
4,clf,xgb,max,all,ALL_NO_1_1_1,0_60,included,basic,0.77,{'n_estimators': 50},0.76,0.74,0.77,0.68,943.00,349.00,"{'0': {'precision': 0.7657961246840775, 'recall': 0.9639448568398727, 'f1-score': 0.8535211267605635, 'support': 943}, '1': {'precision': 0.6761904761904762, 'recall': 0.2034383954154728, 'f1-score': 0.3127753303964758, 'support': 349}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.7209933004372768, 'recall': 0.5836916261276728, 'f1-score': 0.5831482285785197, 'support': 1292}, 'weighted avg': {'precision': 0.7415915029160691, 'recall': 0.7585139318885449, 'f1-score': 0.7074527963185615, 'support': 1292}}",0.22
5,clf,gboosting,max,all,ALL_NO_1_1_1,0_60,included,basic,0.77,{'n_estimators': 50},0.76,0.74,0.76,0.67,943.00,349.00,"{'0': {'precision': 0.7645079899074853, 'recall': 0.9639448568398727, 'f1-score': 0.852720450281426, 'support': 943}, '1': {'precision': 0.6699029126213593, 'recall': 0.1977077363896848, 'f1-score': 0.30530973451327437, 'support': 349}, 'micro avg': {'precision': 0.7569659442724458, 'recall': 0.7569659442724458, 'f1-score': 0.7569659442724458, 'support': 1292}, 'macro avg': {'precision': 0.7172054512644223, 'recall': 0.5808262966147788, 'f1-score': 0.5790150923973502, 'support': 1292}, 'weighted avg': {'precision': 0.7389529032411865, 'recall': 0.7569659442724458, 'f1-score': 0.7048517662233107, 'support': 1292}}",0.53
6,clf,ada,max,all,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 100},0.76,0.73,0.77,0.63,943.00,349.00,"{'0': {'precision': 0.7706896551724138, 'recall': 0.9480381760339343, 'f1-score': 0.8502139800285308, 'support': 943}, '1': {'precision': 0.6287878787878788, 'recall': 0.23782234957020057, 'f1-score': 0.34511434511434513, 'support': 349}, 'micro avg': {'precision': 0.7561919504643962, 'recall': 0.7561919504643962, 'f1-score': 0.7561919504643962, 'support': 1292}, 'macro avg': {'precision': 0.6997387669801463, 'recall': 0.5929302628020674, 'f1-score': 0.597664162571438, 'support': 1292}, 'weighted avg': {'precision': 0.7323586025731856, 'recall': 0.7561919504643962, 'f1-score': 0.7137745275633212, 'support': 1292}}",0.60
0,reg,kn,max,all,ALL_NO_1_1_1,0_60,included,basic,15.98,{'n_neighbors': 31},,,,,,,17.05,1.92
1,reg,svr-rbf,max,all,ALL_NO_1_1_1,0_60,included,basic,17.99,"{'C': 5, 'gamma': 1}",,,,,,,19.49,5.54
2,reg,dtree,max,all,ALL_NO_1_1_1,0_60,included,basic,15.68,"{'max_depth': 6, 'min_samples_leaf': 150}",,,,,,,16.62,0.37
3,reg,rforest,max,all,ALL_NO_1_1_1,0_60,included,basic,15.32,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,16.01,31.99
4,reg,xgb,max,all,ALL_NO_1_1_1,0_60,included,basic,15.37,{'n_estimators': 50},,,,,,,16.18,0.22
5,reg,gboosting,max,all,ALL_NO_1_1_1,0_60,included,basic,15.50,{'n_estimators': 50},,,,,,,16.14,0.43
6,reg,ada,max,all,ALL_NO_1_1_1,0_60,included,basic,17.22,{'n_estimators': 10},,,,,,,18.03,0.46
0,clf,kn,min,all,ALL_NO_1_1_1,0_60,included,basic,0.75,{'n_neighbors': 41},0.75,0.71,0.76,0.53,962.00,330.00,"{'0': {'precision': 0.7645107794361525, 'recall': 0.9584199584199584, 'f1-score': 0.8505535055350553, 'support': 962}, '1': {'precision': 0.5348837209302325, 'recall': 0.1393939393939394, 'f1-score': 0.22115384615384617, 'support': 330}, 'micro avg': {'precision': 0.7492260061919505, 'recall': 0.7492260061919505, 'f1-score': 0.7492260061919505, 'support': 1292}, 'macro avg': {'precision': 0.6496972501831926, 'recall': 0.5489069489069489, 'f1-score': 0.5358536758444508, 'support': 1292}, 'weighted avg': {'precision': 0.705859905359563, 'recall': 0.7492260061919505, 'f1-score': 0.6897935306157063, 'support': 1292}}",2.29
1,clf,svc-rbf,min,all,ALL_NO_1_1_1,0_60,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,0.00,962.00,330.00,"{'0': {'precision': 0.7445820433436533, 'recall': 1.0, 'f1-score': 0.8535936113575865, 'support': 962}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 330}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.37229102167182665, 'recall': 0.5, 'f1-score': 0.42679680567879325, 'support': 1292}, 'weighted avg': {'precision': 0.5544024192698099, 'recall': 0.7445820433436533, 'f1-score': 0.63557047532972, 'support': 1292}}",6.61
2,clf,dtree,min,all,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 3, 'min_samples_leaf': 10}",0.76,0.72,0.77,0.57,962.00,330.00,"{'0': {'precision': 0.7741116751269036, 'recall': 0.9511434511434511, 'f1-score': 0.8535447761194029, 'support': 962}, '1': {'precision': 0.5727272727272728, 'recall': 0.19090909090909092, 'f1-score': 0.2863636363636364, 'support': 330}, 'micro avg': {'precision': 0.7569659442724458, 'recall': 0.7569659442724458, 'f1-score': 0.7569659442724458, 'support': 1292}, 'macro avg': {'precision': 0.6734194739270882, 'recall': 0.571026271026271, 'f1-score': 0.5699542062415197, 'support': 1292}, 'weighted avg': {'precision': 0.7226744825635304, 'recall': 0.7569659442724458, 'f1-score': 0.7086765283489672, 'support': 1292}}",0.37
3,clf,rforest,min,all,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.76,0.74,0.77,0.63,962.00,330.00,"{'0': {'precision': 0.7728785357737105, 'recall': 0.9656964656964657, 'f1-score': 0.8585951940850277, 'support': 962}, '1': {'precision': 0.6333333333333333, 'recall': 0.17272727272727273, 'f1-score': 0.2714285714285714, 'support': 330}, 'micro avg': {'precision': 0.7631578947368421, 'recall': 0.7631578947368421, 'f1-score': 0.7631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.7031059345535219, 'recall': 0.5692118692118693, 'f1-score': 0.5650118827567996, 'support': 1292}, 'weighted avg': {'precision': 0.7372361853051931, 'recall': 0.7631578947368421, 'f1-score': 0.7086222951093075, 'support': 1292}}",19.87
4,clf,xgb,min,all,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 100},0.76,0.73,0.78,0.58,962.00,330.00,"{'0': {'precision': 0.7840416305290546, 'recall': 0.9397089397089398, 'f1-score': 0.8548463356973994, 'support': 962}, '1': {'precision': 0.5827338129496403, 'recall': 0.24545454545454545, 'f1-score': 0.34541577825159914, 'support': 330}, 'micro avg': {'precision': 0.7623839009287926, 'recall': 0.7623839009287926, 'f1-score': 0.7623839009287926, 'support': 1292}, 'macro avg': {'precision': 0.6833877217393475, 'recall': 0.5925817425817426, 'f1-score': 0.6001310569744993, 'support': 1292}, 'weighted avg': {'precision': 0.7326239991039721, 'recall': 0.7623839009287926, 'f1-score': 0.7247286236562894, 'support': 1292}}",0.25
5,clf,gboosting,min,all,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 100},0.77,0.74,0.79,0.59,962.00,330.00,"{'0': {'precision': 0.7877729257641921, 'recall': 0.9376299376299376, 'f1-score': 0.8561936402467963, 'support': 962}, '1': {'precision': 0.5918367346938775, 'recall': 0.2636363636363636, 'f1-score': 0.36477987421383645, 'support': 330}, 'micro avg': {'precision': 0.7654798761609907, 'recall': 0.7654798761609907, 'f1-score': 0.7654798761609908, 'support': 1292}, 'macro avg': {'precision': 0.6898048302290348, 'recall': 0.6006331506331506, 'f1-score': 0.6104867572303164, 'support': 1292}, 'weighted avg': {'precision': 0.7377273042059849, 'recall': 0.7654798761609907, 'f1-score': 0.7306777402538577, 'support': 1292}}",0.59
6,clf,ada,min,all,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 200},0.76,0.73,0.79,0.56,962.00,330.00,"{'0': {'precision': 0.7907390917186109, 'recall': 0.9230769230769231, 'f1-score': 0.8517985611510791, 'support': 962}, '1': {'precision': 0.5621301775147929, 'recall': 0.2878787878787879, 'f1-score': 0.3807615230460922, 'support': 330}, 'micro avg': {'precision': 0.7608359133126935, 'recall': 0.7608359133126935, 'f1-score': 0.7608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.6764346346167018, 'recall': 0.6054778554778555, 'f1-score': 0.6162800420985857, 'support': 1292}, 'weighted avg': {'precision': 0.7323482699792456, 'recall': 0.7608359133126935, 'f1-score': 0.7314872433688455, 'support': 1292}}",0.71
0,reg,kn,min,all,ALL_NO_1_1_1,0_60,included,basic,16.36,{'n_neighbors': 31},,,,,,,16.68,2.39
1,reg,svr-rbf,min,all,ALL_NO_1_1_1,0_60,included,basic,18.85,"{'C': 5, 'gamma': 4}",,,,,,,18.63,5.43
2,reg,dtree,min,all,ALL_NO_1_1_1,0_60,included,basic,16.24,"{'max_depth': 7, 'min_samples_leaf': 100}",,,,,,,16.17,0.36
3,reg,rforest,min,all,ALL_NO_1_1_1,0_60,included,basic,15.81,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",,,,,,,16.13,32.20
4,reg,xgb,min,all,ALL_NO_1_1_1,0_60,included,basic,15.73,{'n_estimators': 100},,,,,,,16.25,0.24
5,reg,gboosting,min,all,ALL_NO_1_1_1,0_60,included,basic,15.84,{'n_estimators': 100},,,,,,,16.35,0.48
6,reg,ada,min,all,ALL_NO_1_1_1,0_60,included,basic,17.81,{'n_estimators': 10},,,,,,,18.30,0.52
0,clf,kn,max,basic,ALL_NO_3_2_1,0_60,included,basic,0.76,{'n_neighbors': 61},0.74,0.72,0.75,0.63,943.00,349.00,"{'0': {'precision': 0.747564935064935, 'recall': 0.9766702014846236, 'f1-score': 0.8468965517241379, 'support': 943}, '1': {'precision': 0.6333333333333333, 'recall': 0.10888252148997135, 'f1-score': 0.1858190709046455, 'support': 349}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.6904491341991341, 'recall': 0.5427763614872975, 'f1-score': 0.5163578113143917, 'support': 1292}, 'weighted avg': {'precision': 0.7167082562690148, 'recall': 0.7422600619195047, 'f1-score': 0.6683237647225877, 'support': 1292}}",2.15
