,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
71,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,27,-19,-13,0
72,2007-07-12 08:30:00,31,0.0,0,-1.32,0,1,0,0,1,0,0,1,2007,28,3,1,11,0,-20,0
73,2007-07-13 10:00:00,28,2.41,2,1.14,3,0,1,0,0,1,0,1,2007,28,4,1,23,0,0,1
74,2007-07-17 08:30:00,23,-1.15,3,0.0,0,0,0,1,1,0,0,1,2007,29,1,1,14,0,8,1
75,2007-07-17 09:00:00,30,1.55,2,-0.49,2,0,1,0,0,0,1,1,2007,29,1,1,21,9,-3,1
76,2007-07-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,29,2,1,19,3,-18,0
77,2007-07-25 10:00:00,14,-0.39,1,-0.31,0,0,0,1,1,0,0,1,2007,30,2,1,27,-10,-14,0
78,2007-07-26 08:30:00,8,-0.62,0,0.9,1,0,0,1,0,1,0,1,2007,30,3,1,41,30,-6,1
79,2007-07-26 10:00:00,21,-0.61,0,-0.95,0,0,0,1,0,0,1,1,2007,30,3,1,39,4,5,1
80,2007-07-27 08:30:00,1,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,30,4,1,23,11,12,2
81,2007-07-31 08:30:00,9,-1.0,0,0.0,0,0,0,1,1,0,0,1,2007,31,1,1,22,8,-10,0
82,2007-07-31 10:00:00,4,2.78,2,1.05,1,0,1,0,0,1,0,1,2007,31,1,1,20,-1,-15,0
83,2007-08-03 10:00:00,18,-1.11,1,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,39,26,14,2
84,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,20,-3,29,2
85,2007-08-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,19,8,-18,0
86,2007-08-15 09:00:00,30,2.06,1,-0.14,0,0,1,0,1,0,0,1,2007,33,2,1,25,-9,1,1
87,2007-08-17 10:00:00,28,-2.03,1,-1.48,1,0,0,1,0,0,1,1,2007,33,4,1,36,-7,16,2
88,2007-08-24 08:30:00,8,2.59,1,-0.71,1,0,1,0,0,0,1,1,2007,34,4,1,26,1,15,2
89,2007-08-24 10:00:00,21,0.46,1,0.58,1,0,1,0,0,1,0,1,2007,34,4,1,37,-5,6,1
90,2007-08-27 10:00:00,14,0.0,0,-0.48,0,1,0,0,1,0,0,1,2007,35,0,1,16,-1,-3,1
91,2007-08-28 10:00:00,4,-0.09,0,-0.52,1,1,0,0,0,0,1,1,2007,35,1,1,23,-14,-7,1
92,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,39,25,8,1
93,2007-08-31 08:30:00,9,-1.12,0,2.24,3,0,0,1,0,1,0,1,2007,35,4,1,28,-1,-10,0
94,2007-09-04 10:00:00,17,-0.19,0,0.0,0,1,0,0,1,0,0,1,2007,36,1,1,27,20,1,1
95,2007-09-05 10:00:00,24,-3.81,1,0.0,0,0,0,1,1,0,0,1,2007,36,2,1,25,11,50,2
96,2007-09-06 10:00:00,18,0.37,0,0.0,0,0,1,0,1,0,0,1,2007,36,3,1,29,20,2,1
97,2007-09-11 08:30:00,31,-0.06,0,-9.69,2,1,0,0,0,0,1,1,2007,37,1,1,20,7,0,1
98,2007-09-14 10:00:00,28,-0.1,0,-0.07,0,1,0,0,1,0,0,1,2007,37,4,1,22,1,-29,0
99,2007-09-18 08:30:00,23,-6.16,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,28,9,9,1
100,2007-09-18 09:00:00,30,-2.65,1,-39.72,3,0,0,1,0,0,1,1,2007,38,1,1,35,15,0,1
101,2007-09-18 14:15:00,15,-1.25,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,91,12,68,2
102,2007-09-19 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,38,2,1,29,17,-6,1
103,2007-09-26 08:30:00,8,-0.46,0,-0.32,0,0,0,1,0,0,1,1,2007,39,2,1,29,14,-13,0
104,2007-09-27 10:00:00,21,-0.41,0,-0.23,0,0,0,1,0,0,1,1,2007,39,3,1,18,3,-22,0
105,2007-09-28 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,39,4,1,25,-5,21,2
106,2007-10-01 10:00:00,17,-0.51,0,0.0,0,0,0,1,1,0,0,1,2007,40,0,1,19,0,10,2
107,2007-10-02 10:00:00,24,-1.24,0,4.95,3,0,0,1,0,1,0,1,2007,40,1,1,29,20,-19,0
108,2007-10-03 08:15:00,0,-0.23,0,-3.71,0,1,0,0,0,0,1,1,2007,40,2,1,29,14,-4,1
109,2007-10-03 10:00:00,18,-0.06,0,0.0,0,1,0,0,1,0,0,1,2007,40,2,1,18,1,-19,0
110,2007-10-11 08:30:00,31,0.35,0,0.0,0,0,1,0,1,0,0,1,2007,41,3,1,30,6,-26,0
111,2007-10-12 10:00:00,28,-0.63,0,-0.3,0,0,0,1,1,0,0,1,2007,41,4,1,48,-28,-3,1
112,2007-10-16 09:00:00,30,-2.62,1,-6.71,0,0,0,1,1,0,0,1,2007,42,1,1,55,4,13,2
113,2007-10-17 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,42,2,1,32,15,6,1
114,2007-10-24 10:00:00,14,-2.59,1,-1.04,1,0,0,1,1,0,0,1,2007,43,2,1,27,4,-8,1
115,2007-10-25 08:30:00,8,-0.22,0,2.0,2,0,0,1,0,1,0,1,2007,43,3,1,22,3,25,2
116,2007-10-25 10:00:00,21,0.0,0,-4.61,2,1,0,0,0,0,1,1,2007,43,3,1,27,-15,3,1
117,2007-10-30 10:00:00,4,-1.15,1,-0.27,1,0,0,1,1,0,0,1,2007,44,1,1,30,3,9,1
118,2007-10-31 08:30:00,1,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,44,2,1,27,-8,-11,0
119,2007-10-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,44,2,1,41,-4,17,2
120,2007-11-01 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,44,3,1,22,8,-13,0
121,2007-11-01 10:00:00,17,-1.0,0,0.0,0,0,0,1,1,0,0,1,2007,44,3,1,28,-3,-8,1
122,2007-11-05 10:00:00,18,0.59,0,0.0,0,0,1,0,1,0,0,1,2007,45,0,1,18,0,-3,1
123,2007-11-09 08:30:00,31,1.15,1,8.94,3,0,1,0,0,1,0,1,2007,45,4,1,23,-9,-10,0
124,2007-11-09 10:00:00,28,-2.24,1,-1.37,1,0,0,1,0,0,1,1,2007,45,4,1,31,-9,2,1
125,2007-11-13 15:00:00,24,0.78,1,0.0,0,0,1,0,1,0,0,1,2007,46,1,1,27,-1,-1,1
126,2007-11-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,46,3,1,21,8,-22,0
127,2007-11-16 09:00:00,30,-0.61,1,-14.53,0,0,0,1,1,0,0,1,2007,46,4,1,30,8,24,2
128,2007-11-27 10:00:00,4,-2.08,1,-0.49,1,0,0,1,0,0,1,1,2007,48,1,1,19,-5,-4,1
129,2007-11-28 08:30:00,8,-0.61,0,1.1,1,0,0,1,0,1,0,1,2007,48,2,1,63,28,-3,1
130,2007-11-28 10:00:00,14,-0.29,0,-1.01,0,0,0,1,1,0,0,1,2007,48,2,1,23,-8,-8,1
131,2007-11-29 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,48,3,1,39,22,-8,1
132,2007-11-29 10:00:00,21,-0.54,0,-4.43,1,0,0,1,0,0,1,1,2007,48,3,1,25,1,29,2
133,2007-12-03 10:00:00,17,-0.4,0,0.0,0,1,0,0,1,0,0,1,2007,49,0,1,22,-1,4,1
134,2007-12-05 08:15:00,0,3.48,2,3.25,2,0,1,0,0,1,0,1,2007,49,2,1,25,7,-46,0
135,2007-12-05 10:00:00,18,-0.36,0,0.0,0,0,0,1,1,0,0,1,2007,49,2,1,38,-16,-3,1
136,2007-12-07 10:00:00,28,-0.22,0,1.33,1,1,0,0,0,1,0,1,2007,49,4,1,29,-9,12,2
137,2007-12-10 10:00:00,24,0.33,0,11.71,2,0,1,0,0,1,0,1,2007,50,0,1,22,4,-10,0
138,2007-12-11 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,50,1,1,50,5,-26,0
139,2007-12-12 08:30:00,31,-0.35,1,-6.71,1,1,0,0,1,0,0,1,2007,50,2,1,46,3,12,2
140,2007-12-14 08:30:00,7,1.1,3,0.0,0,0,1,0,1,0,0,1,2007,50,4,1,64,9,-13,0
141,2007-12-17 09:00:00,30,0.91,1,-21.09,3,0,1,0,0,0,1,1,2007,51,0,1,23,-3,3,1
142,2007-12-18 08:30:00,3,0.0,0,-1.01,0,1,0,0,1,0,0,1,2007,51,1,1,33,9,9,1
143,2007-12-27 08:30:00,8,-0.68,1,-0.3,0,0,0,1,0,0,1,1,2007,52,3,1,26,1,43,2
144,2007-12-27 10:00:00,4,0.95,1,0.58,0,0,1,0,0,1,0,1,2007,52,3,1,18,-8,-4,1
145,2007-12-28 10:00:00,21,-1.75,1,-0.66,0,0,0,1,0,0,1,1,2007,52,4,1,39,8,21,2
146,2007-12-31 10:00:00,14,0.33,1,-1.01,0,0,1,0,1,0,0,1,2007,52,0,1,63,-41,-22,0
147,2008-01-02 10:00:00,17,-8.55,1,0.0,0,0,0,1,1,0,0,1,2008,1,2,1,49,-5,47,2
148,2008-01-03 08:15:00,0,-0.13,0,-4.47,1,1,0,0,0,0,1,1,2008,1,3,1,42,-20,-41,0
149,2008-01-04 10:00:00,18,0.18,0,0.0,0,0,1,0,1,0,0,1,2008,1,4,1,77,-23,-17,0
150,2008-01-08 10:00:00,24,-0.36,0,37.73,3,0,0,1,0,1,0,1,2008,2,1,1,36,20,-25,0
151,2008-01-11 08:30:00,31,-2.34,1,0.0,0,0,0,1,1,0,0,1,2008,2,4,1,34,0,12,2
152,2008-01-16 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2008,3,2,1,42,18,-6,1
153,2008-01-16 09:00:00,30,0.25,0,0.0,1,0,1,0,1,0,0,1,2008,3,2,1,39,1,15,2
154,2008-01-17 08:30:00,3,-3.13,1,-1.01,0,0,0,1,1,0,0,1,2008,3,3,1,42,8,-19,0
155,2008-01-18 10:00:00,28,2.4,1,0.87,1,0,1,0,0,1,0,1,2008,3,4,1,40,-24,-7,1
156,2008-01-24 08:30:00,32,1.1,1,-1.2,0,0,1,0,1,0,0,1,2008,4,3,1,38,-22,25,2
157,2008-01-24 10:00:00,14,-0.62,0,0.0,0,0,0,1,1,0,0,1,2008,4,3,1,35,13,13,2
158,2008-01-28 10:00:00,21,-0.97,0,-0.51,0,0,0,1,0,0,1,1,2008,5,0,1,62,42,2,1
159,2008-01-29 08:30:00,8,1.44,1,0.54,0,0,1,0,0,1,0,1,2008,5,1,1,28,-12,-9,1
160,2008-01-29 10:00:00,4,0.31,0,3.47,1,0,1,0,0,1,0,1,2008,5,1,1,18,-1,-14,0
161,2008-01-30 08:15:00,0,2.82,1,-0.54,0,0,1,0,1,0,0,1,2008,5,2,1,42,8,-11,0
162,2008-01-30 08:30:00,1,1.0,0,1.0,0,0,0,1,0,1,0,1,2008,5,2,1,52,-37,15,2
163,2008-01-30 14:15:00,15,0.0,0,-1.75,3,1,0,0,1,0,0,1,2008,5,2,1,80,9,59,2
164,2008-02-01 10:00:00,17,3.03,1,0.0,0,0,1,0,1,0,0,1,2008,5,4,1,115,-72,-12,0
165,2008-02-05 10:00:00,18,-7.13,2,-1.7,3,0,0,1,1,0,0,1,2008,6,1,1,70,-36,-4,1
166,2008-02-07 08:30:00,32,-1.37,1,-3.59,1,0,0,1,1,0,0,1,2008,6,3,1,47,-12,-86,0
167,2008-02-07 10:00:00,24,-0.1,0,-14.61,1,0,0,1,0,0,1,1,2008,6,3,1,34,8,15,2
168,2008-02-14 08:30:00,31,1.31,1,0.0,0,0,1,0,1,0,0,1,2008,7,3,1,31,11,-11,0
169,2008-02-15 09:00:00,30,-0.21,0,0.0,0,0,0,1,1,0,0,1,2008,7,4,1,28,7,7,1
170,2008-02-15 09:55:00,28,-1.64,1,-2.23,1,0,0,1,0,0,1,1,2008,7,4,1,21,2,14,2
171,2008-02-25 10:00:00,14,0.96,1,-1.02,1,0,1,0,1,0,0,1,2008,9,0,1,34,-4,-11,0
172,2008-02-26 08:30:00,23,1.72,1,0.0,0,0,1,0,1,0,0,1,2008,9,1,1,29,-12,6,1
173,2008-02-26 10:00:00,4,-2.24,1,-0.62,1,0,0,1,0,0,1,1,2008,9,1,1,33,-5,11,2
174,2008-02-27 08:30:00,8,-0.13,0,-1.33,1,0,0,1,0,0,1,1,2008,9,2,1,32,7,-21,0
175,2008-02-27 10:00:00,21,-0.46,0,-0.05,1,0,0,1,1,0,0,1,2008,9,2,1,74,42,-1,1
176,2008-02-28 08:30:00,26,1.0,0,1.0,0,0,0,1,1,0,0,1,2008,9,3,1,53,24,-6,1
177,2008-03-03 10:00:00,17,-0.13,0,0.0,0,1,0,0,1,0,0,1,2008,10,0,1,63,49,-46,0
178,2008-03-05 08:15:00,0,-0.78,0,-1.83,0,0,0,1,0,0,1,1,2008,10,2,1,32,11,26,2
179,2008-03-05 10:00:00,18,1.69,0,0.0,0,0,1,0,1,0,0,1,2008,10,2,1,23,10,-24,0
180,2008-03-06 10:00:00,24,0.35,0,1.83,0,0,1,0,0,1,0,1,2008,10,3,1,41,1,12,2
181,2008-03-11 08:30:00,31,0.49,0,3.45,3,0,1,0,0,1,0,1,2008,11,1,1,67,-12,-111,0
182,2008-03-14 08:30:00,7,-1.2,3,0.0,0,0,0,1,1,0,0,1,2008,11,4,1,52,35,-32,0
183,2008-03-14 09:55:00,28,0.32,1,0.87,1,0,1,0,0,1,0,1,2008,11,4,1,103,68,24,2
184,2008-03-17 09:00:00,30,0.03,0,0.0,0,0,1,0,1,0,0,1,2008,12,0,1,61,-17,-11,0
