,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
1,clf,svc-rbf,basic,High_YES_1_1_1,60_240,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.46,0.21,0.00,0.46,0.00,104.00,178.00,107.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 104}, '1': {'precision': 0.45758354755784064, 'recall': 1.0, 'f1-score': 0.6278659611992945, 'support': 178}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 107}, 'micro avg': {'precision': 0.45758354755784064, 'recall': 0.45758354755784064, 'f1-score': 0.45758354755784064, 'support': 389}, 'macro avg': {'precision': 0.1525278491859469, 'recall': 0.3333333333333333, 'f1-score': 0.20928865373309816, 'support': 389}, 'weighted avg': {'precision': 0.2093827029956186, 'recall': 0.45758354755784064, 'f1-score': 0.2873011339163867, 'support': 389}}",0.43
2,clf,dtree,basic,High_YES_1_1_1,60_240,included,basic,0.59,"{'max_depth': 2, 'min_samples_leaf': 200}",0.58,0.59,0.60,0.56,0.62,104.00,178.00,107.00,"{'0': {'precision': 0.6, 'recall': 0.46153846153846156, 'f1-score': 0.5217391304347826, 'support': 104}, '1': {'precision': 0.5604838709677419, 'recall': 0.7808988764044944, 'f1-score': 0.6525821596244131, 'support': 178}, '2': {'precision': 0.6229508196721312, 'recall': 0.35514018691588783, 'f1-score': 0.45238095238095233, 'support': 107}, 'micro avg': {'precision': 0.5784061696658098, 'recall': 0.5784061696658098, 'f1-score': 0.5784061696658098, 'support': 389}, 'macro avg': {'precision': 0.594478230213291, 'recall': 0.5325258416196147, 'f1-score': 0.5422340808133826, 'support': 389}, 'weighted avg': {'precision': 0.5882310198899129, 'recall': 0.5784061696658098, 'f1-score': 0.5625327914733286, 'support': 389}}",0.10
3,clf,rforest,basic,High_YES_1_1_1,60_240,included,basic,0.59,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.59,0.59,0.61,0.60,0.55,104.00,178.00,107.00,"{'0': {'precision': 0.6133333333333333, 'recall': 0.4423076923076923, 'f1-score': 0.5139664804469273, 'support': 104}, '1': {'precision': 0.6, 'recall': 0.7584269662921348, 'f1-score': 0.6699751861042182, 'support': 178}, '2': {'precision': 0.550561797752809, 'recall': 0.45794392523364486, 'f1-score': 0.5, 'support': 107}, 'micro avg': {'precision': 0.5912596401028277, 'recall': 0.5912596401028277, 'f1-score': 0.5912596401028277, 'support': 389}, 'macro avg': {'precision': 0.5879650436953808, 'recall': 0.552892861277824, 'f1-score': 0.5613138888503818, 'support': 389}, 'weighted avg': {'precision': 0.5899660129208669, 'recall': 0.5912596401028277, 'f1-score': 0.5815118177198748, 'support': 389}}",4.86
4,clf,xgb,basic,High_YES_1_1_1,60_240,included,basic,0.60,{'n_estimators': 10},0.60,0.59,0.59,0.61,0.58,104.00,178.00,107.00,"{'0': {'precision': 0.5853658536585366, 'recall': 0.46153846153846156, 'f1-score': 0.5161290322580645, 'support': 104}, '1': {'precision': 0.6086956521739131, 'recall': 0.7078651685393258, 'f1-score': 0.6545454545454545, 'support': 178}, '2': {'precision': 0.58, 'recall': 0.5420560747663551, 'f1-score': 0.5603864734299516, 'support': 107}, 'micro avg': {'precision': 0.596401028277635, 'recall': 0.596401028277635, 'f1-score': 0.596401028277635, 'support': 389}, 'macro avg': {'precision': 0.5913538352774833, 'recall': 0.5704865682813808, 'f1-score': 0.5770203200778236, 'support': 389}, 'weighted avg': {'precision': 0.5945652310217078, 'recall': 0.596401028277635, 'f1-score': 0.5916397504394202, 'support': 389}}",0.11
5,clf,gboosting,basic,High_YES_1_1_1,60_240,included,basic,0.60,{'n_estimators': 10},0.59,0.59,0.59,0.60,0.57,104.00,178.00,107.00,"{'0': {'precision': 0.5921052631578947, 'recall': 0.4326923076923077, 'f1-score': 0.5, 'support': 104}, '1': {'precision': 0.5972222222222222, 'recall': 0.7247191011235955, 'f1-score': 0.6548223350253807, 'support': 178}, '2': {'precision': 0.5670103092783505, 'recall': 0.514018691588785, 'f1-score': 0.5392156862745098, 'support': 107}, 'micro avg': {'precision': 0.5886889460154242, 'recall': 0.5886889460154242, 'f1-score': 0.5886889460154242, 'support': 389}, 'macro avg': {'precision': 0.5854459315528225, 'recall': 0.5571433668015627, 'f1-score': 0.5646793404332967, 'support': 389}, 'weighted avg': {'precision': 0.5875439743361442, 'recall': 0.5886889460154242, 'f1-score': 0.5816309873159133, 'support': 389}}",0.37
6,clf,ada,basic,High_YES_1_1_1,60_240,included,basic,0.57,{'n_estimators': 10},0.58,0.58,0.64,0.58,0.54,104.00,178.00,107.00,"{'0': {'precision': 0.6428571428571429, 'recall': 0.34615384615384615, 'f1-score': 0.45, 'support': 104}, '1': {'precision': 0.57847533632287, 'recall': 0.7247191011235955, 'f1-score': 0.6433915211970075, 'support': 178}, '2': {'precision': 0.5363636363636364, 'recall': 0.5514018691588785, 'f1-score': 0.543778801843318, 'support': 107}, 'micro avg': {'precision': 0.5758354755784062, 'recall': 0.5758354755784062, 'f1-score': 0.5758354755784062, 'support': 389}, 'macro avg': {'precision': 0.5858987051812165, 'recall': 0.54075827214544, 'f1-score': 0.5457234410134418, 'support': 389}, 'weighted avg': {'precision': 0.5841045290836062, 'recall': 0.5758354755784062, 'f1-score': 0.564287975759132, 'support': 389}}",0.14
0,reg,kn,basic,High_YES_1_1_1,60_240,included,basic,38.72,{'n_neighbors': 21},,,,,,,,,38.91,0.33
1,reg,svr-rbf,basic,High_YES_1_1_1,60_240,included,basic,48.37,"{'C': 5, 'gamma': 1}",,,,,,,,,46.52,0.24
2,reg,dtree,basic,High_YES_1_1_1,60_240,included,basic,37.12,"{'max_depth': 3, 'min_samples_leaf': 10}",,,,,,,,,38.38,0.06
3,reg,rforest,basic,High_YES_1_1_1,60_240,included,basic,36.98,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 50}",,,,,,,,,37.82,6.55
4,reg,xgb,basic,High_YES_1_1_1,60_240,included,basic,38.17,{'n_estimators': 50},,,,,,,,,36.63,0.04
5,reg,gboosting,basic,High_YES_1_1_1,60_240,included,basic,38.21,{'n_estimators': 50},,,,,,,,,36.91,0.08
6,reg,ada,basic,High_YES_1_1_1,60_240,included,basic,39.54,{'n_estimators': 10},,,,,,,,,38.09,0.13
0,clf,kn,all,High_YES_1_1_1,60_240,included,basic,0.59,{'n_neighbors': 61},0.59,0.60,0.63,0.58,0.59,104.00,178.00,107.00,"{'0': {'precision': 0.6307692307692307, 'recall': 0.3942307692307692, 'f1-score': 0.485207100591716, 'support': 104}, '1': {'precision': 0.5766129032258065, 'recall': 0.8033707865168539, 'f1-score': 0.6713615023474179, 'support': 178}, '2': {'precision': 0.5921052631578947, 'recall': 0.4205607476635514, 'f1-score': 0.4918032786885246, 'support': 107}, 'micro avg': {'precision': 0.5886889460154242, 'recall': 0.5886889460154242, 'f1-score': 0.5886889460154242, 'support': 389}, 'macro avg': {'precision': 0.5998291323843107, 'recall': 0.5393874344703915, 'f1-score': 0.5494572938758862, 'support': 389}, 'weighted avg': {'precision': 0.5953531103652655, 'recall': 0.5886889460154242, 'f1-score': 0.5722026650361207, 'support': 389}}",0.39
