,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
66,2007-03-15 12:00:00,53,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,3,1,14,-8,12,9,6,3,5,-3,20,-8,4,1,20,9,9,0
67,2007-03-16 10:00:00,58,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,11,4,1,8,-3,5,2,4,-1,7,-3,4,3,4,-2,23,-5,8,0
68,2007-03-19 13:00:00,44,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,4,3,7,-2,7,-4,5,-1,5,0,6,1,14,-5,20,0
69,2007-03-21 10:30:00,18,-1.2,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,5,-2,5,1,7,1,5,2,5,1,5,-1,12,8,6,0
70,2007-03-21 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,12,2,1,41,25,38,37,25,-13,21,14,15,-8,12,9,11,3,13,0
71,2007-03-22 08:30:00,69,-0.2,0,-2.24,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,12,-7,8,-1,8,2,8,4,6,0,4,-2,16,-4,19,0
72,2007-03-22 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,11,6,10,7,5,-1,5,0,6,2,5,1,15,4,1,0
73,2007-03-22 10:30:00,46,-5.35,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,5,-2,5,-3,3,0,4,0,6,-1,4,-2,22,8,7,0
74,2007-03-23 10:00:00,23,3.0,0,3.0,0,0,3,0,3,0,0,1,0,0,2007,12,4,1,16,-11,9,5,9,-7,14,-11,11,-2,6,0,18,-8,3,0
75,2007-03-26 10:00:00,47,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,13,0,1,21,17,14,12,4,-1,10,6,6,6,7,2,27,30,1,0
