,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_0_30_after,reaction_max_0_30_after
141,2007-06-01 01:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,22,4,1,5,2,0,0
142,2007-06-04 10:00:00,24,1.0,0,1.0,0,0,0,1,0,1,0,0,0,1,2007,23,0,1,16,1,2,0
143,2007-06-05 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,23,1,1,24,-20,4,0
144,2007-06-06 10:30:00,18,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,23,2,1,13,4,2,0
145,2007-06-07 08:30:00,69,0.43,0,0.0,1,0,1,0,1,0,0,0,0,1,2007,23,3,1,16,-10,4,0
146,2007-06-07 10:00:00,31,0.0,0,-1.2,1,1,0,0,0,0,1,0,1,0,2007,23,3,1,14,10,2,0
147,2007-06-07 10:30:00,46,-1.52,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,23,3,1,18,-1,7,0
148,2007-06-07 15:00:00,12,-0.64,1,0.35,0,0,0,1,0,1,0,0,1,0,2007,23,3,1,11,7,0,0
149,2007-06-08 08:30:00,68,2.06,1,7.8,3,0,1,0,0,1,0,1,0,0,2007,23,4,1,33,23,9,0
150,2007-06-12 10:00:00,37,0.48,1,0.0,0,0,1,0,1,0,0,0,1,0,2007,24,1,1,24,-21,1,0
151,2007-06-12 14:00:00,25,-0.14,1,0.0,0,1,0,0,1,0,0,0,0,1,2007,24,1,1,14,10,1,0
152,2007-06-13 10:00:00,5,-1.1,1,-1.12,1,0,0,1,0,0,1,0,0,1,2007,24,2,1,11,11,15,0
153,2007-06-13 10:30:00,18,-0.22,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,24,2,1,21,16,7,0
154,2007-06-14 10:30:00,46,-1.92,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,24,3,1,20,21,3,0
155,2007-06-15 09:00:00,66,0.35,1,-2.13,3,0,1,0,0,0,1,1,0,0,2007,24,4,1,31,22,22,1
156,2007-06-15 10:00:00,58,-1.33,1,-0.28,0,0,0,1,1,0,0,1,0,0,2007,24,4,1,29,1,3,0
157,2007-06-18 13:00:00,44,-0.28,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,25,0,1,12,9,3,0
158,2007-06-20 10:30:00,18,-5.96,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,25,2,1,13,-2,1,0
159,2007-06-21 08:30:00,69,-1.14,1,-2.3,1,0,0,1,1,0,0,0,0,1,2007,25,3,1,26,21,1,0
160,2007-06-21 10:00:00,7,0.55,2,0.57,0,0,1,0,0,1,0,0,1,0,2007,25,3,1,11,-5,4,0
161,2007-06-21 10:30:00,46,-0.38,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,25,3,1,6,2,2,0
162,2007-06-21 12:00:00,53,2.8,2,0.0,0,0,1,0,1,0,0,0,0,1,2007,25,3,1,15,-3,6,0
163,2007-06-25 10:00:00,23,0.1,0,-0.69,1,0,1,0,1,0,0,1,0,0,2007,26,0,1,8,3,2,0
164,2007-06-26 09:00:00,65,0.0,1,-0.77,0,1,0,0,1,0,0,0,1,0,2007,26,1,1,19,12,9,0
165,2007-06-27 10:30:00,18,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,26,2,1,8,-3,1,0
166,2007-06-28 10:30:00,46,-5.21,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,26,3,1,8,-2,2,0
167,2007-06-28 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,26,3,1,17,-15,9,0
168,2007-06-29 09:45:00,10,0.32,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,26,4,1,18,10,4,0
169,2007-07-03 01:00:00,67,-2.41,3,0.0,0,0,0,1,1,0,0,0,1,0,2007,27,1,1,7,-4,7,0
170,2007-07-05 08:15:00,0,1.83,2,-0.07,0,0,1,0,1,0,0,0,0,1,2007,27,3,1,16,1,7,0
171,2007-07-05 08:30:00,69,-0.47,0,-2.45,1,1,0,0,1,0,0,0,0,1,2007,27,3,1,14,-2,8,0
172,2007-07-05 10:00:00,40,0.79,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,27,3,1,27,-19,8,0
173,2007-07-05 10:30:00,18,-1.14,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,27,3,1,32,-22,13,0
174,2007-07-06 10:30:00,46,-0.72,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,27,4,1,39,33,2,0
175,2007-07-09 15:00:00,12,1.27,1,-0.21,1,0,1,0,0,0,1,0,1,0,2007,28,0,1,5,3,1,0
176,2007-07-10 10:00:00,31,-0.15,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,28,1,1,57,47,2,0
177,2007-07-11 10:30:00,18,-0.5,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,28,2,1,14,10,6,0
178,2007-07-12 10:30:00,46,-1.71,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,28,3,1,14,-6,5,0
179,2007-07-12 14:00:00,25,-0.01,0,0.0,0,1,0,0,1,0,0,0,0,1,2007,28,3,1,6,-1,2,0
180,2007-07-16 08:30:00,21,0.69,1,0.0,0,0,1,0,1,0,0,0,0,1,2007,29,0,1,12,-12,7,0
181,2007-07-17 09:00:00,66,1.55,2,-0.33,2,0,1,0,0,0,1,1,0,0,2007,29,1,1,21,13,5,0
182,2007-07-17 10:00:00,37,-0.35,1,0.0,0,0,0,1,1,0,0,0,1,0,2007,29,1,1,12,-1,2,0
