,Unnamed: 0,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
576,2,clf,dtree,min,basic,ALL_NO_1_1_1,0_30,included,basic,0.76,"{'max_depth': 3, 'min_samples_leaf': 200}",0.78,0.77,0.82,0.9,0.61,0.45,957.0,335.0,"{'0': {'precision': 0.8233046800382043, 'recall': 0.9007314524555904, 'f1-score': 0.8602794411177644, 'support': 957}, '1': {'precision': 0.6122448979591837, 'recall': 0.44776119402985076, 'f1-score': 0.5172413793103449, 'support': 335}, 'micro avg': {'precision': 0.7832817337461301, 'recall': 0.7832817337461301, 'f1-score': 0.7832817337461302, 'support': 1292}, 'macro avg': {'precision': 0.7177747889986941, 'recall': 0.6742463232427206, 'f1-score': 0.6887604102140547, 'support': 1292}, 'weighted avg': {'precision': 0.7685794269449598, 'recall': 0.7832817337461301, 'f1-score': 0.7713338136367385, 'support': 1292}}",0.45
577,3,clf,rforest,min,basic,ALL_NO_1_1_1,0_30,included,basic,0.77,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 10}",0.77,0.74,0.79,0.93,0.6,0.28,957.0,335.0,"{'0': {'precision': 0.7883597883597884, 'recall': 0.9341692789968652, 'f1-score': 0.8550932568149211, 'support': 957}, '1': {'precision': 0.6012658227848101, 'recall': 0.2835820895522388, 'f1-score': 0.38539553752535494, 'support': 335}, 'micro avg': {'precision': 0.7654798761609907, 'recall': 0.7654798761609907, 'f1-score': 0.7654798761609908, 'support': 1292}, 'macro avg': {'precision': 0.6948128055722993, 'recall': 0.608875684274552, 'f1-score': 0.620244397170138, 'support': 1292}, 'weighted avg': {'precision': 0.7398485821155022, 'recall': 0.7654798761609907, 'f1-score': 0.7333063094759081, 'support': 1292}}",22.98
578,4,clf,xgb,min,basic,ALL_NO_1_1_1,0_30,included,basic,0.78,{'n_estimators': 100},0.78,0.77,0.81,0.92,0.63,0.4,957.0,335.0,"{'0': {'precision': 0.81313598519889, 'recall': 0.9184952978056427, 'f1-score': 0.8626104023552503, 'support': 957}, '1': {'precision': 0.6303317535545023, 'recall': 0.3970149253731343, 'f1-score': 0.48717948717948717, 'support': 335}, 'micro avg': {'precision': 0.7832817337461301, 'recall': 0.7832817337461301, 'f1-score': 0.7832817337461302, 'support': 1292}, 'macro avg': {'precision': 0.7217338693766961, 'recall': 0.6577551115893885, 'f1-score': 0.6748949447673688, 'support': 1292}, 'weighted avg': {'precision': 0.765737055167257, 'recall': 0.7832817337461301, 'f1-score': 0.7652656991169525, 'support': 1292}}",0.32
579,5,clf,gboosting,min,basic,ALL_NO_1_1_1,0_30,included,basic,0.78,{'n_estimators': 200},0.79,0.78,0.82,0.92,0.64,0.43,957.0,335.0,"{'0': {'precision': 0.8217636022514071, 'recall': 0.9153605015673981, 'f1-score': 0.8660405338606031, 'support': 957}, '1': {'precision': 0.6415929203539823, 'recall': 0.43283582089552236, 'f1-score': 0.5169340463458111, 'support': 335}, 'micro avg': {'precision': 0.7902476780185759, 'recall': 0.7902476780185759, 'f1-score': 0.7902476780185759, 'support': 1292}, 'macro avg': {'precision': 0.7316782613026946, 'recall': 0.6740981612314603, 'f1-score': 0.6914872901032071, 'support': 1292}, 'weighted avg': {'precision': 0.7750475198708828, 'recall': 0.7902476780185759, 'f1-score': 0.7755214368656687, 'support': 1292}}",0.76
580,6,clf,ada,min,basic,ALL_NO_1_1_1,0_30,included,basic,0.77,{'n_estimators': 50},0.78,0.76,0.82,0.91,0.61,0.42,957.0,335.0,"{'0': {'precision': 0.8163841807909604, 'recall': 0.9059561128526645, 'f1-score': 0.8588410104011888, 'support': 957}, '1': {'precision': 0.6086956521739131, 'recall': 0.417910447761194, 'f1-score': 0.49557522123893816, 'support': 335}, 'micro avg': {'precision': 0.7794117647058824, 'recall': 0.7794117647058824, 'f1-score': 0.7794117647058824, 'support': 1292}, 'macro avg': {'precision': 0.7125399164824368, 'recall': 0.6619332803069293, 'f1-score': 0.6772081158200635, 'support': 1292}, 'weighted avg': {'precision': 0.7625330530148684, 'recall': 0.7794117647058824, 'f1-score': 0.7646505774527723, 'support': 1292}}",0.77
581,0,reg,kn,min,basic,ALL_NO_1_1_1,0_30,included,basic,12.19,{'n_neighbors': 31},,,,,,,,,12.02,2.64
582,1,reg,svr-rbf,min,basic,ALL_NO_1_1_1,0_30,included,basic,14.41,"{'C': 5, 'gamma': 1}",,,,,,,,,13.63,7.47
583,2,reg,dtree,min,basic,ALL_NO_1_1_1,0_30,included,basic,12.1,"{'max_depth': 5, 'min_samples_leaf': 50}",,,,,,,,,11.72,0.45
584,3,reg,rforest,min,basic,ALL_NO_1_1_1,0_30,included,basic,11.71,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,11.56,42.02
585,4,reg,xgb,min,basic,ALL_NO_1_1_1,0_30,included,basic,11.69,{'n_estimators': 50},,,,,,,,,11.64,0.3
