,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
3,clf,rforest,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 50}",0.74,0.70,0.74,0.99,0.59,0.05,952.00,340.00,"{'0': {'precision': 0.7438735177865613, 'recall': 0.9884453781512605, 'f1-score': 0.8488949030221019, 'support': 952}, '1': {'precision': 0.5925925925925926, 'recall': 0.047058823529411764, 'f1-score': 0.08719346049046321, 'support': 340}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.668233055189577, 'recall': 0.5177521008403362, 'f1-score': 0.46804418175628254, 'support': 1292}, 'weighted avg': {'precision': 0.7040627479986747, 'recall': 0.7407120743034056, 'f1-score': 0.6484471549874601, 'support': 1292}}",27.52
4,clf,xgb,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_estimators': 50},0.74,0.69,0.75,0.97,0.54,0.09,952.00,340.00,"{'0': {'precision': 0.7491909385113269, 'recall': 0.9726890756302521, 'f1-score': 0.8464351005484461, 'support': 952}, '1': {'precision': 0.5357142857142857, 'recall': 0.08823529411764706, 'f1-score': 0.15151515151515152, 'support': 340}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6424526121128062, 'recall': 0.5304621848739496, 'f1-score': 0.4989751260317988, 'support': 1292}, 'weighted avg': {'precision': 0.6930128719857898, 'recall': 0.739938080495356, 'f1-score': 0.6635614297502107, 'support': 1292}}",0.45
5,clf,gboosting,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_estimators': 50},0.74,0.69,0.75,0.97,0.52,0.09,952.00,340.00,"{'0': {'precision': 0.7497969130787977, 'recall': 0.9695378151260504, 'f1-score': 0.8456252863032524, 'support': 952}, '1': {'precision': 0.5245901639344263, 'recall': 0.09411764705882353, 'f1-score': 0.1596009975062344, 'support': 340}, 'micro avg': {'precision': 0.7391640866873065, 'recall': 0.7391640866873065, 'f1-score': 0.7391640866873065, 'support': 1292}, 'macro avg': {'precision': 0.637193538506612, 'recall': 0.531827731092437, 'f1-score': 0.5026131419047434, 'support': 1292}, 'weighted avg': {'precision': 0.6905319790934368, 'recall': 0.7391640866873065, 'f1-score': 0.6650925787250898, 'support': 1292}}",1.06
6,clf,ada,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.74,{'n_estimators': 10},0.74,0.69,0.75,0.98,0.54,0.08,952.00,340.00,"{'0': {'precision': 0.747588424437299, 'recall': 0.976890756302521, 'f1-score': 0.8469945355191255, 'support': 952}, '1': {'precision': 0.5416666666666666, 'recall': 0.07647058823529412, 'f1-score': 0.13402061855670103, 'support': 340}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6446275455519828, 'recall': 0.5266806722689076, 'f1-score': 0.49050757703791326, 'support': 1292}, 'weighted avg': {'precision': 0.6933984881818693, 'recall': 0.739938080495356, 'f1-score': 0.6593698205290138, 'support': 1292}}",1.07
0,reg,kn,max,basic,ALL_NO_3_2_1,30_240,included,basic,26.44,{'n_neighbors': 81},,,,,,,,,26.58,6.81
1,reg,svr-rbf,max,basic,ALL_NO_3_2_1,30_240,included,basic,28.49,"{'C': 5, 'gamma': 1}",,,,,,,,,28.62,9.06
2,reg,dtree,max,basic,ALL_NO_3_2_1,30_240,included,basic,26.27,"{'max_depth': 5, 'min_samples_leaf': 200}",,,,,,,,,26.41,0.72
3,reg,rforest,max,basic,ALL_NO_3_2_1,30_240,included,basic,25.65,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",,,,,,,,,26.01,70.18
4,reg,xgb,max,basic,ALL_NO_3_2_1,30_240,included,basic,25.85,{'n_estimators': 50},,,,,,,,,26.06,0.44
5,reg,gboosting,max,basic,ALL_NO_3_2_1,30_240,included,basic,25.93,{'n_estimators': 50},,,,,,,,,26.10,0.91
6,reg,ada,max,basic,ALL_NO_3_2_1,30_240,included,basic,28.72,{'n_estimators': 10},,,,,,,,,28.73,1.42
0,clf,kn,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_neighbors': 101},0.76,0.58,0.76,1.00,0.00,0.00,980.00,312.00,"{'0': {'precision': 0.7585139318885449, 'recall': 1.0, 'f1-score': 0.8626760563380282, 'support': 980}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 312}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.37925696594427244, 'recall': 0.5, 'f1-score': 0.4313380281690141, 'support': 1292}, 'weighted avg': {'precision': 0.5753433848690201, 'recall': 0.7585139318885449, 'f1-score': 0.6543518074390617, 'support': 1292}}",6.62
