,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_60_after,reaction_min_0_60_after
64,2007-03-15 09:00:00,66,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,11,3,1,30,-3,-4,0
65,2007-03-15 10:30:00,46,-0.92,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,13,-1,-2,0
66,2007-03-15 12:00:00,53,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,3,1,20,9,-13,0
67,2007-03-16 10:00:00,58,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,11,4,1,23,-5,-7,0
68,2007-03-19 13:00:00,44,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,14,-5,-14,0
69,2007-03-21 10:30:00,18,-1.2,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,12,8,-4,0
70,2007-03-21 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,12,2,1,11,3,0,0
71,2007-03-22 08:30:00,69,-0.2,0,-2.24,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,16,-4,-7,0
72,2007-03-22 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,15,4,-11,0
73,2007-03-22 10:30:00,46,-5.35,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,22,8,-16,0
74,2007-03-23 10:00:00,23,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,12,4,1,18,-8,-26,1
75,2007-03-26 10:00:00,47,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,13,0,1,27,30,-1,0
76,2007-03-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,21,-5,-12,0
77,2007-03-28 10:30:00,18,-1.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,16,0,-29,1
78,2007-03-29 10:30:00,46,-0.57,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,13,3,-4,0
79,2007-03-30 09:45:00,10,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,13,4,1,18,1,-18,0
80,2007-04-03 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,4,0,-12,0
