,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_30_60_after,reaction_min_30_60_after
12,2007-01-18 12:00:00,53,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,3,3,1,16,8,7,3,3,1,5,0,3,1,4,-2,19,-10,-4,0
13,2007-01-19 10:00:00,58,3.0,0,0.0,0,0,3,0,0,3,0,1,0,0,2007,3,4,1,10,-2,10,-3,6,-2,5,-1,7,-2,8,-5,17,-19,-2,0
14,2007-01-24 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,2,1,6,4,4,1,10,-4,4,-1,5,-1,6,-1,43,-25,-10,0
15,2007-01-25 08:30:00,69,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,4,3,1,8,6,9,-3,7,1,7,-2,5,-2,5,1,15,-4,-7,0
16,2007-01-25 10:00:00,23,3.0,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,4,3,1,8,-1,13,-11,6,-2,5,4,4,-1,8,6,25,1,-3,0
17,2007-01-25 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,3,1,6,-5,4,0,7,2,6,1,7,-5,5,-1,24,9,-6,0
18,2007-01-26 10:00:00,47,3.0,0,0.0,0,0,3,0,0,3,0,1,0,0,2007,4,4,1,19,6,6,-2,6,-4,4,1,10,7,7,2,34,-27,-11,0
19,2007-01-30 09:00:00,65,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,1,1,4,0,7,4,7,-5,6,0,5,0,5,-1,18,-15,-7,0
20,2007-01-30 10:00:00,6,3.0,0,0.0,0,3,0,0,0,3,0,1,0,0,2007,5,1,1,7,5,5,-2,5,3,3,0,7,-4,7,-3,16,-10,-6,0
21,2007-01-31 08:15:00,0,2.0,0,0.0,0,0,2,0,0,2,0,0,0,1,2007,5,2,1,6,2,4,2,6,2,11,0,12,-9,6,-4,24,12,-3,0
22,2007-01-31 09:45:00,10,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,5,2,1,10,-5,9,-2,6,1,8,1,17,14,6,-3,40,30,-3,0
23,2007-01-31 10:00:00,11,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,5,2,1,8,1,17,14,6,-3,16,15,7,2,7,4,34,24,-2,0
24,2007-01-31 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,2,1,10,-5,5,2,23,23,14,-12,8,-4,12,-9,54,48,-1,0
25,2007-01-31 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,5,2,1,33,18,8,-2,14,2,6,1,9,2,10,-2,13,0,-7,0
26,2007-02-01 00:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,5,-1,5,-3,5,-3,4,1,5,-2,6,-3,8,1,-2,0
27,2007-02-01 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,3,-1,8,-3,12,6,9,-5,8,-5,6,2,33,6,-5,0
28,2007-02-05 10:00:00,40,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,6,0,1,9,-4,13,8,5,-1,5,4,7,-1,5,4,22,-14,-10,0
29,2007-02-07 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,2,1,5,0,4,1,9,-6,5,3,6,1,8,6,22,12,-7,0
30,2007-02-07 15:00:00,12,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,6,2,1,3,1,6,0,5,-2,4,2,5,-3,5,0,16,-10,-3,0
31,2007-02-08 08:30:00,69,1.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,1,18,-5,12,12,5,0,12,-11,7,5,22,10,-3,0
32,2007-02-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,5,3,6,-2,5,5,7,6,5,0,31,15,-4,0
33,2007-02-08 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-1,6,2,12,7,7,3,6,3,7,2,15,2,-10,0
34,2007-02-12 14:00:00,25,2.0,0,0.0,0,2,0,0,2,0,0,0,0,1,2007,7,0,1,5,0,5,-2,5,1,6,1,4,1,4,2,12,-6,-6,0
35,2007-02-13 08:30:00,68,3.0,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,7,1,1,12,-4,17,15,9,-3,7,-5,3,0,7,-5,18,14,-8,0
36,2007-02-13 10:00:00,37,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,7,1,1,6,-2,6,0,4,-4,5,3,4,2,4,1,18,-7,-9,0
37,2007-02-14 10:00:00,5,2.0,0,2.0,0,0,2,0,0,2,0,0,0,1,2007,7,2,1,36,33,12,0,10,4,10,8,11,-8,5,-2,12,-1,-13,0
38,2007-02-14 10:30:00,18,-0.67,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,2,1,7,-6,5,-1,4,-3,4,2,7,-5,10,-8,60,46,-4,0
39,2007-02-15 09:00:00,66,3.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,7,3,1,18,7,19,16,11,-6,10,3,10,1,8,-6,17,5,-9,0
40,2007-02-15 10:30:00,46,-1.07,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,16,4,0,11,7,28,-21,9,1,5,2,16,-15,-10,0
41,2007-02-15 12:00:00,53,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,7,3,1,10,8,8,-1,10,-8,5,2,9,4,7,-3,13,-2,-14,0
42,2007-02-15 13:00:00,44,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,7,3,1,8,-6,7,-2,4,3,4,0,6,0,6,3,21,-4,-10,0
43,2007-02-16 10:00:00,58,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,7,4,1,15,-8,7,4,4,1,4,-2,3,0,4,0,26,14,-2,0
44,2007-02-21 10:00:00,7,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,8,2,1,5,2,8,4,10,-3,5,-2,4,-1,5,3,15,7,-4,0
45,2007-02-22 08:30:00,69,-0.47,1,-3.65,1,0,0,1,1,0,0,0,1,0,2007,8,3,1,7,-5,6,3,4,-1,7,-7,6,-3,4,2,18,14,-7,0
46,2007-02-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,4,-2,4,-1,4,-3,6,0,7,3,5,-4,24,17,-14,0
47,2007-02-28 09:45:00,10,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,9,2,1,7,-4,5,2,5,2,6,0,6,0,3,0,28,-7,-24,1
48,2007-02-28 10:00:00,47,3.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,9,2,1,6,0,6,0,3,0,6,2,5,1,14,-10,21,0,-1,0
49,2007-02-28 10:30:00,18,-0.83,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,14,-10,9,6,5,-2,10,1,8,5,13,9,20,-7,-2,0
50,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,6,2,5,-2,9,3,5,0,5,-1,3,-1,10,-2,-8,0
51,2007-03-01 09:30:00,46,-2.01,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,11,4,6,-5,7,-3,4,2,7,1,13,-10,16,2,-27,1
52,2007-03-02 10:00:00,63,2.0,0,2.0,0,0,0,2,2,0,0,0,0,1,2007,9,4,1,8,4,12,-5,8,-2,15,-3,5,-2,5,0,21,-8,-8,0
53,2007-03-05 10:00:00,40,3.0,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,10,0,1,14,11,11,-5,7,2,7,-2,2,2,7,0,28,17,-16,1
54,2007-03-07 08:15:00,0,2.0,0,2.0,0,0,0,2,0,0,2,0,0,1,2007,10,2,1,12,3,9,-6,6,3,3,0,4,2,5,1,17,9,-3,0
55,2007-03-07 10:30:00,18,-8.11,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,7,5,4,-1,5,-3,5,1,7,-3,5,0,20,9,-6,0
56,2007-03-07 15:00:00,12,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,7,-2,6,3,4,-1,4,0,6,-2,4,-2,31,26,-4,0
57,2007-03-08 08:30:00,69,-0.1,0,0.0,1,1,0,0,1,0,0,0,1,0,2007,10,3,1,8,-6,5,1,17,-2,10,-1,8,5,20,-12,19,1,-26,1
58,2007-03-08 09:30:00,46,-0.39,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,5,-2,9,5,9,-7,5,-2,5,3,5,-2,54,-35,-4,0
59,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,11,10,8,-5,5,2,8,4,3,0,6,-3,21,-1,-4,0
60,2007-03-12 15:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,11,0,1,5,1,5,2,5,-2,5,1,4,2,3,0,27,4,-3,0
61,2007-03-13 10:00:00,5,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,1,1,4,-1,4,0,6,-4,5,-1,9,-5,6,-3,16,3,-10,0
62,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,3,1,3,0,4,1,3,0,4,-3,6,0,19,-13,-7,0
63,2007-03-14 10:30:00,18,-0.4,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,5,-1,14,10,11,-9,5,2,8,-6,5,2,36,29,-7,0
64,2007-03-15 09:00:00,66,3.0,0,3.0,0,0,3,0,3,0,0,1,0,0,2007,11,3,1,14,8,13,11,8,-6,5,0,15,7,7,-3,30,-3,-6,0
65,2007-03-15 10:30:00,46,-0.92,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,5,-2,4,2,6,3,5,-2,15,9,6,1,13,-1,-7,0
66,2007-03-15 12:00:00,53,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,3,1,14,-8,12,9,6,3,5,-3,20,-8,4,1,20,9,-5,0
67,2007-03-16 10:00:00,58,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,11,4,1,8,-3,5,2,4,-1,7,-3,4,3,4,-2,23,-5,-3,0
68,2007-03-19 13:00:00,44,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,4,3,7,-2,7,-4,5,-1,5,0,6,1,14,-5,1,0
69,2007-03-21 10:30:00,18,-1.2,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,5,-2,5,1,7,1,5,2,5,1,5,-1,12,8,-5,0
70,2007-03-21 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,12,2,1,41,25,38,37,25,-13,21,14,15,-8,12,9,11,3,-7,0
71,2007-03-22 08:30:00,69,-0.2,0,-2.24,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,12,-7,8,-1,8,2,8,4,6,0,4,-2,16,-4,-6,0
72,2007-03-22 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,11,6,10,7,5,-1,5,0,6,2,5,1,15,4,-10,0
73,2007-03-22 10:30:00,46,-5.35,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,5,-2,5,-3,3,0,4,0,6,-1,4,-2,22,8,-7,0
74,2007-03-23 10:00:00,23,3.0,0,3.0,0,0,3,0,3,0,0,1,0,0,2007,12,4,1,16,-11,9,5,9,-7,14,-11,11,-2,6,0,18,-8,-16,1
75,2007-03-26 10:00:00,47,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,13,0,1,21,17,14,12,4,-1,10,6,6,6,7,2,27,30,-7,0
76,2007-03-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,3,3,3,-1,4,-1,9,-8,3,-1,3,0,21,-5,-3,0
77,2007-03-28 10:30:00,18,-1.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,18,10,9,-6,5,1,8,4,6,-2,5,1,16,0,-27,1
78,2007-03-29 10:30:00,46,-0.57,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,2,-1,1,1,5,4,3,-1,6,-3,4,-2,13,3,-4,0
79,2007-03-30 09:45:00,10,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,13,4,1,12,3,3,-1,6,4,17,-11,9,-6,5,1,18,1,-7,0
80,2007-04-03 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,2,1,2,0,2,1,2,0,1,-1,2,1,4,0,-8,0
81,2007-04-03 10:00:00,50,3.0,0,3.0,0,0,3,0,3,0,0,1,0,0,2007,14,1,1,5,-3,10,8,4,0,8,-6,2,0,3,1,10,1,-2,0
82,2007-04-04 08:15:00,0,3.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,14,2,1,7,6,3,2,3,0,2,-1,9,-9,6,-2,11,4,-1,0
83,2007-04-04 10:30:00,18,-1.6,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,2,1,9,5,9,6,7,-5,3,0,9,-4,7,7,27,12,-7,0
84,2007-04-05 08:30:00,69,-0.75,0,-2.24,0,0,0,1,1,0,0,0,1,0,2007,14,3,1,7,-4,4,4,5,0,3,1,7,6,4,-1,22,5,-2,0
85,2007-04-05 10:30:00,46,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,3,1,4,1,2,-1,2,1,3,2,3,0,3,0,17,3,-12,0
86,2007-04-06 10:00:00,31,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,14,4,1,8,-5,4,0,3,-1,5,3,4,-3,2,0,15,-10,0,0
87,2007-04-06 15:00:00,12,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,14,4,1,2,0,4,-1,5,3,4,1,1,0,2,-1,8,1,-4,0
88,2007-04-10 10:00:00,37,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,15,1,1,6,-2,4,-1,6,4,3,2,2,-1,4,1,15,0,-3,0
89,2007-04-11 10:30:00,18,-0.48,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,2,1,2,1,4,-3,3,2,3,2,9,5,6,3,12,1,-5,0
90,2007-04-11 14:00:00,25,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,15,2,1,16,-10,4,0,13,-6,6,1,4,3,5,4,8,-2,-1,0
91,2007-04-12 10:30:00,46,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,3,1,5,2,20,14,9,-6,7,-5,6,5,7,4,29,19,-7,0
92,2007-04-13 10:00:00,58,3.0,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,15,4,1,16,-1,5,-4,5,0,8,6,8,-5,7,4,15,2,-30,1
93,2007-04-16 09:00:00,66,3.0,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,16,0,1,17,-3,3,-1,6,3,2,0,3,-2,9,-7,12,2,-5,0
94,2007-04-16 10:00:00,5,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,16,0,1,7,-4,4,4,3,-1,4,2,5,3,4,2,23,-5,-4,0
95,2007-04-16 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,16,0,1,4,-1,5,3,4,-1,3,-2,5,2,3,-1,7,-1,-6,0
96,2007-04-18 10:30:00,18,-1.32,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,2,1,6,4,6,-4,3,0,4,-1,4,0,5,0,17,-2,-1,0
97,2007-04-19 08:30:00,69,-0.93,1,0.5,0,0,0,1,1,0,0,0,1,0,2007,16,3,1,6,4,13,8,5,-4,10,-9,10,-5,7,-3,16,7,-8,0
98,2007-04-19 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,16,3,1,14,10,8,-4,4,0,5,3,5,1,4,3,12,-4,-8,0
99,2007-04-19 10:30:00,46,-0.32,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,3,1,9,3,9,-7,2,0,2,0,11,10,8,1,17,11,-1,0
100,2007-04-19 12:00:00,53,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,16,3,1,13,-1,6,-4,4,-2,4,3,2,1,4,2,12,-5,0,0
101,2007-04-24 09:00:00,65,0.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,8,6,1,5,-2,5,1,3,0,5,1,11,-3,-2,0
102,2007-04-25 10:00:00,47,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,17,2,1,16,16,6,-1,13,9,9,-5,11,-1,5,-1,11,0,-6,0
103,2007-04-25 10:30:00,18,-3.26,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,2,1,6,4,7,-5,3,1,4,1,4,0,8,4,34,16,-7,0
104,2007-04-26 08:30:00,69,-0.3,0,-4.47,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,12,2,7,5,9,3,5,1,5,2,3,1,23,-17,-13,0
105,2007-04-26 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,8,6,5,1,6,-6,5,3,6,-1,5,3,16,0,-6,0
106,2007-04-27 10:00:00,63,2.0,0,2.0,0,0,2,0,2,0,0,0,0,1,2007,17,4,1,15,-7,5,1,5,1,4,0,3,-2,4,1,15,6,-26,1
107,2007-04-30 09:45:00,10,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,18,0,1,8,6,6,4,6,0,5,-2,3,0,6,-4,17,8,-10,0
108,2007-04-30 10:00:00,11,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,18,0,1,5,-2,3,0,6,-4,5,4,3,0,6,-5,24,16,-1,0
109,2007-05-01 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,1,1,3,1,2,0,4,-3,3,-1,3,1,3,1,9,-5,-1,0
110,2007-05-02 08:15:00,0,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,18,2,1,7,4,5,0,3,-2,4,-1,4,3,3,-1,15,12,-3,0
111,2007-05-02 10:00:00,24,2.0,0,2.0,0,0,2,0,0,2,0,0,0,1,2007,18,2,1,11,-10,9,-1,6,5,4,0,8,8,13,5,15,8,-16,1
112,2007-05-02 10:30:00,18,-0.25,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,2,1,8,7,7,-5,4,0,6,-4,5,-3,2,0,34,10,-1,0
113,2007-05-03 10:00:00,40,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,18,3,1,16,-12,7,4,6,1,4,-3,12,-9,6,4,20,-18,-2,0
114,2007-05-03 10:30:00,46,-3.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,3,1,3,1,3,2,2,0,5,2,7,6,3,-3,35,-26,-11,0
115,2007-05-07 15:00:00,12,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,0,1,4,3,4,-3,6,-3,3,2,2,0,2,0,11,-6,-1,0
116,2007-05-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,1,1,5,2,5,-1,21,-21,18,-12,9,5,7,-2,9,1,-2,0
117,2007-05-09 10:30:00,18,-2.95,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,2,1,5,-4,3,-1,3,2,3,-3,4,4,4,0,12,-4,-1,0
118,2007-05-09 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,19,2,1,28,-27,9,3,8,2,8,-1,6,-3,6,-3,11,7,-5,0
119,2007-05-10 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,3,1,3,-1,3,2,2,0,5,-5,2,2,4,3,16,9,-13,0
120,2007-05-10 14:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,19,3,1,6,5,3,0,2,0,3,0,1,1,4,3,22,-13,-1,0
121,2007-05-11 10:00:00,5,2.0,0,2.0,0,0,2,0,0,2,0,0,0,1,2007,19,4,1,5,2,3,0,4,-2,3,2,6,4,6,5,18,11,-7,0
122,2007-05-15 09:00:00,66,3.0,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,20,1,1,13,-9,8,-2,3,2,2,1,3,-2,5,-4,31,20,0,0
123,2007-05-15 10:00:00,37,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,20,1,1,5,3,3,-2,3,0,4,1,6,4,5,2,19,-11,-1,0
124,2007-05-15 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,20,1,1,3,1,6,-3,3,-2,3,1,3,0,3,-1,7,-1,-3,0
125,2007-05-16 10:30:00,18,-0.61,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,2,1,3,-1,2,1,4,4,2,-2,5,2,4,0,12,-3,-48,1
126,2007-05-17 08:30:00,69,0.93,1,-0.61,0,0,1,0,1,0,0,0,1,0,2007,20,3,1,19,-18,6,1,8,-7,9,-7,6,5,7,3,19,-4,-13,0
127,2007-05-17 10:00:00,7,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,20,3,1,11,-3,5,-1,7,6,4,-1,4,-2,5,5,13,0,-7,0
128,2007-05-17 10:30:00,46,-0.72,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,3,1,5,-1,6,-3,2,0,4,0,3,-2,7,4,12,5,-3,0
129,2007-05-17 12:00:00,53,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,20,3,1,6,-1,5,3,7,5,3,-3,6,5,5,-2,9,1,-1,0
130,2007-05-18 10:00:00,58,3.0,0,3.0,0,0,3,0,0,3,0,1,0,0,2007,20,4,1,9,-7,6,3,14,11,6,-4,7,4,9,7,9,5,-8,0
131,2007-05-22 10:00:00,64,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,21,1,1,2,0,2,2,2,0,7,5,5,4,6,5,8,-2,-4,0
132,2007-05-23 10:30:00,18,-0.78,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,2,1,4,-1,3,1,3,1,6,4,3,-2,4,3,13,-6,-9,0
133,2007-05-24 10:00:00,47,3.0,0,3.0,0,0,3,0,0,0,3,1,0,0,2007,21,3,1,22,-19,9,-5,9,-2,5,-1,7,3,2,0,15,2,-4,0
134,2007-05-24 10:30:00,46,-3.27,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,3,1,6,-4,9,6,6,3,6,3,3,2,4,3,40,-33,-9,0
135,2007-05-25 10:00:00,23,3.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,21,4,1,8,4,23,17,6,-4,8,4,3,0,6,-1,10,-6,-15,1
136,2007-05-29 09:00:00,65,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,22,1,1,3,2,3,-2,4,0,6,-6,5,3,3,0,22,6,-13,0
137,2007-05-29 10:00:00,6,3.0,0,3.0,0,0,3,0,0,3,0,1,0,0,2007,22,1,1,13,-11,4,-2,3,3,1,0,5,-4,6,-5,10,-1,-12,0
138,2007-05-30 08:15:00,0,3.0,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,22,2,1,5,4,6,-1,2,0,4,1,4,-2,3,-1,23,-10,-3,0
139,2007-05-31 09:45:00,10,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,22,3,1,6,-1,6,-2,4,-2,7,-3,3,1,3,-1,12,-10,-6,0
140,2007-05-31 10:00:00,11,1.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,22,3,1,7,-3,3,1,3,-1,4,-3,8,0,5,-3,17,-16,1,0
141,2007-06-01 01:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,22,4,1,1,0,1,-1,1,1,4,-3,3,2,1,0,5,2,-1,0
142,2007-06-04 10:00:00,24,2.0,0,2.0,0,0,0,2,0,2,0,0,0,1,2007,23,0,1,4,-1,5,0,3,-2,3,0,2,-1,5,0,17,1,-6,0
143,2007-06-05 10:00:00,40,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,23,1,1,10,3,3,1,4,0,6,-3,12,-5,3,-1,14,-20,-1,0
144,2007-06-06 10:30:00,18,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,23,2,1,2,-1,5,-3,5,-3,3,-3,2,-1,8,-7,13,4,-7,0
