,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
49,2007-04-16 08:30:00,10_29,1.0,0,2.0,0,1,1,0,0,2,0,2,2007,16,0,2,10,4,6,-3,5,3,3,0,3,1,3,-1,15,-9,13,0
50,2007-04-16 09:00:00,30,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,17,-3,3,-1,6,3,2,0,3,-2,9,-7,21,2,11,0
51,2007-04-17 08:30:00,7,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,23,16,8,0,16,15,18,15,11,-7,4,-1,27,2,10,0
52,2007-04-24 10:00:00,14_4,2.0,0,2.0,0,0,0,2,1,1,0,2,2007,17,1,2,20,16,9,5,6,-2,11,8,11,8,7,1,29,13,8,0
53,2007-04-25 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,17,2,1,12,-8,13,-8,11,3,3,0,5,5,3,1,21,-1,26,1
54,2007-04-25 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,2,1,16,16,6,-1,13,9,9,-5,11,-1,5,-1,24,0,2,0
55,2007-04-27 08:30:00,1,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,4,1,34,29,14,-9,11,-1,12,-6,9,4,8,1,43,8,9,0
56,2007-04-30 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,9,-2,6,-2,8,7,8,7,3,-3,4,-1,22,4,22,0
57,2007-05-01 10:00:00,17_24,2.0,0,1.0,0,0,1,1,1,1,0,2,2007,18,1,2,15,1,21,-14,4,-1,9,-8,11,-2,10,-3,28,2,1,0
58,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,18,2,1,7,4,5,0,3,-2,4,-1,4,3,3,-1,25,12,17,0
59,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,16,-12,7,4,6,1,4,-3,12,-9,6,4,36,-18,10,0
60,2007-05-04 08:30:00,22_33,1.0,0,1.0,0,1,0,1,2,0,0,2,2007,18,4,2,30,9,17,10,11,5,10,2,6,1,18,13,30,-6,22,0
61,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,9,3,8,2,8,-1,6,-3,6,-3,29,7,2,0
62,2007-05-10 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,14,12,16,-12,7,5,7,-4,21,-20,5,1,19,1,4,0
63,2007-05-11 08:30:00,10_29_23,3.0,0,2.0,0,0,1,2,1,2,0,3,2007,19,4,3,11,0,17,-16,5,1,5,4,9,4,5,4,18,10,20,0
64,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,22,18,9,-7,6,5,4,-2,5,-2,3,0,32,6,12,0
65,2007-05-15 09:00:00,30,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,13,-9,8,-2,3,2,2,1,3,-2,5,-4,30,20,57,1
66,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,9,-7,6,3,14,11,6,-4,7,4,9,7,10,5,27,1
67,2007-05-24 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,11,-10,6,-3,5,5,4,3,2,-1,9,4,19,9,14,0
