actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
5.61M,USD,2016-12-21 10:00:00,5.52M,better,Medium,Existing Home Sales,5.57M,worse,51,2016-12-21 15:00:00+00:00,1.63,2016,4,12,Wednesday
2.3M,USD,2016-12-21 10:30:00,-2.4M,accurate,High,Crude Oil Inventories,-2.6M,accurate,51,2016-12-21 15:30:00+00:00,195.83,2016,4,12,Wednesday
0.5%,USD,2016-12-22 08:30:00,0.2%,better,High,Core Durable Goods Orders m/m,0.8%,worse,51,2016-12-22 13:30:00+00:00,150.0,2016,4,12,Thursday
3.5%,USD,2016-12-22 08:30:00,3.3%,better,High,Final GDP q/q,3.2%,accurate,51,2016-12-22 13:30:00+00:00,6.06,2016,4,12,Thursday
275K,USD,2016-12-22 08:30:00,255K,worse,High,Unemployment Claims,254K,accurate,51,2016-12-22 13:30:00+00:00,7.84,2016,4,12,Thursday
-4.6%,USD,2016-12-22 08:30:00,-4.9%,better,Medium,Durable Goods Orders m/m,4.6%,worse,51,2016-12-22 13:30:00+00:00,6.12,2016,4,12,Thursday
1.4%,USD,2016-12-22 08:30:00,1.4%,accurate,Low,Final GDP Price Index q/q,1.4%,accurate,51,2016-12-22 13:30:00+00:00,0.0,2016,4,12,Thursday
0.4%,USD,2016-12-22 09:00:00,0.4%,accurate,Low,HPI m/m,0.6%,accurate,51,2016-12-22 14:00:00+00:00,0.0,2016,4,12,Thursday
0.0%,USD,2016-12-22 10:00:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.1%,accurate,51,2016-12-22 15:00:00+00:00,-100.0,2016,4,12,Thursday
0.2%,USD,2016-12-22 10:00:00,0.4%,worse,Medium,Personal Spending m/m,0.4%,better,51,2016-12-22 15:00:00+00:00,-50.0,2016,4,12,Thursday
0.0%,USD,2016-12-22 10:00:00,0.2%,worse,Low,CB Leading Index m/m,0.1%,accurate,51,2016-12-22 15:00:00+00:00,-100.0,2016,4,12,Thursday
0.0%,USD,2016-12-22 10:00:00,0.3%,worse,Low,Personal Income m/m,0.5%,worse,51,2016-12-22 15:00:00+00:00,-100.0,2016,4,12,Thursday
-209B,USD,2016-12-22 10:30:00,-201B,accurate,Low,Natural Gas Storage,-147B,accurate,51,2016-12-22 15:30:00+00:00,-3.98,2016,4,12,Thursday
592K,USD,2016-12-23 10:00:00,575K,better,Medium,New Home Sales,563K,accurate,51,2016-12-23 15:00:00+00:00,2.96,2016,4,12,Friday
98.2,USD,2016-12-23 10:00:00,98.2,accurate,Medium,Revised UoM Consumer Sentiment,98.0,accurate,51,2016-12-23 15:00:00+00:00,0.0,2016,4,12,Friday
-136.7B,USD,2016-12-12 14:00:00,-99.5B,worse,Low,Federal Budget Balance,-44.2B,accurate,50,2016-12-12 19:00:00+00:00,-37.39,2016,4,12,Monday
98.4,USD,2016-12-13 06:00:00,96.7,better,Low,NFIB Small Business Index,94.9,accurate,50,2016-12-13 11:00:00+00:00,1.76,2016,4,12,Tuesday
-0.3%,USD,2016-12-13 08:30:00,-0.3%,accurate,Medium,Import Prices m/m,0.4%,accurate,50,2016-12-13 13:30:00+00:00,0.0,2016,4,12,Tuesday
0.2%,USD,2016-12-14 08:30:00,0.4%,worse,High,Core Retail Sales m/m,0.6%,worse,50,2016-12-14 13:30:00+00:00,-50.0,2016,4,12,Wednesday
0.4%,USD,2016-12-14 08:30:00,0.1%,better,High,PPI m/m,0.0%,accurate,50,2016-12-14 13:30:00+00:00,300.0,2016,4,12,Wednesday
0.1%,USD,2016-12-14 08:30:00,0.3%,worse,High,Retail Sales m/m,0.6%,worse,50,2016-12-14 13:30:00+00:00,-66.67,2016,4,12,Wednesday
0.4%,USD,2016-12-14 08:30:00,0.2%,better,Medium,Core PPI m/m,-0.2%,accurate,50,2016-12-14 13:30:00+00:00,100.0,2016,4,12,Wednesday
75.0%,USD,2016-12-14 09:15:00,75.1%,accurate,Medium,Capacity Utilization Rate,75.4%,accurate,50,2016-12-14 14:15:00+00:00,-0.13,2016,4,12,Wednesday
-0.4%,USD,2016-12-14 09:15:00,-0.2%,worse,Medium,Industrial Production m/m,0.1%,better,50,2016-12-14 14:15:00+00:00,-100.0,2016,4,12,Wednesday
-0.2%,USD,2016-12-14 10:00:00,-0.1%,better,Low,Business Inventories m/m,0.1%,accurate,50,2016-12-14 15:00:00+00:00,-100.0,2016,4,12,Wednesday
-2.6M,USD,2016-12-14 10:30:00,-1.4M,accurate,High,Crude Oil Inventories,-2.4M,accurate,50,2016-12-14 15:30:00+00:00,-85.71,2016,4,12,Wednesday
<0.75%,USD,2016-12-14 14:00:00,<0.75%,accurate,High,Federal Funds Rate,<0.50%,accurate,50,2016-12-14 19:00:00+00:00,0.0,2016,4,12,Wednesday
0.2%,USD,2016-12-15 08:30:00,0.2%,accurate,High,CPI m/m,0.4%,accurate,50,2016-12-15 13:30:00+00:00,0.0,2016,4,12,Thursday
0.2%,USD,2016-12-15 08:30:00,0.2%,accurate,High,Core CPI m/m,0.1%,accurate,50,2016-12-15 13:30:00+00:00,0.0,2016,4,12,Thursday
21.5,USD,2016-12-15 08:30:00,9.1,better,High,Philly Fed Manufacturing Index,7.6,accurate,50,2016-12-15 13:30:00+00:00,136.26,2016,4,12,Thursday
254K,USD,2016-12-15 08:30:00,255K,accurate,High,Unemployment Claims,258K,accurate,50,2016-12-15 13:30:00+00:00,-0.39,2016,4,12,Thursday
-113B,USD,2016-12-15 08:30:00,-111B,accurate,Medium,Current Account,-118B,accurate,50,2016-12-15 13:30:00+00:00,-1.8,2016,4,12,Thursday
9.0,USD,2016-12-15 08:30:00,3.2,better,Medium,Empire State Manufacturing Index,1.5,accurate,50,2016-12-15 13:30:00+00:00,181.25,2016,4,12,Thursday
54.2,USD,2016-12-15 09:45:00,54.2,accurate,Low,Flash Manufacturing PMI,54.1,accurate,50,2016-12-15 14:45:00+00:00,0.0,2016,4,12,Thursday
70,USD,2016-12-15 10:00:00,63,better,Low,NAHB Housing Market Index,63,accurate,50,2016-12-15 15:00:00+00:00,11.11,2016,4,12,Thursday
-147B,USD,2016-12-15 10:30:00,-126B,accurate,Low,Natural Gas Storage,-42B,accurate,50,2016-12-15 15:30:00+00:00,-16.67,2016,4,12,Thursday
9.4B,USD,2016-12-15 16:00:00,-32.3B,better,Low,TIC Long-Term Purchases,-26.2B,accurate,50,2016-12-15 21:00:00+00:00,129.1,2016,4,12,Thursday
1.20M,USD,2016-12-16 08:30:00,1.24M,worse,High,Building Permits,1.26M,better,50,2016-12-16 13:30:00+00:00,-3.23,2016,4,12,Friday
1.09M,USD,2016-12-16 08:30:00,1.23M,worse,Medium,Housing Starts,1.34M,accurate,50,2016-12-16 13:30:00+00:00,-11.38,2016,4,12,Friday
54.6,USD,2016-12-05 09:45:00,54.9,accurate,Low,Final Services PMI,54.7,accurate,49,2016-12-05 14:45:00+00:00,-0.55,2016,4,12,Monday
57.2,USD,2016-12-05 10:00:00,55.3,better,High,ISM Non-Manufacturing PMI,54.8,accurate,49,2016-12-05 15:00:00+00:00,3.44,2016,4,12,Monday
3.1%,USD,2016-12-06 08:30:00,3.2%,accurate,Medium,Revised Nonfarm Productivity q/q,3.1%,accurate,49,2016-12-06 13:30:00+00:00,-3.13,2016,4,12,Tuesday
-42.6B,USD,2016-12-06 08:30:00,-41.5B,worse,Medium,Trade Balance,-36.2B,accurate,49,2016-12-06 13:30:00+00:00,-2.65,2016,4,12,Tuesday
0.7%,USD,2016-12-06 08:30:00,0.4%,better,Low,Revised Unit Labor Costs q/q,0.3%,accurate,49,2016-12-06 13:30:00+00:00,75.0,2016,4,12,Tuesday
2.7%,USD,2016-12-06 10:00:00,2.5%,better,Medium,Factory Orders m/m,0.6%,better,49,2016-12-06 15:00:00+00:00,8.0,2016,4,12,Tuesday
54.8,USD,2016-12-06 10:00:00,52.3,better,Low,IBD/TIPP Economic Optimism,51.4,accurate,49,2016-12-06 15:00:00+00:00,4.78,2016,4,12,Tuesday
5.53M,USD,2016-12-07 10:00:00,5.53M,accurate,Medium,JOLTS Job Openings,5.63M,better,49,2016-12-07 15:00:00+00:00,0.0,2016,4,12,Wednesday
-2.4M,USD,2016-12-07 10:30:00,-1.4M,accurate,High,Crude Oil Inventories,-0.9M,accurate,49,2016-12-07 15:30:00+00:00,-71.43,2016,4,12,Wednesday
16.0B,USD,2016-12-07 15:00:00,17.5B,worse,Low,Consumer Credit m/m,21.8B,better,49,2016-12-07 20:00:00+00:00,-8.57,2016,4,12,Wednesday
258K,USD,2016-12-08 08:30:00,258K,accurate,High,Unemployment Claims,268K,accurate,49,2016-12-08 13:30:00+00:00,0.0,2016,4,12,Thursday
-42B,USD,2016-12-08 10:30:00,-44B,accurate,Low,Natural Gas Storage,-50B,accurate,49,2016-12-08 15:30:00+00:00,4.55,2016,4,12,Thursday
98.0,USD,2016-12-09 10:00:00,94.3,better,High,Prelim UoM Consumer Sentiment,93.8,better,49,2016-12-09 15:00:00+00:00,3.92,2016,4,12,Friday
-0.4%,USD,2016-12-09 10:00:00,-0.4%,accurate,Low,Final Wholesale Inventories m/m,-0.4%,accurate,49,2016-12-09 15:00:00+00:00,0.0,2016,4,12,Friday
3.2%,USD,2016-11-29 08:30:00,3.0%,better,High,Prelim GDP q/q,2.9%,accurate,48,2016-11-29 13:30:00+00:00,6.67,2016,4,11,Tuesday
1.4%,USD,2016-11-29 08:30:00,1.5%,accurate,Low,Prelim GDP Price Index q/q,1.5%,accurate,48,2016-11-29 13:30:00+00:00,-6.67,2016,4,11,Tuesday
5.1%,USD,2016-11-29 09:00:00,5.3%,worse,Low,S&P/CS Composite-20 HPI y/y,5.1%,accurate,48,2016-11-29 14:00:00+00:00,-3.77,2016,4,11,Tuesday
107.1,USD,2016-11-29 10:00:00,101.3,better,High,CB Consumer Confidence,100.8,better,48,2016-11-29 15:00:00+00:00,5.73,2016,4,11,Tuesday
216K,USD,2016-11-30 08:15:00,161K,better,High,ADP Non-Farm Employment Change,119K,worse,48,2016-11-30 13:15:00+00:00,34.16,2016,4,11,Wednesday
0.1%,USD,2016-11-30 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.1%,accurate,48,2016-11-30 13:30:00+00:00,0.0,2016,4,11,Wednesday
0.3%,USD,2016-11-30 08:30:00,0.5%,worse,Medium,Personal Spending m/m,0.7%,better,48,2016-11-30 13:30:00+00:00,-40.0,2016,4,11,Wednesday
0.6%,USD,2016-11-30 08:30:00,0.4%,better,Low,Personal Income m/m,0.4%,better,48,2016-11-30 13:30:00+00:00,50.0,2016,4,11,Wednesday
57.6,USD,2016-11-30 09:45:00,52.1,better,Medium,Chicago PMI,50.6,accurate,48,2016-11-30 14:45:00+00:00,10.56,2016,4,11,Wednesday
0.1%,USD,2016-11-30 10:00:00,0.3%,worse,Medium,Pending Home Sales m/m,1.4%,accurate,48,2016-11-30 15:00:00+00:00,-66.67,2016,4,11,Wednesday
-0.9M,USD,2016-11-30 10:30:00,0.7M,accurate,High,Crude Oil Inventories,-1.3M,accurate,48,2016-11-30 15:30:00+00:00,-228.57,2016,4,11,Wednesday
268K,USD,2016-12-01 08:30:00,252K,worse,High,Unemployment Claims,251K,accurate,48,2016-12-01 13:30:00+00:00,6.35,2016,4,12,Thursday
54.1,USD,2016-12-01 09:45:00,53.9,accurate,Low,Final Manufacturing PMI,53.9,accurate,48,2016-12-01 14:45:00+00:00,0.37,2016,4,12,Thursday
53.2,USD,2016-12-01 10:00:00,52.1,better,High,ISM Manufacturing PMI,51.9,accurate,48,2016-12-01 15:00:00+00:00,2.11,2016,4,12,Thursday
0.5%,USD,2016-12-01 10:00:00,0.6%,accurate,Low,Construction Spending m/m,0.0%,better,48,2016-12-01 15:00:00+00:00,-16.67,2016,4,12,Thursday
54.5,USD,2016-12-01 10:00:00,52.0,better,Low,ISM Manufacturing Prices,54.5,accurate,48,2016-12-01 15:00:00+00:00,4.81,2016,4,12,Thursday
-50B,USD,2016-12-01 10:30:00,-52B,accurate,Low,Natural Gas Storage,-2B,accurate,48,2016-12-01 15:30:00+00:00,3.85,2016,4,12,Thursday
17.9M,USD,2016-12-01 00:00:00,17.9M,accurate,Low,Total Vehicle Sales,18.3M,accurate,48,2016-12-01 05:00:00+00:00,0.0,2016,4,12,Thursday
-0.1%,USD,2016-12-02 08:30:00,0.2%,worse,High,Average Hourly Earnings m/m,0.4%,accurate,48,2016-12-02 13:30:00+00:00,-150.0,2016,4,12,Friday
178K,USD,2016-12-02 08:30:00,177K,accurate,High,Non-Farm Employment Change,142K,worse,48,2016-12-02 13:30:00+00:00,0.56,2016,4,12,Friday
4.6%,USD,2016-12-02 08:30:00,4.9%,better,High,Unemployment Rate,4.9%,accurate,48,2016-12-02 13:30:00+00:00,-6.12,2016,4,12,Friday
4,USD,2016-11-22 09:59:00,1,better,Low,Richmond Manufacturing Index,-4,accurate,47,2016-11-22 14:59:00+00:00,300.0,2016,4,11,Tuesday
5.60M,USD,2016-11-22 10:00:00,5.43M,better,Medium,Existing Home Sales,5.49M,accurate,47,2016-11-22 15:00:00+00:00,3.13,2016,4,11,Tuesday
1.0%,USD,2016-11-23 08:30:00,0.2%,better,High,Core Durable Goods Orders m/m,0.1%,accurate,47,2016-11-23 13:30:00+00:00,400.0,2016,4,11,Wednesday
251K,USD,2016-11-23 08:30:00,241K,worse,High,Unemployment Claims,233K,accurate,47,2016-11-23 13:30:00+00:00,4.15,2016,4,11,Wednesday
4.8%,USD,2016-11-23 08:30:00,1.2%,better,Medium,Durable Goods Orders m/m,-0.3%,worse,47,2016-11-23 13:30:00+00:00,300.0,2016,4,11,Wednesday
0.6%,USD,2016-11-23 09:00:00,0.5%,better,Low,HPI m/m,0.7%,accurate,47,2016-11-23 14:00:00+00:00,20.0,2016,4,11,Wednesday
53.9,USD,2016-11-23 09:45:00,53.6,accurate,Low,Flash Manufacturing PMI,53.4,accurate,47,2016-11-23 14:45:00+00:00,0.56,2016,4,11,Wednesday
563K,USD,2016-11-23 10:00:00,591K,worse,Medium,New Home Sales,574K,worse,47,2016-11-23 15:00:00+00:00,-4.74,2016,4,11,Wednesday
93.8,USD,2016-11-23 10:00:00,91.6,better,Medium,Revised UoM Consumer Sentiment,91.6,accurate,47,2016-11-23 15:00:00+00:00,2.4,2016,4,11,Wednesday
-1.3M,USD,2016-11-23 10:30:00,0.3M,accurate,High,Crude Oil Inventories,5.3M,accurate,47,2016-11-23 15:30:00+00:00,-533.33,2016,4,11,Wednesday
-2B,USD,2016-11-23 12:00:00,7B,accurate,Low,Natural Gas Storage,30B,accurate,47,2016-11-23 17:00:00+00:00,-128.57,2016,4,11,Wednesday
-62.0B,USD,2016-11-25 08:30:00,-59.2B,worse,Low,Goods Trade Balance,-56.5B,accurate,47,2016-11-25 13:30:00+00:00,-4.73,2016,4,11,Friday
-0.4%,USD,2016-11-25 08:30:00,0.3%,better,Low,Prelim Wholesale Inventories m/m,0.2%,accurate,47,2016-11-25 13:30:00+00:00,-233.33,2016,4,11,Friday
54.7,USD,2016-11-25 09:45:00,54.9,accurate,Low,Flash Services PMI,54.8,accurate,47,2016-11-25 14:45:00+00:00,-0.36,2016,4,11,Friday
0.8%,USD,2016-11-15 08:30:00,0.5%,better,High,Core Retail Sales m/m,0.7%,better,46,2016-11-15 13:30:00+00:00,60.0,2016,4,11,Tuesday
0.8%,USD,2016-11-15 08:30:00,0.6%,better,High,Retail Sales m/m,1.0%,better,46,2016-11-15 13:30:00+00:00,33.33,2016,4,11,Tuesday
1.5,USD,2016-11-15 08:30:00,-1.5,better,Medium,Empire State Manufacturing Index,-6.8,accurate,46,2016-11-15 13:30:00+00:00,200.0,2016,4,11,Tuesday
0.5%,USD,2016-11-15 08:30:00,0.4%,accurate,Medium,Import Prices m/m,0.2%,accurate,46,2016-11-15 13:30:00+00:00,25.0,2016,4,11,Tuesday
0.1%,USD,2016-11-15 10:00:00,0.2%,better,Low,Business Inventories m/m,0.2%,accurate,46,2016-11-15 15:00:00+00:00,-50.0,2016,4,11,Tuesday
0.0%,USD,2016-11-16 08:30:00,0.3%,worse,High,PPI m/m,0.3%,accurate,46,2016-11-16 13:30:00+00:00,-100.0,2016,4,11,Wednesday
-0.2%,USD,2016-11-16 08:30:00,0.2%,worse,Medium,Core PPI m/m,0.2%,accurate,46,2016-11-16 13:30:00+00:00,-200.0,2016,4,11,Wednesday
75.3%,USD,2016-11-16 09:15:00,75.5%,worse,Medium,Capacity Utilization Rate,75.4%,accurate,46,2016-11-16 14:15:00+00:00,-0.26,2016,4,11,Wednesday
0.0%,USD,2016-11-16 09:15:00,0.2%,worse,Medium,Industrial Production m/m,-0.2%,worse,46,2016-11-16 14:15:00+00:00,-100.0,2016,4,11,Wednesday
63,USD,2016-11-16 10:00:00,63,accurate,Low,NAHB Housing Market Index,63,accurate,46,2016-11-16 15:00:00+00:00,0.0,2016,4,11,Wednesday
5.3M,USD,2016-11-16 10:30:00,0.4M,accurate,High,Crude Oil Inventories,2.4M,accurate,46,2016-11-16 15:30:00+00:00,1225.0,2016,4,11,Wednesday
-26.2B,USD,2016-11-16 16:00:00,32.9B,worse,Low,TIC Long-Term Purchases,45.5B,worse,46,2016-11-16 21:00:00+00:00,-179.64,2016,4,11,Wednesday
1.23M,USD,2016-11-17 08:30:00,1.19M,better,High,Building Permits,1.23M,accurate,46,2016-11-17 13:30:00+00:00,3.36,2016,4,11,Thursday
0.4%,USD,2016-11-17 08:30:00,0.4%,accurate,High,CPI m/m,0.3%,accurate,46,2016-11-17 13:30:00+00:00,0.0,2016,4,11,Thursday
0.1%,USD,2016-11-17 08:30:00,0.2%,worse,High,Core CPI m/m,0.1%,accurate,46,2016-11-17 13:30:00+00:00,-50.0,2016,4,11,Thursday
7.6,USD,2016-11-17 08:30:00,8.1,worse,High,Philly Fed Manufacturing Index,9.7,accurate,46,2016-11-17 13:30:00+00:00,-6.17,2016,4,11,Thursday
235K,USD,2016-11-17 08:30:00,257K,better,High,Unemployment Claims,254K,accurate,46,2016-11-17 13:30:00+00:00,-8.56,2016,4,11,Thursday
1.32M,USD,2016-11-17 08:30:00,1.16M,better,Medium,Housing Starts,1.05M,accurate,46,2016-11-17 13:30:00+00:00,13.79,2016,4,11,Thursday
30B,USD,2016-11-17 10:30:00,34B,accurate,Low,Natural Gas Storage,54B,accurate,46,2016-11-17 15:30:00+00:00,-11.76,2016,4,11,Thursday
0.1%,USD,2016-11-18 10:00:00,0.1%,accurate,Low,CB Leading Index m/m,0.2%,accurate,46,2016-11-18 15:00:00+00:00,0.0,2016,4,11,Friday
19.3B,USD,2016-11-07 15:00:00,17.6B,better,Low,Consumer Credit m/m,26.8B,better,45,2016-11-07 20:00:00+00:00,9.66,2016,4,11,Monday
94.9,USD,2016-11-08 06:00:00,94.6,accurate,Low,NFIB Small Business Index,94.1,accurate,45,2016-11-08 11:00:00+00:00,0.32,2016,4,11,Tuesday
5.49M,USD,2016-11-08 10:00:00,5.67M,worse,Medium,JOLTS Job Openings,5.45M,accurate,45,2016-11-08 15:00:00+00:00,-3.17,2016,4,11,Tuesday
0.1%,USD,2016-11-09 10:00:00,0.2%,better,Low,Final Wholesale Inventories m/m,0.2%,accurate,45,2016-11-09 15:00:00+00:00,-50.0,2016,4,11,Wednesday
2.4M,USD,2016-11-09 10:30:00,1.3M,accurate,High,Crude Oil Inventories,14.4M,accurate,45,2016-11-09 15:30:00+00:00,84.62,2016,4,11,Wednesday
254K,USD,2016-11-10 08:30:00,267K,better,High,Unemployment Claims,265K,accurate,45,2016-11-10 13:30:00+00:00,-4.87,2016,4,11,Thursday
54B,USD,2016-11-10 10:30:00,53B,accurate,Low,Natural Gas Storage,54B,accurate,45,2016-11-10 15:30:00+00:00,1.89,2016,4,11,Thursday
-44.2B,USD,2016-11-10 14:00:00,-81.9B,better,Low,Federal Budget Balance,33.4B,accurate,45,2016-11-10 19:00:00+00:00,46.03,2016,4,11,Thursday
91.6,USD,2016-11-11 10:00:00,87.4,better,High,Prelim UoM Consumer Sentiment,87.2,worse,45,2016-11-11 15:00:00+00:00,4.81,2016,4,11,Friday
0.1%,USD,2016-10-31 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.2%,accurate,44,2016-10-31 12:30:00+00:00,0.0,2016,4,10,Monday
0.5%,USD,2016-10-31 08:30:00,0.5%,accurate,Medium,Personal Spending m/m,-0.1%,worse,44,2016-10-31 12:30:00+00:00,0.0,2016,4,10,Monday
0.3%,USD,2016-10-31 08:30:00,0.3%,accurate,Low,Personal Income m/m,0.2%,accurate,44,2016-10-31 12:30:00+00:00,0.0,2016,4,10,Monday
50.6,USD,2016-10-31 09:45:00,54.1,worse,Medium,Chicago PMI,54.2,accurate,44,2016-10-31 13:45:00+00:00,-6.47,2016,4,10,Monday
53.4,USD,2016-11-01 09:45:00,53.3,accurate,Low,Final Manufacturing PMI,53.2,accurate,44,2016-11-01 13:45:00+00:00,0.19,2016,4,11,Tuesday
51.9,USD,2016-11-01 10:00:00,51.8,accurate,High,ISM Manufacturing PMI,51.5,accurate,44,2016-11-01 14:00:00+00:00,0.19,2016,4,11,Tuesday
-0.4%,USD,2016-11-01 10:00:00,0.5%,worse,Low,Construction Spending m/m,-0.5%,accurate,44,2016-11-01 14:00:00+00:00,-180.0,2016,4,11,Tuesday
51.4,USD,2016-11-01 10:00:00,48.7,better,Low,IBD/TIPP Economic Optimism,51.3,accurate,44,2016-11-01 14:00:00+00:00,5.54,2016,4,11,Tuesday
54.5,USD,2016-11-01 10:00:00,54.0,better,Low,ISM Manufacturing Prices,53.0,accurate,44,2016-11-01 14:00:00+00:00,0.93,2016,4,11,Tuesday
18.3M,USD,2016-11-01 01:00:00,17.5M,better,Low,Total Vehicle Sales,17.8M,accurate,44,2016-11-01 05:00:00+00:00,4.57,2016,4,11,Tuesday
147K,USD,2016-11-02 08:15:00,166K,worse,High,ADP Non-Farm Employment Change,202K,better,44,2016-11-02 12:15:00+00:00,-11.45,2016,4,11,Wednesday
14.4M,USD,2016-11-02 10:30:00,1.6M,accurate,High,Crude Oil Inventories,-0.6M,accurate,44,2016-11-02 14:30:00+00:00,800.0,2016,4,11,Wednesday
<0.50%,USD,2016-11-02 14:00:00,<0.50%,accurate,High,Federal Funds Rate,<0.50%,accurate,44,2016-11-02 18:00:00+00:00,0.0,2016,4,11,Wednesday
265K,USD,2016-11-03 08:30:00,257K,worse,High,Unemployment Claims,258K,accurate,44,2016-11-03 12:30:00+00:00,3.11,2016,4,11,Thursday
3.1%,USD,2016-11-03 08:30:00,1.7%,worse,Medium,Prelim Nonfarm Productivity q/q,-0.6%,accurate,44,2016-11-03 12:30:00+00:00,82.35,2016,4,11,Thursday
0.3%,USD,2016-11-03 08:30:00,1.6%,worse,Medium,Prelim Unit Labor Costs q/q,4.3%,better,44,2016-11-03 12:30:00+00:00,-81.25,2016,4,11,Thursday
54.8,USD,2016-11-03 09:45:00,54.8,accurate,Low,Final Services PMI,54.8,accurate,44,2016-11-03 13:45:00+00:00,0.0,2016,4,11,Thursday
54.8,USD,2016-11-03 10:00:00,56.2,worse,High,ISM Non-Manufacturing PMI,57.1,accurate,44,2016-11-03 14:00:00+00:00,-2.49,2016,4,11,Thursday
0.3%,USD,2016-11-03 10:00:00,0.2%,accurate,Medium,Factory Orders m/m,0.4%,better,44,2016-11-03 14:00:00+00:00,50.0,2016,4,11,Thursday
54B,USD,2016-11-03 10:30:00,55B,accurate,Low,Natural Gas Storage,73B,accurate,44,2016-11-03 14:30:00+00:00,-1.82,2016,4,11,Thursday
0.4%,USD,2016-11-04 08:30:00,0.3%,better,High,Average Hourly Earnings m/m,0.3%,better,44,2016-11-04 12:30:00+00:00,33.33,2016,4,11,Friday
161K,USD,2016-11-04 08:30:00,174K,worse,High,Non-Farm Employment Change,191K,better,44,2016-11-04 12:30:00+00:00,-7.47,2016,4,11,Friday
4.9%,USD,2016-11-04 08:30:00,4.9%,accurate,High,Unemployment Rate,5.0%,accurate,44,2016-11-04 12:30:00+00:00,0.0,2016,4,11,Friday
-36.4B,USD,2016-11-04 08:30:00,-37.5B,better,Medium,Trade Balance,-40.5B,accurate,44,2016-11-04 12:30:00+00:00,2.93,2016,4,11,Friday
53.2,USD,2016-10-24 09:45:00,51.6,better,Low,Flash Manufacturing PMI,51.5,accurate,43,2016-10-24 13:45:00+00:00,3.1,2016,4,10,Monday
0.7%,USD,2016-10-25 09:00:00,0.5%,better,Low,HPI m/m,0.5%,accurate,43,2016-10-25 13:00:00+00:00,40.0,2016,4,10,Tuesday
5.1%,USD,2016-10-25 09:00:00,5.1%,accurate,Low,S&P/CS Composite-20 HPI y/y,5.0%,accurate,43,2016-10-25 13:00:00+00:00,0.0,2016,4,10,Tuesday
-4,USD,2016-10-25 09:59:00,-5,better,Low,Richmond Manufacturing Index,-8,accurate,43,2016-10-25 13:59:00+00:00,20.0,2016,4,10,Tuesday
98.6,USD,2016-10-25 10:00:00,101.5,worse,High,CB Consumer Confidence,103.5,worse,43,2016-10-25 14:00:00+00:00,-2.86,2016,4,10,Tuesday
51.3,USD,2016-10-25 10:00:00,47.6,better,Low,IBD/TIPP Economic Optimism,46.7,accurate,43,2016-10-25 14:00:00+00:00,7.77,2016,4,10,Tuesday
-56.1B,USD,2016-10-26 08:30:00,-60.6B,better,Low,Goods Trade Balance,-59.2B,worse,43,2016-10-26 12:30:00+00:00,7.43,2016,4,10,Wednesday
0.2%,USD,2016-10-26 08:30:00,0.1%,worse,Low,Prelim Wholesale Inventories m/m,-0.2%,better,43,2016-10-26 12:30:00+00:00,100.0,2016,4,10,Wednesday
