actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
-2.9M,USD,2013-12-18 10:30:00,-2.4M,accurate,Medium,Crude Oil Inventories,-10.6M,accurate,51,2013-12-18 15:30:00+00:00,-20.83,2013,4,12,Wednesday
<0.25%,USD,2013-12-18 14:00:00,<0.25%,accurate,Medium,Federal Funds Rate,<0.25%,accurate,51,2013-12-18 19:00:00+00:00,0.0,2013,4,12,Wednesday
379K,USD,2013-12-19 08:30:00,336K,worse,High,Unemployment Claims,369K,accurate,51,2013-12-19 13:30:00+00:00,12.8,2013,4,12,Thursday
4.90M,USD,2013-12-19 10:00:00,5.04M,worse,High,Existing Home Sales,5.12M,accurate,51,2013-12-19 15:00:00+00:00,-2.78,2013,4,12,Thursday
7.0,USD,2013-12-19 10:00:00,10.3,worse,High,Philly Fed Manufacturing Index,6.5,accurate,51,2013-12-19 15:00:00+00:00,-32.04,2013,4,12,Thursday
0.8%,USD,2013-12-19 10:00:00,0.7%,better,Low,CB Leading Index m/m,0.1%,worse,51,2013-12-19 15:00:00+00:00,14.29,2013,4,12,Thursday
-285B,USD,2013-12-19 10:30:00,-260B,accurate,Low,Natural Gas Storage,-81B,accurate,51,2013-12-19 15:30:00+00:00,-9.62,2013,4,12,Thursday
4.1%,USD,2013-12-20 08:30:00,3.6%,better,Medium,Final GDP q/q,3.6%,accurate,51,2013-12-20 13:30:00+00:00,13.89,2013,4,12,Friday
2.0%,USD,2013-12-20 08:30:00,2.0%,accurate,Low,Final GDP Price Index q/q,2.0%,accurate,51,2013-12-20 13:30:00+00:00,0.0,2013,4,12,Friday
92.5,USD,2013-12-10 07:30:00,92.7,accurate,Low,NFIB Small Business Index,91.6,accurate,50,2013-12-10 12:30:00+00:00,-0.22,2013,4,12,Tuesday
3.93M,USD,2013-12-10 10:00:00,3.96M,accurate,Medium,JOLTS Job Openings,3.88M,accurate,50,2013-12-10 15:00:00+00:00,-0.76,2013,4,12,Tuesday
1.4%,USD,2013-12-10 10:00:00,0.3%,worse,Low,Final Wholesale Inventories m/m,0.5%,worse,50,2013-12-10 15:00:00+00:00,366.67,2013,4,12,Tuesday
-10.6M,USD,2013-12-11 10:30:00,-2.2M,accurate,Medium,Crude Oil Inventories,-5.6M,accurate,50,2013-12-11 15:30:00+00:00,-381.82,2013,4,12,Wednesday
-135.2B,USD,2013-12-11 13:59:00,-142.6B,better,Medium,Federal Budget Balance,-91.6B,accurate,50,2013-12-11 18:59:00+00:00,5.19,2013,4,12,Wednesday
0.4%,USD,2013-12-12 08:30:00,0.2%,better,High,Core Retail Sales m/m,0.5%,better,50,2013-12-12 13:30:00+00:00,100.0,2013,4,12,Thursday
0.7%,USD,2013-12-12 08:30:00,0.6%,better,High,Retail Sales m/m,0.6%,better,50,2013-12-12 13:30:00+00:00,16.67,2013,4,12,Thursday
368K,USD,2013-12-12 08:30:00,321K,worse,High,Unemployment Claims,300K,accurate,50,2013-12-12 13:30:00+00:00,14.64,2013,4,12,Thursday
-0.6%,USD,2013-12-12 08:30:00,-0.7%,accurate,Medium,Import Prices m/m,-0.6%,accurate,50,2013-12-12 13:30:00+00:00,14.29,2013,4,12,Thursday
0.7%,USD,2013-12-12 10:00:00,0.4%,worse,Medium,Business Inventories m/m,0.6%,accurate,50,2013-12-12 15:00:00+00:00,75.0,2013,4,12,Thursday
-81B,USD,2013-12-12 10:30:00,-85B,accurate,Low,Natural Gas Storage,-162B,accurate,50,2013-12-12 15:30:00+00:00,4.71,2013,4,12,Thursday
-0.1%,USD,2013-12-13 08:30:00,0.0%,worse,High,PPI m/m,-0.2%,accurate,50,2013-12-13 13:30:00+00:00,-100.0,2013,4,12,Friday
0.1%,USD,2013-12-13 08:30:00,0.1%,accurate,Medium,Core PPI m/m,0.2%,accurate,50,2013-12-13 13:30:00+00:00,0.0,2013,4,12,Friday
54.7,USD,2013-12-02 09:00:00,54.3,better,Low,Final Manufacturing PMI,54.3,accurate,49,2013-12-02 14:00:00+00:00,0.74,2013,4,12,Monday
-0.3%,USD,2013-12-02 00:00:00,0.5%,worse,Low,Construction Spending m/m,0.6%,accurate,49,2013-12-02 05:00:00+00:00,-160.0,2013,4,12,Monday
57.3,USD,2013-12-02 10:00:00,55.2,better,High,ISM Manufacturing PMI,56.4,accurate,49,2013-12-02 15:00:00+00:00,3.8,2013,4,12,Monday
0.8%,USD,2013-12-02 10:00:00,0.4%,better,Low,Construction Spending m/m,-0.3%,accurate,49,2013-12-02 15:00:00+00:00,100.0,2013,4,12,Monday
52.5,USD,2013-12-02 10:00:00,55.0,worse,Low,ISM Manufacturing Prices,55.5,accurate,49,2013-12-02 15:00:00+00:00,-4.55,2013,4,12,Monday
43.1,USD,2013-12-03 10:00:00,43.2,accurate,Low,IBD/TIPP Economic Optimism,41.4,accurate,49,2013-12-03 15:00:00+00:00,-0.23,2013,4,12,Tuesday
16.4M,USD,2013-12-03 00:00:00,15.8M,better,Low,Total Vehicle Sales,15.2M,accurate,49,2013-12-03 05:00:00+00:00,3.8,2013,4,12,Tuesday
215K,USD,2013-12-04 08:15:00,172K,better,High,ADP Non-Farm Employment Change,184K,better,49,2013-12-04 13:15:00+00:00,25.0,2013,4,12,Wednesday
-40.6B,USD,2013-12-04 08:30:00,-40.3B,accurate,High,Trade Balance,-43.0B,worse,49,2013-12-04 13:30:00+00:00,-0.74,2013,4,12,Wednesday
55.9,USD,2013-12-04 09:00:00,57.1,worse,Low,Final Services PMI,57.1,accurate,49,2013-12-04 14:00:00+00:00,-2.1,2013,4,12,Wednesday
354K,USD,2013-12-04 00:00:00,427K,worse,Low,New Home Sales,379K,worse,49,2013-12-04 05:00:00+00:00,-17.1,2013,4,12,Wednesday
53.9,USD,2013-12-04 10:00:00,55.4,worse,High,ISM Non-Manufacturing PMI,55.4,accurate,49,2013-12-04 15:00:00+00:00,-2.71,2013,4,12,Wednesday
444K,USD,2013-12-04 10:00:00,432K,better,High,New Home Sales,354K,accurate,49,2013-12-04 15:00:00+00:00,2.78,2013,4,12,Wednesday
-5.6M,USD,2013-12-04 10:30:00,-0.5M,accurate,Medium,Crude Oil Inventories,3.0M,accurate,49,2013-12-04 15:30:00+00:00,-1020.0,2013,4,12,Wednesday
3.6%,USD,2013-12-05 08:30:00,3.0%,better,High,Prelim GDP q/q,2.8%,accurate,49,2013-12-05 13:30:00+00:00,20.0,2013,4,12,Thursday
298K,USD,2013-12-05 08:30:00,328K,better,High,Unemployment Claims,321K,worse,49,2013-12-05 13:30:00+00:00,-9.15,2013,4,12,Thursday
2.0%,USD,2013-12-05 08:30:00,1.9%,accurate,Low,Prelim GDP Price Index q/q,1.9%,accurate,49,2013-12-05 13:30:00+00:00,5.26,2013,4,12,Thursday
-0.9%,USD,2013-12-05 10:00:00,-0.9%,accurate,Medium,Factory Orders m/m,1.8%,accurate,49,2013-12-05 15:00:00+00:00,0.0,2013,4,12,Thursday
-162B,USD,2013-12-05 10:30:00,-141B,accurate,Low,Natural Gas Storage,-13B,accurate,49,2013-12-05 15:30:00+00:00,-14.89,2013,4,12,Thursday
203K,USD,2013-12-06 08:30:00,180K,better,High,Non-Farm Employment Change,200K,accurate,49,2013-12-06 13:30:00+00:00,12.78,2013,4,12,Friday
7.0%,USD,2013-12-06 08:30:00,7.2%,better,High,Unemployment Rate,7.3%,accurate,49,2013-12-06 13:30:00+00:00,-2.78,2013,4,12,Friday
0.2%,USD,2013-12-06 08:30:00,0.2%,accurate,Medium,Average Hourly Earnings m/m,0.1%,accurate,49,2013-12-06 13:30:00+00:00,0.0,2013,4,12,Friday
0.1%,USD,2013-12-06 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.1%,accurate,49,2013-12-06 13:30:00+00:00,0.0,2013,4,12,Friday
0.3%,USD,2013-12-06 08:30:00,0.3%,accurate,Medium,Personal Spending m/m,0.2%,accurate,49,2013-12-06 13:30:00+00:00,0.0,2013,4,12,Friday
-0.1%,USD,2013-12-06 08:30:00,0.3%,worse,Low,Personal Income m/m,0.5%,accurate,49,2013-12-06 13:30:00+00:00,-133.33,2013,4,12,Friday
82.5,USD,2013-12-06 09:55:00,76.2,better,High,Prelim UoM Consumer Sentiment,75.1,better,49,2013-12-06 14:55:00+00:00,8.27,2013,4,12,Friday
18.2B,USD,2013-12-06 15:00:00,14.6B,better,Low,Consumer Credit m/m,16.3B,better,49,2013-12-06 20:00:00+00:00,24.66,2013,4,12,Friday
-0.6%,USD,2013-11-25 10:00:00,2.2%,worse,High,Pending Home Sales m/m,-4.6%,better,48,2013-11-25 15:00:00+00:00,-127.27,2013,4,11,Monday
0.97M,USD,2013-11-26 00:00:00,0.94M,better,Low,Building Permits,0.93M,accurate,48,2013-11-26 05:00:00+00:00,3.19,2013,4,11,Tuesday
1.03M,USD,2013-11-26 08:30:00,0.94M,better,High,Building Permits,0.97M,accurate,48,2013-11-26 13:30:00+00:00,9.57,2013,4,11,Tuesday
13.3%,USD,2013-11-26 09:00:00,13.0%,better,Medium,S&P/CS Composite-20 HPI y/y,12.8%,accurate,48,2013-11-26 14:00:00+00:00,2.31,2013,4,11,Tuesday
0.3%,USD,2013-11-26 09:00:00,0.5%,worse,Low,HPI m/m,0.4%,better,48,2013-11-26 14:00:00+00:00,-40.0,2013,4,11,Tuesday
13,USD,2013-11-26 09:59:00,3,better,Low,Richmond Manufacturing Index,1,accurate,48,2013-11-26 14:59:00+00:00,333.33,2013,4,11,Tuesday
70.4,USD,2013-11-26 10:00:00,72.2,worse,High,CB Consumer Confidence,72.4,better,48,2013-11-26 15:00:00+00:00,-2.49,2013,4,11,Tuesday
-0.1%,USD,2013-11-27 08:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,-0.2%,accurate,48,2013-11-27 13:30:00+00:00,-120.0,2013,4,11,Wednesday
316K,USD,2013-11-27 08:30:00,331K,better,High,Unemployment Claims,326K,accurate,48,2013-11-27 13:30:00+00:00,-4.53,2013,4,11,Wednesday
-2.0%,USD,2013-11-27 08:30:00,-1.5%,worse,Medium,Durable Goods Orders m/m,3.8%,accurate,48,2013-11-27 13:30:00+00:00,-33.33,2013,4,11,Wednesday
63.0,USD,2013-11-27 09:45:00,60.6,better,Medium,Chicago PMI,65.9,accurate,48,2013-11-27 14:45:00+00:00,3.96,2013,4,11,Wednesday
75.1,USD,2013-11-27 09:55:00,73.1,better,Medium,Revised UoM Consumer Sentiment,72.0,accurate,48,2013-11-27 14:55:00+00:00,2.74,2013,4,11,Wednesday
0.2%,USD,2013-11-27 10:00:00,0.1%,better,Low,CB Leading Index m/m,0.9%,better,48,2013-11-27 15:00:00+00:00,100.0,2013,4,11,Wednesday
3.0M,USD,2013-11-27 10:30:00,0.5M,accurate,Medium,Crude Oil Inventories,0.4M,accurate,48,2013-11-27 15:30:00+00:00,500.0,2013,4,11,Wednesday
-13B,USD,2013-11-27 12:00:00,-11B,accurate,Low,Natural Gas Storage,-45B,accurate,48,2013-11-27 17:00:00+00:00,-18.18,2013,4,11,Wednesday
25.5B,USD,2013-11-18 09:00:00,21.3B,better,Medium,TIC Long-Term Purchases,-9.8B,accurate,47,2013-11-18 14:00:00+00:00,19.72,2013,4,11,Monday
54,USD,2013-11-18 10:00:00,56,worse,Medium,NAHB Housing Market Index,54,worse,47,2013-11-18 15:00:00+00:00,-3.57,2013,4,11,Monday
0.4%,USD,2013-11-19 08:30:00,0.5%,worse,Medium,Employment Cost Index q/q,0.5%,accurate,47,2013-11-19 13:30:00+00:00,-20.0,2013,4,11,Tuesday
0.1%,USD,2013-11-20 08:30:00,0.1%,accurate,High,Core CPI m/m,0.1%,accurate,47,2013-11-20 13:30:00+00:00,0.0,2013,4,11,Wednesday
0.2%,USD,2013-11-20 08:30:00,0.1%,better,High,Core Retail Sales m/m,0.3%,worse,47,2013-11-20 13:30:00+00:00,100.0,2013,4,11,Wednesday
0.4%,USD,2013-11-20 08:30:00,0.1%,better,High,Retail Sales m/m,0.0%,better,47,2013-11-20 13:30:00+00:00,300.0,2013,4,11,Wednesday
-0.1%,USD,2013-11-20 08:30:00,0.0%,worse,Medium,CPI m/m,0.2%,accurate,47,2013-11-20 13:30:00+00:00,-100.0,2013,4,11,Wednesday
5.12M,USD,2013-11-20 10:00:00,5.17M,worse,High,Existing Home Sales,5.29M,accurate,47,2013-11-20 15:00:00+00:00,-0.97,2013,4,11,Wednesday
0.6%,USD,2013-11-20 10:00:00,0.3%,worse,Medium,Business Inventories m/m,0.4%,worse,47,2013-11-20 15:00:00+00:00,100.0,2013,4,11,Wednesday
0.4M,USD,2013-11-20 10:30:00,-0.2M,accurate,Medium,Crude Oil Inventories,2.6M,accurate,47,2013-11-20 15:30:00+00:00,300.0,2013,4,11,Wednesday
-0.2%,USD,2013-11-21 08:30:00,-0.2%,accurate,High,PPI m/m,-0.1%,accurate,47,2013-11-21 13:30:00+00:00,0.0,2013,4,11,Thursday
323K,USD,2013-11-21 08:30:00,333K,better,High,Unemployment Claims,344K,worse,47,2013-11-21 13:30:00+00:00,-3.0,2013,4,11,Thursday
0.2%,USD,2013-11-21 08:30:00,0.1%,better,Medium,Core PPI m/m,0.1%,accurate,47,2013-11-21 13:30:00+00:00,100.0,2013,4,11,Thursday
54.3,USD,2013-11-21 09:00:00,52.6,better,Medium,Flash Manufacturing PMI,51.8,better,47,2013-11-21 14:00:00+00:00,3.23,2013,4,11,Thursday
6.5,USD,2013-11-21 10:00:00,15.8,worse,High,Philly Fed Manufacturing Index,19.8,accurate,47,2013-11-21 15:00:00+00:00,-58.86,2013,4,11,Thursday
-45B,USD,2013-11-21 10:30:00,-34B,accurate,Low,Natural Gas Storage,20B,accurate,47,2013-11-21 15:30:00+00:00,-32.35,2013,4,11,Thursday
3.91M,USD,2013-11-22 10:00:00,3.89M,accurate,Medium,JOLTS Job Openings,3.84M,accurate,47,2013-11-22 15:00:00+00:00,0.51,2013,4,11,Friday
91.6,USD,2013-11-11 14:25:00,93.5,worse,Low,NFIB Small Business Index,93.9,accurate,46,2013-11-11 19:25:00+00:00,-2.03,2013,4,11,Monday
-91.6B,USD,2013-11-13 14:00:00,-104.3B,better,Medium,Federal Budget Balance,75.1B,accurate,46,2013-11-13 19:00:00+00:00,12.18,2013,4,11,Wednesday
-41.8B,USD,2013-11-14 08:30:00,-38.7B,worse,High,Trade Balance,-38.7B,accurate,46,2013-11-14 13:30:00+00:00,-8.01,2013,4,11,Thursday
339K,USD,2013-11-14 08:30:00,331K,worse,High,Unemployment Claims,341K,worse,46,2013-11-14 13:30:00+00:00,2.42,2013,4,11,Thursday
1.9%,USD,2013-11-14 08:30:00,1.3%,worse,Medium,Prelim Nonfarm Productivity q/q,2.3%,worse,46,2013-11-14 13:30:00+00:00,46.15,2013,4,11,Thursday
-0.6%,USD,2013-11-14 08:30:00,1.1%,worse,Medium,Prelim Unit Labor Costs q/q,0.0%,worse,46,2013-11-14 13:30:00+00:00,-154.55,2013,4,11,Thursday
20B,USD,2013-11-14 10:30:00,21B,accurate,Low,Natural Gas Storage,35B,accurate,46,2013-11-14 15:30:00+00:00,-4.76,2013,4,11,Thursday
2.6M,USD,2013-11-14 11:00:00,0.7M,accurate,Medium,Crude Oil Inventories,1.6M,accurate,46,2013-11-14 16:00:00+00:00,271.43,2013,4,11,Thursday
-2.2,USD,2013-11-15 08:30:00,5.2,worse,Medium,Empire State Manufacturing Index,1.5,accurate,46,2013-11-15 13:30:00+00:00,-142.31,2013,4,11,Friday
-0.7%,USD,2013-11-15 08:30:00,-0.4%,worse,Medium,Import Prices m/m,0.1%,accurate,46,2013-11-15 13:30:00+00:00,-75.0,2013,4,11,Friday
78.1%,USD,2013-11-15 09:15:00,78.3%,worse,Medium,Capacity Utilization Rate,78.3%,accurate,46,2013-11-15 14:15:00+00:00,-0.26,2013,4,11,Friday
-0.1%,USD,2013-11-15 09:15:00,0.1%,worse,Medium,Industrial Production m/m,0.7%,better,46,2013-11-15 14:15:00+00:00,-200.0,2013,4,11,Friday
0.4%,USD,2013-11-15 10:00:00,0.5%,better,Low,Final Wholesale Inventories m/m,0.8%,worse,46,2013-11-15 15:00:00+00:00,-20.0,2013,4,11,Friday
-0.1%,USD,2013-11-04 00:00:00,0.2%,worse,Low,Factory Orders m/m,-2.8%,worse,45,2013-11-04 05:00:00+00:00,-150.0,2013,4,11,Monday
1.7%,USD,2013-11-04 10:00:00,1.9%,worse,Medium,Factory Orders m/m,-0.1%,accurate,45,2013-11-04 15:00:00+00:00,-10.53,2013,4,11,Monday
55.4,USD,2013-11-05 10:00:00,54.2,better,High,ISM Non-Manufacturing PMI,54.4,accurate,45,2013-11-05 15:00:00+00:00,2.21,2013,4,11,Tuesday
41.4,USD,2013-11-05 10:00:00,41.1,accurate,Low,IBD/TIPP Economic Optimism,38.4,accurate,45,2013-11-05 15:00:00+00:00,0.73,2013,4,11,Tuesday
0.7%,USD,2013-11-06 10:00:00,0.7%,accurate,Low,CB Leading Index m/m,0.7%,accurate,45,2013-11-06 15:00:00+00:00,0.0,2013,4,11,Wednesday
1.6M,USD,2013-11-06 10:30:00,1.7M,accurate,Medium,Crude Oil Inventories,4.1M,accurate,45,2013-11-06 15:30:00+00:00,-5.88,2013,4,11,Wednesday
2.8%,USD,2013-11-07 08:30:00,2.0%,better,High,Advance GDP q/q,2.5%,better,45,2013-11-07 13:30:00+00:00,40.0,2013,4,11,Thursday
336K,USD,2013-11-07 08:30:00,336K,accurate,High,Unemployment Claims,345K,worse,45,2013-11-07 13:30:00+00:00,0.0,2013,4,11,Thursday
1.9%,USD,2013-11-07 08:30:00,1.5%,better,Medium,Advance GDP Price Index q/q,0.6%,accurate,45,2013-11-07 13:30:00+00:00,26.67,2013,4,11,Thursday
35B,USD,2013-11-07 10:30:00,40B,accurate,Low,Natural Gas Storage,38B,accurate,45,2013-11-07 15:30:00+00:00,-12.5,2013,4,11,Thursday
13.7B,USD,2013-11-07 15:00:00,13.0B,better,Low,Consumer Credit m/m,14.2B,better,45,2013-11-07 20:00:00+00:00,5.38,2013,4,11,Thursday
204K,USD,2013-11-08 08:30:00,121K,better,High,Non-Farm Employment Change,163K,better,45,2013-11-08 13:30:00+00:00,68.6,2013,4,11,Friday
7.3%,USD,2013-11-08 08:30:00,7.3%,accurate,High,Unemployment Rate,7.2%,accurate,45,2013-11-08 13:30:00+00:00,0.0,2013,4,11,Friday
0.1%,USD,2013-11-08 08:30:00,0.2%,worse,Medium,Average Hourly Earnings m/m,0.1%,accurate,45,2013-11-08 13:30:00+00:00,-50.0,2013,4,11,Friday
0.1%,USD,2013-11-08 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.1%,worse,45,2013-11-08 13:30:00+00:00,0.0,2013,4,11,Friday
0.2%,USD,2013-11-08 08:30:00,0.3%,worse,Medium,Personal Spending m/m,0.3%,accurate,45,2013-11-08 13:30:00+00:00,-33.33,2013,4,11,Friday
0.5%,USD,2013-11-08 08:30:00,0.3%,better,Low,Personal Income m/m,0.5%,better,45,2013-11-08 13:30:00+00:00,66.67,2013,4,11,Friday
72.0,USD,2013-11-08 09:55:00,74.6,worse,High,Prelim UoM Consumer Sentiment,73.2,worse,45,2013-11-08 14:55:00+00:00,-3.49,2013,4,11,Friday
78.3%,USD,2013-10-28 09:15:00,78.1%,better,Medium,Capacity Utilization Rate,77.9%,accurate,44,2013-10-28 13:15:00+00:00,0.26,2013,4,10,Monday
0.6%,USD,2013-10-28 09:15:00,0.5%,better,Medium,Industrial Production m/m,0.4%,accurate,44,2013-10-28 13:15:00+00:00,20.0,2013,4,10,Monday
-5.6%,USD,2013-10-28 10:00:00,0.5%,worse,High,Pending Home Sales m/m,-1.6%,accurate,44,2013-10-28 14:00:00+00:00,-1220.0,2013,4,10,Monday
0.4%,USD,2013-10-29 08:30:00,0.4%,accurate,High,Core Retail Sales m/m,0.1%,accurate,44,2013-10-29 12:30:00+00:00,0.0,2013,4,10,Tuesday
-0.1%,USD,2013-10-29 08:30:00,0.2%,worse,High,PPI m/m,0.3%,accurate,44,2013-10-29 12:30:00+00:00,-150.0,2013,4,10,Tuesday
-0.1%,USD,2013-10-29 08:30:00,0.2%,worse,High,Retail Sales m/m,0.2%,accurate,44,2013-10-29 12:30:00+00:00,-150.0,2013,4,10,Tuesday
0.1%,USD,2013-10-29 08:30:00,0.1%,accurate,Medium,Core PPI m/m,0.0%,accurate,44,2013-10-29 12:30:00+00:00,0.0,2013,4,10,Tuesday
12.8%,USD,2013-10-29 09:00:00,12.4%,better,Medium,S&P/CS Composite-20 HPI y/y,12.3%,accurate,44,2013-10-29 13:00:00+00:00,3.23,2013,4,10,Tuesday
71.2,USD,2013-10-29 10:00:00,75.2,worse,High,CB Consumer Confidence,80.2,better,44,2013-10-29 14:00:00+00:00,-5.32,2013,4,10,Tuesday
0.3%,USD,2013-10-29 10:00:00,0.3%,accurate,Low,Business Inventories m/m,0.4%,accurate,44,2013-10-29 14:00:00+00:00,0.0,2013,4,10,Tuesday
130K,USD,2013-10-30 08:15:00,151K,worse,High,ADP Non-Farm Employment Change,145K,worse,44,2013-10-30 12:15:00+00:00,-13.91,2013,4,10,Wednesday
0.1%,USD,2013-10-30 08:30:00,0.2%,worse,High,Core CPI m/m,0.1%,accurate,44,2013-10-30 12:30:00+00:00,-50.0,2013,4,10,Wednesday
0.2%,USD,2013-10-30 08:30:00,0.2%,accurate,Medium,CPI m/m,0.1%,accurate,44,2013-10-30 12:30:00+00:00,0.0,2013,4,10,Wednesday
4.1M,USD,2013-10-30 10:30:00,1.9M,accurate,Medium,Crude Oil Inventories,5.2M,accurate,44,2013-10-30 14:30:00+00:00,115.79,2013,4,10,Wednesday
<0.25%,USD,2013-10-30 14:00:00,<0.25%,accurate,Medium,Federal Funds Rate,<0.25%,accurate,44,2013-10-30 18:00:00+00:00,0.0,2013,4,10,Wednesday
75.1B,USD,2013-10-30 16:30:00,62.0B,better,Medium,Federal Budget Balance,-147.9B,accurate,44,2013-10-30 20:30:00+00:00,21.13,2013,4,10,Wednesday
340K,USD,2013-10-31 08:30:00,341K,accurate,High,Unemployment Claims,350K,accurate,44,2013-10-31 12:30:00+00:00,-0.29,2013,4,10,Thursday
