datetime_gmt,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,forecast_error_diff,year,quarter,month,weekday,volatility_60_0_before,pips_agg_60_0_before,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_0_90_after,pips_agg_0_90_after,volatility_0_120_after,pips_agg_0_120_after,volatility_0_150_after,pips_agg_0_150_after,volatility_0_180_after,pips_agg_0_180_after,volatility_0_210_after,pips_agg_0_210_after,volatility_0_240_after,pips_agg_0_240_after,open_released,high_released,low_released,close_released,high_0_5_after,low_0_5_after,close_0_5_after,volatility_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,high_5_10_after,low_5_10_after,close_5_10_after,volatility_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,high_10_15_after,low_10_15_after,close_10_15_after,volatility_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,high_15_20_after,low_15_20_after,close_15_20_after,volatility_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,high_20_25_after,low_20_25_after,close_20_25_after,volatility_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,high_25_30_after,low_25_30_after,close_25_30_after,volatility_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,previous_value,previous_error_diff,total_error_diff,forecast_error_diff_mean,forecast_error_diff_std,forecast_error_diff_zscore,forecast_error_diff_upper_quantile,forecast_error_diff_lower_quantile,forecast_error_diff_oulier_class,previous_error_diff_mean,previous_error_diff_std,previous_error_diff_zscore,previous_error_diff_upper_quantile,previous_error_diff_lower_quantile,previous_error_diff_oulier_class,total_error_diff_mean,total_error_diff_std,total_error_diff_zscore,total_error_diff_upper_quantile,total_error_diff_lower_quantile,total_error_diff_oulier_class
2017-12-01 15:00:00+00:00,1.4%,USD,2017-12-01 10:00:00,0.5%,better,Low,Construction Spending m/m,0.3%,accurate,48,0.9,2017,4,12,4,15,-11,25,10,25,4,83,52,84,57,84,44,84,44,84,42,84,31,11869,11869,11861,11861,11867,11859,11865,8,0,0,4,4,11866,11855,11856,11,0,0,-5,-9,11858,11851,11857,7,0,0,-4,1,11859,11853,11856,6,0,0,-5,-1,11862,11854,11861,8,0,0,0,5,11866,11859,11866,7,0,0,5,5,0.3%,0.0,0.9,-0.2799999999999997,1.0825894882179488,1.09,0.05,-1.1,0,-0.15999999999999961,0.35071355833500356,0.46,0.6499999999999999,-0.1,0,-0.4400000000000002,0.9343446901438464,1.43,0.35,-0.85,0
2018-01-03 15:00:00+00:00,0.8%,USD,2018-01-03 10:00:00,0.6%,accurate,Low,Construction Spending m/m,0.9%,worse,1,0.2,2018,1,1,2,24,-9,15,-7,22,3,22,3,29,11,29,13,29,9,29,6,29,8,12019,12020,12014,12018,12018,12006,12008,12,-1,-1,-10,-10,12011,12006,12008,5,0,-1,-10,0,12010,12006,12009,4,0,0,-9,1,12010,12006,12009,4,0,0,-9,0,12010,12005,12005,5,0,-1,-13,-4,12007,12003,12005,4,0,-1,-13,0,1.4%,-0.5,-0.3,0.10000000000000031,0.7382411530116699,0.14,0.1,-1.1,0,-0.3199999999999996,0.2588435821108956,-0.7,0.6499999999999999,-0.1,0,-0.2200000000000002,0.7661592523751184,-0.1,0.39999999999999997,-0.85,0
2018-02-01 15:00:00+00:00,0.7%,USD,2018-02-01 10:00:00,0.4%,better,Low,Construction Spending m/m,0.6%,accurate,5,0.3,2018,1,2,3,22,-6,39,23,43,24,54,34,58,38,67,48,67,40,67,39,67,49,12449,12449,12440,12442,12443,12431,12439,12,0,0,-3,-3,12451,12438,12451,13,1,0,9,12,12453,12447,12451,6,0,0,9,0,12450,12441,12447,9,0,0,5,-3,12453,12446,12450,7,0,0,8,3,12452,12447,12449,5,0,0,7,-1,0.8%,-0.2,0.09999999999999998,0.38000000000000034,0.3114482300479478,-0.26,0.1,-1.1,0,-0.3399999999999996,0.2408318915758458,0.58,0.6,-0.1,0,0.039999999999999855,0.5366563145999497,0.11,0.39999999999999997,-0.7,0
2018-03-01 15:00:00+00:00,0.0%,USD,2018-03-01 10:00:00,0.3%,worse,Low,Construction Spending m/m,0.8%,accurate,9,-0.3,2018,1,3,3,31,-14,51,30,51,14,51,18,67,44,67,37,67,36,67,28,67,23,12175,12177,12170,12172,12172,12159,12163,13,0,0,-9,-9,12165,12155,12163,10,0,0,-9,0,12169,12163,12169,6,0,0,-3,6,12177,12168,12172,9,0,0,0,3,12173,12166,12167,7,0,0,-5,-5,12181,12164,12175,17,0,0,3,8,0.7%,0.1,-0.19999999999999998,0.3000000000000003,0.43011626335213077,-1.39,0.1,-1.05,0,-0.19999999999999957,0.2549509756796392,1.18,0.6,-0.15000000000000002,0,0.09999999999999987,0.474341649025257,-0.63,0.35,-0.7,0
2018-04-02 14:00:00+00:00,0.1%,USD,2018-04-02 10:00:00,0.4%,worse,Low,Construction Spending m/m,0.0%,accurate,14,-0.3,2018,2,4,0,23,-11,20,10,24,-1,34,-18,52,-37,52,-31,52,-32,52,-31,52,-19,12320,12324,12320,12322,12322,12314,12316,8,0,0,-6,-6,12317,12314,12316,3,0,0,-6,0,12322,12316,12322,6,0,0,0,6,12325,12321,12324,4,0,0,2,2,12331,12324,12331,7,0,0,9,7,12331,12327,12328,4,0,0,6,-3,0.0%,0.0,-0.3,0.1600000000000003,0.4979959839195489,-0.92,0.1,-1.05,0,-0.11999999999999958,0.23874672772626637,0.5,0.6,-0.15000000000000002,0,0.03999999999999987,0.5079370039680119,-0.67,0.35,-0.7,0
2018-05-01 14:00:00+00:00,-1.7%,USD,2018-05-01 10:00:00,0.5%,worse,Low,Construction Spending m/m,1.0%,better,18,-2.2,2018,2,5,1,26,-16,37,-18,39,-27,39,-10,39,-9,39,-4,39,6,39,-6,39,-12,12011,12012,12005,12005,12020,12005,12020,15,0,1,15,9,12020,12012,12012,8,0,0,7,-8,12012,12001,12002,11,-1,0,-3,-10,12010,11994,12004,16,0,0,-1,3,12005,11992,11992,13,-1,-1,-13,-12,11996,11984,11992,12,0,-1,-13,0,0.1%,0.9,-1.3000000000000003,-0.4599999999999997,1.011434624679223,-1.72,0.1,-1.05,0,0.06000000000000043,0.5224940191045253,1.61,0.6,-0.15000000000000002,0,-0.4000000000000002,0.5291502622129184,-1.7,0.35,-0.7,0
2018-06-01 14:00:00+00:00,1.8%,USD,2018-06-01 10:00:00,0.8%,better,Low,Construction Spending m/m,-1.7%,accurate,22,1.0,2018,2,6,4,19,5,62,-13,62,-11,62,-1,64,7,64,0,64,-9,64,-7,64,-14,11676,11676,11670,11671,11677,11665,11676,12,0,0,5,5,11679,11668,11669,11,0,0,-2,-7,11670,11645,11648,25,-2,-2,-23,-21,11652,11617,11644,35,0,-2,-27,-3,11662,11644,11660,18,1,-1,-11,16,11667,11656,11657,11,0,-1,-14,-3,-1.7%,0.0,1.0,-0.2999999999999997,1.189537725337032,1.09,0.1,-1.1,0,0.16000000000000042,0.42778499272414877,-0.37,0.6,-0.1,0,-0.14000000000000018,0.8264381404557756,1.38,0.30000000000000004,-0.7,0
2018-07-02 14:00:00+00:00,0.4%,USD,2018-07-02 10:00:00,0.5%,accurate,Low,Construction Spending m/m,0.9%,worse,27,-0.1,2018,3,7,0,20,-8,13,4,23,10,32,-10,32,-2,32,-1,32,-2,32,-4,32,-3,11608,11610,11607,11608,11610,11602,11606,8,0,0,-2,-2,11607,11600,11606,7,0,0,-2,0,11608,11603,11605,5,0,0,-3,-1,11608,11603,11607,5,0,0,-1,3,11607,11603,11607,4,0,0,-1,0,11608,11602,11602,6,0,0,-6,-5,1.8%,-0.9,-1.0,-0.3799999999999997,1.1519548602267367,0.24,0.1,-1.05,0,0.020000000000000427,0.6379655163094633,-1.44,0.6,-0.1,0,-0.36000000000000015,0.8905054744357276,-0.72,0.35,-0.7,0
2018-08-01 14:00:00+00:00,-1.1%,USD,2018-08-01 10:00:00,0.3%,worse,Low,Construction Spending m/m,1.3%,better,31,-1.4,2018,3,8,2,16,-13,12,6,17,-8,21,-12,22,-11,26,-14,26,-11,29,-15,29,-10,11677,11680,11677,11678,11683,11677,11682,6,0,0,4,5,11686,11680,11681,6,0,0,3,-1,11681,11676,11678,5,0,0,0,-3,11680,11674,11678,6,0,0,0,0,11680,11678,11679,2,0,0,1,1,11681,11678,11680,3,0,0,2,1,0.4%,0.9,-0.4999999999999999,-0.5999999999999998,1.2349089035228473,-0.65,0.1,-1.05,0,0.18000000000000044,0.752994023880668,0.96,0.6,-0.15000000000000002,0,-0.4200000000000001,0.8871302046486752,-0.09,0.35,-0.85,0
2018-09-04 14:00:00+00:00,0.1%,USD,2018-09-04 10:00:00,0.5%,worse,Low,Construction Spending m/m,-0.8%,better,36,-0.4,2018,3,9,1,28,-19,14,-2,30,16,30,16,40,31,48,29,55,40,55,37,55,37,11548,11550,11544,11545,11544,11530,11533,14,0,-1,-12,-6,11541,11532,11539,9,0,0,-6,6,11540,11535,11536,5,0,0,-9,-3,11541,11535,11539,6,0,0,-6,3,11544,11539,11544,5,0,0,-1,5,11544,11539,11542,5,0,0,-3,-2,-1.1%,0.3,-0.10000000000000003,-0.6199999999999998,1.2296340919151523,0.18,0.1,-1.1,0,0.24000000000000044,0.7469939758793239,0.08,0.6499999999999999,-0.15000000000000002,0,-0.3800000000000001,0.8983317872590285,0.31,0.35,-0.85,0
