actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-0.6%,USD,2008-12-12 10:00:00,-0.3%,better,Medium,Business Inventories m/m,-0.4%,better,50,2008-12-12 15:00:00+00:00,100.0,2008,4,12,Friday
36.2,USD,2008-12-01 10:00:00,37.2,worse,High,ISM Manufacturing PMI,38.9,accurate,49,2008-12-01 15:00:00+00:00,2.69,2008,4,12,Monday
-1.2%,USD,2008-12-01 10:00:00,-0.9%,worse,Low,Construction Spending m/m,0.0%,better,49,2008-12-01 15:00:00+00:00,33.33,2008,4,12,Monday
25.5,USD,2008-12-01 10:00:00,33.0,worse,Low,ISM Manufacturing Prices,37.0,accurate,49,2008-12-01 15:00:00+00:00,22.73,2008,4,12,Monday
10.2M,USD,2008-12-02 00:00:00,10.5M,worse,Low,Total Vehicle Sales,10.6M,accurate,49,2008-12-02 05:00:00+00:00,2.86,2008,4,12,Tuesday
-250K,USD,2008-12-03 08:15:00,-200K,worse,High,ADP Non-Farm Employment Change,-179K,worse,49,2008-12-03 13:15:00+00:00,25.0,2008,4,12,Wednesday
1.3%,USD,2008-12-03 08:30:00,1.0%,worse,Medium,Revised Nonfarm Productivity q/q,1.1%,accurate,49,2008-12-03 13:30:00+00:00,-30.0,2008,4,12,Wednesday
2.8%,USD,2008-12-03 08:30:00,3.6%,worse,Low,Revised Unit Labor Costs q/q,3.6%,accurate,49,2008-12-03 13:30:00+00:00,22.22,2008,4,12,Wednesday
37.3,USD,2008-12-03 10:00:00,42.5,worse,High,ISM Non-Manufacturing PMI,44.4,accurate,49,2008-12-03 15:00:00+00:00,12.24,2008,4,12,Wednesday
-0.4M,USD,2008-12-03 10:35:00,1.8M,accurate,Medium,Crude Oil Inventories,7.3M,accurate,49,2008-12-03 15:35:00+00:00,122.22,2008,4,12,Wednesday
509K,USD,2008-12-04 08:30:00,540K,better,High,Unemployment Claims,530K,accurate,49,2008-12-04 13:30:00+00:00,5.74,2008,4,12,Thursday
-5.1%,USD,2008-12-04 10:00:00,-4.0%,worse,Medium,Factory Orders m/m,-3.1%,worse,49,2008-12-04 15:00:00+00:00,27.5,2008,4,12,Thursday
-64B,USD,2008-12-04 10:35:00,-69B,accurate,Low,Natural Gas Storage,-66B,accurate,49,2008-12-04 15:35:00+00:00,-7.25,2008,4,12,Thursday
-533K,USD,2008-12-05 08:30:00,-320K,worse,High,Non-Farm Employment Change,-320K,worse,49,2008-12-05 13:30:00+00:00,66.56,2008,4,12,Friday
6.7%,USD,2008-12-05 08:30:00,6.8%,better,High,Unemployment Rate,6.5%,accurate,49,2008-12-05 13:30:00+00:00,1.47,2008,4,12,Friday
0.4%,USD,2008-12-05 08:30:00,0.2%,better,Medium,Average Hourly Earnings m/m,0.3%,better,49,2008-12-05 13:30:00+00:00,-100.0,2008,4,12,Friday
-3.5B,USD,2008-12-05 15:00:00,2.0B,worse,Low,Consumer Credit m/m,6.7B,accurate,49,2008-12-05 20:00:00+00:00,275.0,2008,4,12,Friday
4.98M,USD,2008-11-24 10:00:00,5.02M,worse,High,Existing Home Sales,5.14M,worse,48,2008-11-24 15:00:00+00:00,0.8,2008,4,11,Monday
-0.5%,USD,2008-11-25 08:30:00,-0.5%,accurate,High,Prelim GDP q/q,-0.3%,accurate,48,2008-11-25 13:30:00+00:00,0.0,2008,4,11,Tuesday
4.2%,USD,2008-11-25 08:30:00,4.2%,accurate,Low,Prelim GDP Price Index q/q,4.2%,accurate,48,2008-11-25 13:30:00+00:00,0.0,2008,4,11,Tuesday
-17.4%,USD,2008-11-25 09:00:00,-17.0%,worse,Low,S&P/CS Composite-20 HPI y/y,-16.6%,accurate,48,2008-11-25 14:00:00+00:00,2.35,2008,4,11,Tuesday
44.9,USD,2008-11-25 10:00:00,38.0,better,High,CB Consumer Confidence,38.8,better,48,2008-11-25 15:00:00+00:00,-18.16,2008,4,11,Tuesday
-38,USD,2008-11-25 10:00:00,-26,worse,Low,Richmond Manufacturing Index,-26,accurate,48,2008-11-25 15:00:00+00:00,46.15,2008,4,11,Tuesday
-1.3%,USD,2008-11-25 10:38:00,-0.7%,worse,Low,HPI m/m,-0.8%,worse,48,2008-11-25 15:40:00+00:00,85.71,2008,4,11,Tuesday
-4.4%,USD,2008-11-26 08:30:00,-1.4%,worse,High,Core Durable Goods Orders m/m,-2.3%,worse,48,2008-11-26 13:30:00+00:00,214.29,2008,4,11,Wednesday
529K,USD,2008-11-26 08:30:00,534K,better,High,Unemployment Claims,543K,accurate,48,2008-11-26 13:30:00+00:00,0.94,2008,4,11,Wednesday
0.0%,USD,2008-11-26 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,accurate,48,2008-11-26 13:30:00+00:00,100.0,2008,4,11,Wednesday
