datetime_gmt,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,forecast_error_diff,year,quarter,month,weekday,volatility_60_0_before,pips_agg_60_0_before,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_0_90_after,pips_agg_0_90_after,volatility_0_120_after,pips_agg_0_120_after,volatility_0_150_after,pips_agg_0_150_after,volatility_0_180_after,pips_agg_0_180_after,volatility_0_210_after,pips_agg_0_210_after,volatility_0_240_after,pips_agg_0_240_after,open_released,high_released,low_released,close_released,high_0_5_after,low_0_5_after,close_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,high_5_10_after,low_5_10_after,close_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,high_10_15_after,low_10_15_after,close_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,high_15_20_after,low_15_20_after,close_15_20_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,high_20_25_after,low_20_25_after,close_20_25_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,high_25_30_after,low_25_30_after,close_25_30_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,previous_value,previous_error_diff,total_error_diff,forecast_error_diff_outlier_class,forecast_error_diff_deviation,previous_error_diff_outlier_class,previous_error_diff_deviation,total_error_diff_outlier_class,total_error_diff_deviation
2008-05-02 12:30:00+00:00,5.0%,USD,2008-05-02 08:30:00,5.2%,better,High,Unemployment Rate,5.1%,accurate,18,-0.2,2008,2,5,4,113,14,107,-60,107,-65,107,-59,107,-67,107,-56,107,-36,107,-35,107,-54,15475,15483,15466,15472,15467,15370,15389,97,-83,-78,15392,15360,15380,32,-92,-8,15403,15370,15397,33,-75,20,15407,15386,15390,21,-82,-11,15413,15388,15407,25,-65,14,15414,15394,15399,20,-73,-8,5.1%,0.0,-0.2,1,-1.75,0,0.0,1,-1.75
2008-06-06 12:30:00+00:00,5.5%,USD,2008-06-06 08:30:00,5.1%,worse,High,Unemployment Rate,5.0%,accurate,23,0.4,2008,2,6,4,112,13,104,70,104,71,104,77,111,99,139,123,154,144,154,132,154,139,15593,15603,15587,15598,15695,15596,15694,99,96,95,15700,15671,15675,29,77,-23,15678,15658,15663,20,65,-8,15672,15658,15662,14,64,-1,15674,15660,15667,14,69,-2,15684,15662,15669,22,71,0,5.0%,0.0,0.4,2,3.07,0,0.0,2,3.07
2008-07-03 12:30:00+00:00,5.5%,USD,2008-07-03 08:30:00,5.4%,worse,High,Unemployment Rate,5.5%,accurate,27,0.1,2008,3,7,3,59,-7,154,-143,160,-133,160,-127,170,-155,201,-175,201,-176,201,-185,215,-202,15880,15899,15877,15894,15894,15853,15853,41,-41,-35,15858,15793,15804,65,-90,-47,15818,15795,15815,23,-79,8,15824,15800,15803,24,-91,-14,15807,15740,15747,67,-147,-55,15774,15744,15768,30,-126,23,5.5%,0.0,0.1,0,0.77,0,0.0,0,0.77
2008-08-01 12:30:00+00:00,5.7%,USD,2008-08-01 08:30:00,5.6%,worse,High,Unemployment Rate,5.5%,accurate,31,0.1,2008,3,8,4,62,13,68,-49,68,-30,68,-22,75,-6,75,-24,75,-10,75,-18,75,-15,15578,15586,15572,15583,15582,15525,15533,57,-50,-48,15549,15514,15534,35,-49,0,15549,15525,15530,24,-53,-4,15545,15524,15538,21,-45,8,15541,15523,15533,18,-50,-5,15536,15524,15531,12,-52,-1,5.5%,0.0,0.1,0,0.66,0,0.0,0,0.66
2008-09-05 12:30:00+00:00,6.1%,USD,2008-09-05 08:30:00,5.7%,worse,High,Unemployment Rate,5.7%,accurate,36,0.4,2008,3,9,4,84,29,122,43,131,58,131,51,131,-1,131,-1,131,10,131,19,131,-13,14258,14268,14254,14262,14299,14215,14225,84,-37,-36,14287,14221,14272,66,10,48,14322,14260,14314,62,52,44,14337,14297,14321,40,59,6,14323,14299,14304,24,42,-16,14310,14275,14297,35,35,-7,5.7%,0.0,0.4,1,3.07,0,0.0,1,3.07
2008-10-03 12:30:00+00:00,6.1%,USD,2008-10-03 08:30:00,6.1%,accurate,High,Unemployment Rate,6.1%,accurate,40,0.0,2008,4,10,4,65,12,119,-74,164,-138,164,-102,164,-119,164,-44,164,-64,164,-34,164,-37,13844,13859,13843,13855,13866,13801,13824,65,-31,-34,13851,13821,13821,30,-34,-2,13836,13814,13822,22,-33,1,13822,13791,13794,31,-61,-28,13796,13775,13784,21,-71,-10,13794,13747,13747,47,-108,-37,6.1%,0.0,0.0,0,-0.22,0,0.0,0,-0.22
2008-11-07 13:30:00+00:00,6.5%,USD,2008-11-07 08:30:00,6.3%,worse,High,Unemployment Rate,6.1%,accurate,45,0.2,2008,4,11,4,50,-3,86,37,86,18,100,-35,103,31,104,13,104,-13,104,-13,104,-27,12773,12789,12769,12786,12790,12744,12764,46,-22,-20,12787,12761,12770,26,-16,5,12830,12768,12822,62,36,52,12825,12800,12820,25,34,-2,12825,12805,12821,20,35,1,12827,12779,12782,48,-4,-39,6.1%,0.0,0.2,1,1.22,0,0.0,1,1.22
2008-12-05 13:30:00+00:00,6.7%,USD,2008-12-05 08:30:00,6.8%,better,High,Unemployment Rate,6.5%,accurate,49,-0.1,2008,4,12,4,83,4,121,-37,121,16,121,-2,121,-20,121,-19,121,-42,121,-44,121,-31,12682,12695,12679,12690,12748,12668,12718,80,28,28,12730,12686,12706,44,16,-11,12708,12653,12661,55,-29,-45,12672,12635,12635,37,-55,-24,12654,12627,12653,27,-37,18,12671,12645,12666,26,-24,13,6.5%,0.0,-0.1,1,-0.66,0,0.0,1,-0.66
2007-02-02 13:30:00+00:00,0.2%,USD,2007-02-02 08:30:00,0.4%,worse,Medium,Average Hourly Earnings m/m,0.4%,worse,5,-0.2,2007,1,2,4,45,16,26,3,86,-64,87,-57,95,-71,95,-66,95,-71,105,-78,105,-73,13016,13036,13014,13031,13059,13035,13048,24,17,9,13061,13043,13043,18,12,-7,13053,13037,13040,16,9,-7,13049,13037,13038,12,7,-2,13043,13038,13042,5,11,2,13047,13038,13039,9,8,-3,0.4%,0.0,-0.2,0,-0.2,0,0.0,0,-0.2
2007-03-09 13:30:00+00:00,0.4%,USD,2007-03-09 08:30:00,0.3%,better,Medium,Average Hourly Earnings m/m,0.2%,accurate,10,0.1,2007,1,3,4,38,-3,60,-47,64,-47,65,-46,65,-39,65,-36,65,-30,65,-30,65,-38,13156,13158,13153,13155,13151,13120,13132,31,-23,-13,13130,13111,13112,19,-43,-17,13113,13106,13112,7,-43,1,13113,13097,13097,16,-58,-13,13101,13091,13098,10,-57,-2,13105,13097,13098,8,-57,0,0.2%,0.0,0.1,0,1.0,0,-0.0,0,1.0
