actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
3.5%,USD,2018-10-26 08:30:00,3.3%,better,High,Advance GDP q/q,4.2%,better,43,2018-10-26 12:30:00+00:00,-6.06,2018,4,10,Friday
1.7%,USD,2018-10-26 08:30:00,2.1%,worse,Medium,Advance GDP Price Index q/q,3.0%,accurate,43,2018-10-26 12:30:00+00:00,19.05,2018,4,10,Friday
98.6,USD,2018-10-26 10:00:00,98.9,accurate,Medium,Revised UoM Consumer Sentiment,99.0,accurate,43,2018-10-26 14:00:00+00:00,0.3,2018,4,10,Friday
-0.1%,USD,2018-10-15 08:30:00,0.4%,worse,High,Core Retail Sales m/m,0.2%,worse,42,2018-10-15 12:30:00+00:00,125.0,2018,4,10,Monday
0.1%,USD,2018-10-15 08:30:00,0.7%,worse,High,Retail Sales m/m,0.1%,accurate,42,2018-10-15 12:30:00+00:00,85.71,2018,4,10,Monday
21.1,USD,2018-10-15 08:30:00,20.4,better,Low,Empire State Manufacturing Index,19.0,accurate,42,2018-10-15 12:30:00+00:00,-3.43,2018,4,10,Monday
0.5%,USD,2018-10-15 10:00:00,0.5%,accurate,Low,Business Inventories m/m,0.7%,worse,42,2018-10-15 14:00:00+00:00,0.0,2018,4,10,Monday
119.1B,USD,2018-10-15 14:00:00,71.0B,better,Low,Federal Budget Balance,-214.1B,accurate,42,2018-10-15 18:00:00+00:00,-67.75,2018,4,10,Monday
78.1%,USD,2018-10-16 09:15:00,78.2%,accurate,Low,Capacity Utilization Rate,78.1%,accurate,42,2018-10-16 13:15:00+00:00,0.13,2018,4,10,Tuesday
0.3%,USD,2018-10-16 09:15:00,0.2%,better,Low,Industrial Production m/m,0.4%,accurate,42,2018-10-16 13:15:00+00:00,-50.0,2018,4,10,Tuesday
7.14M,USD,2018-10-16 10:00:00,6.90M,better,Low,JOLTS Job Openings,7.08M,better,42,2018-10-16 14:00:00+00:00,-3.48,2018,4,10,Tuesday
68,USD,2018-10-16 10:00:00,68,accurate,Low,NAHB Housing Market Index,67,accurate,42,2018-10-16 14:00:00+00:00,0.0,2018,4,10,Tuesday
131.8B,USD,2018-10-16 16:00:00,50.3B,better,Low,TIC Long-Term Purchases,66.7B,worse,42,2018-10-16 20:00:00+00:00,-162.03,2018,4,10,Tuesday
1.24M,USD,2018-10-17 08:30:00,1.27M,worse,Medium,Building Permits,1.25M,accurate,42,2018-10-17 12:30:00+00:00,2.36,2018,4,10,Wednesday
1.20M,USD,2018-10-17 08:30:00,1.22M,accurate,Medium,Housing Starts,1.27M,accurate,42,2018-10-17 12:30:00+00:00,1.64,2018,4,10,Wednesday
6.5M,USD,2018-10-17 10:30:00,1.6M,accurate,Medium,Crude Oil Inventories,6.0M,accurate,42,2018-10-17 14:30:00+00:00,-306.25,2018,4,10,Wednesday
22.2,USD,2018-10-18 08:30:00,19.7,better,Medium,Philly Fed Manufacturing Index,22.9,accurate,42,2018-10-18 12:30:00+00:00,-12.69,2018,4,10,Thursday
210K,USD,2018-10-18 08:30:00,211K,accurate,Low,Unemployment Claims,215K,accurate,42,2018-10-18 12:30:00+00:00,0.47,2018,4,10,Thursday
0.5%,USD,2018-10-18 10:00:00,0.5%,accurate,Low,CB Leading Index m/m,0.4%,accurate,42,2018-10-18 14:00:00+00:00,0.0,2018,4,10,Thursday
81B,USD,2018-10-18 10:30:00,85B,accurate,Low,Natural Gas Storage,90B,accurate,42,2018-10-18 14:30:00+00:00,4.71,2018,4,10,Thursday
5.15M,USD,2018-10-19 10:00:00,5.29M,worse,Low,Existing Home Sales,5.33M,accurate,42,2018-10-19 14:00:00+00:00,2.65,2018,4,10,Friday
107.9,USD,2018-10-09 05:40:00,108.9,worse,Low,NFIB Small Business Index,108.8,accurate,41,2018-10-09 09:40:00+00:00,0.92,2018,4,10,Tuesday
57.8,USD,2018-10-09 10:05:00,54.6,better,Low,IBD/TIPP Economic Optimism,55.7,accurate,41,2018-10-09 14:05:00+00:00,-5.86,2018,4,10,Tuesday
0.2%,USD,2018-10-10 08:30:00,0.2%,accurate,High,PPI m/m,-0.1%,accurate,41,2018-10-10 12:30:00+00:00,0.0,2018,4,10,Wednesday
0.2%,USD,2018-10-10 08:30:00,0.2%,accurate,Medium,Core PPI m/m,-0.1%,accurate,41,2018-10-10 12:30:00+00:00,0.0,2018,4,10,Wednesday
1.0%,USD,2018-10-10 10:00:00,0.8%,worse,Low,Final Wholesale Inventories m/m,0.8%,accurate,41,2018-10-10 14:00:00+00:00,-25.0,2018,4,10,Wednesday
0.1%,USD,2018-10-11 08:30:00,0.2%,worse,High,CPI m/m,0.2%,accurate,41,2018-10-11 12:30:00+00:00,50.0,2018,4,10,Thursday
0.1%,USD,2018-10-11 08:30:00,0.2%,worse,High,Core CPI m/m,0.1%,accurate,41,2018-10-11 12:30:00+00:00,50.0,2018,4,10,Thursday
214K,USD,2018-10-11 08:30:00,207K,worse,Low,Unemployment Claims,207K,accurate,41,2018-10-11 12:30:00+00:00,-3.38,2018,4,10,Thursday
90B,USD,2018-10-11 10:30:00,87B,accurate,Low,Natural Gas Storage,98B,accurate,41,2018-10-11 14:30:00+00:00,-3.45,2018,4,10,Thursday
6.0M,USD,2018-10-11 11:00:00,2.3M,accurate,Medium,Crude Oil Inventories,8.0M,accurate,41,2018-10-11 15:00:00+00:00,-160.87,2018,4,10,Thursday
0.5%,USD,2018-10-12 08:30:00,0.3%,better,Low,Import Prices m/m,-0.4%,better,41,2018-10-12 12:30:00+00:00,-66.67,2018,4,10,Friday
99.0,USD,2018-10-12 10:00:00,100.4,worse,Medium,Prelim UoM Consumer Sentiment,100.1,worse,41,2018-10-12 14:00:00+00:00,1.39,2018,4,10,Friday
55.6,USD,2018-10-01 09:45:00,55.6,accurate,Low,Final Manufacturing PMI,55.6,accurate,40,2018-10-01 13:45:00+00:00,0.0,2018,4,10,Monday
59.8,USD,2018-10-01 10:00:00,60.1,accurate,High,ISM Manufacturing PMI,61.3,accurate,40,2018-10-01 14:00:00+00:00,0.5,2018,4,10,Monday
0.1%,USD,2018-10-01 10:00:00,0.5%,worse,Low,Construction Spending m/m,0.2%,accurate,40,2018-10-01 14:00:00+00:00,80.0,2018,4,10,Monday
66.9,USD,2018-10-01 10:00:00,72.0,worse,Low,ISM Manufacturing Prices,72.1,accurate,40,2018-10-01 14:00:00+00:00,7.08,2018,4,10,Monday
17.4M,USD,2018-10-02 01:00:00,16.8M,better,Low,Total Vehicle Sales,16.7M,accurate,40,2018-10-02 05:00:00+00:00,-3.57,2018,4,10,Tuesday
230K,USD,2018-10-03 08:15:00,185K,better,Medium,ADP Non-Farm Employment Change,168K,accurate,40,2018-10-03 12:15:00+00:00,-24.32,2018,4,10,Wednesday
53.5,USD,2018-10-03 09:45:00,52.9,better,Low,Final Services PMI,52.9,accurate,40,2018-10-03 13:45:00+00:00,-1.13,2018,4,10,Wednesday
61.6,USD,2018-10-03 10:00:00,58.0,better,High,ISM Non-Manufacturing PMI,58.5,accurate,40,2018-10-03 14:00:00+00:00,-6.21,2018,4,10,Wednesday
8.0M,USD,2018-10-03 10:30:00,1.1M,accurate,Medium,Crude Oil Inventories,1.9M,accurate,40,2018-10-03 14:30:00+00:00,-627.27,2018,4,10,Wednesday
207K,USD,2018-10-04 08:30:00,214K,better,Low,Unemployment Claims,215K,accurate,40,2018-10-04 12:30:00+00:00,3.27,2018,4,10,Thursday
2.3%,USD,2018-10-04 10:00:00,2.2%,accurate,Low,Factory Orders m/m,-0.5%,better,40,2018-10-04 14:00:00+00:00,-4.55,2018,4,10,Thursday
98B,USD,2018-10-04 10:30:00,47B,accurate,Low,Natural Gas Storage,46B,accurate,40,2018-10-04 14:30:00+00:00,-108.51,2018,4,10,Thursday
0.3%,USD,2018-10-05 08:30:00,0.3%,accurate,High,Average Hourly Earnings m/m,0.3%,worse,40,2018-10-05 12:30:00+00:00,0.0,2018,4,10,Friday
134K,USD,2018-10-05 08:30:00,185K,worse,High,Non-Farm Employment Change,270K,better,40,2018-10-05 12:30:00+00:00,27.57,2018,4,10,Friday
3.7%,USD,2018-10-05 08:30:00,3.8%,better,High,Unemployment Rate,3.9%,accurate,40,2018-10-05 12:30:00+00:00,2.63,2018,4,10,Friday
-53.2B,USD,2018-10-05 08:30:00,-53.4B,accurate,Low,Trade Balance,-50.0B,accurate,40,2018-10-05 12:30:00+00:00,-0.37,2018,4,10,Friday
20.1B,USD,2018-10-05 15:00:00,14.9B,better,Low,Consumer Credit m/m,16.6B,accurate,40,2018-10-05 19:00:00+00:00,-34.9,2018,4,10,Friday
0.2%,USD,2018-09-25 09:00:00,0.2%,accurate,Low,HPI m/m,0.3%,better,39,2018-09-25 13:00:00+00:00,0.0,2018,3,9,Tuesday
5.9%,USD,2018-09-25 09:00:00,6.2%,worse,Low,S&P/CS Composite-20 HPI y/y,6.4%,accurate,39,2018-09-25 13:00:00+00:00,4.84,2018,3,9,Tuesday
138.4,USD,2018-09-25 10:00:00,132.2,better,High,CB Consumer Confidence,134.7,better,39,2018-09-25 14:00:00+00:00,-4.69,2018,3,9,Tuesday
29,USD,2018-09-25 10:00:00,22,better,Low,Richmond Manufacturing Index,24,accurate,39,2018-09-25 14:00:00+00:00,-31.82,2018,3,9,Tuesday
629K,USD,2018-09-26 10:00:00,630K,accurate,Low,New Home Sales,608K,worse,39,2018-09-26 14:00:00+00:00,0.16,2018,3,9,Wednesday
1.9M,USD,2018-09-26 10:30:00,-0.7M,accurate,High,Crude Oil Inventories,-2.1M,accurate,39,2018-09-26 14:30:00+00:00,-371.43,2018,3,9,Wednesday
<2.25%,USD,2018-09-26 14:00:00,<2.25%,accurate,High,Federal Funds Rate,<2.00%,accurate,39,2018-09-26 18:00:00+00:00,0.0,2018,3,9,Wednesday
0.1%,USD,2018-09-27 08:30:00,0.4%,worse,High,Core Durable Goods Orders m/m,0.1%,accurate,39,2018-09-27 12:30:00+00:00,75.0,2018,3,9,Thursday
4.2%,USD,2018-09-27 08:30:00,4.2%,accurate,High,Final GDP q/q,4.2%,accurate,39,2018-09-27 12:30:00+00:00,0.0,2018,3,9,Thursday
4.5%,USD,2018-09-27 08:30:00,1.9%,better,Medium,Durable Goods Orders m/m,-1.2%,better,39,2018-09-27 12:30:00+00:00,-136.84,2018,3,9,Thursday
3.0%,USD,2018-09-27 08:30:00,3.0%,accurate,Low,Final GDP Price Index q/q,3.0%,accurate,39,2018-09-27 12:30:00+00:00,0.0,2018,3,9,Thursday
-75.8B,USD,2018-09-27 08:30:00,-70.6B,worse,Low,Goods Trade Balance,-72.0B,accurate,39,2018-09-27 12:30:00+00:00,7.37,2018,3,9,Thursday
0.8%,USD,2018-09-27 08:30:00,0.3%,worse,Low,Prelim Wholesale Inventories m/m,0.6%,better,39,2018-09-27 12:30:00+00:00,-166.67,2018,3,9,Thursday
214K,USD,2018-09-27 08:30:00,208K,worse,Low,Unemployment Claims,202K,accurate,39,2018-09-27 12:30:00+00:00,-2.88,2018,3,9,Thursday
-1.8%,USD,2018-09-27 10:00:00,-0.2%,worse,Low,Pending Home Sales m/m,-0.8%,accurate,39,2018-09-27 14:00:00+00:00,800.0,2018,3,9,Thursday
46B,USD,2018-09-27 10:30:00,64B,accurate,Low,Natural Gas Storage,86B,accurate,39,2018-09-27 14:30:00+00:00,28.12,2018,3,9,Thursday
0.0%,USD,2018-09-28 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,accurate,39,2018-09-28 12:30:00+00:00,100.0,2018,3,9,Friday
0.3%,USD,2018-09-28 08:30:00,0.3%,accurate,Medium,Personal Spending m/m,0.4%,accurate,39,2018-09-28 12:30:00+00:00,0.0,2018,3,9,Friday
0.3%,USD,2018-09-28 08:30:00,0.4%,worse,Low,Personal Income m/m,0.3%,accurate,39,2018-09-28 12:30:00+00:00,25.0,2018,3,9,Friday
60.4,USD,2018-09-28 09:45:00,62.3,worse,Medium,Chicago PMI,63.6,accurate,39,2018-09-28 13:45:00+00:00,3.05,2018,3,9,Friday
100.1,USD,2018-09-28 10:00:00,100.5,accurate,Medium,Revised UoM Consumer Sentiment,100.8,accurate,39,2018-09-28 14:00:00+00:00,0.4,2018,3,9,Friday
19.0,USD,2018-09-17 08:30:00,23.2,worse,Medium,Empire State Manufacturing Index,25.6,accurate,38,2018-09-17 12:30:00+00:00,18.1,2018,3,9,Monday
67,USD,2018-09-18 10:00:00,66,better,Low,NAHB Housing Market Index,67,accurate,38,2018-09-18 14:00:00+00:00,-1.52,2018,3,9,Tuesday
74.8B,USD,2018-09-18 16:00:00,65.1B,better,Low,TIC Long-Term Purchases,-36.5B,accurate,38,2018-09-18 20:00:00+00:00,-14.9,2018,3,9,Tuesday
1.23M,USD,2018-09-19 08:30:00,1.31M,worse,Medium,Building Permits,1.30M,accurate,38,2018-09-19 12:30:00+00:00,6.11,2018,3,9,Wednesday
1.28M,USD,2018-09-19 08:30:00,1.24M,better,Medium,Housing Starts,1.17M,accurate,38,2018-09-19 12:30:00+00:00,-3.23,2018,3,9,Wednesday
-101B,USD,2018-09-19 08:30:00,-104B,better,Low,Current Account,-122B,accurate,38,2018-09-19 12:30:00+00:00,-2.88,2018,3,9,Wednesday
-2.1M,USD,2018-09-19 10:30:00,-2.7M,accurate,High,Crude Oil Inventories,-5.3M,accurate,38,2018-09-19 14:30:00+00:00,-22.22,2018,3,9,Wednesday
22.9,USD,2018-09-20 08:30:00,17.5,better,Medium,Philly Fed Manufacturing Index,11.9,accurate,38,2018-09-20 12:30:00+00:00,-30.86,2018,3,9,Thursday
201K,USD,2018-09-20 08:30:00,210K,better,Low,Unemployment Claims,204K,accurate,38,2018-09-20 12:30:00+00:00,4.29,2018,3,9,Thursday
0.4%,USD,2018-09-20 10:00:00,0.5%,worse,Low,CB Leading Index m/m,0.7%,better,38,2018-09-20 14:00:00+00:00,20.0,2018,3,9,Thursday
5.34M,USD,2018-09-20 10:00:00,5.36M,accurate,Low,Existing Home Sales,5.34M,accurate,38,2018-09-20 14:00:00+00:00,0.37,2018,3,9,Thursday
86B,USD,2018-09-20 10:30:00,81B,accurate,Low,Natural Gas Storage,69B,accurate,38,2018-09-20 14:30:00+00:00,-6.17,2018,3,9,Thursday
55.6,USD,2018-09-21 09:45:00,55.1,better,Low,Flash Manufacturing PMI,54.7,accurate,38,2018-09-21 13:45:00+00:00,-0.91,2018,3,9,Friday
52.9,USD,2018-09-21 09:45:00,54.9,worse,Low,Flash Services PMI,54.8,worse,38,2018-09-21 13:45:00+00:00,3.64,2018,3,9,Friday
16.6B,USD,2018-09-10 15:00:00,14.5B,better,Low,Consumer Credit m/m,8.5B,worse,37,2018-09-10 19:00:00+00:00,-14.48,2018,3,9,Monday
108.8,USD,2018-09-11 05:51:00,108.1,accurate,Low,NFIB Small Business Index,107.9,accurate,37,2018-09-11 09:50:00+00:00,-0.65,2018,3,9,Tuesday
0.6%,USD,2018-09-11 10:00:00,0.7%,better,Low,Final Wholesale Inventories m/m,0.7%,accurate,37,2018-09-11 14:00:00+00:00,14.29,2018,3,9,Tuesday
6.94M,USD,2018-09-11 10:00:00,6.68M,better,Low,JOLTS Job Openings,6.82M,better,37,2018-09-11 14:00:00+00:00,-3.89,2018,3,9,Tuesday
-0.1%,USD,2018-09-12 08:30:00,0.2%,worse,High,PPI m/m,0.0%,accurate,37,2018-09-12 12:30:00+00:00,150.0,2018,3,9,Wednesday
-0.1%,USD,2018-09-12 08:30:00,0.2%,worse,Medium,Core PPI m/m,0.1%,accurate,37,2018-09-12 12:30:00+00:00,150.0,2018,3,9,Wednesday
-5.3M,USD,2018-09-12 10:30:00,-1.3M,accurate,High,Crude Oil Inventories,-4.3M,accurate,37,2018-09-12 14:30:00+00:00,307.69,2018,3,9,Wednesday
0.2%,USD,2018-09-13 08:30:00,0.3%,worse,High,CPI m/m,0.2%,accurate,37,2018-09-13 12:30:00+00:00,33.33,2018,3,9,Thursday
0.1%,USD,2018-09-13 08:30:00,0.2%,worse,High,Core CPI m/m,0.2%,accurate,37,2018-09-13 12:30:00+00:00,50.0,2018,3,9,Thursday
204K,USD,2018-09-13 08:30:00,210K,better,Low,Unemployment Claims,205K,accurate,37,2018-09-13 12:30:00+00:00,2.86,2018,3,9,Thursday
69B,USD,2018-09-13 10:30:00,65B,accurate,Low,Natural Gas Storage,63B,accurate,37,2018-09-13 14:30:00+00:00,-6.15,2018,3,9,Thursday
-214.1B,USD,2018-09-13 14:00:00,-169.8B,worse,Low,Federal Budget Balance,-76.9B,accurate,37,2018-09-13 18:00:00+00:00,26.09,2018,3,9,Thursday
0.3%,USD,2018-09-14 08:30:00,0.5%,worse,High,Core Retail Sales m/m,0.9%,better,37,2018-09-14 12:30:00+00:00,40.0,2018,3,9,Friday
0.1%,USD,2018-09-14 08:30:00,0.4%,worse,High,Retail Sales m/m,0.7%,better,37,2018-09-14 12:30:00+00:00,75.0,2018,3,9,Friday
-0.6%,USD,2018-09-14 08:30:00,-0.2%,worse,Low,Import Prices m/m,-0.1%,accurate,37,2018-09-14 12:30:00+00:00,200.0,2018,3,9,Friday
78.1%,USD,2018-09-14 09:15:00,78.3%,worse,Low,Capacity Utilization Rate,77.9%,worse,37,2018-09-14 13:15:00+00:00,0.26,2018,3,9,Friday
0.4%,USD,2018-09-14 09:15:00,0.3%,better,Low,Industrial Production m/m,0.4%,better,37,2018-09-14 13:15:00+00:00,-33.33,2018,3,9,Friday
100.8,USD,2018-09-14 10:00:00,96.7,better,Medium,Prelim UoM Consumer Sentiment,96.2,better,37,2018-09-14 14:00:00+00:00,-4.24,2018,3,9,Friday
0.6%,USD,2018-09-14 10:00:00,0.5%,worse,Low,Business Inventories m/m,0.1%,accurate,37,2018-09-14 14:00:00+00:00,-20.0,2018,3,9,Friday
54.7,USD,2018-09-04 09:45:00,54.5,accurate,Low,Final Manufacturing PMI,54.5,accurate,36,2018-09-04 13:45:00+00:00,-0.37,2018,3,9,Tuesday
61.3,USD,2018-09-04 10:00:00,57.6,better,High,ISM Manufacturing PMI,58.1,accurate,36,2018-09-04 14:00:00+00:00,-6.42,2018,3,9,Tuesday
0.1%,USD,2018-09-04 10:00:00,0.5%,worse,Low,Construction Spending m/m,-0.8%,better,36,2018-09-04 14:00:00+00:00,80.0,2018,3,9,Tuesday
72.1,USD,2018-09-04 10:00:00,74.0,worse,Low,ISM Manufacturing Prices,73.2,accurate,36,2018-09-04 14:00:00+00:00,2.57,2018,3,9,Tuesday
55.7,USD,2018-09-04 10:02:00,57.2,worse,Low,IBD/TIPP Economic Optimism,58.0,accurate,36,2018-09-04 14:00:00+00:00,2.62,2018,3,9,Tuesday
16.7M,USD,2018-09-04 01:00:00,16.7M,accurate,Low,Total Vehicle Sales,16.8M,accurate,36,2018-09-04 05:00:00+00:00,0.0,2018,3,9,Tuesday
-50.1B,USD,2018-09-05 08:30:00,-50.2B,accurate,Low,Trade Balance,-45.7B,accurate,36,2018-09-05 12:30:00+00:00,-0.2,2018,3,9,Wednesday
163K,USD,2018-09-06 08:15:00,195K,worse,High,ADP Non-Farm Employment Change,217K,accurate,36,2018-09-06 12:15:00+00:00,16.41,2018,3,9,Thursday
2.9%,USD,2018-09-06 08:30:00,2.9%,accurate,Low,Revised Nonfarm Productivity q/q,2.9%,accurate,36,2018-09-06 12:30:00+00:00,0.0,2018,3,9,Thursday
-1.0%,USD,2018-09-06 08:30:00,-0.9%,accurate,Low,Revised Unit Labor Costs q/q,-0.9%,accurate,36,2018-09-06 12:30:00+00:00,11.11,2018,3,9,Thursday
203K,USD,2018-09-06 08:30:00,214K,better,Low,Unemployment Claims,213K,accurate,36,2018-09-06 12:30:00+00:00,5.14,2018,3,9,Thursday
54.8,USD,2018-09-06 09:45:00,55.2,worse,Low,Final Services PMI,55.2,accurate,36,2018-09-06 13:45:00+00:00,0.72,2018,3,9,Thursday
58.5,USD,2018-09-06 10:00:00,56.8,better,High,ISM Non-Manufacturing PMI,55.7,accurate,36,2018-09-06 14:00:00+00:00,-2.99,2018,3,9,Thursday
-0.8%,USD,2018-09-06 10:00:00,-0.5%,worse,Low,Factory Orders m/m,0.6%,accurate,36,2018-09-06 14:00:00+00:00,60.0,2018,3,9,Thursday
63B,USD,2018-09-06 10:30:00,60B,accurate,Low,Natural Gas Storage,70B,accurate,36,2018-09-06 14:30:00+00:00,-5.0,2018,3,9,Thursday
-4.3M,USD,2018-09-06 11:00:00,-2.2M,accurate,High,Crude Oil Inventories,-2.6M,accurate,36,2018-09-06 15:00:00+00:00,95.45,2018,3,9,Thursday
0.4%,USD,2018-09-07 08:30:00,0.2%,better,High,Average Hourly Earnings m/m,0.3%,accurate,36,2018-09-07 12:30:00+00:00,-100.0,2018,3,9,Friday
201K,USD,2018-09-07 08:30:00,191K,better,High,Non-Farm Employment Change,147K,worse,36,2018-09-07 12:30:00+00:00,-5.24,2018,3,9,Friday
3.9%,USD,2018-09-07 08:30:00,3.8%,worse,High,Unemployment Rate,3.9%,accurate,36,2018-09-07 12:30:00+00:00,-2.63,2018,3,9,Friday
-72.2B,USD,2018-08-28 08:30:00,-68.6B,worse,Low,Goods Trade Balance,-67.9B,accurate,35,2018-08-28 12:30:00+00:00,5.25,2018,3,8,Tuesday
0.7%,USD,2018-08-28 08:30:00,0.1%,worse,Low,Prelim Wholesale Inventories m/m,0.1%,worse,35,2018-08-28 12:30:00+00:00,-600.0,2018,3,8,Tuesday
6.3%,USD,2018-08-28 09:00:00,6.4%,accurate,Low,S&P/CS Composite-20 HPI y/y,6.5%,accurate,35,2018-08-28 13:00:00+00:00,1.56,2018,3,8,Tuesday
133.4,USD,2018-08-28 10:00:00,126.6,better,Medium,CB Consumer Confidence,127.9,better,35,2018-08-28 14:00:00+00:00,-5.37,2018,3,8,Tuesday
24,USD,2018-08-28 10:00:00,18,better,Low,Richmond Manufacturing Index,20,accurate,35,2018-08-28 14:00:00+00:00,-33.33,2018,3,8,Tuesday
4.2%,USD,2018-08-29 08:30:00,4.0%,better,High,Prelim GDP q/q,4.1%,accurate,35,2018-08-29 12:30:00+00:00,-5.0,2018,3,8,Wednesday
3.0%,USD,2018-08-29 08:30:00,3.0%,accurate,Low,Prelim GDP Price Index q/q,3.0%,accurate,35,2018-08-29 12:30:00+00:00,0.0,2018,3,8,Wednesday
-0.7%,USD,2018-08-29 10:00:00,0.3%,worse,Low,Pending Home Sales m/m,1.0%,accurate,35,2018-08-29 14:00:00+00:00,333.33,2018,3,8,Wednesday
-2.6M,USD,2018-08-29 10:30:00,-0.7M,accurate,High,Crude Oil Inventories,-5.8M,accurate,35,2018-08-29 14:30:00+00:00,271.43,2018,3,8,Wednesday
0.2%,USD,2018-08-30 08:30:00,0.2%,accurate,Medium,Core PCE Price Index m/m,0.1%,accurate,35,2018-08-30 12:30:00+00:00,0.0,2018,3,8,Thursday
0.4%,USD,2018-08-30 08:30:00,0.4%,accurate,Medium,Personal Spending m/m,0.4%,accurate,35,2018-08-30 12:30:00+00:00,0.0,2018,3,8,Thursday
0.3%,USD,2018-08-30 08:30:00,0.3%,accurate,Low,Personal Income m/m,0.4%,accurate,35,2018-08-30 12:30:00+00:00,0.0,2018,3,8,Thursday
213K,USD,2018-08-30 08:30:00,214K,accurate,Low,Unemployment Claims,210K,accurate,35,2018-08-30 12:30:00+00:00,0.47,2018,3,8,Thursday
70B,USD,2018-08-30 10:30:00,58B,accurate,Low,Natural Gas Storage,48B,accurate,35,2018-08-30 14:30:00+00:00,-20.69,2018,3,8,Thursday
63.6,USD,2018-08-31 09:45:00,63.0,better,Medium,Chicago PMI,65.5,accurate,35,2018-08-31 13:45:00+00:00,-0.95,2018,3,8,Friday
96.2,USD,2018-08-31 10:00:00,95.5,better,Low,Revised UoM Consumer Sentiment,95.3,accurate,35,2018-08-31 14:00:00+00:00,-0.73,2018,3,8,Friday
5.34M,USD,2018-08-22 10:00:00,5.40M,worse,Medium,Existing Home Sales,5.38M,accurate,34,2018-08-22 14:00:00+00:00,1.11,2018,3,8,Wednesday
-5.8M,USD,2018-08-22 10:30:00,-1.6M,accurate,High,Crude Oil Inventories,6.8M,accurate,34,2018-08-22 14:30:00+00:00,262.5,2018,3,8,Wednesday
210K,USD,2018-08-23 08:30:00,215K,better,Low,Unemployment Claims,212K,accurate,34,2018-08-23 12:30:00+00:00,2.33,2018,3,8,Thursday
0.2%,USD,2018-08-23 09:00:00,0.3%,worse,Low,HPI m/m,0.4%,better,34,2018-08-23 13:00:00+00:00,33.33,2018,3,8,Thursday
54.5,USD,2018-08-23 09:45:00,55.1,worse,Low,Flash Manufacturing PMI,55.3,accurate,34,2018-08-23 13:45:00+00:00,1.09,2018,3,8,Thursday
55.2,USD,2018-08-23 09:45:00,55.9,worse,Low,Flash Services PMI,56.0,accurate,34,2018-08-23 13:45:00+00:00,1.25,2018,3,8,Thursday
627K,USD,2018-08-23 10:00:00,643K,worse,Low,New Home Sales,638K,better,34,2018-08-23 14:00:00+00:00,2.49,2018,3,8,Thursday
48B,USD,2018-08-23 10:30:00,47B,accurate,Low,Natural Gas Storage,33B,accurate,34,2018-08-23 14:30:00+00:00,-2.13,2018,3,8,Thursday
0.2%,USD,2018-08-24 08:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,0.2%,worse,34,2018-08-24 12:30:00+00:00,60.0,2018,3,8,Friday
