,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
1322,2009-08-12 14:00:00,25,-6.52,0.8104525960197696,0.0,-6.52,0.8104525960197696,0,0,2,2,0,0,0,0,1,1
1323,2009-08-12 14:15:00,26,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,1,0,0,1
1325,2009-08-13 10:00:00,5,44.44,2.435452235378871,40.0,84.44,1.7113872718624499,0,2,0,0,2,0,0,0,1,1
1326,2009-08-13 10:30:00,46,11.27,1.4040785964030762,0.0,11.27,1.4040785964030762,1,0,0,1,0,0,0,1,0,1
1329,2009-08-14 09:55:00,58,-17.08,-2.0325500476996567,4.34,-12.739999999999998,-2.096429812074972,0,0,2,0,2,0,0,0,1,1
1330,2009-08-17 08:30:00,21,580.64,3.024539944083161,0.0,580.64,3.024539944083161,0,2,0,2,0,0,0,0,1,1
1331,2009-08-17 09:00:00,66,1237.29,4.727679742318277,-6.0600000000000005,1231.23,4.67993356202491,0,3,0,3,0,0,1,0,0,1
1332,2009-08-17 13:00:00,44,0.0,-0.35161764635568565,0.0,0.0,-0.3516176463556859,1,0,0,1,0,0,0,1,0,1
1334,2009-08-19 10:30:00,18,1727.28,3.2781112623008233,0.0,1727.28,3.2781112623008233,2,0,0,2,0,0,0,0,1,1
1335,2009-08-20 08:30:00,69,-15.330000000000002,-3.0783805511695563,-1.62,-16.950000000000003,-3.009377824822129,0,0,3,3,0,0,1,0,0,1
1337,2009-08-20 10:30:00,46,8.77,0.8610966342101705,0.0,8.77,0.8610966342101705,1,0,0,1,0,0,0,1,0,1
1338,2009-08-21 10:00:00,23,12.51,4.325003345789323,0.0,12.51,4.590298329216916,0,3,0,3,0,0,1,0,0,1
1339,2009-08-25 09:00:00,65,11.04,2.2045090617794836,-1.16,9.88,2.057049852504193,0,2,0,2,0,0,0,0,1,1
1341,2009-08-25 10:08:00,35,25.0,-0.030535651661710062,-33.33,-8.329999999999998,0.06870990530931345,0,1,0,0,0,1,0,1,0,1
1343,2009-08-26 10:00:00,47,30.54,3.0845756374112803,8.58,39.12,2.708756275234667,0,3,0,0,3,0,1,0,0,1
1344,2009-08-26 10:30:00,18,-226.66,-0.3044559176322863,0.0,-226.66,-0.3044559176322863,2,0,0,2,0,0,0,0,1,1
