,datetime,new_id,impact,forecast_error_ratio_zscore,total_error_ratio_zscore,num_news,pips_agg_30,pips_agg_60
118,2017-07-14 08:30:00,8_19_6_5,"['High', 'High', 'High', 'High']",-1.0847209405403464,-0.45579847123862044,4,46,45
119,2017-07-19 08:30:00,3,['High'],1.549179636122224,1.623612625185433,1,10,1
120,2017-07-19 10:30:00,9,['High'],-0.3358975044106211,-0.3358975044106211,1,2,7
121,2017-07-20 08:30:00,20,['High'],1.722475869654701,1.7429913907911565,1,69,67
122,2017-07-25 10:00:00,4,['High'],0.2953434190120112,0.07587450574300925,1,10,36
123,2017-07-26 10:30:00,9,['High'],0.4530683409467857,0.4530683409467857,1,6,11
124,2017-07-27 08:30:00,20_7,"['High', 'High']",-0.04225447400116883,0.6125890638114706,2,2,3
125,2017-07-28 08:30:00,1,['High'],0.7116425983328898,1.2861096517168011,1,7,3
126,2017-08-01 10:00:00,12,['High'],-0.05497437648840636,-0.05497437648840636,1,2,14
127,2017-08-02 08:15:00,0,['High'],-0.665613992748459,0.18705217153155512,1,5,0
128,2017-08-02 10:30:00,9,['High'],-1.4848001346944169,-1.4848001346944169,1,10,20
129,2017-08-03 08:30:00,20,['High'],0.20960069070609424,0.21138415249059772,1,13,20
130,2017-08-03 10:00:00,13,['High'],-1.3564743801723465,-1.3564743801723465,1,25,29
131,2017-08-04 08:30:00,14_21_2,"['High', 'High', 'High']",0.47460550343244345,0.6135149243358089,3,37,27
132,2017-08-09 10:30:00,9,['High'],0.8504940992273293,0.8504940992273293,1,9,7
133,2017-08-10 08:30:00,20_15,"['High', 'High']",-2.0460266437749426,-2.0054987987764057,2,10,10
134,2017-08-11 08:30:00,6_5,"['High', 'High']",1.1629878692226012,1.1629878692226012,2,49,40
135,2017-08-15 08:30:00,8_19,"['High', 'High']",2.720154717403922,2.2629946592267807,2,47,28
136,2017-08-16 08:30:00,3,['High'],-0.17668444368091665,0.38890350104030375,1,3,14
137,2017-08-16 10:30:00,9,['High'],1.0851283245371128,1.0851283245371128,1,1,1
138,2017-08-17 08:30:00,20,['High'],0.7408901083857252,0.8279504467880016,1,3,21
139,2017-08-23 10:30:00,9,['High'],-0.7845334911483005,-0.7845334911483005,1,5,2
