actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
0.5%,USD,2010-04-14 10:00:00,0.3%,worse,Medium,Business Inventories m/m,0.2%,worse,16,2010-04-14 14:00:00+00:00,-66.67,2010,2,4,Wednesday,13609,13624,13607,13622,13634,13614,13621,20,down,1,2,13622,13606,13613,16,down,9,7,13617,13599,13602,18,down,20,13,13632,13606,13625,26,up,3,13,13626,13614,13625,12,down,3,7,13671,13650,13670,21,up,48,19,13668,13660,13665,8,down,43,0,13666,13658,13662,8,down,40,0,13661,13654,13659,7,down,37,2
-2.2M,USD,2010-04-14 10:30:00,1.4M,accurate,Medium,Crude Oil Inventories,2.0M,accurate,16,2010-04-14 14:30:00+00:00,257.14,2010,2,4,Wednesday,13612,13632,13606,13625,13636,13623,13626,13,up,1,1,13634,13623,13628,11,up,3,0,13642,13619,13623,23,down,2,6,13626,13614,13625,12,up,0,7,13671,13650,13670,21,up,45,19,13668,13660,13665,8,down,40,0,13666,13657,13664,9,down,39,5,13666,13660,13664,6,down,39,0,13660,13653,13657,7,down,32,0
31.9,USD,2010-04-15 08:29:00,24.0,better,Medium,Empire State Manufacturing Index,22.9,accurate,16,2010-04-15 12:30:00+00:00,-32.92,2010,2,4,Thursday,13549,13554,13542,13545,13552,13535,13538,17,down,7,12,13544,13536,13543,8,up,2,4,13552,13539,13549,13,up,4,8,13559,13548,13551,11,up,6,1,13560,13550,13557,10,up,12,5,13556,13548,13555,8,down,10,1,13564,13557,13562,7,up,17,2,13568,13557,13557,11,down,12,8,13548,13540,13546,8,down,1,2
484K,USD,2010-04-15 08:30:00,439K,worse,High,Unemployment Claims,460K,accurate,16,2010-04-15 12:30:00+00:00,-10.25,2010,2,4,Thursday,13549,13554,13542,13545,13552,13535,13538,17,down,7,12,13544,13536,13543,8,up,2,4,13552,13539,13549,13,up,4,8,13559,13548,13551,11,up,6,1,13560,13550,13557,10,up,12,5,13556,13548,13555,8,down,10,1,13564,13557,13562,7,up,17,2,13568,13557,13557,11,down,12,8,13548,13540,13546,8,down,1,2
47.1B,USD,2010-04-15 09:00:00,34.2B,better,High,TIC Long-Term Purchases,15.0B,worse,16,2010-04-15 13:00:00+00:00,-37.72,2010,2,4,Thursday,13552,13559,13548,13551,13563,13548,13552,15,up,1,1,13554,13540,13545,14,down,6,7,13547,13535,13537,12,down,14,7,13560,13550,13557,10,up,6,5,13556,13548,13555,8,down,4,1,13564,13557,13562,7,up,11,2,13569,13559,13564,10,up,13,2,13546,13533,13538,13,down,13,5,13569,13558,13568,11,up,17,8
73.2%,USD,2010-04-15 09:15:00,73.3%,accurate,Medium,Capacity Utilization Rate,73.0%,better,16,2010-04-15 13:15:00+00:00,0.14,2010,2,4,Thursday,13544,13547,13535,13537,13552,13532,13550,20,up,13,14,13556,13547,13551,9,up,14,0,13560,13550,13557,10,up,20,5,13557,13547,13554,10,down,17,2,13569,13550,13563,19,up,26,4,13573,13560,13569,13,up,32,3,13584,13568,13570,16,up,33,10,13545,13537,13545,8,down,8,6,13566,13558,13564,8,up,27,4
0.1%,USD,2010-04-15 09:15:00,0.6%,worse,Medium,Industrial Production m/m,0.3%,better,16,2010-04-15 13:15:00+00:00,83.33,2010,2,4,Thursday,13544,13547,13535,13537,13552,13532,13550,20,up,13,14,13556,13547,13551,9,up,14,0,13560,13550,13557,10,up,20,5,13557,13547,13554,10,down,17,2,13569,13550,13563,19,up,26,4,13573,13560,13569,13,up,32,3,13584,13568,13570,16,up,33,10,13545,13537,13545,8,down,8,6,13566,13558,13564,8,up,27,4
20.2,USD,2010-04-15 10:00:00,19.8,better,High,Philly Fed Manufacturing Index,18.9,accurate,16,2010-04-15 14:00:00+00:00,-2.02,2010,2,4,Thursday,13554,13556,13548,13555,13558,13545,13554,13,down,1,0,13561,13549,13558,12,up,3,5,13569,13550,13563,19,up,8,4,13564,13557,13562,7,down,7,2,13569,13559,13564,10,up,9,2,13568,13557,13557,11,down,2,8,13546,13533,13538,13,down,17,5,13569,13558,13568,11,up,13,8,13561,13554,13559,7,down,4,3
87B,USD,2010-04-15 10:30:00,81B,accurate,Low,Natural Gas Storage,31B,accurate,16,2010-04-15 14:30:00+00:00,-7.41,2010,2,4,Thursday,13560,13564,13557,13562,13570,13555,13567,15,up,5,5,13573,13560,13566,13,down,4,2,13573,13560,13569,13,up,7,3,13569,13559,13564,10,down,2,2,13568,13557,13557,11,down,5,8,13546,13533,13538,13,down,24,5,13548,13540,13546,8,up,16,2,13566,13560,13563,6,up,1,1,13568,13562,13566,6,up,4,0
19,USD,2010-04-15 13:00:00,16,better,Low,NAHB Housing Market Index,15,accurate,16,2010-04-15 17:00:00+00:00,-18.75,2010,2,4,Thursday,13560,13569,13558,13568,13568,13560,13562,8,down,6,4,13564,13558,13563,6,up,5,0,13566,13558,13564,8,up,4,4,13566,13560,13563,6,down,5,1,13561,13554,13559,7,down,9,3,13568,13562,13566,6,up,2,0,13574,13569,13573,5,up,5,1,13580,13570,13578,10,up,10,5,13575,13568,13570,7,down,2,2
0.69M,USD,2010-04-16 08:30:00,0.63M,better,High,Building Permits,0.64M,better,16,2010-04-16 12:30:00+00:00,-9.52,2010,2,4,Friday,13532,13534,13528,13532,13536,13521,13527,15,down,5,6,13532,13518,13519,14,down,13,7,13525,13516,13525,9,up,7,7,13519,13503,13510,16,down,22,8,13510,13497,13505,13,down,27,1,13513,13497,13509,16,up,23,9,13528,13518,13525,10,up,7,0,13510,13495,13500,15,down,32,0,13494,13486,13490,8,down,42,2
0.63M,USD,2010-04-16 08:30:00,0.60M,better,Medium,Housing Starts,0.62M,better,16,2010-04-16 12:30:00+00:00,-5.0,2010,2,4,Friday,13532,13534,13528,13532,13536,13521,13527,15,down,5,6,13532,13518,13519,14,down,13,7,13525,13516,13525,9,up,7,7,13519,13503,13510,16,down,22,8,13510,13497,13505,13,down,27,1,13513,13497,13509,16,up,23,9,13528,13518,13525,10,up,7,0,13510,13495,13500,15,down,32,0,13494,13486,13490,8,down,42,2
69.5,USD,2010-04-16 09:55:00,74.7,worse,High,Prelim UoM Consumer Sentiment,73.6,better,16,2010-04-16 13:55:00+00:00,6.96,2010,2,4,Friday,13501,13503,13496,13500,13513,13497,13509,16,up,9,9,13520,13506,13511,14,up,11,2,13529,13509,13525,20,up,25,14,13539,13522,13524,17,down,24,11,13522,13498,13500,24,down,0,20,13503,13485,13501,18,up,1,9,13498,13470,13483,28,down,17,14,13499,13488,13495,11,up,5,4,13493,13486,13488,7,down,12,1
1.4%,USD,2010-04-19 10:00:00,1.0%,better,Low,CB Leading Index m/m,0.4%,better,17,2010-04-19 14:00:00+00:00,-40.0,2010,2,4,Monday,13449,13459,13446,13452,13460,13449,13453,11,up,1,2,13458,13445,13455,13,up,3,3,13460,13449,13456,11,up,4,1,13470,13461,13464,9,up,12,3,13472,13460,13466,12,up,14,2,13470,13460,13466,10,down,14,4,13460,13450,13456,10,down,4,1,13469,13460,13469,9,up,17,6,13474,13463,13467,11,down,15,5
1.9M,USD,2010-04-21 10:30:00,0.1M,accurate,Medium,Crude Oil Inventories,-2.2M,accurate,17,2010-04-21 14:30:00+00:00,-1800.0,2010,2,4,Wednesday,13398,13400,13391,13394,13394,13382,13388,12,down,6,6,13395,13384,13390,11,up,4,3,13399,13387,13391,12,up,3,0,13397,13387,13393,10,up,1,1,13386,13370,13374,16,down,20,10,13384,13375,13380,9,up,14,2,13397,13386,13396,11,up,2,5,13400,13394,13399,6,up,5,2,13394,13389,13392,5,down,2,2
0.7%,USD,2010-04-22 08:30:00,0.4%,better,High,PPI m/m,-0.6%,accurate,17,2010-04-22 12:30:00+00:00,-75.0,2010,2,4,Thursday,13342,13345,13335,13338,13342,13325,13329,17,down,9,10,13331,13318,13318,13,down,20,10,13322,13316,13321,6,up,17,2,13326,13314,13322,12,up,16,3,13331,13320,13325,11,up,13,1,13299,13284,13286,15,down,52,10,13332,13290,13307,42,up,31,14,13290,13280,13290,10,down,48,4,13303,13291,13301,12,up,37,5
456K,USD,2010-04-22 08:30:00,452K,accurate,High,Unemployment Claims,480K,accurate,17,2010-04-22 12:30:00+00:00,-0.88,2010,2,4,Thursday,13342,13345,13335,13338,13342,13325,13329,17,down,9,10,13331,13318,13318,13,down,20,10,13322,13316,13321,6,up,17,2,13326,13314,13322,12,up,16,3,13331,13320,13325,11,up,13,1,13299,13284,13286,15,down,52,10,13332,13290,13307,42,up,31,14,13290,13280,13290,10,down,48,4,13303,13291,13301,12,up,37,5
0.1%,USD,2010-04-22 08:30:00,0.1%,accurate,Medium,Core PPI m/m,0.1%,accurate,17,2010-04-22 12:30:00+00:00,0.0,2010,2,4,Thursday,13342,13345,13335,13338,13342,13325,13329,17,down,9,10,13331,13318,13318,13,down,20,10,13322,13316,13321,6,up,17,2,13326,13314,13322,12,up,16,3,13331,13320,13325,11,up,13,1,13299,13284,13286,15,down,52,10,13332,13290,13307,42,up,31,14,13290,13280,13290,10,down,48,4,13303,13291,13301,12,up,37,5
5.35M,USD,2010-04-22 10:00:00,5.28M,better,High,Existing Home Sales,5.01M,accurate,17,2010-04-22 14:00:00+00:00,-1.33,2010,2,4,Thursday,13296,13299,13284,13286,13287,13273,13284,14,down,2,1,13291,13280,13284,11,down,2,1,13289,13274,13278,15,down,8,5,13332,13290,13307,42,up,21,14,13306,13294,13300,12,down,14,2,13290,13280,13290,10,down,4,4,13303,13290,13294,13,up,8,3,13305,13296,13304,9,up,18,5,13322,13311,13321,11,up,35,9
-0.2%,USD,2010-04-22 10:00:00,-0.1%,worse,Low,HPI m/m,-0.6%,accurate,17,2010-04-22 14:00:00+00:00,100.0,2010,2,4,Thursday,13296,13299,13284,13286,13287,13273,13284,14,down,2,1,13291,13280,13284,11,down,2,1,13289,13274,13278,15,down,8,5,13332,13290,13307,42,up,21,14,13306,13294,13300,12,down,14,2,13290,13280,13290,10,down,4,4,13303,13290,13294,13,up,8,3,13305,13296,13304,9,up,18,5,13322,13311,13321,11,up,35,9
73B,USD,2010-04-22 10:30:00,77B,accurate,Low,Natural Gas Storage,87B,accurate,17,2010-04-22 14:30:00+00:00,5.19,2010,2,4,Thursday,13293,13332,13290,13307,13318,13258,13288,60,down,19,22,13302,13280,13284,22,down,23,6,13296,13279,13294,17,up,13,10,13306,13294,13300,12,up,7,2,13290,13280,13290,10,down,17,4,13303,13290,13294,13,up,13,3,13303,13291,13301,12,up,6,5,13316,13308,13310,8,up,3,0,13320,13308,13319,12,up,12,5
2.8%,USD,2010-04-23 08:30:00,0.7%,better,High,Core Durable Goods Orders m/m,1.7%,better,17,2010-04-23 12:30:00+00:00,-300.0,2010,2,4,Friday,13295,13300,13290,13295,13298,13281,13297,17,up,2,2,13302,13284,13288,18,down,7,10,13292,13283,13286,9,down,9,4,13291,13278,13285,13,down,10,5,13281,13266,13269,15,down,26,10,13320,13308,13311,12,up,16,1,13326,13315,13317,11,up,22,7,13373,13359,13366,14,up,71,5,13370,13363,13364,7,down,69,4
-1.3%,USD,2010-04-23 08:30:00,0.2%,worse,Medium,Durable Goods Orders m/m,1.1%,better,17,2010-04-23 12:30:00+00:00,750.0,2010,2,4,Friday,13295,13300,13290,13295,13298,13281,13297,17,up,2,2,13302,13284,13288,18,down,7,10,13292,13283,13286,9,down,9,4,13291,13278,13285,13,down,10,5,13281,13266,13269,15,down,26,10,13320,13308,13311,12,up,16,1,13326,13315,13317,11,up,22,7,13373,13359,13366,14,up,71,5,13370,13363,13364,7,down,69,4
411K,USD,2010-04-23 10:00:00,326K,better,High,New Home Sales,324K,better,17,2010-04-23 14:00:00+00:00,-26.07,2010,2,4,Friday,13310,13320,13308,13311,13318,13297,13302,21,down,9,10,13303,13292,13301,11,down,10,1,13332,13298,13328,34,up,17,28,13326,13315,13317,11,down,6,7,13370,13352,13357,18,up,46,12,13373,13359,13366,14,up,55,5,13364,13355,13359,9,down,48,0,13370,13361,13366,9,up,55,0,13383,13375,13380,8,up,69,2
