,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news,close_0_5_after,low_0_5_after,high_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,close_5_10_after,low_5_10_after,high_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,close_10_15_after,low_10_15_after,high_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,close_5_0_before,low_5_0_before,high_5_0_before,volatility_5_0_before,pips_agg_5_0_before,pips_candle_5_0_before,direction_candle_5_0_before,direction_agg_5_0_before,close_10_5_before,low_10_5_before,high_10_5_before,volatility_10_5_before,pips_agg_10_5_before,pips_candle_10_5_before,direction_candle_10_5_before,direction_agg_10_5_before,close_15_10_before,low_15_10_before,high_15_10_before,volatility_15_10_before,pips_agg_15_10_before,pips_candle_15_10_before,direction_candle_15_10_before,direction_agg_15_10_before,close_20_15_before,low_20_15_before,high_20_15_before,volatility_20_15_before,pips_agg_20_15_before,pips_candle_20_15_before,direction_candle_20_15_before,direction_agg_20_15_before,close_25_20_before,low_25_20_before,high_25_20_before,volatility_25_20_before,pips_agg_25_20_before,pips_candle_25_20_before,direction_candle_25_20_before,direction_agg_25_20_before,close_30_25_before,low_30_25_before,high_30_25_before,volatility_30_25_before,pips_agg_30_25_before,pips_candle_30_25_before,direction_candle_30_25_before,direction_agg_30_25_before,close_45_30_before,low_45_30_before,high_45_30_before,volatility_45_30_before,pips_agg_45_30_before,pips_candle_45_30_before,direction_candle_45_30_before,direction_agg_45_30_before,close_60_45_before,low_60_45_before,high_60_45_before,volatility_60_45_before,pips_agg_60_45_before,pips_candle_60_45_before,direction_candle_60_45_before,direction_agg_60_45_before,close_60_30_before,low_60_30_before,high_60_30_before,volatility_60_30_before,pips_agg_60_30_before,pips_candle_60_30_before,direction_candle_60_30_before,direction_agg_60_30_before,close_90_60_before,low_90_60_before,high_90_60_before,volatility_90_60_before,pips_agg_90_60_before,pips_candle_90_60_before,direction_candle_90_60_before,direction_agg_90_60_before,close_120_90_before,low_120_90_before,high_120_90_before,volatility_120_90_before,pips_agg_120_90_before,pips_candle_120_90_before,direction_candle_120_90_before,direction_agg_120_90_before,close_150_120_before,low_150_120_before,high_150_120_before,volatility_150_120_before,pips_agg_150_120_before,pips_candle_150_120_before,direction_candle_150_120_before,direction_agg_150_120_before,close_180_150_before,low_180_150_before,high_180_150_before,volatility_180_150_before,pips_agg_180_150_before,pips_candle_180_150_before,direction_candle_180_150_before,direction_agg_180_150_before,close_210_180_before,low_210_180_before,high_210_180_before,volatility_210_180_before,pips_agg_210_180_before,pips_candle_210_180_before,direction_candle_210_180_before,direction_agg_210_180_before,close_240_210_before,low_240_210_before,high_240_210_before,volatility_240_210_before,pips_agg_240_210_before,pips_candle_240_210_before,direction_candle_240_210_before,direction_agg_240_210_before,direction_agg_30_60_after,pips_agg_30_60_after
887,2009-07-08 10:30:00,18,7.14,-1.0100455297451274,0.0,7.14,-1.0100455297451274,2,0,0,2,0,0,0,0,1,1,13906,13903,13919,16,-13,-13,-1,-1,13900,13897,13909,12,-19,-5,0,-1,13907,13896,13909,13,-12,7,1,-1,13919,13915,13925,10,0,-5,0,0,13922,13918,13931,13,-3,1,0,0,13921,13914,13926,12,-2,2,0,0,13919,13916,13928,12,0,-6,-1,0,13924,13913,13928,15,-5,10,1,0,13913,13899,13917,18,6,12,1,1,13913,13899,13920,21,6,-1,0,1,13914,13899,13920,21,5,6,1,0,13913,13899,13920,21,6,5,0,1,13907,13895,13918,23,12,0,0,1,13908,13880,13909,29,11,18,1,1,13890,13879,13915,36,29,-20,-1,2,13909,13900,13921,21,10,-12,-1,1,13921,13910,13929,19,-2,6,1,0,13918,13902,13924,22,1,4,0,0,-2,-54
888,2009-07-08 15:00:00,12,67.35,0.8337495707638378,-5.1,62.24999999999999,0.485698116919886,0,1,0,0,0,1,0,1,0,1,13855,13845,13857,12,5,5,0,0,13861,13851,13864,13,11,9,1,1,13861,13856,13863,7,11,3,0,1,13850,13846,13853,7,0,3,0,0,13846,13838,13851,13,4,8,1,0,13840,13832,13844,12,10,3,0,1,13836,13833,13841,8,14,0,0,1,13837,13829,13838,9,13,5,0,1,13831,13830,13841,11,19,-7,-1,1,13831,13830,13844,14,19,-13,-1,1,13841,13833,13847,14,9,-5,0,1,13831,13830,13847,17,19,-15,-1,1,13847,13841,13867,26,3,-18,-1,0,13864,13853,13869,16,-14,4,0,-1,13860,13842,13867,25,-10,5,0,-1,13854,13830,13860,30,-4,9,1,0,13843,13839,13885,46,7,-23,-2,1,13865,13860,13901,41,-15,-34,-2,-1,2,25
889,2009-07-09 08:30:00,69,14.14,2.9862967980191866,-0.98,13.16,2.9958905006396046,0,2,0,2,0,0,0,0,1,1,13988,13980,13998,18,3,0,0,0,13985,13976,13988,12,0,-3,0,0,13988,13982,13995,13,3,3,0,0,13985,13980,13988,8,0,3,0,0,13987,13981,13993,12,-2,2,0,0,13984,13983,13992,9,1,-4,0,0,13988,13985,13999,14,-3,0,0,0,13990,13985,13995,10,-5,0,0,0,13989,13978,13996,18,-4,8,1,0,13989,13974,13996,22,-4,7,1,0,13983,13952,13984,32,2,26,2,0,13989,13952,13996,44,-4,32,2,0,13957,13948,13962,14,28,4,0,2,13953,13951,13975,24,32,-13,-1,2,13967,13962,13981,19,18,-11,-1,1,13977,13960,13986,26,8,16,1,1,13960,13949,13964,15,25,4,0,2,13954,13943,13964,21,31,-7,-1,2,-2,-21
890,2009-07-09 10:00:00,31,-20.0,-0.7592616420116245,-7.14,-27.14,-0.8693815401212163,0,0,1,0,0,1,0,1,0,1,13966,13949,13966,17,7,8,1,1,13968,13961,13974,13,9,2,0,1,13972,13962,13976,14,13,5,0,1,13959,13954,13964,10,0,-2,0,0,13960,13947,13964,17,-1,3,0,0,13957,13950,13962,12,2,-4,0,0,13961,13953,13966,13,-2,3,0,0,13958,13955,13968,13,1,-7,-1,0,13964,13962,13975,13,-5,-3,0,0,13964,13962,13991,29,-5,-25,-2,0,13987,13974,13997,23,-28,4,0,-2,13964,13962,13997,35,-5,-19,-1,0,13984,13976,14010,34,-25,-4,0,-2,13988,13980,13999,19,-29,-2,0,-2,13989,13952,13996,44,-30,32,2,-2,13957,13948,13962,14,2,4,0,0,13953,13951,13975,24,6,-13,-1,1,13967,13962,13981,19,-8,-11,-1,-1,1,18
891,2009-07-09 10:30:00,46,11.76,1.0175611648238163,0.0,11.76,1.0175611648238163,1,0,0,1,0,0,0,1,0,1,13946,13943,13962,19,-13,-13,-1,-1,13954,13946,13957,11,-5,7,1,0,13965,13951,13969,18,6,12,1,1,13959,13953,13972,19,0,-12,-1,0,13970,13966,13979,13,-11,-8,-1,-1,13978,13971,13983,12,-19,3,0,-1,13972,13962,13976,14,-13,5,0,-1,13968,13961,13974,13,-9,2,0,-1,13966,13949,13966,17,-7,8,1,-1,13966,13947,13966,19,-7,9,1,-1,13957,13950,13968,18,2,-8,-1,0,13966,13947,13968,21,-7,1,0,-1,13964,13962,13997,35,-5,-19,-1,0,13984,13976,14010,34,-25,-4,0,-2,13988,13980,13999,19,-29,-2,0,-2,13989,13952,13996,44,-30,32,2,-2,13957,13948,13962,14,2,4,0,0,13953,13951,13975,24,6,-13,-1,1,2,37
892,2009-07-10 09:55:00,58,-17.78,-3.337656597851423,5.22,-12.560000000000002,-3.2253244454671672,0,0,2,0,2,0,0,0,1,1,13920,13911,13932,21,-12,-12,-1,-1,13938,13911,13944,33,6,17,1,1,13939,13929,13944,15,7,0,0,1,13932,13926,13935,9,0,2,0,0,13930,13911,13931,20,2,14,1,0,13917,13910,13923,13,15,4,0,1,13915,13900,13920,20,17,9,1,1,13906,13903,13918,15,26,-2,0,2,13907,13903,13914,11,25,1,0,2,13906,13895,13918,23,26,-1,0,2,13905,13897,13914,17,27,-4,0,2,13906,13895,13918,23,26,-3,0,2,13905,13897,13932,35,27,-2,0,2,13906,13882,13922,40,26,-12,-1,2,13921,13905,13925,20,11,9,1,1,13909,13894,13914,20,23,3,0,2,13906,13883,13906,23,26,16,1,2,13892,13873,13901,28,40,-3,0,2,0,-4
893,2009-07-13 14:00:00,25,-1.48,0.8609844655567136,0.0,-1.48,0.8609844655567136,2,0,0,2,0,0,0,0,1,1,13967,13960,13969,9,4,4,0,0,13968,13960,13970,10,5,1,0,0,13970,13965,13974,9,7,2,0,1,13963,13959,13971,12,0,-7,-1,0,13970,13959,13972,13,-7,8,1,-1,13962,13961,13973,12,1,-8,-1,0,13969,13963,13973,10,-6,-1,0,-1,13973,13970,13979,9,-10,-1,0,-1,13975,13970,13981,11,-12,-1,0,-1,13975,13970,13986,16,-12,-9,-1,-1,13984,13969,13988,19,-21,12,1,-2,13975,13969,13988,19,-12,3,0,-1,13973,13959,13977,18,-10,8,1,-1,13964,13962,13980,18,-1,-8,-1,0,13972,13960,13980,20,-9,8,1,-1,13963,13932,13966,34,0,19,1,0,13942,13929,13954,25,21,3,0,2,13939,13910,13940,30,24,17,1,2,1,17
894,2009-07-15 10:30:00,18,94.74,-1.2322446543245063,0.0,94.74,-1.2322446543245063,2,0,0,2,0,0,0,0,1,1,14093,14093,14111,18,-11,-11,-1,-1,14096,14092,14105,13,-8,1,0,-1,14088,14085,14096,11,-16,-7,-1,-1,14104,14090,14109,19,0,12,1,0,14092,14083,14094,11,12,4,0,1,14087,14076,14088,12,17,5,0,1,14081,14070,14084,14,23,8,1,2,14075,14071,14080,9,29,1,0,2,14075,14071,14092,21,29,-15,-1,2,14075,14071,14096,25,29,-13,-1,2,14091,14076,14102,26,13,7,1,1,14075,14071,14102,31,29,-9,-1,2,14085,14074,14100,26,19,-7,-1,1,14091,14076,14102,26,13,13,1,1,14079,14076,14097,21,25,-5,0,2,14083,14062,14085,23,21,16,1,2,14066,14056,14076,20,38,-1,0,2,14068,14050,14083,33,36,14,1,2,1,9
895,2009-07-16 08:30:00,69,10.18,1.5753996482047472,-1.42,8.76,1.518856622317169,0,2,0,2,0,0,0,0,1,1,14149,14137,14165,28,11,10,1,1,14141,14135,14152,17,3,-7,-1,0,14135,14130,14146,16,-3,-6,-1,0,14138,14126,14144,18,0,8,1,0,14130,14122,14133,11,8,-2,0,1,14132,14127,14137,10,6,5,0,1,14127,14126,14137,11,11,-1,0,1,14127,14123,14134,11,11,-6,-1,1,14133,14123,14135,12,5,7,1,0,14133,14123,14135,12,5,1,0,0,14131,14124,14149,25,7,-3,0,1,14133,14123,14149,26,5,-1,0,0,14134,14098,14150,52,4,21,2,0,14113,14101,14136,35,25,2,0,2,14112,14068,14121,53,26,39,2,2,14073,14070,14088,18,65,-5,0,2,14079,14068,14087,19,59,2,0,2,14078,14068,14088,20,60,7,1,2,-1,-16
896,2009-07-16 09:00:00,66,-655.6800000000001,-3.2231223340904593,-8.040000000000001,-663.72,-3.2484007015014003,0,0,3,3,0,0,1,0,0,1,14139,14132,14150,18,2,2,0,0,14133,14126,14140,14,-4,-4,0,0,14133,14129,14139,10,-4,2,0,0,14137,14130,14139,9,0,0,0,0,14140,14128,14140,12,-3,6,1,0,14134,14128,14139,11,3,1,0,0,14135,14130,14146,16,2,-6,-1,0,14141,14135,14152,17,-4,-7,-1,0,14149,14137,14165,28,-12,10,1,-1,14149,14122,14165,43,-12,17,1,-1,14132,14123,14137,14,5,-1,0,0,14149,14122,14165,43,-12,16,1,-1,14133,14123,14149,26,4,-1,0,0,14134,14098,14150,52,3,21,2,0,14113,14101,14136,35,24,2,0,2,14112,14068,14121,53,25,39,2,2,14073,14070,14088,18,64,-5,0,2,14079,14068,14087,19,58,2,0,2,-2,-30
897,2009-07-16 10:00:00,53,-106.12,-2.3908237312319285,0.0,-106.12,-2.3908237312319285,0,0,2,2,0,0,0,0,1,1,14107,14101,14131,30,-24,-23,-2,-2,14105,14097,14110,13,-26,-1,0,-2,14104,14095,14109,14,-27,-2,0,-2,14131,14120,14131,11,0,4,0,0,14128,14123,14136,13,3,2,0,0,14126,14120,14131,11,5,1,0,0,14124,14121,14131,10,7,0,0,1,14125,14113,14125,12,6,5,0,1,14122,14114,14123,9,9,1,0,1,14122,14113,14129,16,9,-6,-1,1,14127,14124,14140,16,4,-10,-1,0,14122,14113,14140,27,9,-15,-1,1,14139,14128,14152,24,-8,-9,-1,-1,14149,14122,14165,43,-18,16,1,-1,14133,14123,14149,26,-2,-1,0,0,14134,14098,14150,52,-3,21,2,0,14113,14101,14136,35,18,2,0,1,14112,14068,14121,53,19,39,2,1,-1,-12
898,2009-07-16 10:30:00,46,3.23,-0.03901226335989321,0.0,3.23,-0.03901226335989321,1,0,0,1,0,0,0,1,0,1,14112,14110,14118,8,0,0,0,0,14111,14109,14120,11,-1,-1,0,0,14109,14105,14112,7,-3,-2,0,0,14112,14109,14117,8,0,0,0,0,14109,14100,14115,15,3,4,0,0,14105,14096,14110,14,7,2,0,1,14104,14095,14109,14,8,-2,0,1,14105,14097,14110,13,7,-1,0,1,14107,14101,14131,30,5,-23,-2,0,14107,14101,14136,35,5,-19,-1,0,14126,14113,14131,18,-14,6,1,-1,14107,14101,14136,35,5,-13,-1,0,14122,14113,14140,27,-10,-15,-1,-1,14139,14128,14152,24,-27,-9,-1,-2,14149,14122,14165,43,-37,16,1,-2,14133,14123,14149,26,-21,-1,0,-2,14134,14098,14150,52,-22,21,2,-2,14113,14101,14136,35,-1,2,0,0,-1,-9
899,2009-07-16 13:00:00,44,6.25,-0.033031057529498975,0.0,6.25,-0.03303105752949912,0,1,0,1,0,0,0,1,0,1,14117,14113,14121,8,2,0,0,0,14107,14105,14117,12,-8,-9,-1,-1,14109,14105,14112,7,-6,1,0,-1,14115,14111,14122,11,0,-5,0,0,14120,14117,14126,9,-5,-1,0,0,14123,14115,14124,9,-8,2,0,-1,14120,14116,14124,8,-5,0,0,0,14121,14117,14125,8,-6,0,0,-1,14121,14112,14124,12,-6,5,0,-1,14121,14106,14124,18,-6,13,1,-1,14109,14106,14119,13,6,-6,-1,1,14121,14106,14124,18,-6,6,1,-1,14116,14097,14119,22,-1,13,1,0,14103,14098,14128,30,12,-14,-1,1,14119,14105,14122,17,-4,7,1,0,14112,14095,14118,23,3,6,1,0,14107,14101,14136,35,8,-13,-1,1,14122,14113,14140,27,-7,-15,-1,-1,1,8
