,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,num_news,close_0_5_after,low_0_5_after,high_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,close_5_10_after,low_5_10_after,high_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,close_10_15_after,low_10_15_after,high_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,close_5_0_before,low_5_0_before,high_5_0_before,volatility_5_0_before,pips_agg_5_0_before,pips_candle_5_0_before,direction_candle_5_0_before,direction_agg_5_0_before,close_10_5_before,low_10_5_before,high_10_5_before,volatility_10_5_before,pips_agg_10_5_before,pips_candle_10_5_before,direction_candle_10_5_before,direction_agg_10_5_before,close_15_10_before,low_15_10_before,high_15_10_before,volatility_15_10_before,pips_agg_15_10_before,pips_candle_15_10_before,direction_candle_15_10_before,direction_agg_15_10_before,close_20_15_before,low_20_15_before,high_20_15_before,volatility_20_15_before,pips_agg_20_15_before,pips_candle_20_15_before,direction_candle_20_15_before,direction_agg_20_15_before,close_25_20_before,low_25_20_before,high_25_20_before,volatility_25_20_before,pips_agg_25_20_before,pips_candle_25_20_before,direction_candle_25_20_before,direction_agg_25_20_before,close_30_25_before,low_30_25_before,high_30_25_before,volatility_30_25_before,pips_agg_30_25_before,pips_candle_30_25_before,direction_candle_30_25_before,direction_agg_30_25_before,close_45_30_before,low_45_30_before,high_45_30_before,volatility_45_30_before,pips_agg_45_30_before,pips_candle_45_30_before,direction_candle_45_30_before,direction_agg_45_30_before,close_60_45_before,low_60_45_before,high_60_45_before,volatility_60_45_before,pips_agg_60_45_before,pips_candle_60_45_before,direction_candle_60_45_before,direction_agg_60_45_before,close_60_30_before,low_60_30_before,high_60_30_before,volatility_60_30_before,pips_agg_60_30_before,pips_candle_60_30_before,direction_candle_60_30_before,direction_agg_60_30_before,close_90_60_before,low_90_60_before,high_90_60_before,volatility_90_60_before,pips_agg_90_60_before,pips_candle_90_60_before,direction_candle_90_60_before,direction_agg_90_60_before,close_120_90_before,low_120_90_before,high_120_90_before,volatility_120_90_before,pips_agg_120_90_before,pips_candle_120_90_before,direction_candle_120_90_before,direction_agg_120_90_before,close_150_120_before,low_150_120_before,high_150_120_before,volatility_150_120_before,pips_agg_150_120_before,pips_candle_150_120_before,direction_candle_150_120_before,direction_agg_150_120_before,close_180_150_before,low_180_150_before,high_180_150_before,volatility_180_150_before,pips_agg_180_150_before,pips_candle_180_150_before,direction_candle_180_150_before,direction_agg_180_150_before,close_210_180_before,low_210_180_before,high_210_180_before,volatility_210_180_before,pips_agg_210_180_before,pips_candle_210_180_before,direction_candle_210_180_before,direction_agg_210_180_before,close_240_210_before,low_240_210_before,high_240_210_before,volatility_240_210_before,pips_agg_240_210_before,pips_candle_240_210_before,direction_candle_240_210_before,direction_agg_240_210_before,direction_agg_30_60_after,pips_agg_30_60_after
1345,2013-03-27 10:00:00,24,33.33,-0.0683978914330096,-15.56,17.769999999999996,-0.09673564067516803,1,0,0,0,0,1,1,1,12769,12766,12770,4,1,1,0,0,12768,12763,12769,6,0,-1,0,0,12759,12754,12772,18,-9,-9,-1,-1,12768,12765,12772,7,0,-2,0,0,12770,12756,12770,14,-2,1,0,0,12769,12766,12776,10,-1,-2,0,0,12771,12764,12771,7,-3,7,1,0,12764,12758,12766,8,4,5,0,0,12759,12758,12768,10,9,-6,-1,1,12759,12758,12777,19,9,-15,-1,1,12774,12766,12781,15,-6,-3,0,-1,12759,12758,12781,23,9,-18,-1,1,12777,12775,12787,12,-9,0,0,-1,12777,12762,12778,16,-9,12,1,-1,12765,12765,12782,17,3,-13,-1,0,12777,12773,12798,25,-9,-17,-1,-1,12794,12782,12798,16,-26,0,0,-2,12794,12787,12813,26,-26,-13,-1,-2,0,1
1346,2013-03-28 08:30:00,32,-5.0,-1.7264477908466938,-1.49,-6.49,-1.7434765858656498,0,0,1,0,0,1,1,1,12800,12799,12810,11,-5,-6,-1,0,12804,12800,12808,8,-1,4,0,0,12805,12804,12809,5,0,0,0,0,12805,12804,12808,4,0,-1,0,0,12806,12804,12808,4,-1,-1,0,0,12807,12803,12812,9,-2,-5,0,0,12812,12810,12819,9,-7,-7,-1,-1,12819,12816,12821,5,-14,2,0,-1,12818,12809,12818,9,-13,9,1,-1,12818,12807,12818,11,-13,3,0,-1,12815,12799,12817,18,-10,16,1,-1,12818,12799,12818,19,-13,19,1,-1,12800,12793,12805,12,5,-4,0,0,12804,12788,12809,21,1,15,1,0,12789,12772,12794,22,16,16,1,1,12773,12760,12776,16,32,13,1,2,12760,12756,12771,15,45,-6,-1,2,12766,12757,12796,39,39,-30,-2,2,1,12
1347,2013-04-01 10:00:00,17,-5.35,-1.2110888781317053,0.0,-5.35,-1.2110888781317053,0,0,1,1,0,0,1,1,12831,12818,12832,14,13,13,1,1,12844,12831,12849,18,26,13,1,2,12846,12843,12850,7,28,2,0,2,12818,12814,12819,5,0,1,0,0,12817,12817,12818,1,1,0,0,0,12817,12816,12819,3,1,-1,0,0,12818,12815,12819,4,0,2,0,0,12816,12814,12816,2,2,1,0,0,12816,12814,12818,4,2,-2,0,0,12816,12814,12818,4,2,1,0,0,12815,12815,12821,6,3,-3,0,0,12816,12814,12821,7,2,-2,0,0,12818,12814,12824,10,0,3,0,0,12815,12802,12816,14,3,4,0,0,12811,12809,12815,6,7,2,0,1,12809,12809,12819,10,9,-9,-1,1,12818,12813,12824,11,0,-3,0,0,12821,12816,12826,10,-3,5,0,0,2,26
1348,2013-04-03 08:15:00,0,-22.17,-1.0967811165382697,19.7,-2.4700000000000024,-0.6122174838453159,0,0,1,0,1,0,1,1,12836,12829,12842,13,7,7,1,1,12834,12832,12839,7,5,-2,0,0,12834,12833,12841,8,5,0,0,0,12829,12826,12830,4,0,1,0,0,12828,12826,12831,5,1,-3,0,0,12831,12829,12836,7,-2,2,0,0,12829,12826,12834,8,0,3,0,0,12826,12819,12826,7,3,7,1,0,12820,12815,12821,6,9,5,0,1,12820,12814,12821,7,9,4,0,1,12816,12809,12817,8,13,-1,0,1,12816,12809,12820,11,13,1,0,1,12816,12809,12820,11,13,1,0,1,12822,12818,12830,12,7,-5,0,1,12822,12818,12830,12,7,-5,0,1,12827,12824,12835,11,2,-1,0,0,12827,12824,12835,11,2,-1,0,0,12812,12804,12817,13,17,5,0,1,1,18
1349,2013-04-03 10:00:00,18,-2.68,-1.5229656626127814,0.0,-2.68,-1.5229656626127817,0,0,1,1,0,0,1,1,12857,12851,12860,9,5,5,0,0,12858,12851,12858,7,6,1,0,1,12857,12856,12862,6,5,-1,0,0,12852,12847,12854,7,0,4,0,0,12848,12845,12849,4,4,2,0,0,12847,12844,12853,9,5,0,0,0,12847,12845,12851,6,5,-1,0,0,12848,12844,12849,5,4,1,0,0,12847,12832,12850,18,5,15,1,0,12847,12827,12850,23,5,20,1,0,12827,12825,12831,6,25,-1,0,2,12847,12825,12850,25,5,19,1,0,12828,12827,12844,17,24,-10,-1,2,12838,12826,12842,16,14,7,1,1,12831,12814,12836,22,21,15,1,2,12816,12809,12820,11,36,1,0,2,12815,12814,12823,9,37,-7,-1,2,12822,12818,12830,12,30,-5,0,2,-1,-6
1350,2013-04-04 08:30:00,32,-9.38,-1.40313105420248,0.0,-9.38,-1.3052770300288523,0,0,1,1,0,0,1,1,12832,12817,12832,15,14,14,1,1,12762,12762,12837,75,-56,-70,-2,-2,12763,12760,12787,27,-55,1,0,-2,12818,12814,12820,6,0,-2,0,0,12820,12817,12824,7,-2,-3,0,0,12824,12817,12824,7,-6,7,1,-1,12818,12815,12821,6,0,1,0,0,12817,12806,12817,11,1,8,1,0,12809,12805,12812,7,9,-3,0,1,12809,12805,12817,12,9,-3,0,1,12812,12797,12822,25,6,14,1,1,12809,12797,12822,25,9,11,1,1,12798,12793,12812,19,20,-9,-1,1,12807,12799,12812,13,11,-1,0,1,12808,12792,12811,19,10,15,1,1,12792,12790,12803,13,26,-7,-1,2,12799,12787,12805,18,19,11,1,1,12788,12784,12798,14,30,1,0,2,-2,-24
1351,2013-04-05 08:30:00,31_22_33,-50.24000000000001,-0.7551892238556311,13.790000000000001,-36.45,-0.9803343563845431,0,2,1,2,1,0,3,3,13018,12955,13022,67,63,62,2,2,13003,13003,13018,15,48,-15,-1,2,12984,12984,13003,19,29,-19,-1,2,12955,12952,12957,5,0,-2,0,0,12957,12952,12959,7,-2,4,0,0,12953,12943,12953,10,2,9,1,0,12943,12939,12945,6,12,-1,0,1,12944,12934,12945,11,11,10,1,1,12934,12930,12935,5,21,2,0,2,12934,12927,12936,9,21,4,0,2,12930,12925,12932,7,25,3,0,2,12934,12925,12936,11,21,7,1,2,12927,12916,12927,11,28,7,1,2,12920,12919,12932,13,35,-10,-1,2,12930,12925,12939,14,25,-7,-1,2,12937,12913,12938,25,18,12,1,1,12926,12922,12932,10,29,4,0,2,12922,12918,12931,13,33,4,0,2,2,46
1352,2013-04-11 08:30:00,32,4.42,0.8150379454102605,-0.78,3.64,0.8096220777641895,0,1,0,1,0,0,1,1,13121,13116,13126,10,1,2,0,0,13116,13111,13121,10,-4,-4,0,0,13113,13111,13119,8,-7,-3,0,-1,13120,13114,13120,6,0,4,0,0,13116,13116,13122,6,4,-6,-1,0,13122,13119,13123,4,-2,3,0,0,13119,13119,13129,10,1,-8,-1,0,13127,13126,13133,7,-7,-6,-1,-1,13133,13129,13135,6,-13,3,0,-1,13133,13129,13138,9,-13,-4,0,-1,13137,13124,13137,13,-17,13,1,-1,13133,13124,13138,14,-13,9,1,-1,13124,13124,13135,11,-4,-7,-1,0,13131,13121,13135,14,-11,-2,0,-1,13133,13105,13133,28,-13,25,2,-1,13108,13077,13110,33,12,31,2,1,13077,13076,13085,9,43,-6,-1,2,13083,13079,13092,13,37,-5,0,2,-2,-33
1353,2013-04-12 08:30:00,10_29_23,-900.0,-4.974513885039092,-9.09,-909.0899999999999,-4.711171110730662,0,0,3,2,0,1,3,3,13065,13062,13072,10,0,0,0,0,13059,13056,13066,10,-6,-6,-1,-1,13043,13043,13058,15,-22,-15,-1,-2,13065,13054,13066,12,0,6,1,0,13059,13054,13061,7,6,3,0,1,13056,13052,13058,6,9,4,0,1,13052,13052,13061,9,13,-6,-1,1,13058,13055,13061,6,7,1,0,1,13057,13051,13057,6,8,5,0,1,13057,13051,13060,9,8,1,0,1,13056,13052,13059,7,9,-3,0,1,13057,13051,13060,9,8,-2,0,1,13059,13058,13068,10,6,-7,-1,1,13066,13054,13070,16,-1,8,1,0,13058,13043,13061,18,7,12,1,1,13046,13045,13057,12,19,-1,0,1,13047,13041,13060,19,18,-11,-1,1,13058,13054,13074,20,7,-14,-1,1,1,10
1354,2013-04-12 09:55:00,28,-8.6,-0.5745754542115319,9.47,0.870000000000001,0.9196221250865072,0,0,1,0,1,0,1,1,13080,13075,13082,7,5,5,0,0,13086,13078,13090,12,11,6,1,1,13081,13076,13086,10,6,-5,0,1,13075,13072,13080,8,0,-5,0,0,13080,13073,13080,7,-5,6,1,0,13074,13071,13075,4,1,2,0,0,13071,13071,13077,6,4,-4,0,0,13075,13075,13083,8,0,-4,0,0,13079,13072,13079,7,-4,6,1,0,13075,13067,13083,16,0,6,1,0,13069,13069,13079,10,6,-1,0,1,13075,13067,13083,16,0,5,0,0,13070,13038,13075,37,5,5,0,0,13065,13052,13072,20,10,8,1,1,13057,13051,13060,9,18,-2,0,1,13059,13058,13068,10,16,-7,-1,1,13066,13054,13070,16,9,8,1,1,13058,13043,13061,18,17,12,1,1,1,17
1355,2013-04-16 08:30:00,7_3,-54.26,-1.9629249665593234,1.05,-53.21,-1.0208673941926811,0,0,2,2,0,0,2,2,13138,13136,13145,9,-3,-2,0,0,13134,13133,13142,9,-7,-5,0,-1,13138,13134,13142,8,-3,4,0,0,13141,13140,13145,5,0,-2,0,0,13143,13136,13148,12,-2,7,1,0,13136,13130,13140,10,5,6,1,0,13129,13128,13135,7,12,-6,-1,1,13135,13130,13138,8,6,-2,0,1,13138,13115,13139,24,3,23,2,0,13138,13113,13139,26,3,25,2,0,13113,13112,13118,6,28,-3,0,2,13138,13112,13139,27,3,22,2,0,13116,13103,13123,20,25,11,1,2,13105,13093,13113,20,36,7,1,2,13098,13070,13098,28,43,24,2,2,13074,13071,13087,16,67,-3,0,2,13077,13038,13082,44,64,39,2,2,13038,13029,13053,24,103,-12,-1,2,-2,-22
1356,2013-04-18 08:30:00,32,-0.86,0.16223718453756694,-0.58,-1.44,0.18554482169722528,1,0,0,1,0,0,1,1,13050,13047,13056,9,1,1,0,0,13056,13044,13056,12,7,6,1,1,13067,13056,13071,15,18,11,1,1,13049,13046,13052,6,0,3,0,0,13046,13045,13049,4,3,-2,0,0,13048,13044,13050,6,1,3,0,0,13045,13044,13051,7,4,-2,0,0,13047,13041,13048,7,2,3,0,0,13044,13041,13048,7,5,2,0,0,13044,13038,13048,10,5,1,0,0,13043,13037,13064,27,6,-20,-1,1,13044,13037,13064,27,5,-19,-1,0,13063,13059,13069,10,-14,2,0,-1,13061,13053,13063,10,-12,2,0,-1,13059,13056,13072,16,-10,-8,-1,-1,13067,13049,13074,25,-18,12,1,-1,13055,13047,13058,11,-6,6,1,-1,13049,13037,13057,20,0,6,1,0,0,4
1357,2013-04-18 10:00:00,25,-51.85,0.1581285009283181,0.0,-51.85,0.1581285009283181,0,0,1,1,0,0,1,1,13041,13041,13056,15,-13,-13,-1,-1,13029,13026,13041,15,-25,-12,-1,-2,13038,13028,13039,11,-16,9,1,-1,13054,13048,13055,7,0,4,0,0,13050,13048,13055,7,4,-2,0,0,13052,13049,13057,8,2,0,0,0,13051,13046,13055,9,3,1,0,0,13050,13047,13056,9,4,-3,0,0,13053,13053,13059,6,1,-2,0,0,13053,13053,13063,10,1,-9,-1,0,13062,13055,13065,10,-8,-2,0,-1,13053,13053,13065,12,1,-11,-1,0,13064,13044,13075,31,-10,14,1,-1,13050,13041,13056,15,4,6,1,0,13044,13037,13064,27,10,-19,-1,1,13063,13059,13069,10,-9,2,0,-1,13061,13053,13063,10,-7,2,0,-1,13059,13056,13072,16,-5,-8,-1,0,2,23
