actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
0,USD,2011-11-22 09:59:00,-2,better,Low,Richmond Manufacturing Index,-6,accurate,47,2011-11-22 14:59:00+00:00,100.0,2011,4,11,Tuesday
0.7%,USD,2011-11-23 08:30:00,0.1%,better,High,Core Durable Goods Orders m/m,0.6%,worse,47,2011-11-23 13:30:00+00:00,600.0,2011,4,11,Wednesday
393K,USD,2011-11-23 08:30:00,389K,accurate,High,Unemployment Claims,391K,accurate,47,2011-11-23 13:30:00+00:00,1.03,2011,4,11,Wednesday
0.1%,USD,2011-11-23 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.0%,accurate,47,2011-11-23 13:30:00+00:00,0.0,2011,4,11,Wednesday
-0.7%,USD,2011-11-23 08:30:00,-1.1%,better,Medium,Durable Goods Orders m/m,-1.5%,worse,47,2011-11-23 13:30:00+00:00,36.36,2011,4,11,Wednesday
0.1%,USD,2011-11-23 08:30:00,0.4%,worse,Medium,Personal Spending m/m,0.7%,better,47,2011-11-23 13:30:00+00:00,-75.0,2011,4,11,Wednesday
0.4%,USD,2011-11-23 08:30:00,0.3%,better,Low,Personal Income m/m,0.1%,accurate,47,2011-11-23 13:30:00+00:00,33.33,2011,4,11,Wednesday
64.1,USD,2011-11-23 09:55:00,64.6,accurate,Medium,Revised UoM Consumer Sentiment,64.2,accurate,47,2011-11-23 14:55:00+00:00,-0.77,2011,4,11,Wednesday
-6.2M,USD,2011-11-23 10:30:00,-0.3M,accurate,Medium,Crude Oil Inventories,-1.1M,accurate,47,2011-11-23 15:30:00+00:00,-1966.67,2011,4,11,Wednesday
9B,USD,2011-11-23 12:00:00,17B,accurate,Low,Natural Gas Storage,19B,accurate,47,2011-11-23 17:00:00+00:00,-47.06,2011,4,11,Wednesday
0.6%,USD,2011-11-15 08:30:00,0.2%,better,High,Core Retail Sales m/m,0.5%,worse,46,2011-11-15 13:30:00+00:00,200.0,2011,4,11,Tuesday
-0.3%,USD,2011-11-15 08:30:00,-0.1%,worse,High,PPI m/m,0.8%,accurate,46,2011-11-15 13:30:00+00:00,-200.0,2011,4,11,Tuesday
0.5%,USD,2011-11-15 08:30:00,0.3%,better,High,Retail Sales m/m,1.1%,accurate,46,2011-11-15 13:30:00+00:00,66.67,2011,4,11,Tuesday
0.0%,USD,2011-11-15 08:30:00,0.1%,worse,Medium,Core PPI m/m,0.2%,accurate,46,2011-11-15 13:30:00+00:00,-100.0,2011,4,11,Tuesday
0.6,USD,2011-11-15 08:30:00,-2.0,better,Medium,Empire State Manufacturing Index,-8.5,accurate,46,2011-11-15 13:30:00+00:00,130.0,2011,4,11,Tuesday
0.0%,USD,2011-11-15 10:00:00,0.2%,better,Medium,Business Inventories m/m,0.4%,better,46,2011-11-15 15:00:00+00:00,-100.0,2011,4,11,Tuesday
0.1%,USD,2011-11-16 08:30:00,0.1%,accurate,High,Core CPI m/m,0.1%,accurate,46,2011-11-16 13:30:00+00:00,0.0,2011,4,11,Wednesday
-0.1%,USD,2011-11-16 08:30:00,0.0%,worse,Medium,CPI m/m,0.3%,accurate,46,2011-11-16 13:30:00+00:00,-100.0,2011,4,11,Wednesday
68.6B,USD,2011-11-16 09:00:00,63.4B,better,High,TIC Long-Term Purchases,58.0B,accurate,46,2011-11-16 14:00:00+00:00,8.2,2011,4,11,Wednesday
77.8%,USD,2011-11-16 09:15:00,77.6%,better,Medium,Capacity Utilization Rate,77.3%,accurate,46,2011-11-16 14:15:00+00:00,0.26,2011,4,11,Wednesday
0.7%,USD,2011-11-16 09:15:00,0.4%,better,Medium,Industrial Production m/m,-0.1%,worse,46,2011-11-16 14:15:00+00:00,75.0,2011,4,11,Wednesday
20,USD,2011-11-16 10:00:00,17,better,Low,NAHB Housing Market Index,17,worse,46,2011-11-16 15:00:00+00:00,17.65,2011,4,11,Wednesday
-1.1M,USD,2011-11-16 10:30:00,-1.3M,accurate,Medium,Crude Oil Inventories,-1.4M,accurate,46,2011-11-16 15:30:00+00:00,15.38,2011,4,11,Wednesday
0.65M,USD,2011-11-17 08:30:00,0.60M,better,High,Building Permits,0.59M,accurate,46,2011-11-17 13:30:00+00:00,8.33,2011,4,11,Thursday
388K,USD,2011-11-17 08:30:00,396K,better,High,Unemployment Claims,393K,accurate,46,2011-11-17 13:30:00+00:00,-2.02,2011,4,11,Thursday
0.63M,USD,2011-11-17 08:30:00,0.61M,accurate,Medium,Housing Starts,0.63M,worse,46,2011-11-17 13:30:00+00:00,3.28,2011,4,11,Thursday
3.6,USD,2011-11-17 10:00:00,8.7,worse,High,Philly Fed Manufacturing Index,8.7,accurate,46,2011-11-17 15:00:00+00:00,-58.62,2011,4,11,Thursday
19B,USD,2011-11-17 10:30:00,25B,accurate,Low,Natural Gas Storage,37B,accurate,46,2011-11-17 15:30:00+00:00,-24.0,2011,4,11,Thursday
0.9%,USD,2011-11-18 10:00:00,0.5%,better,Low,CB Leading Index m/m,0.1%,worse,46,2011-11-18 15:00:00+00:00,80.0,2011,4,11,Friday
7.4B,USD,2011-11-07 15:00:00,5.1B,better,Low,Consumer Credit m/m,-9.7B,accurate,45,2011-11-07 20:00:00+00:00,45.1,2011,4,11,Monday
90.2,USD,2011-11-08 07:30:00,90.0,accurate,Low,NFIB Small Business Index,88.9,accurate,45,2011-11-08 12:30:00+00:00,0.22,2011,4,11,Tuesday
40.6,USD,2011-11-08 10:00:00,42.5,worse,Low,IBD/TIPP Economic Optimism,40.3,accurate,45,2011-11-08 15:00:00+00:00,-4.47,2011,4,11,Tuesday
-0.1%,USD,2011-11-09 10:00:00,0.5%,better,Low,Final Wholesale Inventories m/m,0.1%,better,45,2011-11-09 15:00:00+00:00,-120.0,2011,4,11,Wednesday
-1.4M,USD,2011-11-09 10:30:00,0.7M,accurate,Medium,Crude Oil Inventories,1.8M,accurate,45,2011-11-09 15:30:00+00:00,-300.0,2011,4,11,Wednesday
-43.1B,USD,2011-11-10 08:30:00,-46.1B,better,High,Trade Balance,-44.9B,accurate,45,2011-11-10 13:30:00+00:00,6.51,2011,4,11,Thursday
390K,USD,2011-11-10 08:30:00,401K,better,High,Unemployment Claims,400K,accurate,45,2011-11-10 13:30:00+00:00,-2.74,2011,4,11,Thursday
-0.6%,USD,2011-11-10 08:30:00,0.1%,worse,Medium,Import Prices m/m,0.0%,worse,45,2011-11-10 13:30:00+00:00,-700.0,2011,4,11,Thursday
37B,USD,2011-11-10 10:30:00,31B,accurate,Low,Natural Gas Storage,78B,accurate,45,2011-11-10 15:30:00+00:00,19.35,2011,4,11,Thursday
-98.5B,USD,2011-11-10 14:00:00,-107.5B,better,Medium,Federal Budget Balance,-61.5B,better,45,2011-11-10 19:00:00+00:00,8.37,2011,4,11,Thursday
64.2,USD,2011-11-11 09:55:00,61.3,better,High,Prelim UoM Consumer Sentiment,60.9,better,45,2011-11-11 14:55:00+00:00,4.73,2011,4,11,Friday
58.4,USD,2011-10-31 09:45:00,59.2,worse,Medium,Chicago PMI,60.4,accurate,44,2011-10-31 13:45:00+00:00,-1.35,2011,4,10,Monday
50.8,USD,2011-11-01 10:00:00,52.1,worse,High,ISM Manufacturing PMI,51.6,accurate,44,2011-11-01 14:00:00+00:00,-2.5,2011,4,11,Tuesday
0.2%,USD,2011-11-01 10:00:00,0.4%,accurate,Low,Construction Spending m/m,1.6%,accurate,44,2011-11-01 14:00:00+00:00,-50.0,2011,4,11,Tuesday
41.0,USD,2011-11-01 10:00:00,55.1,worse,Low,ISM Manufacturing Prices,56.0,accurate,44,2011-11-01 14:00:00+00:00,-25.59,2011,4,11,Tuesday
13.3M,USD,2011-11-01 01:00:00,13.1M,better,Low,Total Vehicle Sales,13.1M,accurate,44,2011-11-01 05:00:00+00:00,1.53,2011,4,11,Tuesday
110K,USD,2011-11-02 08:15:00,102K,better,High,ADP Non-Farm Employment Change,116K,better,44,2011-11-02 12:15:00+00:00,7.84,2011,4,11,Wednesday
1.8M,USD,2011-11-02 10:30:00,1.4M,accurate,Medium,Crude Oil Inventories,4.7M,accurate,44,2011-11-02 14:30:00+00:00,28.57,2011,4,11,Wednesday
<0.25%,USD,2011-11-02 12:32:00,<0.25%,accurate,Medium,Federal Funds Rate,<0.25%,accurate,44,2011-11-02 16:32:00+00:00,0.0,2011,4,11,Wednesday
