,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
83,2007-08-03 10:00:00,18,-1.11,0,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,11,1,10,-2,9,-3,9,2,20,16,21,31,39,26,24,2
84,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,19,-3,13,2,17,11,15,19,17,28,10,20,20,-3,26,2
85,2007-08-15 08:30:00,7,0.05,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,11,-4,9,-3,8,-6,11,-5,17,-16,13,-13,19,8,-13,0
86,2007-08-15 09:00:00,30,1.66,0,-0.01,0,0,1,0,1,0,0,1,2007,33,2,1,12,-5,15,-2,16,7,12,9,14,1,12,6,25,-9,18,2
87,2007-08-17 10:00:00,28,-1.2,0,-1.26,0,0,0,1,0,0,1,1,2007,33,4,1,14,10,10,13,8,14,9,11,13,16,9,16,36,-7,47,2
88,2007-08-24 08:30:00,8,2.59,0,-0.71,0,0,1,0,0,0,1,1,2007,34,4,1,12,-7,24,2,14,2,14,6,16,14,12,18,26,1,-6,1
89,2007-08-24 10:00:00,21,0.46,0,0.58,0,0,1,0,0,1,0,1,2007,34,4,1,15,11,16,15,13,4,13,10,13,6,12,4,37,-5,7,1
90,2007-08-27 10:00:00,14,0.28,0,0.46,0,1,0,0,1,0,0,1,2007,35,0,1,12,-3,11,-4,8,-4,7,-5,6,-3,6,-3,16,-1,-14,0
91,2007-08-28 10:00:00,4,0.05,0,-0.52,0,1,0,0,0,0,1,1,2007,35,1,1,10,1,16,-10,11,-5,11,-3,13,-8,13,-6,23,-14,-5,1
92,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,14,2,15,-6,11,-3,11,5,16,8,9,9,39,25,2,1
93,2007-08-31 08:30:00,9,-1.12,0,2.24,2,0,0,1,0,1,0,1,2007,35,4,1,8,1,11,-2,9,-2,10,-4,13,-9,10,-8,28,-1,-18,0
94,2007-09-04 10:00:00,17,-0.14,0,0.0,0,1,0,0,1,0,0,1,2007,36,1,1,12,-1,11,2,8,5,11,-1,8,3,14,-3,27,20,7,1
95,2007-09-05 10:00:00,24,-2.3,0,0.31,0,0,0,1,1,0,0,1,2007,36,2,1,11,9,32,30,37,60,14,57,11,55,13,57,25,11,59,2
96,2007-09-06 10:00:00,18,0.37,0,0.0,0,0,1,0,1,0,0,1,2007,36,3,1,11,-6,11,-5,16,1,12,5,11,3,12,1,29,20,13,2
97,2007-09-11 08:30:00,31,-0.06,0,-2.02,1,1,0,0,0,0,1,1,2007,37,1,1,15,-10,8,-6,9,-4,12,-2,7,-1,6,3,20,7,3,1
98,2007-09-14 10:00:00,28,0.06,0,0.06,0,1,0,0,1,0,0,1,2007,37,4,1,11,0,14,-7,20,-22,12,-23,10,-24,13,-22,22,1,-17,0
99,2007-09-18 08:30:00,23,-3.49,2,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,16,7,19,16,14,8,9,6,6,8,7,6,28,9,10,1
100,2007-09-18 09:00:00,30,-2.23,0,-3.23,2,0,0,1,0,0,1,1,2007,38,1,1,20,15,10,12,11,13,9,10,10,4,9,1,35,15,-4,1
101,2007-09-18 14:15:00,15,-0.25,2,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,75,41,24,32,23,50,21,68,22,70,15,67,91,12,84,2
102,2007-09-19 08:30:00,7,0.05,0,0.0,0,1,0,0,1,0,0,1,2007,38,2,1,18,-3,24,-20,11,-18,13,-6,10,-9,12,0,29,17,1,1
103,2007-09-26 08:30:00,8,-0.46,0,-0.32,0,0,0,1,0,0,1,1,2007,39,2,1,14,-5,11,-9,6,-8,6,-12,8,-12,8,-11,29,14,-11,1
104,2007-09-27 10:00:00,21,-0.41,0,-0.13,0,0,0,1,0,0,1,1,2007,39,3,1,17,-11,13,-13,9,-10,12,-16,17,-22,9,-22,18,3,-21,0
105,2007-09-28 08:30:00,9,0.04,0,0.04,0,1,0,0,1,0,0,1,2007,39,4,1,13,-9,13,-2,9,1,14,0,25,19,10,14,25,-5,12,2
106,2007-10-01 10:00:00,17,-0.39,0,0.0,0,0,0,1,1,0,0,1,2007,40,0,1,14,9,13,14,8,13,14,12,9,11,14,4,19,0,15,2
107,2007-10-02 10:00:00,24,-0.79,0,4.95,2,0,0,1,0,1,0,1,2007,40,1,1,18,-6,12,-14,13,-17,7,-18,8,-19,9,-18,29,20,-27,0
108,2007-10-03 08:15:00,0,0.12,0,-0.64,0,1,0,0,0,0,1,1,2007,40,2,1,11,-5,10,0,9,-1,6,-4,10,-6,8,-7,29,14,-8,1
109,2007-10-03 10:00:00,18,-0.06,0,0.0,0,1,0,0,1,0,0,1,2007,40,2,1,13,-11,13,-16,11,-11,16,-19,9,-19,10,-21,18,1,-38,0
110,2007-10-11 08:30:00,31,0.35,0,-1.06,0,0,1,0,1,0,0,1,2007,41,3,1,20,-18,15,-3,26,-19,10,-23,11,-26,14,-19,30,6,-36,0
111,2007-10-12 10:00:00,28,-0.41,0,-0.26,0,0,0,1,1,0,0,1,2007,41,4,1,14,4,22,-7,13,0,14,0,12,-1,8,-2,48,-28,-10,1
112,2007-10-16 09:00:00,30,-2.31,0,0.03,0,0,0,1,1,0,0,1,2007,42,1,1,33,23,13,23,16,13,13,15,11,11,19,7,55,4,5,1
113,2007-10-17 08:30:00,7,0.04,0,0.0,0,1,0,0,1,0,0,1,2007,42,2,1,20,-2,17,-4,19,5,12,4,11,6,11,10,32,15,14,2
114,2007-10-24 10:00:00,14,-2.59,0,-1.26,0,0,0,1,1,0,0,1,2007,43,2,1,20,-4,14,-8,13,-15,10,-12,10,-6,10,-8,27,4,-26,0
115,2007-10-25 08:30:00,8,-0.22,0,2.0,1,0,0,1,0,1,0,1,2007,43,3,1,13,2,24,21,24,27,12,24,10,24,10,27,22,3,14,2
116,2007-10-25 10:00:00,21,72.65,0,-2.55,1,1,0,0,0,0,1,1,2007,43,3,1,13,-7,12,-2,17,6,13,-2,14,1,11,-4,27,-15,-11,1
117,2007-10-30 10:00:00,4,-0.72,0,-0.27,0,0,0,1,1,0,0,1,2007,44,1,1,21,18,8,18,11,11,7,10,10,12,11,15,30,3,13,2
118,2007-10-31 08:30:00,1,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,44,2,1,14,-8,24,-21,12,-24,15,-19,15,-12,13,-15,27,-8,4,1
119,2007-10-31 14:15:00,15,0.11,0,0.0,0,1,0,0,1,0,0,1,2007,44,2,1,25,1,19,-1,9,-1,12,6,21,14,27,40,41,-4,27,2
120,2007-11-01 08:30:00,9,0.05,0,0.04,0,1,0,0,1,0,0,1,2007,44,3,1,16,-7,10,-4,13,1,12,-1,20,-15,16,-7,22,8,-7,1
121,2007-11-01 10:00:00,17,-0.65,0,0.0,0,0,0,1,1,0,0,1,2007,44,3,1,20,-12,11,-12,12,-6,13,-13,14,-10,16,-1,28,-3,0,1
122,2007-11-05 10:00:00,18,0.59,0,0.0,0,0,1,0,1,0,0,1,2007,45,0,1,10,2,10,-1,8,1,13,-4,10,-6,9,-5,18,0,-5,1
123,2007-11-09 08:30:00,31,1.15,0,0.75,0,0,1,0,0,1,0,1,2007,45,4,1,14,-3,18,-14,11,-10,9,-8,6,-10,10,-8,23,-9,6,1
124,2007-11-09 10:00:00,28,-1.06,0,-0.85,0,0,0,1,0,0,1,1,2007,45,4,1,15,4,18,-8,11,-5,15,0,11,-1,11,0,31,-9,2,1
125,2007-11-13 15:00:00,24,0.5,0,0.71,0,0,1,0,1,0,0,1,2007,46,1,1,20,10,10,6,9,2,6,4,10,-2,7,-3,27,-1,9,1
126,2007-11-15 08:30:00,7,0.04,0,0.0,0,1,0,0,1,0,0,1,2007,46,3,1,19,-15,13,-16,17,-24,11,-28,12,-23,20,-36,21,8,-30,0
127,2007-11-16 09:00:00,30,-0.54,0,-0.12,0,0,0,1,1,0,0,1,2007,46,4,1,16,4,13,6,12,9,15,15,17,23,15,18,30,8,19,2
