,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
3,clf,rforest,all,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 10}",0.68,0.72,0.53,0.83,0.56,231.00,788.00,273.00,"{'0': {'precision': 0.5331325301204819, 'recall': 0.7662337662337663, 'f1-score': 0.6287744227353463, 'support': 231}, '1': {'precision': 0.8268608414239482, 'recall': 0.6484771573604061, 'f1-score': 0.7268847795163585, 'support': 788}, '2': {'precision': 0.5555555555555556, 'recall': 0.6959706959706959, 'f1-score': 0.6178861788617886, 'support': 273}, 'micro avg': {'precision': 0.6795665634674922, 'recall': 0.6795665634674922, 'f1-score': 0.6795665634674922, 'support': 1292}, 'macro avg': {'precision': 0.6385163090333286, 'recall': 0.7035605398549561, 'f1-score': 0.6578484603711645, 'support': 1292}, 'weighted avg': {'precision': 0.7170175109648368, 'recall': 0.6795665634674922, 'f1-score': 0.6863119386532692, 'support': 1292}}",16.48
4,clf,xgb,all,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.72,0.57,0.82,0.58,255.00,761.00,276.00,"{'0': {'precision': 0.572289156626506, 'recall': 0.7450980392156863, 'f1-score': 0.6473594548551959, 'support': 255}, '1': {'precision': 0.8171521035598706, 'recall': 0.6636005256241787, 'f1-score': 0.7324147933284989, 'support': 761}, '2': {'precision': 0.5847953216374269, 'recall': 0.7246376811594203, 'f1-score': 0.6472491909385114, 'support': 276}, 'micro avg': {'precision': 0.6927244582043344, 'recall': 0.6927244582043344, 'f1-score': 0.6927244582043344, 'support': 1292}, 'macro avg': {'precision': 0.6580788606079345, 'recall': 0.7111120819997617, 'f1-score': 0.675674479707402, 'support': 1292}, 'weighted avg': {'precision': 0.7191873022606426, 'recall': 0.6927244582043344, 'f1-score': 0.697434284373136, 'support': 1292}}",0.83
5,clf,gboosting,all,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.73,0.57,0.84,0.55,256.00,791.00,245.00,"{'0': {'precision': 0.5692771084337349, 'recall': 0.73828125, 'f1-score': 0.6428571428571429, 'support': 256}, '1': {'precision': 0.8414239482200647, 'recall': 0.6573957016434893, 'f1-score': 0.738112136266856, 'support': 791}, '2': {'precision': 0.5497076023391813, 'recall': 0.7673469387755102, 'f1-score': 0.6405451448040885, 'support': 245}, 'micro avg': {'precision': 0.6942724458204335, 'recall': 0.6942724458204335, 'f1-score': 0.6942724458204335, 'support': 1292}, 'macro avg': {'precision': 0.6534695529976603, 'recall': 0.7210079634729998, 'f1-score': 0.6738381413093625, 'support': 1292}, 'weighted avg': {'precision': 0.7321823880605315, 'recall': 0.6942724458204335, 'f1-score': 0.7007366012658772, 'support': 1292}}",2.46
6,clf,ada,all,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.61,0.73,0.68,277.00,664.00,351.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.7346278317152104, 'recall': 0.6837349397590361, 'f1-score': 0.7082683307332295, 'support': 664}, '2': {'precision': 0.6812865497076024, 'recall': 0.6638176638176638, 'f1-score': 0.6724386724386725, 'support': 351}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6757867215184477, 'recall': 0.6934681963787556, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6937267346238227, 'recall': 0.6888544891640866, 'f1-score': 0.6896151797983786, 'support': 1292}}",0.74
0,clf,kn,basic,ALL_NO_3_2_1,60_120,included,basic,0.62,{'n_neighbors': 31},0.65,0.72,0.46,0.86,0.47,222.00,851.00,219.00,"{'0': {'precision': 0.4608433734939759, 'recall': 0.6891891891891891, 'f1-score': 0.5523465703971119, 'support': 222}, '1': {'precision': 0.8592233009708737, 'recall': 0.6239717978848414, 'f1-score': 0.7229407760381211, 'support': 851}, '2': {'precision': 0.47076023391812866, 'recall': 0.7351598173515982, 'f1-score': 0.5739750445632799, 'support': 219}, 'micro avg': {'precision': 0.6540247678018576, 'recall': 0.6540247678018576, 'f1-score': 0.6540247678018576, 'support': 1292}, 'macro avg': {'precision': 0.5969423027943261, 'recall': 0.6827736014752096, 'f1-score': 0.6164207969995043, 'support': 1292}, 'weighted avg': {'precision': 0.7249247285371102, 'recall': 0.6540247678018576, 'f1-score': 0.6683777660959429, 'support': 1292}}",5.60
1,clf,svc-rbf,basic,ALL_NO_3_2_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.15944272445820434, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}}",7.28
2,clf,dtree,basic,ALL_NO_3_2_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 10}",0.69,0.74,0.61,0.84,0.48,277.00,816.00,199.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.8446601941747572, 'recall': 0.6397058823529411, 'f1-score': 0.7280334728033472, 'support': 816}, '2': {'precision': 0.4766081871345029, 'recall': 0.8190954773869347, 'f1-score': 0.6025878003696858, 'support': 199}, 'micro avg': {'precision': 0.6873065015479877, 'recall': 0.6873065015479877, 'f1-score': 0.6873065015479877, 'support': 1292}, 'macro avg': {'precision': 0.6442380548139301, 'recall': 0.7305511150998142, 'f1-score': 0.6657626466132333, 'support': 1292}, 'weighted avg': {'precision': 0.7379707659551694, 'recall': 0.6873065015479877, 'f1-score': 0.6955549169874347, 'support': 1292}}",0.43
3,clf,rforest,basic,ALL_NO_3_2_1,60_120,included,basic,0.67,"{'max_depth': 7, 'min_samples_leaf': 50, 'n_estimators': 200}",0.69,0.73,0.54,0.83,0.57,237.00,787.00,268.00,"{'0': {'precision': 0.5421686746987951, 'recall': 0.759493670886076, 'f1-score': 0.632688927943761, 'support': 237}, '1': {'precision': 0.8349514563106796, 'recall': 0.6556543837357052, 'f1-score': 0.7345195729537366, 'support': 787}, '2': {'precision': 0.5730994152046783, 'recall': 0.7313432835820896, 'f1-score': 0.6426229508196721, 'support': 268}, 'micro avg': {'precision': 0.6904024767801857, 'recall': 0.6904024767801857, 'f1-score': 0.6904024767801857, 'support': 1292}, 'macro avg': {'precision': 0.6500731820713844, 'recall': 0.7154971127346236, 'f1-score': 0.6699438172390565, 'support': 1292}, 'weighted avg': {'precision': 0.726928340011589, 'recall': 0.6904024767801857, 'f1-score': 0.6967779649047477, 'support': 1292}}",16.35
4,clf,xgb,basic,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.72,0.58,0.83,0.56,254.00,774.00,264.00,"{'0': {'precision': 0.5753012048192772, 'recall': 0.7519685039370079, 'f1-score': 0.6518771331058021, 'support': 254}, '1': {'precision': 0.8252427184466019, 'recall': 0.6589147286821705, 'f1-score': 0.732758620689655, 'support': 774}, '2': {'precision': 0.5614035087719298, 'recall': 0.7272727272727273, 'f1-score': 0.6336633663366337, 'support': 264}, 'micro avg': {'precision': 0.6911764705882353, 'recall': 0.6911764705882353, 'f1-score': 0.6911764705882353, 'support': 1292}, 'macro avg': {'precision': 0.6539824773459363, 'recall': 0.7127186532973019, 'f1-score': 0.6727663733773636, 'support': 1292}, 'weighted avg': {'precision': 0.72219419227365, 'recall': 0.6911764705882353, 'f1-score': 0.696609205058466, 'support': 1292}}",0.74
5,clf,gboosting,basic,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.72,0.59,0.81,0.58,268.00,747.00,277.00,"{'0': {'precision': 0.5873493975903614, 'recall': 0.7276119402985075, 'f1-score': 0.65, 'support': 268}, '1': {'precision': 0.8122977346278317, 'recall': 0.6720214190093708, 'f1-score': 0.7355311355311355, 'support': 747}, '2': {'precision': 0.5789473684210527, 'recall': 0.7148014440433214, 'f1-score': 0.6397415185783523, 'support': 277}, 'micro avg': {'precision': 0.6927244582043344, 'recall': 0.6927244582043344, 'f1-score': 0.6927244582043344, 'support': 1292}, 'macro avg': {'precision': 0.6595315002130819, 'recall': 0.7048116011170665, 'f1-score': 0.6750908847031626, 'support': 1292}, 'weighted avg': {'precision': 0.7156071728899681, 'recall': 0.6927244582043344, 'f1-score': 0.6972524449597227, 'support': 1292}}",2.49
