,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
2,clf,dtree,basic,ALL_NO_3_2_1,30_90,included,basic,0.65,"{'max_depth': 5, 'min_samples_leaf': 200}",0.65,0.69,0.57,0.80,0.42,273.00,823.00,196.00,"{'0': {'precision': 0.5691318327974276, 'recall': 0.6483516483516484, 'f1-score': 0.6061643835616438, 'support': 273}, '1': {'precision': 0.7996918335901386, 'recall': 0.6306196840826246, 'f1-score': 0.7051630434782609, 'support': 823}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6455108359133127, 'recall': 0.6455108359133127, 'f1-score': 0.6455108359133127, 'support': 1292}, 'macro avg': {'precision': 0.594828772329992, 'recall': 0.6610176550291114, 'f1-score': 0.6113515665890591, 'support': 1292}, 'weighted avg': {'precision': 0.69271613693224, 'recall': 0.6455108359133127, 'f1-score': 0.65656858123025, 'support': 1292}}",0.40
3,clf,rforest,basic,ALL_NO_3_2_1,30_90,included,basic,0.65,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 50}",0.64,0.71,0.45,0.84,0.41,201.00,890.00,201.00,"{'0': {'precision': 0.45016077170418006, 'recall': 0.6965174129353234, 'f1-score': 0.546875, 'support': 201}, '1': {'precision': 0.8397534668721109, 'recall': 0.6123595505617978, 'f1-score': 0.7082521117608837, 'support': 890}, '2': {'precision': 0.40963855421686746, 'recall': 0.6766169154228856, 'f1-score': 0.5103189493433395, 'support': 201}, 'micro avg': {'precision': 0.6354489164086687, 'recall': 0.6354489164086687, 'f1-score': 0.6354489164086687, 'support': 1292}, 'macro avg': {'precision': 0.5665175975977195, 'recall': 0.6618312929733356, 'f1-score': 0.5884820203680744, 'support': 1292}, 'weighted avg': {'precision': 0.7122292956859979, 'recall': 0.6354489164086687, 'f1-score': 0.6523532223569641, 'support': 1292}}",15.45
4,clf,xgb,basic,ALL_NO_3_2_1,30_90,included,basic,0.65,{'n_estimators': 50},0.65,0.71,0.53,0.83,0.43,233.00,855.00,204.00,"{'0': {'precision': 0.5273311897106109, 'recall': 0.703862660944206, 'f1-score': 0.6029411764705882, 'support': 233}, '1': {'precision': 0.8320493066255779, 'recall': 0.631578947368421, 'f1-score': 0.7180851063829786, 'support': 855}, '2': {'precision': 0.42771084337349397, 'recall': 0.696078431372549, 'f1-score': 0.5298507462686567, 'support': 204}, 'micro avg': {'precision': 0.6547987616099071, 'recall': 0.6547987616099071, 'f1-score': 0.6547987616099071, 'support': 1292}, 'macro avg': {'precision': 0.5956971132365609, 'recall': 0.6771733465617253, 'f1-score': 0.6169590097074078, 'support': 1292}, 'weighted avg': {'precision': 0.71325335635885, 'recall': 0.6547987616099071, 'f1-score': 0.6675987711407894, 'support': 1292}}",0.64
5,clf,gboosting,basic,ALL_NO_3_2_1,30_90,included,basic,0.65,{'n_estimators': 50},0.66,0.70,0.54,0.82,0.45,244.00,832.00,216.00,"{'0': {'precision': 0.5369774919614148, 'recall': 0.6844262295081968, 'f1-score': 0.6018018018018017, 'support': 244}, '1': {'precision': 0.8197226502311248, 'recall': 0.6394230769230769, 'f1-score': 0.7184334908845375, 'support': 832}, '2': {'precision': 0.44879518072289154, 'recall': 0.6898148148148148, 'f1-score': 0.5437956204379562, 'support': 216}, 'micro avg': {'precision': 0.6563467492260062, 'recall': 0.6563467492260062, 'f1-score': 0.6563467492260062, 'support': 1292}, 'macro avg': {'precision': 0.6018317743051437, 'recall': 0.6712213737486962, 'f1-score': 0.6213436377080984, 'support': 1292}, 'weighted avg': {'precision': 0.7043123158413511, 'recall': 0.6563467492260062, 'f1-score': 0.6672106486611249, 'support': 1292}}",1.87
6,clf,ada,basic,ALL_NO_3_2_1,30_90,included,basic,0.64,{'n_estimators': 10},0.64,0.68,0.59,0.78,0.42,294.00,802.00,196.00,"{'0': {'precision': 0.594855305466238, 'recall': 0.6292517006802721, 'f1-score': 0.6115702479338844, 'support': 294}, '1': {'precision': 0.7781201848998459, 'recall': 0.6296758104738155, 'f1-score': 0.6960716747070985, 'support': 802}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6408668730650154, 'recall': 0.6408668730650154, 'f1-score': 0.6408668730650154, 'support': 1292}, 'macro avg': {'precision': 0.5962127136561646, 'recall': 0.6543363812690496, 'f1-score': 0.6101230651227519, 'support': 1292}, 'weighted avg': {'precision': 0.681431677720451, 'recall': 0.6408668730650154, 'f1-score': 0.6505461930821985, 'support': 1292}}",0.58
0,clf,kn,all,ALL_NO_3_2_1,30_90,included,basic,0.60,{'n_neighbors': 11},0.61,0.69,0.45,0.82,0.34,244.00,872.00,176.00,"{'0': {'precision': 0.4533762057877814, 'recall': 0.5778688524590164, 'f1-score': 0.5081081081081081, 'support': 244}, '1': {'precision': 0.8197226502311248, 'recall': 0.6100917431192661, 'f1-score': 0.6995397764628534, 'support': 872}, '2': {'precision': 0.34036144578313254, 'recall': 0.6420454545454546, 'f1-score': 0.4448818897637795, 'support': 176}, 'micro avg': {'precision': 0.608359133126935, 'recall': 0.608359133126935, 'f1-score': 0.608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.5378201006006795, 'recall': 0.6100020167079124, 'f1-score': 0.5508432581115804, 'support': 1292}, 'weighted avg': {'precision': 0.6852365012938009, 'recall': 0.608359133126935, 'f1-score': 0.628696808090102, 'support': 1292}}",5.32
1,clf,svc-rbf,all,ALL_NO_3_2_1,30_90,included,basic,0.52,"{'C': 1, 'gamma': 1}",0.50,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5023219814241486, 'recall': 0.5023219814241486, 'f1-score': 0.5023219814241486, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1674406604747162, 'f1-score': 0.22290915335737593, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}}",7.26
2,clf,dtree,all,ALL_NO_3_2_1,30_90,included,basic,0.65,"{'max_depth': 5, 'min_samples_leaf': 200}",0.65,0.69,0.57,0.80,0.42,273.00,823.00,196.00,"{'0': {'precision': 0.5691318327974276, 'recall': 0.6483516483516484, 'f1-score': 0.6061643835616438, 'support': 273}, '1': {'precision': 0.7996918335901386, 'recall': 0.6306196840826246, 'f1-score': 0.7051630434782609, 'support': 823}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6455108359133127, 'recall': 0.6455108359133127, 'f1-score': 0.6455108359133127, 'support': 1292}, 'macro avg': {'precision': 0.594828772329992, 'recall': 0.6610176550291114, 'f1-score': 0.6113515665890591, 'support': 1292}, 'weighted avg': {'precision': 0.69271613693224, 'recall': 0.6455108359133127, 'f1-score': 0.65656858123025, 'support': 1292}}",0.50
3,clf,rforest,all,ALL_NO_3_2_1,30_90,included,basic,0.65,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.65,0.71,0.48,0.83,0.44,215.00,866.00,211.00,"{'0': {'precision': 0.48231511254019294, 'recall': 0.6976744186046512, 'f1-score': 0.5703422053231939, 'support': 215}, '1': {'precision': 0.8305084745762712, 'recall': 0.6224018475750578, 'f1-score': 0.7115511551155116, 'support': 866}, '2': {'precision': 0.4367469879518072, 'recall': 0.6872037914691943, 'f1-score': 0.5340699815837937, 'support': 211}, 'micro avg': {'precision': 0.6455108359133127, 'recall': 0.6455108359133127, 'f1-score': 0.6455108359133127, 'support': 1292}, 'macro avg': {'precision': 0.5831901916894239, 'recall': 0.6690933525496344, 'f1-score': 0.6053211140074998, 'support': 1292}, 'weighted avg': {'precision': 0.7082598317624021, 'recall': 0.6455108359133127, 'f1-score': 0.6590678332729878, 'support': 1292}}",17.20
4,clf,xgb,all,ALL_NO_3_2_1,30_90,included,basic,0.65,{'n_estimators': 50},0.66,0.71,0.53,0.83,0.45,233.00,844.00,215.00,"{'0': {'precision': 0.5273311897106109, 'recall': 0.703862660944206, 'f1-score': 0.6029411764705882, 'support': 233}, '1': {'precision': 0.8289676425269645, 'recall': 0.6374407582938388, 'f1-score': 0.7206965840589417, 'support': 844}, '2': {'precision': 0.4457831325301205, 'recall': 0.6883720930232559, 'f1-score': 0.5411334552102377, 'support': 215}, 'micro avg': {'precision': 0.6578947368421053, 'recall': 0.6578947368421053, 'f1-score': 0.6578947368421053, 'support': 1292}, 'macro avg': {'precision': 0.6006939882558987, 'recall': 0.6765585040871002, 'f1-score': 0.6215904052465892, 'support': 1292}, 'weighted avg': {'precision': 0.7108051323446642, 'recall': 0.6578947368421053, 'f1-score': 0.6695796470074264, 'support': 1292}}",0.74
5,clf,gboosting,all,ALL_NO_3_2_1,30_90,included,basic,0.65,{'n_estimators': 50},0.65,0.70,0.55,0.81,0.44,248.00,825.00,219.00,"{'0': {'precision': 0.5498392282958199, 'recall': 0.6895161290322581, 'f1-score': 0.6118067978533095, 'support': 248}, '1': {'precision': 0.8135593220338984, 'recall': 0.64, 'f1-score': 0.7164179104477612, 'support': 825}, '2': {'precision': 0.4427710843373494, 'recall': 0.6712328767123288, 'f1-score': 0.5335753176043557, 'support': 219}, 'micro avg': {'precision': 0.6547987616099071, 'recall': 0.6547987616099071, 'f1-score': 0.6547987616099071, 'support': 1292}, 'macro avg': {'precision': 0.6020565448890226, 'recall': 0.6669163352481956, 'f1-score': 0.6206000086351421, 'support': 1292}, 'weighted avg': {'precision': 0.700087799353877, 'recall': 0.6547987616099071, 'f1-score': 0.6653450902030786, 'support': 1292}}",2.23
6,clf,ada,all,ALL_NO_3_2_1,30_90,included,basic,0.64,{'n_estimators': 10},0.64,0.68,0.59,0.78,0.42,294.00,802.00,196.00,"{'0': {'precision': 0.594855305466238, 'recall': 0.6292517006802721, 'f1-score': 0.6115702479338844, 'support': 294}, '1': {'precision': 0.7781201848998459, 'recall': 0.6296758104738155, 'f1-score': 0.6960716747070985, 'support': 802}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6408668730650154, 'recall': 0.6408668730650154, 'f1-score': 0.6408668730650154, 'support': 1292}, 'macro avg': {'precision': 0.5962127136561646, 'recall': 0.6543363812690496, 'f1-score': 0.6101230651227519, 'support': 1292}, 'weighted avg': {'precision': 0.681431677720451, 'recall': 0.6408668730650154, 'f1-score': 0.6505461930821985, 'support': 1292}}",0.64
0,clf,kn,basic,ALL_YES_1_1_1,30_90,included,basic,0.64,{'n_neighbors': 51},0.65,0.77,0.37,0.90,0.31,114.00,711.00,92.00,"{'0': {'precision': 0.37438423645320196, 'recall': 0.6666666666666666, 'f1-score': 0.4794952681388013, 'support': 114}, '1': {'precision': 0.8984375, 'recall': 0.6469760900140648, 'f1-score': 0.7522485690923958, 'support': 711}, '2': {'precision': 0.3118811881188119, 'recall': 0.6847826086956522, 'f1-score': 0.4285714285714286, 'support': 92}, 'micro avg': {'precision': 0.653217011995638, 'recall': 0.653217011995638, 'f1-score': 0.653217011995638, 'support': 917}, 'macro avg': {'precision': 0.5282343081906713, 'recall': 0.6661417884587945, 'f1-score': 0.5534384219342086, 'support': 917}, 'weighted avg': {'precision': 0.7744404959243139, 'recall': 0.653217011995638, 'f1-score': 0.6858667007863557, 'support': 917}}",3.08
1,clf,svc-rbf,basic,ALL_YES_1_1_1,30_90,included,basic,0.54,"{'C': 1, 'gamma': 1}",0.56,1.00,0.00,1.00,0.00,0.00,917.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5583424209378408, 'f1-score': 0.7165850244926523, 'support': 917}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5583424209378408, 'recall': 0.5583424209378408, 'f1-score': 0.5583424209378408, 'support': 917}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1861141403126136, 'f1-score': 0.23886167483088408, 'support': 917}, 'weighted avg': {'precision': 1.0, 'recall': 0.5583424209378408, 'f1-score': 0.7165850244926523, 'support': 917}}",3.03
