,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
61,2007-02-21 08:30:00,13_8,3.0,0,-0.5,0,2,3,0,0,0,5,1,0,1,2007,8,2,2,26,-13,19,-32,10,-26,4,-29,8,-35,5,-30,33,-20,33,-22,31,12,-16,0
62,2007-02-21 10:00:00,7,-0.1,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,8,2,1,5,1,8,6,10,6,5,4,4,2,5,4,18,-2,20,3,13,5,1,1
63,2007-02-22 08:30:00,69,0.47,0,1.32,0,0,0,1,1,0,0,0,1,0,2007,8,3,1,7,-6,6,-4,4,-4,7,-11,6,-12,4,-10,15,-9,15,-6,18,13,-3,1
64,2007-02-22 10:30:00,18_46,0.95,2,0.0,0,2,0,0,2,0,0,0,2,0,2007,8,3,2,5,2,4,3,8,-2,6,-3,4,-5,5,-3,13,0,37,21,16,6,20,2
65,2007-02-27 08:30:00,14_20,-19.5,0,2.4,0,0,0,5,0,3,2,1,0,1,2007,9,1,2,13,11,6,10,6,12,11,6,6,4,12,11,15,4,15,5,32,15,-4,1
66,2007-02-27 09:00:00,65,-0.4,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,4,-2,4,-2,4,-5,6,-4,7,-1,5,-5,13,-2,18,0,23,13,1,1
67,2007-02-27 10:00:00,64_23_6,-2.0,0,2.7,0,0,6,1,4,3,0,2,1,0,2007,9,1,3,19,-13,12,-22,6,-23,8,-17,4,-16,7,-12,24,-8,28,-2,26,4,4,1
68,2007-02-28 08:30:00,55_54,0.3999999999999999,0,0.0,0,0,1,3,4,0,0,1,1,0,2007,9,2,2,14,-8,15,4,8,0,9,2,11,-5,7,-5,20,-3,22,-10,26,22,-6,1
69,2007-02-28 09:45:00,10,-4.2,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,9,2,1,7,-6,5,-4,5,-4,6,1,6,-1,3,-2,19,0,30,-11,26,-12,2,1
70,2007-02-28 10:00:00,47,-429.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,9,2,1,6,5,6,3,3,2,6,3,5,2,14,-8,30,-14,30,-11,20,-1,14,1
71,2007-02-28 10:30:00,18,-0.33,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,14,-9,9,-1,5,-3,10,-1,8,3,13,11,27,6,33,15,30,-8,16,2
72,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,6,1,5,0,9,1,5,0,5,1,3,1,9,1,9,2,10,-1,-3,1
73,2007-03-01 08:30:00,69_15_52_51,6.41,0,-0.77,0,0,6,1,7,0,0,1,2,1,2007,9,3,4,8,2,9,4,9,1,6,-4,5,-3,7,0,16,1,16,-1,19,-1,-30,0
74,2007-03-01 09:30:00,46,1.15,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,11,5,6,2,7,-3,4,0,7,2,13,-8,40,-21,60,-32,18,0,-56,0
75,2007-03-01 10:00:00,11_38_39,3.7,0,1.0,0,0,4,1,4,1,0,1,2,0,2007,9,3,3,17,-14,8,-11,8,-18,22,-37,15,-24,10,-30,43,-39,45,-37,40,-10,-35,0
76,2007-03-02 10:00:00,63,-5.4,0,-7.2,0,0,0,2,2,0,0,0,0,1,2007,9,4,1,8,5,12,1,8,-1,15,-5,5,-7,5,-8,24,0,24,-3,21,-5,12,1
77,2007-03-05 10:00:00,40,-8.7,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,10,0,1,14,13,11,7,7,9,7,9,2,12,7,12,17,8,18,2,40,14,-4,1
78,2007-03-06 08:30:00,61_62,0.8,0,0.0,0,2,1,0,3,0,0,0,1,1,2007,10,1,2,10,-5,7,-8,8,-8,5,-6,5,-12,4,-12,17,-6,17,-10,14,-2,0,1
79,2007-03-06 10:00:00,50_24,-8.299999999999999,0,0.7999999999999998,0,0,0,5,0,2,3,1,0,1,2007,10,1,2,6,0,10,-4,5,1,4,2,4,2,6,-2,12,-2,17,5,18,10,4,1
80,2007-03-07 08:15:00,0,-86.0,0,-62.0,0,0,0,2,0,0,2,0,0,1,2007,10,2,1,12,4,9,-3,6,-1,3,0,4,2,5,4,15,2,15,2,17,3,6,1
81,2007-03-07 10:30:00,18,-3.14,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,7,5,4,4,5,-1,5,2,7,-1,5,-1,13,-5,18,-5,21,10,-2,1
82,2007-03-07 15:00:00,12,-0.6,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,7,-1,6,0,4,-1,4,-2,6,-4,4,-5,11,-6,11,-3,24,21,-8,1
83,2007-03-08 08:30:00,69,-0.1,0,-1.3,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,8,-6,5,-6,17,-7,10,-10,8,-6,20,-18,46,-30,54,-36,19,2,-37,0
84,2007-03-08 09:30:00,46,-0.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,5,-1,9,5,9,-3,5,-6,5,-1,5,-1,13,0,14,-2,54,-28,9,1
85,2007-03-09 08:30:00,68_48_70_3,-4.3,0,2.1,0,6,5,0,8,3,0,3,0,1,2007,10,4,4,31,-23,19,-43,7,-43,16,-58,10,-57,8,-57,60,-43,64,-47,38,-3,-39,0
86,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,11,10,8,4,5,7,8,10,3,10,6,6,13,8,18,12,21,1,18,2
87,2007-03-12 15:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,11,0,1,5,1,5,1,5,-1,5,1,4,4,3,5,11,6,11,3,27,7,3,1
88,2007-03-13 08:30:00,17_60,-1.8000000000000003,0,-0.30000000000000004,0,0,0,6,3,0,3,2,0,0,2007,11,1,2,25,18,12,12,10,19,7,20,7,22,9,24,37,35,37,29,30,-5,15,1
89,2007-03-13 10:00:00,5,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,1,1,4,0,4,1,6,-4,5,-4,9,-10,6,-13,19,-6,19,-7,14,-9,-9,1
90,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,3,1,3,0,4,2,3,4,4,1,6,1,8,-3,12,4,17,-13,13,1
