,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
95,2007-07-17 09:00:00,30,1.55,1,-0.33,1,0,1,0,0,0,1,1,2007,29,1,1,4,-6,5,-3,4,-6,3,-7,3,-5,4,-10,12,3,12,0,21,9,3,1
96,2007-07-18 08:30:00,7,0.08,0,0.04,0,1,0,0,1,0,0,1,2007,29,2,1,11,-12,12,-22,10,-26,9,-26,7,-19,7,-22,27,-17,27,-11,19,3,12,1
97,2007-07-25 10:00:00,14,-0.39,0,-0.35,0,0,0,1,1,0,0,1,2007,30,2,1,17,-3,22,-15,11,-10,10,-14,10,-15,11,-15,29,-12,36,-20,27,-10,-21,0
98,2007-07-26 08:30:00,8,-0.62,0,0.9,0,0,0,1,0,1,0,1,2007,30,3,1,15,-3,9,-5,9,-4,9,-5,9,-9,9,-6,18,4,19,-2,41,30,6,1
99,2007-07-26 10:00:00,21,-0.61,0,-0.86,0,0,0,1,0,0,1,1,2007,30,3,1,21,13,19,3,13,2,8,2,13,8,12,2,27,2,27,3,39,4,-2,1
100,2007-07-27 08:30:00,1,1.0,0,-0.6,0,0,1,0,0,0,1,1,2007,30,4,1,14,4,18,15,10,18,10,18,12,13,12,6,27,5,27,9,23,11,4,1
101,2007-07-31 08:30:00,9,-1.0,0,0.04,0,0,0,1,1,0,0,1,2007,31,1,1,10,-3,9,-5,10,-10,7,-10,8,-13,10,-10,26,-16,26,-12,22,8,-27,0
102,2007-07-31 10:00:00,4,2.78,1,1.05,0,0,1,0,0,1,0,1,2007,31,1,1,10,-3,9,-7,12,-14,12,-13,12,-13,12,-17,27,-6,27,-9,20,-1,-3,1
103,2007-08-01 10:00:00,17_24,1.0299999999999998,2,-0.55,0,0,1,1,1,0,1,2,2007,31,2,2,9,-6,12,3,12,4,14,10,11,14,12,10,22,5,38,-10,14,7,-21,0
104,2007-08-03 08:30:00,22_33,-0.6399999999999999,1,-0.3,0,0,0,2,2,0,0,2,2007,31,4,2,29,24,10,21,15,11,20,11,8,13,10,15,32,29,32,25,39,2,65,2
105,2007-08-03 10:00:00,18,-1.11,0,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,11,1,10,-2,9,-3,9,2,20,16,21,31,41,22,41,24,39,26,36,2
106,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,19,-3,13,2,17,11,15,19,17,28,10,20,37,19,37,26,20,-3,7,1
107,2007-08-13 08:30:00,10_29,0.8800000000000001,0,2.1,0,1,1,0,0,2,0,2,2007,33,0,2,20,6,12,2,8,5,8,4,9,6,8,2,20,6,20,9,20,4,-22,0
108,2007-08-14 08:30:00,31_23,1.9700000000000002,0,1.11,0,0,2,0,1,1,0,2,2007,33,1,2,12,-7,13,-10,9,-5,10,-5,12,-14,13,-14,21,-9,21,-12,22,4,-7,1
109,2007-08-15 08:30:00,7,0.05,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,11,-4,9,-3,8,-6,11,-5,17,-16,13,-13,25,-15,25,-13,19,8,15,1
110,2007-08-15 09:00:00,30,1.66,0,-0.01,0,0,1,0,1,0,0,1,2007,33,2,1,12,-5,15,-2,16,7,12,9,14,1,12,6,21,-1,42,18,25,-9,8,1
111,2007-08-17 10:00:00,28,-1.2,0,-1.26,0,0,0,1,0,0,1,1,2007,33,4,1,14,10,10,13,8,14,9,11,13,16,9,16,38,29,61,47,36,-7,4,1
112,2007-08-24 08:30:00,8,2.59,0,-0.71,0,0,1,0,0,0,1,1,2007,34,4,1,12,-7,24,2,14,2,14,6,16,14,12,18,38,16,38,-6,26,1,22,2
113,2007-08-24 10:00:00,21,0.46,0,0.58,0,0,1,0,0,1,0,1,2007,34,4,1,15,11,16,15,13,4,13,10,13,6,12,4,22,12,22,7,37,-5,8,1
114,2007-08-27 10:00:00,14,0.28,0,0.46,0,1,0,0,1,0,0,1,2007,35,0,1,12,-3,11,-4,8,-4,7,-5,6,-3,6,-3,25,-13,25,-14,16,-1,-6,1
115,2007-08-28 10:00:00,4,0.05,0,-0.52,0,1,0,0,0,0,1,1,2007,35,1,1,10,1,16,-10,11,-5,11,-3,13,-8,13,-6,20,4,20,-5,23,-14,-25,0
116,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,14,2,15,-6,11,-3,11,5,16,8,9,9,24,4,24,2,39,25,6,1
