,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
49,2007-04-16 08:30:00,10_29,1.0,0,2.0,0,1,1,0,0,2,0,2,2007,16,0,2,10,5,4,6,2,-3,5,5,3,3,5,0,3,6,1,3,6,-1,12,6,15,-9,2,1
50,2007-04-16 09:00:00,30,-22.4,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,17,-2,-3,3,-3,-1,6,0,3,2,0,0,3,-2,-2,9,-9,-7,22,-3,21,2,-3,1
51,2007-04-17 08:30:00,7,-0.1,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,23,16,16,8,17,0,16,32,15,18,47,15,11,40,-7,4,39,-1,50,40,27,3,34,2
52,2007-04-24 10:00:00,14_4,-1.43,0,0.99,0,0,0,2,1,1,0,2,2007,17,1,2,20,15,16,9,19,5,6,17,-2,11,26,8,11,34,8,7,36,1,44,36,29,6,32,2
53,2007-04-25 08:30:00,8,1.0,0,-0.3,0,0,1,0,0,0,1,1,2007,17,2,1,12,-8,-8,13,-16,-8,11,-13,3,3,-13,0,5,-8,5,3,-7,1,25,-8,21,-9,-7,1
54,2007-04-25 10:00:00,21,-32.0,0,-12.0,0,0,0,1,0,0,1,1,2007,17,2,1,16,16,16,6,14,-1,13,23,9,9,18,-5,11,17,-1,5,16,-1,26,17,24,0,14,1
55,2007-04-27 08:30:00,1,-0.6,0,-1.0,0,0,0,1,0,0,1,1,2007,17,4,1,34,29,29,14,20,-9,11,19,-1,12,12,-6,9,14,4,8,15,1,34,14,43,8,20,2
56,2007-04-30 08:30:00,9,-0.1,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,9,1,-2,6,-1,-2,8,7,7,8,13,7,3,10,-3,4,9,-1,17,7,22,5,22,2
57,2007-05-01 10:00:00,17_24,-4.0,0,1.0,0,0,1,1,1,1,0,2,2007,18,1,2,15,-2,1,21,-19,-14,4,-21,-1,9,-28,-8,11,-32,-2,10,-34,-3,38,-28,28,-1,-46,0
58,2007-05-02 08:15:00,0,-43.0,0,-8.0,0,0,0,1,0,0,1,1,2007,18,2,1,7,7,4,5,6,0,3,5,-2,4,4,-1,4,6,3,3,6,-1,8,4,25,17,2,1
59,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,16,-15,-12,7,-12,4,6,-11,1,4,-14,-3,12,-24,-9,6,-19,4,21,-20,36,-15,-15,0
60,2007-05-04 08:30:00,22_33,-19.0,0,-3.0,0,1,0,1,2,0,0,2,2007,18,4,2,30,4,9,17,10,10,11,15,5,10,16,2,6,18,1,18,31,13,43,23,30,-5,38,2
61,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,-27,9,-24,3,8,-22,2,8,-25,-1,6,-27,-3,6,-30,-3,33,-27,29,6,-31,0
62,2007-05-10 08:30:00,31,-3.9,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,14,11,12,16,0,-12,7,4,5,7,-1,-4,21,-26,-20,5,-25,1,42,-25,19,4,-23,0
63,2007-05-11 08:30:00,10_29_23,-0.10000000000000009,0,2.0,0,0,1,2,1,2,0,3,2007,19,4,3,11,2,0,17,-13,-16,5,-11,1,5,-8,4,9,-3,4,5,1,4,21,-5,18,11,17,2
64,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,22,20,18,9,14,-7,6,20,5,4,18,-2,5,16,-2,3,16,0,22,14,32,7,6,1
65,2007-05-15 09:00:00,30,-4.4,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,13,-8,-9,8,-11,-2,3,-9,2,2,-9,1,3,-10,-2,5,-14,-4,18,-11,30,22,-4,1
66,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,9,-6,-7,6,-4,3,14,7,11,6,2,-4,7,5,4,9,12,7,23,4,10,4,34,2
67,2007-05-24 08:30:00,8,1.0,0,-1.2,0,0,1,0,0,0,1,1,2007,21,3,1,11,-9,-10,6,-14,-3,5,-10,5,4,-8,3,2,-8,-1,9,-4,4,18,-9,19,11,-2,1
68,2007-05-24 10:00:00,21,1.0,0,-14.0,0,0,1,0,0,0,1,1,2007,21,3,1,22,-20,-19,9,-25,-5,9,-27,-2,5,-26,-1,7,-24,3,2,-24,0,29,-23,33,3,-21,0
69,2007-05-25 10:00:00,14,-0.15,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,8,6,4,23,22,17,6,18,-4,8,22,4,3,22,0,6,21,-1,24,20,10,-4,5,1
70,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,13,-14,-11,4,-15,-2,3,-12,3,1,-11,0,5,-15,-4,6,-21,-5,19,-13,17,-2,-18,0
71,2007-05-30 08:15:00,0,-18.0,0,-3.0,0,0,0,1,1,0,0,1,2007,22,2,1,5,4,4,6,2,-1,2,2,0,4,4,1,4,2,-2,3,1,-1,8,2,23,-12,14,1
72,2007-05-31 08:30:00,26,-0.1,0,-0.9,0,0,0,1,1,0,0,1,2007,22,3,1,8,5,2,6,6,2,5,5,0,3,5,1,6,0,-4,4,2,2,10,-3,29,19,-12,1
73,2007-06-01 08:30:00,9_22_33,0.9,0,-8.0,0,1,1,1,2,0,1,3,2007,22,4,3,35,22,24,17,9,-15,9,-2,-9,15,-16,-11,8,-15,1,7,-12,2,43,-12,35,-2,-10,1
74,2007-06-01 10:00:00,17_24,-2.5,0,1.0,0,0,1,1,1,1,0,2,2007,22,4,2,19,-8,-7,20,-25,-17,8,-31,-6,11,-22,9,6,-27,-5,5,-29,-2,35,-26,23,-4,12,1
