,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
2,reg,dtree,all,ALL_NO_1_1_1,30_60,included,basic,15.82,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,15.52,0.56
3,reg,rforest,all,ALL_NO_1_1_1,30_60,included,basic,15.43,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,15.13,53.61
4,reg,xgb,all,ALL_NO_1_1_1,30_60,included,basic,15.43,{'n_estimators': 50},,,,,,,,,15.08,0.31
5,reg,gboosting,all,ALL_NO_1_1_1,30_60,included,basic,15.42,{'n_estimators': 50},,,,,,,,,15.07,0.71
6,reg,ada,all,ALL_NO_1_1_1,30_60,included,basic,16.72,{'n_estimators': 10},,,,,,,,,17.23,1.08
0,clf,kn,basic,ALL_NO_3_2_1,30_60,included,basic,0.64,{'n_neighbors': 11},0.66,0.66,0.62,0.67,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.6153846153846154, 'recall': 0.5916398713826366, 'f1-score': 0.6032786885245902, 'support': 311}, '1': {'precision': 0.6653645833333334, 'recall': 0.776595744680851, 'f1-score': 0.7166900420757363, 'support': 658}, '2': {'precision': 0.6933333333333334, 'recall': 0.48297213622291024, 'f1-score': 0.5693430656934307, 'support': 323}, 'micro avg': {'precision': 0.6586687306501547, 'recall': 0.6586687306501547, 'f1-score': 0.6586687306501547, 'support': 1292}, 'macro avg': {'precision': 0.6580275106837608, 'recall': 0.6170692507621326, 'f1-score': 0.6297705987645857, 'support': 1292}, 'weighted avg': {'precision': 0.6603259890747798, 'recall': 0.6586687306501547, 'f1-score': 0.6525538158173066, 'support': 1292}}",5.11
1,clf,svc-rbf,basic,ALL_NO_3_2_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,0.26,0.00,0.51,0.00,311.00,658.00,323.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, '1': {'precision': 0.5092879256965944, 'recall': 1.0, 'f1-score': 0.6748717948717948, 'support': 658}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 323}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.1697626418988648, 'recall': 0.3333333333333333, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 0.2593741912603399, 'recall': 0.5092879256965944, 'f1-score': 0.34370405652139396, 'support': 1292}}",7.25
2,clf,dtree,basic,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,0.70,0.73,0.71,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7312925170068028, 'recall': 0.6913183279742765, 'f1-score': 0.7107438016528925, 'support': 311}, '1': {'precision': 0.7099697885196374, 'recall': 0.7142857142857143, 'f1-score': 0.7121212121212123, 'support': 658}, '2': {'precision': 0.6458333333333334, 'recall': 0.6718266253869969, 'f1-score': 0.6585735963581184, 'support': 323}, 'micro avg': {'precision': 0.6981424148606811, 'recall': 0.6981424148606811, 'f1-score': 0.6981424148606811, 'support': 1292}, 'macro avg': {'precision': 0.6956985462865912, 'recall': 0.6924768892156626, 'f1-score': 0.6938128700440744, 'support': 1292}, 'weighted avg': {'precision': 0.6990683129270154, 'recall': 0.6981424148606811, 'f1-score': 0.6984027488494423, 'support': 1292}}",0.47
3,clf,rforest,basic,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.69,0.70,0.72,0.68,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7241379310344828, 'recall': 0.6077170418006431, 'f1-score': 0.6608391608391608, 'support': 311}, '1': {'precision': 0.6844919786096256, 'recall': 0.7781155015197568, 'f1-score': 0.728307254623044, 'support': 658}, '2': {'precision': 0.6890459363957597, 'recall': 0.6037151702786377, 'f1-score': 0.6435643564356436, 'support': 323}, 'micro avg': {'precision': 0.6934984520123839, 'recall': 0.6934984520123839, 'f1-score': 0.6934984520123839, 'support': 1292}, 'macro avg': {'precision': 0.6992252820132894, 'recall': 0.6631825711996792, 'f1-score': 0.6775702572992829, 'support': 1292}, 'weighted avg': {'precision': 0.6951737275020806, 'recall': 0.6934984520123839, 'f1-score': 0.6908811452721787, 'support': 1292}}",18.19
4,clf,xgb,basic,ALL_NO_3_2_1,30_60,included,basic,0.70,{'n_estimators': 10},0.70,0.70,0.71,0.70,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7103448275862069, 'recall': 0.662379421221865, 'f1-score': 0.6855241264559069, 'support': 311}, '1': {'precision': 0.7028571428571428, 'recall': 0.7477203647416414, 'f1-score': 0.7245949926362297, 'support': 658}, '2': {'precision': 0.6887417218543046, 'recall': 0.6439628482972136, 'f1-score': 0.6656000000000001, 'support': 323}, 'micro avg': {'precision': 0.7012383900928792, 'recall': 0.7012383900928792, 'f1-score': 0.7012383900928792, 'support': 1292}, 'macro avg': {'precision': 0.7006478974325514, 'recall': 0.6846875447535733, 'f1-score': 0.6919063730307121, 'support': 1292}, 'weighted avg': {'precision': 0.7011306637292962, 'recall': 0.7012383900928792, 'f1-score': 0.700441415234076, 'support': 1292}}",0.72
5,clf,gboosting,basic,ALL_NO_3_2_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,0.70,0.74,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7352941176470589, 'recall': 0.6430868167202572, 'f1-score': 0.6861063464837049, 'support': 311}, '1': {'precision': 0.6904109589041096, 'recall': 0.7659574468085106, 'f1-score': 0.7262247838616716, 'support': 658}, '2': {'precision': 0.6862068965517242, 'recall': 0.6160990712074303, 'f1-score': 0.6492659053833605, 'support': 323}, 'micro avg': {'precision': 0.6989164086687306, 'recall': 0.6989164086687306, 'f1-score': 0.6989164086687306, 'support': 1292}, 'macro avg': {'precision': 0.7039706577009642, 'recall': 0.6750477782453994, 'f1-score': 0.6871990119095791, 'support': 1292}, 'weighted avg': {'precision': 0.7001638615583177, 'recall': 0.6989164086687306, 'f1-score': 0.6973280719630321, 'support': 1292}}",2.18
6,clf,ada,basic,ALL_NO_3_2_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,0.68,0.70,0.69,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7031802120141343, 'recall': 0.639871382636656, 'f1-score': 0.67003367003367, 'support': 311}, '1': {'precision': 0.6902654867256637, 'recall': 0.7112462006079028, 'f1-score': 0.7005988023952097, 'support': 658}, '2': {'precision': 0.649546827794562, 'recall': 0.6656346749226006, 'f1-score': 0.6574923547400613, 'support': 323}, 'micro avg': {'precision': 0.6826625386996904, 'recall': 0.6826625386996904, 'f1-score': 0.6826625386996904, 'support': 1292}, 'macro avg': {'precision': 0.6809975088447867, 'recall': 0.6722507527223865, 'f1-score': 0.6760416090563136, 'support': 1292}, 'weighted avg': {'precision': 0.6831945523061347, 'recall': 0.6826625386996904, 'f1-score': 0.6824647940693181, 'support': 1292}}",0.66
0,reg,kn,basic,ALL_NO_3_2_1,30_60,included,basic,18.89,{'n_neighbors': 11},,,,,,,,,19.13,4.74
1,reg,svr-rbf,basic,ALL_NO_3_2_1,30_60,included,basic,26.11,"{'C': 1, 'gamma': 2}",,,,,,,,,26.46,5.19
2,reg,dtree,basic,ALL_NO_3_2_1,30_60,included,basic,15.82,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,15.52,0.44
3,reg,rforest,basic,ALL_NO_3_2_1,30_60,included,basic,15.42,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,15.12,45.56
4,reg,xgb,basic,ALL_NO_3_2_1,30_60,included,basic,15.35,{'n_estimators': 50},,,,,,,,,14.98,0.27
5,reg,gboosting,basic,ALL_NO_3_2_1,30_60,included,basic,15.43,{'n_estimators': 50},,,,,,,,,15.08,0.60
6,reg,ada,basic,ALL_NO_3_2_1,30_60,included,basic,16.91,{'n_estimators': 10},,,,,,,,,16.49,0.92
0,clf,kn,all,ALL_NO_3_2_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.68,0.69,0.73,0.66,0.71,311.00,658.00,323.00,"{'0': {'precision': 0.7341772151898734, 'recall': 0.5594855305466238, 'f1-score': 0.635036496350365, 'support': 311}, '1': {'precision': 0.6587112171837709, 'recall': 0.8389057750759878, 'f1-score': 0.7379679144385028, 'support': 658}, '2': {'precision': 0.7050691244239631, 'recall': 0.47368421052631576, 'f1-score': 0.5666666666666667, 'support': 323}, 'micro avg': {'precision': 0.6803405572755418, 'recall': 0.6803405572755418, 'f1-score': 0.6803405572755418, 'support': 1292}, 'macro avg': {'precision': 0.6993191855992024, 'recall': 0.6240251720496425, 'f1-score': 0.6465570258185115, 'support': 1292}, 'weighted avg': {'precision': 0.6884662709132445, 'recall': 0.6803405572755418, 'f1-score': 0.670365767336557, 'support': 1292}}",5.52
1,clf,svc-rbf,all,ALL_NO_3_2_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,0.26,0.00,0.51,0.00,311.00,658.00,323.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, '1': {'precision': 0.5092879256965944, 'recall': 1.0, 'f1-score': 0.6748717948717948, 'support': 658}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 323}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.1697626418988648, 'recall': 0.3333333333333333, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 0.2593741912603399, 'recall': 0.5092879256965944, 'f1-score': 0.34370405652139396, 'support': 1292}}",8.04
2,clf,dtree,all,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,0.70,0.73,0.71,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7312925170068028, 'recall': 0.6913183279742765, 'f1-score': 0.7107438016528925, 'support': 311}, '1': {'precision': 0.7099697885196374, 'recall': 0.7142857142857143, 'f1-score': 0.7121212121212123, 'support': 658}, '2': {'precision': 0.6458333333333334, 'recall': 0.6718266253869969, 'f1-score': 0.6585735963581184, 'support': 323}, 'micro avg': {'precision': 0.6981424148606811, 'recall': 0.6981424148606811, 'f1-score': 0.6981424148606811, 'support': 1292}, 'macro avg': {'precision': 0.6956985462865912, 'recall': 0.6924768892156626, 'f1-score': 0.6938128700440744, 'support': 1292}, 'weighted avg': {'precision': 0.6990683129270154, 'recall': 0.6981424148606811, 'f1-score': 0.6984027488494423, 'support': 1292}}",0.53
3,clf,rforest,all,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 50}",0.70,0.71,0.74,0.69,0.70,311.00,658.00,323.00,"{'0': {'precision': 0.7394636015325671, 'recall': 0.6205787781350482, 'f1-score': 0.6748251748251748, 'support': 311}, '1': {'precision': 0.6905710491367862, 'recall': 0.790273556231003, 'f1-score': 0.7370659107016301, 'support': 658}, '2': {'precision': 0.7014388489208633, 'recall': 0.6037151702786377, 'f1-score': 0.64891846921797, 'support': 323}, 'micro avg': {'precision': 0.7027863777089783, 'recall': 0.7027863777089783, 'f1-score': 0.7027863777089783, 'support': 1292}, 'macro avg': {'precision': 0.7104911665300722, 'recall': 0.6715225015482297, 'f1-score': 0.6869365182482583, 'support': 1292}, 'weighted avg': {'precision': 0.7050570267879819, 'recall': 0.7027863777089783, 'f1-score': 0.7000469536917232, 'support': 1292}}",19.23
4,clf,xgb,all,ALL_NO_3_2_1,30_60,included,basic,0.70,{'n_estimators': 10},0.70,0.70,0.71,0.70,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7103448275862069, 'recall': 0.662379421221865, 'f1-score': 0.6855241264559069, 'support': 311}, '1': {'precision': 0.7028571428571428, 'recall': 0.7477203647416414, 'f1-score': 0.7245949926362297, 'support': 658}, '2': {'precision': 0.6887417218543046, 'recall': 0.6439628482972136, 'f1-score': 0.6656000000000001, 'support': 323}, 'micro avg': {'precision': 0.7012383900928792, 'recall': 0.7012383900928792, 'f1-score': 0.7012383900928792, 'support': 1292}, 'macro avg': {'precision': 0.7006478974325514, 'recall': 0.6846875447535733, 'f1-score': 0.6919063730307121, 'support': 1292}, 'weighted avg': {'precision': 0.7011306637292962, 'recall': 0.7012383900928792, 'f1-score': 0.700441415234076, 'support': 1292}}",0.86
