,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
4,clf,xgb,min,all,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 50},0.77,0.73,0.79,0.55,983.00,309.00,"{'0': {'precision': 0.785, 'recall': 0.9582909460834181, 'f1-score': 0.8630325240494732, 'support': 983}, '1': {'precision': 0.5543478260869565, 'recall': 0.1650485436893204, 'f1-score': 0.2543640897755611, 'support': 309}, 'micro avg': {'precision': 0.7685758513931888, 'recall': 0.7685758513931888, 'f1-score': 0.7685758513931888, 'support': 1292}, 'macro avg': {'precision': 0.6696739130434783, 'recall': 0.5616697448863692, 'f1-score': 0.5586983069125171, 'support': 1292}, 'weighted avg': {'precision': 0.7298362834836453, 'recall': 0.7685758513931888, 'f1-score': 0.7174608938709602, 'support': 1292}}",0.36
5,clf,gboosting,min,all,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 200},0.77,0.74,0.80,0.55,983.00,309.00,"{'0': {'precision': 0.7965517241379311, 'recall': 0.9399796541200407, 'f1-score': 0.8623425104993, 'support': 983}, '1': {'precision': 0.553030303030303, 'recall': 0.23624595469255663, 'f1-score': 0.3310657596371882, 'support': 309}, 'micro avg': {'precision': 0.771671826625387, 'recall': 0.771671826625387, 'f1-score': 0.771671826625387, 'support': 1292}, 'macro avg': {'precision': 0.6747910135841171, 'recall': 0.5881128044062987, 'f1-score': 0.596704135068244, 'support': 1292}, 'weighted avg': {'precision': 0.7383101458699303, 'recall': 0.771671826625387, 'f1-score': 0.7352801916011634, 'support': 1292}}",0.96
6,clf,ada,min,all,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 50},0.76,0.72,0.79,0.50,983.00,309.00,"{'0': {'precision': 0.7882152006831767, 'recall': 0.9389623601220752, 'f1-score': 0.8570102135561746, 'support': 983}, '1': {'precision': 0.5041322314049587, 'recall': 0.19741100323624594, 'f1-score': 0.2837209302325581, 'support': 309}, 'micro avg': {'precision': 0.7616099071207431, 'recall': 0.7616099071207431, 'f1-score': 0.7616099071207431, 'support': 1292}, 'macro avg': {'precision': 0.6461737160440677, 'recall': 0.5681866816791605, 'f1-score': 0.5703655718943663, 'support': 1292}, 'weighted avg': {'precision': 0.7202727567923336, 'recall': 0.7616099071207431, 'f1-score': 0.7199000057024614, 'support': 1292}}",0.89
0,reg,kn,min,all,ALL_NO_1_1_1,60_120,included,basic,13.89,{'n_neighbors': 31},,,,,,,12.72,6.46
1,reg,svr-rbf,min,all,ALL_NO_1_1_1,60_120,included,basic,15.40,"{'C': 5, 'gamma': 3}",,,,,,,14.03,7.39
2,reg,dtree,min,all,ALL_NO_1_1_1,60_120,included,basic,13.77,"{'max_depth': 6, 'min_samples_leaf': 150}",,,,,,,12.71,0.59
3,reg,rforest,min,all,ALL_NO_1_1_1,60_120,included,basic,13.37,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 200}",,,,,,,12.30,58.23
4,reg,xgb,min,all,ALL_NO_1_1_1,60_120,included,basic,13.49,{'n_estimators': 50},,,,,,,12.44,0.37
5,reg,gboosting,min,all,ALL_NO_1_1_1,60_120,included,basic,13.51,{'n_estimators': 50},,,,,,,12.54,0.84
6,reg,ada,min,all,ALL_NO_1_1_1,60_120,included,basic,14.95,{'n_estimators': 10},,,,,,,14.73,1.23
