,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
6,clf,ada,all,ALL_YES_1_1_1,60_120,included,basic,0.70,{'n_estimators': 10},0.68,0.69,0.61,0.71,0.71,205.00,492.00,220.00,"{'0': {'precision': 0.6121495327102804, 'recall': 0.6390243902439025, 'f1-score': 0.6252983293556086, 'support': 205}, '1': {'precision': 0.707089552238806, 'recall': 0.7703252032520326, 'f1-score': 0.7373540856031129, 'support': 492}, '2': {'precision': 0.7065868263473054, 'recall': 0.5363636363636364, 'f1-score': 0.6098191214470284, 'support': 220}, 'micro avg': {'precision': 0.6848418756815703, 'recall': 0.6848418756815703, 'f1-score': 0.6848418756815703, 'support': 917}, 'macro avg': {'precision': 0.675275303765464, 'recall': 0.6485710766198571, 'f1-score': 0.6574905121352499, 'support': 917}, 'weighted avg': {'precision': 0.6857446190877942, 'recall': 0.6848418756815703, 'f1-score': 0.6817061879530835, 'support': 917}}",0.41
0,reg,kn,all,ALL_YES_1_1_1,60_120,included,basic,22.92,{'n_neighbors': 11},,,,,,,,,22.50,3.75
1,reg,svr-rbf,all,ALL_YES_1_1_1,60_120,included,basic,33.13,"{'C': 1, 'gamma': 1}",,,,,,,,,31.55,2.19
2,reg,dtree,all,ALL_YES_1_1_1,60_120,included,basic,21.71,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,21.56,0.27
3,reg,rforest,all,ALL_YES_1_1_1,60_120,included,basic,21.31,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,,,20.90,28.29
4,reg,xgb,all,ALL_YES_1_1_1,60_120,included,basic,21.15,{'n_estimators': 50},,,,,,,,,20.89,0.20
5,reg,gboosting,all,ALL_YES_1_1_1,60_120,included,basic,20.92,{'n_estimators': 50},,,,,,,,,20.75,0.43
6,reg,ada,all,ALL_YES_1_1_1,60_120,included,basic,22.12,{'n_estimators': 10},,,,,,,,,20.99,0.74
0,clf,kn,basic,ALL_YES_3_2_1,60_120,included,basic,0.70,{'n_neighbors': 41},0.67,0.67,0.68,0.67,0.69,205.00,492.00,220.00,"{'0': {'precision': 0.6802721088435374, 'recall': 0.4878048780487805, 'f1-score': 0.5681818181818182, 'support': 205}, '1': {'precision': 0.6655896607431341, 'recall': 0.8373983739837398, 'f1-score': 0.7416741674167416, 'support': 492}, '2': {'precision': 0.6887417218543046, 'recall': 0.4727272727272727, 'f1-score': 0.5606469002695418, 'support': 220}, 'micro avg': {'precision': 0.6717557251908397, 'recall': 0.6717557251908397, 'f1-score': 0.6717557251908397, 'support': 917}, 'macro avg': {'precision': 0.6782011638136587, 'recall': 0.599310174919931, 'f1-score': 0.6235009619560339, 'support': 917}, 'weighted avg': {'precision': 0.6744264713266022, 'recall': 0.6717557251908397, 'f1-score': 0.6594583218708929, 'support': 917}}",4.16
1,clf,svc-rbf,basic,ALL_YES_3_2_1,60_120,included,basic,0.52,"{'C': 1, 'gamma': 1}",0.54,0.29,0.00,0.54,0.00,205.00,492.00,220.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 205}, '1': {'precision': 0.5365321701199564, 'recall': 1.0, 'f1-score': 0.6983676366217175, 'support': 492}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 220}, 'micro avg': {'precision': 0.5365321701199564, 'recall': 0.5365321701199564, 'f1-score': 0.5365321701199564, 'support': 917}, 'macro avg': {'precision': 0.17884405670665213, 'recall': 0.3333333333333333, 'f1-score': 0.23278921220723917, 'support': 917}, 'weighted avg': {'precision': 0.2878667695736298, 'recall': 0.5365321701199564, 'f1-score': 0.37469670361819524, 'support': 917}}",2.50
