,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
74,2007-03-01 09:30:00,46,1.15,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,18,0,1,1
75,2007-03-01 10:00:00,11_38_39,1.7,0,1.0,0,0,2,1,2,1,0,1,2,0,2007,9,3,3,40,-10,-18,0
76,2007-03-02 10:00:00,63,-2.7,0,-3.6,0,0,0,1,1,0,0,0,0,1,2007,9,4,1,21,-5,-9,1
77,2007-03-05 10:00:00,40,-2.9,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,10,0,1,40,14,10,2
78,2007-03-06 08:30:00,61_62,0.9,0,0.0,0,1,1,0,2,0,0,0,1,1,2007,10,1,2,14,-2,-12,0
79,2007-03-06 10:00:00,50_24,-3.2,0,0.6,0,0,0,2,0,1,1,1,0,1,2007,10,1,2,18,10,-1,1
80,2007-03-07 08:15:00,0,-43.0,0,-31.0,0,0,0,1,0,0,1,0,0,1,2007,10,2,1,17,3,2,1
81,2007-03-07 10:30:00,18,-3.14,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,21,10,-1,1
82,2007-03-07 15:00:00,12,-0.6,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,24,21,-4,1
83,2007-03-08 08:30:00,69,-0.26,0,-1.3,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,19,2,-6,1
84,2007-03-08 09:30:00,46,-0.24,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,54,-28,0,1
85,2007-03-09 08:30:00,68_48_70_3,-1.1,0,0.7,0,2,2,0,3,1,0,3,0,1,2007,10,4,4,38,-3,-47,0
86,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,21,1,9,1
87,2007-03-12 15:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,11,0,1,27,7,5,1
88,2007-03-13 08:30:00,17_60,-0.6000000000000001,0,-0.1,0,0,0,2,1,0,1,2,0,0,2007,11,1,2,30,-5,21,2
89,2007-03-13 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,1,1,14,-9,-11,0
90,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,17,-13,1,1
91,2007-03-14 08:30:00,41_19,0.4,0,1.0,0,0,1,1,0,1,1,0,0,2,2007,11,2,2,14,10,-5,1
92,2007-03-14 10:30:00,18,-0.27,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,33,30,1,1
93,2007-03-15 08:30:00,69_21_49_16,-14.059999999999999,1,1.53,0,0,3,1,4,0,0,1,1,2,2007,11,3,4,30,-6,11,2
94,2007-03-15 09:00:00,66,1.0,0,-1.3,0,0,1,0,1,0,0,1,0,0,2007,11,3,1,30,-4,17,2
95,2007-03-15 10:30:00,46,1.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,13,4,10,2
96,2007-03-15 12:00:00,53,-3.8,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,3,1,20,10,-9,1
97,2007-03-16 08:30:00,13_8,1.0,0,0.0,0,1,1,0,2,0,0,1,0,1,2007,11,4,2,14,-11,4,1
98,2007-03-16 09:15:00,9_42,2.0,0,2.0,0,0,2,0,0,2,0,0,0,2,2007,11,4,2,23,-10,-2,1
99,2007-03-16 10:00:00,58,-1.2,0,-2.0,0,0,0,1,0,0,1,1,0,0,2007,11,4,1,23,-2,-1,1
